date,close
2023-06-21,5.35
2023-06-22,5.33
2023-06-23,5.33
2023-06-26,5.5
2023-06-27,5.43
2023-06-28,5.39
2023-06-29,5.45
2023-06-30,5.65
2023-07-03,5.78
2023-07-05,5.67
2023-07-06,5.5
2023-07-07,5.59
2023-07-10,5.81
2023-07-11,5.82
2023-07-12,6.34
2023-07-13,6.44
2023-07-14,6.53
2023-07-17,6.64
2023-07-18,6.92
2023-07-19,6.99
2023-07-20,6.81
2023-07-21,6.85
2023-07-24,6.63
2023-07-25,6.7
2023-07-26,6.78
2023-07-27,6.28
2023-07-28,6.37
2023-07-31,6.68
2023-08-01,6.4
2023-08-02,6.15
2023-08-03,5.93
2023-08-04,6.07
2023-08-07,5.96
2023-08-08,6.0
2023-08-09,6.0
2023-08-10,6.09
2023-08-11,6.39
2023-08-14,6.15
2023-08-15,5.89
2023-08-16,5.79
2023-08-17,5.86
2023-08-18,5.85
2023-08-21,5.89
2023-08-22,5.94
2023-08-23,6.06
2023-08-24,5.99
2023-08-25,5.93
2023-08-28,6.16
2023-08-29,6.3
2023-08-30,6.24
2023-08-31,6.13
2023-09-01,5.95
2023-09-05,5.77
2023-09-06,5.68
2023-09-07,5.6
2023-09-08,5.52
2023-09-11,5.58
2023-09-12,5.5
2023-09-13,5.54
2023-09-14,5.59
2023-09-15,5.8
2023-09-18,5.62
2023-09-19,5.34
2023-09-20,5.31
2023-09-21,5.14
2023-09-22,5.11
2023-09-25,5.05
2023-09-26,4.85
2023-09-27,4.92
2023-09-28,5.07
2023-09-29,5.13
2023-10-02,4.95
2023-10-03,5.16
2023-10-04,5.01
2023-10-05,5.05
2023-10-06,5.21
2023-10-09,5.23
2023-10-10,5.09
2023-10-11,5.12
2023-10-12,4.92
2023-10-13,5.39
2023-10-16,5.4
2023-10-17,5.68
2023-10-18,5.62
2023-10-19,5.68
2023-10-20,5.57
2023-10-23,5.48
2023-10-24,5.51
2023-10-25,5.37
2023-10-26,5.39
2023-10-27,5.48
2023-10-30,5.44
2023-10-31,5.15
2023-11-01,5.19
2023-11-02,4.45
2023-11-03,4.85
2023-11-06,4.64
2023-11-07,4.78
2023-11-08,4.75
2023-11-09,4.65
2023-11-10,4.58
2023-11-13,4.56
2023-11-14,5.03
2023-11-15,5.11
2023-11-16,5.27
2023-11-17,5.23
2023-11-20,5.24
2023-11-21,5.47
2023-11-22,5.44
2023-11-24,5.65
2023-11-27,5.78
2023-11-28,5.92
2023-11-29,5.9
2023-11-30,5.97
2023-12-01,6.25
2023-12-04,6.09
2023-12-05,5.97
2023-12-06,5.91
