date,close
2019-06-21,29.1
2019-06-24,29.26
2019-06-25,28.86
2019-06-26,29.92
2019-06-27,30.74
2019-06-28,30.37
2019-07-01,31.2
2019-07-02,31.24
2019-07-03,31.19
2019-07-05,31.5
2019-07-08,32.04
2019-07-09,33.15
2019-07-10,33.79
2019-07-11,33.06
2019-07-12,33.21
2019-07-15,34.39
2019-07-16,33.85
2019-07-17,33.6
2019-07-18,33.0
2019-07-19,32.51
2019-07-22,32.85
2019-07-23,33.49
2019-07-24,34.11
2019-07-25,33.67
2019-07-26,34.02
2019-07-29,33.48
2019-07-30,33.87
2019-07-31,30.45
2019-08-01,29.86
2019-08-02,29.44
2019-08-05,27.99
2019-08-06,28.86
2019-08-07,29.19
2019-08-08,33.92
2019-08-09,34.19
2019-08-12,32.43
2019-08-13,32.11
2019-08-14,30.24
2019-08-15,29.67
2019-08-16,31.18
2019-08-19,31.48
2019-08-20,30.72
2019-08-21,31.7
2019-08-22,31.9
2019-08-23,29.54
2019-08-26,30.28
2019-08-27,30.2
2019-08-28,30.78
2019-08-29,31.45
2019-08-30,31.45
2019-09-03,30.9
2019-09-04,30.95
2019-09-05,31.5
2019-09-06,30.56
2019-09-09,30.5
2019-09-10,30.23
2019-09-11,29.76
2019-09-12,30.21
2019-09-13,30.69
2019-09-16,30.83
2019-09-17,30.99
2019-09-18,30.42
2019-09-19,30.29
2019-09-20,30.05
2019-09-23,30.64
2019-09-24,29.52
2019-09-25,29.54
2019-09-26,29.47
2019-09-27,28.72
2019-09-30,28.99
2019-10-01,28.76
2019-10-02,28.31
2019-10-03,28.68
2019-10-04,29.01
2019-10-07,28.93
2019-10-08,28.23
2019-10-09,28.46
2019-10-10,28.38
2019-10-11,29.75
2019-10-14,30.53
2019-10-15,30.72
2019-10-16,30.81
2019-10-17,31.14
2019-10-18,30.97
2019-10-21,32.03
2019-10-22,31.51
2019-10-23,31.36
2019-10-24,31.72
2019-10-25,32.71
2019-10-28,33.69
2019-10-29,33.03
2019-10-30,33.13
2019-10-31,33.93
2019-11-01,34.89
2019-11-04,36.29
2019-11-05,36.15
2019-11-06,35.93
2019-11-07,36.28
2019-11-08,36.29
2019-11-11,36.31
2019-11-12,36.71
2019-11-13,37.52
2019-11-14,38.35
2019-11-15,38.56
2019-11-18,39.88
2019-11-19,41.29
2019-11-20,40.98
2019-11-21,39.52
2019-11-22,39.15
2019-11-25,39.79
2019-11-26,38.99
2019-11-27,39.41
2019-11-29,39.15
2019-12-02,38.73
2019-12-03,38.9
2019-12-04,39.69
2019-12-05,39.62
2019-12-06,39.63
2019-12-09,38.93
2019-12-10,39.44
2019-12-11,39.47
2019-12-12,42.59
2019-12-13,41.15
2019-12-16,42.35
2019-12-17,42.77
2019-12-18,42.3
2019-12-19,42.83
2019-12-20,44.15
2019-12-23,45.46
2019-12-24,46.54
2019-12-26,46.63
2019-12-27,46.18
2019-12-30,45.52
2019-12-31,45.86
2020-01-02,49.1
2020-01-03,48.6
2020-01-06,48.39
2020-01-07,48.25
2020-01-08,47.83
2020-01-09,48.97
2020-01-10,48.165
2020-01-13,48.745
2020-01-14,48.21
2020-01-15,48.545
2020-01-16,49.77
2020-01-17,50.93
2020-01-21,51.05
2020-01-22,51.43
2020-01-23,51.71
2020-01-24,50.35
2020-01-27,49.26
2020-01-28,50.53
2020-01-29,47.51
2020-01-30,48.78
2020-01-31,47.0
2020-02-03,48.02
2020-02-04,49.45
2020-02-05,49.84
2020-02-06,49.32
2020-02-07,49.73
2020-02-10,52.26
2020-02-11,53.8
2020-02-12,53.89
2020-02-13,54.53
2020-02-14,55.31
2020-02-18,56.89
2020-02-19,58.9
2020-02-20,57.27
2020-02-21,53.28
2020-02-24,49.12
2020-02-25,47.57
2020-02-26,47.49
2020-02-27,44.01
2020-02-28,45.48
2020-03-02,47.46
2020-03-03,46.75
2020-03-04,50.11
2020-03-05,48.11
2020-03-06,48.59
2020-03-09,43.27
2020-03-10,45.38
2020-03-11,45.7
2020-03-12,39.01
2020-03-13,43.9
2020-03-16,38.71
2020-03-17,41.88
2020-03-18,39.12
2020-03-19,39.82
2020-03-20,39.61
2020-03-23,41.64
2020-03-24,46.22
2020-03-25,44.63
2020-03-26,47.5
2020-03-27,46.58
2020-03-30,47.86
2020-03-31,45.48
2020-04-01,43.66
2020-04-02,44.49
2020-04-03,42.59
2020-04-06,47.52
2020-04-07,47.56
2020-04-08,48.79
2020-04-09,48.38
2020-04-13,50.94
2020-04-14,54.93
2020-04-15,54.99
2020-04-16,56.95
2020-04-17,56.6
2020-04-20,56.97
2020-04-21,52.92
2020-04-22,55.92
2020-04-23,55.9
2020-04-24,56.18
2020-04-27,56.49
2020-04-28,55.51
2020-04-29,53.66
2020-04-30,52.39
2020-05-01,49.88
2020-05-04,52.56
2020-05-05,52.19
2020-05-06,52.16
2020-05-07,51.95
2020-05-08,53.19
2020-05-11,55.74
2020-05-12,53.76
2020-05-13,52.18
2020-05-14,54.51
2020-05-15,54.2
2020-05-18,54.59
2020-05-19,55.47
2020-05-20,56.39
2020-05-21,54.65
2020-05-22,55.17
2020-05-26,53.19
2020-05-27,52.74
2020-05-28,51.74
2020-05-29,53.8
2020-06-01,53.63
2020-06-02,53.54
2020-06-03,52.73
2020-06-04,52.63
2020-06-05,53.1
2020-06-08,52.97
2020-06-09,56.39
2020-06-10,57.44
2020-06-11,52.83
2020-06-12,53.5
2020-06-15,54.68
2020-06-16,54.46
2020-06-17,54.55
2020-06-18,54.04
2020-06-19,54.23
2020-06-22,54.76
2020-06-23,53.99
2020-06-24,52.39
2020-06-25,51.93
2020-06-26,50.1
2020-06-29,50.28
2020-06-30,52.61
2020-07-01,52.58
2020-07-02,52.34
2020-07-06,53.4
2020-07-07,52.93
2020-07-08,53.43
2020-07-09,57.255
2020-07-10,55.88
2020-07-13,53.59
2020-07-14,54.72
2020-07-15,55.34
2020-07-16,54.92
2020-07-17,55.04
2020-07-20,57.46
2020-07-21,57.0
2020-07-22,61.79
2020-07-23,59.57
2020-07-24,69.4
2020-07-27,68.97
2020-07-28,67.61
2020-07-29,76.09
2020-07-30,78.2
2020-07-31,77.43
2020-08-03,77.67
2020-08-04,85.04
2020-08-05,85.31
2020-08-06,86.71
2020-08-07,84.85
2020-08-10,82.24
2020-08-11,76.88
2020-08-12,82.61
2020-08-13,81.84
2020-08-14,81.3
2020-08-17,82.42
2020-08-18,81.66
2020-08-19,81.09
2020-08-20,82.77
2020-08-21,83.81
2020-08-24,83.08
2020-08-25,86.35
2020-08-26,86.02
2020-08-27,83.8
2020-08-28,85.55
2020-08-31,90.82
2020-09-01,92.18
2020-09-02,90.22
2020-09-03,82.54
2020-09-04,82.01
2020-09-08,78.69
2020-09-09,81.91
2020-09-10,78.98
2020-09-11,76.34
2020-09-14,77.9
2020-09-15,78.93
2020-09-16,76.66
2020-09-17,76.55
2020-09-18,74.93
2020-09-21,77.94
2020-09-22,77.7
2020-09-23,74.73
2020-09-24,75.82
2020-09-25,78.055
2020-09-28,79.48
2020-09-29,81.77
2020-09-30,81.99
2020-10-01,84.86
2020-10-02,81.8
2020-10-05,86.15
2020-10-06,84.48
2020-10-07,86.69
2020-10-08,86.51
2020-10-09,83.1
2020-10-12,84.29
2020-10-13,85.28
2020-10-14,84.21
2020-10-15,83.13
2020-10-16,83.17
2020-10-19,82.0
2020-10-20,81.56
2020-10-21,79.2
2020-10-22,79.42
2020-10-23,81.96
2020-10-26,82.23
2020-10-27,78.88
2020-10-28,76.4
2020-10-29,78.02
2020-10-30,75.29
2020-11-02,74.7
2020-11-03,76.58
2020-11-04,81.35
2020-11-05,83.0
2020-11-06,85.88
2020-11-09,83.12
2020-11-10,77.99
2020-11-11,81.28
2020-11-12,81.84
2020-11-13,81.43
2020-11-16,83.73
2020-11-17,83.36
2020-11-18,82.54
2020-11-19,85.54
2020-11-20,84.64
2020-11-23,85.31
2020-11-24,85.07
2020-11-25,86.71
2020-11-27,87.19
2020-11-30,92.66
2020-12-01,92.63
2020-12-02,93.74
2020-12-03,92.31
2020-12-04,94.04
2020-12-07,94.07
2020-12-08,92.92
2020-12-09,89.83
2020-12-10,91.66
2020-12-11,91.65
2020-12-14,94.78
2020-12-15,97.12
2020-12-16,96.85
2020-12-17,96.84
2020-12-18,95.92
2020-12-21,93.23
2020-12-22,93.16
2020-12-23,91.55
2020-12-24,91.81
2020-12-28,91.6
2020-12-29,90.62
2020-12-30,92.29
2020-12-31,91.71
2021-01-04,92.3
2021-01-05,92.77
2021-01-06,90.33
2021-01-07,95.16
2021-01-08,94.58
2021-01-11,97.25
2021-01-12,95.355
2021-01-13,91.78
2021-01-14,90.79
2021-01-15,88.21
2021-01-19,89.45
2021-01-20,88.75
2021-01-21,91.53
2021-01-22,92.79
2021-01-25,94.13
2021-01-26,94.71
2021-01-27,88.84
2021-01-28,87.52
2021-01-29,85.64
2021-02-01,87.66
2021-02-02,88.86
2021-02-03,87.89
2021-02-04,87.84
2021-02-05,87.9
2021-02-08,91.47
2021-02-09,90.91
2021-02-10,92.35
2021-02-11,92.66
2021-02-12,93.77
2021-02-16,91.46
2021-02-17,89.94
2021-02-18,88.64
2021-02-19,89.58
2021-02-22,85.37
2021-02-23,84.74
2021-02-24,86.94
2021-02-25,82.42
2021-02-26,84.51
2021-03-01,86.39
2021-03-02,84.13
2021-03-03,80.86
2021-03-04,77.75
2021-03-05,78.52
2021-03-08,73.96
2021-03-09,78.53
2021-03-10,77.52
2021-03-11,81.23
2021-03-12,81.05
2021-03-15,82.5
2021-03-16,82.75
2021-03-17,82.63
2021-03-18,78.12
2021-03-19,79.06
2021-03-22,80.3
2021-03-23,78.38
2021-03-24,76.48
2021-03-25,76.22
2021-03-26,77.41
2021-03-29,77.14
2021-03-30,76.0
2021-03-31,78.5
2021-04-01,81.09
2021-04-05,81.43
2021-04-06,81.44
2021-04-07,82.2
2021-04-08,83.35
2021-04-09,82.76
2021-04-12,78.58
2021-04-13,80.19
2021-04-14,78.55
2021-04-15,83.01
2021-04-16,82.15
2021-04-19,81.11
2021-04-20,79.27
2021-04-21,81.61
2021-04-22,79.06
2021-04-23,82.76
2021-04-26,85.41
2021-04-27,85.21
2021-04-28,84.02
2021-04-29,83.91
2021-04-30,81.62
2021-05-03,78.55
2021-05-04,78.61
2021-05-05,77.83
2021-05-06,77.89
2021-05-07,78.81
2021-05-10,75.99
2021-05-11,76.83
2021-05-12,74.64
2021-05-13,73.09
2021-05-14,74.59
2021-05-17,74.65
2021-05-18,74.44
2021-05-19,76.23
2021-05-20,78.06
2021-05-21,77.17
2021-05-24,77.44
2021-05-25,77.86
2021-05-26,78.34
2021-05-27,78.42
2021-05-28,80.08
2021-06-01,80.81
2021-06-02,81.97
2021-06-03,80.28
2021-06-04,81.58
2021-06-07,81.35
2021-06-08,80.89
2021-06-09,79.96
2021-06-10,81.56
2021-06-11,81.31
2021-06-14,81.55
2021-06-15,80.47
2021-06-16,80.11
2021-06-17,84.56
2021-06-18,84.65
2021-06-21,82.59
2021-06-22,83.58
2021-06-23,83.82
2021-06-24,86.1
2021-06-25,85.62
2021-06-28,87.08
2021-06-29,89.52
2021-06-30,93.93
2021-07-01,93.31
2021-07-02,94.7
2021-07-06,94.47
2021-07-07,90.54
2021-07-08,89.74
2021-07-09,90.9
2021-07-12,90.81
2021-07-13,90.26
2021-07-14,89.05
2021-07-15,86.93
2021-07-16,85.89
2021-07-19,86.58
