date,close
2019-06-21,6.9
2019-06-24,6.44
2019-06-25,6.59
2019-06-26,6.86
2019-06-27,7.09
2019-06-28,7.17
2019-07-01,7.1
2019-07-02,6.91
2019-07-03,6.97
2019-07-05,6.66
2019-07-08,6.74
2019-07-09,6.81
2019-07-10,4.36
2019-07-11,4.05
2019-07-12,3.7
2019-07-15,3.51
2019-07-16,3.27
2019-07-17,3.4
2019-07-18,3.39
2019-07-19,3.4
2019-07-22,3.44
2019-07-23,3.67
2019-07-24,3.66
2019-07-25,3.53
2019-07-26,3.65
2019-07-29,3.65
2019-07-30,3.73
2019-07-31,3.66
2019-08-01,3.53
2019-08-02,3.25
2019-08-05,3.02
2019-08-06,2.99
2019-08-07,2.91
2019-08-08,2.99
2019-08-09,2.91
2019-08-12,2.84
2019-08-13,2.85
2019-08-14,2.57
2019-08-15,2.4
2019-08-16,2.42
2019-08-19,2.86
2019-08-20,2.77
2019-08-21,2.78
2019-08-22,2.68
2019-08-23,2.52
2019-08-26,2.53
2019-08-27,2.29
2019-08-28,2.4
2019-08-29,2.61
2019-08-30,2.55
2019-09-03,2.57
2019-09-04,2.65
2019-09-05,2.75
2019-09-06,2.94
2019-09-09,3.0
2019-09-10,3.49
2019-09-11,3.46
2019-09-12,3.49
2019-09-13,3.49
2019-09-16,3.34
2019-09-17,3.17
2019-09-18,3.26
2019-09-19,3.15
2019-09-20,3.34
2019-09-23,3.28
2019-09-24,3.26
2019-09-25,3.38
2019-09-26,3.26
2019-09-27,3.2
2019-09-30,2.9
2019-10-01,2.83
2019-10-02,2.8
2019-10-03,3.01
2019-10-04,3.17
2019-10-07,3.14
2019-10-08,3.03
2019-10-09,2.83
2019-10-10,2.89
2019-10-11,2.72
2019-10-14,2.7
2019-10-15,2.92
2019-10-16,2.9
2019-10-17,3.01
2019-10-18,2.99
2019-10-21,2.96
2019-10-22,3.01
2019-10-23,3.07
2019-10-24,3.05
2019-10-25,3.42
2019-10-28,3.2
2019-10-29,3.41
2019-10-30,3.19
2019-10-31,3.08
2019-11-01,3.43
2019-11-04,3.42
2019-11-05,3.44
2019-11-06,2.76
2019-11-07,2.65
2019-11-08,2.73
2019-11-11,2.65
2019-11-12,2.7
2019-11-13,2.75
2019-11-14,2.71
2019-11-15,2.75
2019-11-18,2.83
2019-11-19,3.04
2019-11-20,3.1
2019-11-21,3.04
2019-11-22,3.12
2019-11-25,3.38
2019-11-26,3.04
2019-11-27,3.28
2019-11-29,3.76
2019-12-02,3.84
2019-12-03,4.04
2019-12-04,4.05
2019-12-05,3.71
2019-12-06,3.68
2019-12-09,3.56
2019-12-10,3.5
2019-12-11,3.48
2019-12-12,5.04
2019-12-13,4.76
2019-12-16,5.56
2019-12-17,5.14
2019-12-18,4.93
2019-12-19,4.74
2019-12-20,4.84
2019-12-23,4.61
2019-12-24,4.67
2019-12-26,4.58
2019-12-27,4.51
2019-12-30,4.5
2019-12-31,4.82
2020-01-02,4.77
2020-01-03,4.72
2020-01-06,4.73
2020-01-07,4.68
2020-01-08,4.52
2020-01-09,4.69
2020-01-10,4.51
2020-01-13,4.5
2020-01-14,5.02
2020-01-15,5.13
2020-01-16,5.35
2020-01-17,5.1
2020-01-21,5.32
2020-01-22,5.13
2020-01-23,5.09
2020-01-24,4.73
2020-01-27,4.61
2020-01-28,4.7
2020-01-29,4.62
2020-01-30,4.64
2020-01-31,4.49
2020-02-03,4.43
2020-02-04,4.63
2020-02-05,4.85
2020-02-06,4.87
2020-02-07,4.85
2020-02-10,5.08
2020-02-11,5.04
2020-02-12,5.11
2020-02-13,4.98
2020-02-14,4.91
2020-02-18,4.8
2020-02-19,4.89
2020-02-20,4.62
2020-02-21,4.65
2020-02-24,4.44
2020-02-25,4.76
2020-02-26,3.85
2020-02-27,3.79
2020-02-28,3.85
2020-03-02,3.98
2020-03-03,3.82
2020-03-04,4.09
2020-03-05,3.68
2020-03-06,3.46
2020-03-09,3.03
2020-03-10,3.18
2020-03-11,3.25
2020-03-12,2.85
2020-03-13,3.03
2020-03-16,2.46
2020-03-17,2.98
2020-03-18,2.64
2020-03-19,3.19
2020-03-20,3.57
2020-03-23,3.81
2020-03-24,3.61
2020-03-25,3.49
2020-03-26,3.45
2020-03-27,3.0
2020-03-30,3.07
2020-03-31,3.48
2020-04-01,3.03
2020-04-02,3.05
2020-04-03,2.87
2020-04-06,3.14
2020-04-07,2.91
2020-04-08,3.1
2020-04-09,3.32
2020-04-13,3.44
2020-04-14,3.36
2020-04-15,3.5
2020-04-16,3.24
2020-04-17,3.39
2020-04-20,3.3
2020-04-21,3.13
2020-04-22,3.19
2020-04-23,3.15
2020-04-24,3.2
2020-04-27,3.53
2020-04-28,3.63
2020-04-29,3.87
2020-04-30,3.63
2020-05-01,3.34
2020-05-04,3.39
2020-05-05,3.57
2020-05-06,3.39
2020-05-07,3.55
2020-05-08,3.55
2020-05-11,4.56
2020-05-12,4.27
2020-05-13,4.36
2020-05-14,4.1
2020-05-15,4.12
2020-05-18,4.38
2020-05-19,4.53
2020-05-20,4.57
2020-05-21,4.53
2020-05-22,4.69
2020-05-26,4.97
2020-05-27,4.95
2020-05-28,4.84
2020-05-29,4.87
2020-06-01,4.76
2020-06-02,4.7
2020-06-03,4.79
2020-06-04,4.67
2020-06-05,4.95
2020-06-08,5.08
2020-06-09,5.46
2020-06-10,5.06
2020-06-11,4.43
2020-06-12,4.48
2020-06-15,4.36
2020-06-16,4.74
2020-06-17,4.82
2020-06-18,4.95
2020-06-19,4.83
2020-06-22,5.11
2020-06-23,5.07
2020-06-24,4.82
2020-06-25,4.83
2020-06-26,4.58
2020-06-29,4.67
2020-06-30,4.76
2020-07-01,4.64
2020-07-02,4.52
2020-07-06,4.68
2020-07-07,4.54
2020-07-08,4.51
2020-07-09,4.36
2020-07-10,4.65
2020-07-13,4.91
2020-07-14,4.67
2020-07-15,4.97
2020-07-16,4.85
2020-07-17,4.86
2020-07-20,4.69
2020-07-21,4.55
2020-07-22,4.44
2020-07-23,4.46
2020-07-24,4.29
2020-07-27,4.11
2020-07-28,4.19
2020-07-29,4.55
2020-07-30,4.36
2020-07-31,4.33
2020-08-03,4.71
2020-08-04,4.66
2020-08-05,5.27
2020-08-06,4.67
2020-08-07,4.41
2020-08-10,4.37
2020-08-11,4.22
2020-08-12,4.2
2020-08-13,4.27
2020-08-14,4.25
2020-08-17,4.33
2020-08-18,4.34
2020-08-19,4.22
2020-08-20,4.15
2020-08-21,4.14
2020-08-24,3.98
2020-08-25,4.01
2020-08-26,4.26
2020-08-27,4.12
2020-08-28,4.03
2020-08-31,4.11
2020-09-01,3.97
2020-09-02,3.86
2020-09-03,3.73
2020-09-04,3.65
2020-09-08,3.54
2020-09-09,3.69
2020-09-10,3.74
2020-09-11,3.67
2020-09-14,4.03
2020-09-15,4.04
2020-09-16,4.23
2020-09-17,4.28
2020-09-18,4.48
2020-09-21,4.24
2020-09-22,4.35
2020-09-23,4.01
2020-09-24,3.82
2020-09-25,3.96
2020-09-28,3.85
2020-09-29,3.85
2020-09-30,3.88
2020-10-01,4.01
2020-10-02,4.05
2020-10-05,4.13
2020-10-06,4.13
2020-10-07,4.39
2020-10-08,4.53
2020-10-09,4.75
2020-10-12,4.81
2020-10-13,4.77
2020-10-14,4.89
2020-10-15,5.04
2020-10-16,5.15
2020-10-19,5.18
2020-10-20,5.21
2020-10-21,5.26
2020-10-22,5.42
2020-10-23,5.21
2020-10-26,4.84
2020-10-27,4.67
2020-10-28,4.41
2020-10-29,4.36
2020-10-30,4.16
2020-11-02,4.47
2020-11-03,4.58
2020-11-04,4.8
2020-11-05,4.93
2020-11-06,4.13
2020-11-09,4.19
2020-11-10,4.19
2020-11-11,4.16
2020-11-12,4.13
2020-11-13,4.14
2020-11-16,4.08
2020-11-17,4.28
2020-11-18,4.11
2020-11-19,4.12
2020-11-20,4.11
2020-11-23,4.09
2020-11-24,4.1
2020-11-25,3.98
2020-11-27,4.07
2020-11-30,3.95
2020-12-01,4.05
2020-12-02,4.04
2020-12-03,4.1
2020-12-04,4.21
2020-12-07,4.22
2020-12-08,4.35
2020-12-09,4.2
2020-12-10,4.19
2020-12-11,4.08
2020-12-14,4.39
2020-12-15,4.63
2020-12-16,4.58
2020-12-17,4.54
2020-12-18,4.4
2020-12-21,4.33
2020-12-22,4.3
2020-12-23,4.43
2020-12-24,4.43
2020-12-28,4.48
2020-12-29,4.5
2020-12-30,4.6
2020-12-31,4.57
2021-01-04,4.88
2021-01-05,4.92
2021-01-06,4.84
2021-01-07,4.96
2021-01-08,4.78
2021-01-11,4.75
2021-01-12,4.86
2021-01-13,4.74
2021-01-14,4.85
2021-01-15,4.83
2021-01-19,4.83
2021-01-20,4.75
2021-01-21,4.86
2021-01-22,4.97
2021-01-25,4.85
2021-01-26,4.95
2021-01-27,4.83
2021-01-28,4.93
2021-01-29,4.81
2021-02-01,4.94
2021-02-02,4.91
2021-02-03,4.92
2021-02-04,5.09
2021-02-05,5.2
2021-02-08,5.91
2021-02-09,5.86
2021-02-10,5.83
2021-02-11,5.9
2021-02-12,5.72
2021-02-16,5.59
2021-02-17,5.66
2021-02-18,5.63
2021-02-19,5.63
2021-02-22,5.36
2021-02-23,4.8
2021-02-24,5.1
2021-02-25,4.89
2021-02-26,5.39
2021-03-01,5.18
2021-03-02,5.06
2021-03-03,4.89
2021-03-04,4.83
2021-03-05,4.95
2021-03-08,5.6
2021-03-09,5.98
2021-03-10,5.91
2021-03-11,6.14
2021-03-12,6.02
2021-03-15,6.98
2021-03-16,6.74
2021-03-17,6.83
2021-03-18,6.91
2021-03-19,7.17
2021-03-22,7.38
2021-03-23,6.73
2021-03-24,6.43
2021-03-25,6.81
2021-03-26,6.85
2021-03-29,6.78
2021-03-30,6.66
2021-03-31,6.73
2021-04-01,6.6
2021-04-05,6.82
2021-04-06,6.44
2021-04-07,6.29
2021-04-08,6.12
2021-04-09,5.96
2021-04-12,5.77
2021-04-13,5.76
2021-04-14,5.82
2021-04-15,5.9
2021-04-16,5.89
2021-04-19,5.68
2021-04-20,5.67
2021-04-21,5.81
2021-04-22,5.7
2021-04-23,5.68
2021-04-26,5.87
2021-04-27,5.71
2021-04-28,5.63
2021-04-29,5.67
2021-04-30,5.51
2021-05-03,5.8
2021-05-04,5.71
2021-05-05,5.79
2021-05-06,5.78
2021-05-07,5.2
2021-05-10,5.31
2021-05-11,5.44
2021-05-12,5.32
2021-05-13,5.48
2021-05-14,5.64
2021-05-17,5.78
2021-05-18,5.71
2021-05-19,5.76
2021-05-20,5.7
2021-05-21,5.72
2021-05-24,5.65
2021-05-25,5.57
2021-05-26,5.65
2021-05-27,5.59
2021-05-28,5.66
2021-06-01,5.69
2021-06-02,5.54
2021-06-03,5.53
2021-06-04,5.46
2021-06-07,5.69
2021-06-08,5.71
2021-06-09,5.88
2021-06-10,6.02
2021-06-11,5.96
2021-06-14,5.76
2021-06-15,5.7
2021-06-16,5.77
2021-06-17,5.56
2021-06-18,5.2
2021-06-21,5.31
2021-06-22,5.26
2021-06-23,5.26
2021-06-24,5.41
2021-06-25,5.34
2021-06-28,5.22
2021-06-29,5.15
2021-06-30,5.12
2021-07-01,5.28
2021-07-02,5.14
2021-07-06,5.15
2021-07-07,4.92
2021-07-08,4.69
2021-07-09,4.7
2021-07-12,4.81
2021-07-13,4.68
2021-07-14,4.49
2021-07-15,4.36
2021-07-16,4.31
2021-07-19,4.32
2021-07-20,4.7
2021-07-21,4.77
2021-07-22,4.81
