date,close
2023-06-21,6.1
2023-06-22,5.98
2023-06-23,5.87
2023-06-26,5.6
2023-06-27,5.59
2023-06-28,6.08
2023-06-29,6.06
2023-06-30,6.26
2023-07-03,6.34
2023-07-05,6.2
2023-07-06,6.06
2023-07-07,6.26
2023-07-10,6.7
2023-07-11,6.7
2023-07-12,6.8
2023-07-13,6.68
2023-07-14,6.545
2023-07-17,6.72
2023-07-18,7.8
2023-07-19,7.51
2023-07-20,7.06
2023-07-21,7.31
2023-07-24,7.33
2023-07-25,7.03
2023-07-26,7.51
2023-07-27,8.45
2023-07-28,9.84
2023-07-31,10.08
2023-08-01,16.13
2023-08-02,11.46
2023-08-03,9.6
2023-08-04,10.31
2023-08-07,10.045
2023-08-08,8.7
2023-08-09,8.54
2023-08-10,9.68
2023-08-11,8.765
2023-08-14,10.07
2023-08-15,8.99
2023-08-16,8.93
2023-08-17,8.62
2023-08-18,8.65
2023-08-21,9.07
2023-08-22,9.05
2023-08-23,9.27
2023-08-24,8.67
2023-08-25,8.925
2023-08-28,9.26
2023-08-29,9.53
2023-08-30,9.66
2023-08-31,9.25
2023-09-01,9.36
2023-09-05,8.725
2023-09-06,8.39
2023-09-07,8.165
2023-09-08,8.06
2023-09-11,7.93
2023-09-12,7.73
2023-09-13,7.56
2023-09-14,7.61
2023-09-15,7.72
2023-09-18,7.79
2023-09-19,7.66
2023-09-20,7.57
2023-09-21,7.59
2023-09-22,7.62
2023-09-25,7.47
2023-09-26,7.28
2023-09-27,7.5
2023-09-28,7.5
2023-09-29,7.55
2023-10-02,7.21
2023-10-03,6.89
2023-10-04,6.9
2023-10-05,6.8
2023-10-06,6.89
2023-10-09,6.53
2023-10-10,6.83
2023-10-11,6.795
2023-10-12,6.41
2023-10-13,6.33
2023-10-16,6.21
2023-10-17,6.46
2023-10-18,6.18
2023-10-19,6.08
2023-10-20,6.02
2023-10-23,5.83
2023-10-24,6.27
2023-10-25,6.14
2023-10-26,6.22
2023-10-27,6.21
2023-10-30,6.22
2023-10-31,6.265
2023-11-01,6.4
2023-11-02,7.26
2023-11-03,7.75
2023-11-06,7.75
2023-11-07,8.1
2023-11-08,8.13
2023-11-09,7.96
2023-11-10,7.73
2023-11-13,8.22
2023-11-14,8.95
2023-11-15,8.91
2023-11-16,9.09
2023-11-17,9.26
2023-11-20,9.36
2023-11-21,8.83
2023-11-22,8.98
2023-11-24,9.36
2023-11-27,8.95
2023-11-28,8.84
2023-11-29,9.25
2023-11-30,9.46
2023-12-01,9.78
2023-12-04,9.86
2023-12-05,9.95
2023-12-06,9.9
2023-12-07,9.94
2023-12-08,10.0
2023-12-11,10.21
2023-12-12,10.46
2023-12-13,10.92
2023-12-14,10.99
2023-12-15,11.15
2023-12-18,10.795
2023-12-19,11.04
2023-12-20,10.2
2023-12-21,10.53
2023-12-22,11.06
2023-12-26,11.4
2023-12-27,11.66
2023-12-28,11.45
2023-12-29,11.14
2024-01-02,10.84
2024-01-03,10.91
2024-01-04,11.34
2024-01-05,11.43
2024-01-08,10.79
2024-01-09,10.22
2024-01-10,10.39
2024-01-11,10.06
2024-01-12,10.11
2024-01-16,9.72
2024-01-17,10.24
2024-01-18,9.75
2024-01-19,9.67
2024-01-22,10.03
2024-01-23,10.03
2024-01-24,9.75
2024-01-25,13.25
2024-01-26,13.77
2024-01-29,13.64
2024-01-30,13.44
2024-01-31,11.0
2024-02-01,11.31
2024-02-02,11.17
2024-02-05,10.99
2024-02-06,10.59
2024-02-07,10.28
2024-02-08,10.93
2024-02-09,11.31
2024-02-12,13.03
2024-02-13,12.71
2024-02-14,14.44
2024-02-15,14.37
2024-02-16,14.28
2024-02-20,13.27
2024-02-21,13.21
2024-02-22,13.04
2024-02-23,12.84
2024-02-26,13.29
2024-02-27,13.23
2024-02-28,13.06
2024-02-29,13.45
2024-03-01,13.71
2024-03-04,14.35
2024-03-05,13.42
2024-03-06,13.91
2024-03-07,14.4
2024-03-08,14.96
2024-03-11,14.7
2024-03-12,14.54
2024-03-13,14.65
2024-03-14,13.56
2024-03-15,14.05
2024-03-18,13.31
2024-03-19,13.17
2024-03-20,13.41
2024-03-21,13.11
2024-03-22,13.03
2024-03-25,13.2
2024-03-26,12.9
2024-03-27,13.45
2024-03-28,13.51
2024-04-01,13.49
2024-04-02,13.02
2024-04-03,13.04
2024-04-04,12.69
2024-04-05,12.83
2024-04-08,12.76
2024-04-09,13.1
2024-04-10,12.68
2024-04-11,13.01
2024-04-12,12.48
2024-04-15,12.06
2024-04-16,11.95
2024-04-17,11.88
2024-04-18,11.75
2024-04-19,11.66
2024-04-22,11.74
2024-04-23,12.33
2024-04-24,11.87
2024-04-25,11.86
2024-04-26,12.27
2024-04-29,12.51
2024-04-30,12.35
2024-05-01,12.64
2024-05-02,12.99
2024-05-03,13.37
2024-05-06,13.74
2024-05-07,13.53
2024-05-08,13.57
2024-05-09,13.81
2024-05-10,13.52
2024-05-13,14.01
2024-05-14,14.03
2024-05-15,14.49
2024-05-16,14.21
2024-05-17,14.01
2024-05-20,14.34
2024-05-21,15.24
2024-05-22,15.8
2024-05-23,15.11
2024-05-24,16.06
2024-05-28,15.93
2024-05-29,15.79
2024-05-30,17.44
2024-05-31,19.18
2024-06-03,20.77
2024-06-04,21.03
2024-06-05,22.35
2024-06-06,21.54
2024-06-07,21.36
2024-06-10,22.07
2024-06-11,21.96
2024-06-12,23.55
2024-06-13,26.34
2024-06-14,25.92
2024-06-17,25.04
2024-06-18,25.18
2024-06-20,24.5
2024-06-21,24.43
2024-06-24,23.21
2024-06-25,24.04
2024-06-26,23.6
2024-06-27,24.27
2024-06-28,23.39
2024-07-01,22.98
2024-07-02,24.09
2024-07-03,25.95
2024-07-05,25.65
2024-07-08,28.06
2024-07-09,27.28
2024-07-10,27.43
2024-07-11,29.07
2024-07-12,29.8
2024-07-15,31.19
2024-07-16,32.42
2024-07-17,28.995
2024-07-18,26.23
2024-07-19,26.25
2024-07-22,28.53
2024-07-23,28.78
2024-07-24,26.37
2024-07-25,25.04
2024-07-26,25.44
2024-07-29,24.5
2024-07-30,23.11
2024-07-31,24.16
2024-08-01,22.67
2024-08-02,21.42
2024-08-05,20.4
2024-08-06,20.59
2024-08-07,18.71
2024-08-08,20.32
2024-08-09,19.98
2024-08-12,19.72
2024-08-13,20.66
2024-08-14,20.52
2024-08-15,21.22
2024-08-16,21.38
2024-08-19,22.29
2024-08-20,20.41
2024-08-21,20.65
2024-08-22,19.975
2024-08-23,21.28
2024-08-26,20.99
2024-08-27,20.515
2024-08-28,19.35
2024-08-29,19.79
2024-08-30,20.22
2024-09-03,18.85
2024-09-04,18.73
2024-09-05,18.78
2024-09-06,18.42
2024-09-09,19.95
2024-09-10,22.72
2024-09-11,21.93
2024-09-12,21.68
2024-09-13,21.44
2024-09-16,21.68
2024-09-17,21.33
2024-09-18,20.725
2024-09-19,21.9
2024-09-20,22.03
2024-09-23,24.44
2024-09-24,24.03
2024-09-25,23.35
2024-09-26,22.06
2024-09-27,22.98
2024-09-30,23.6
2024-10-01,21.33
2024-10-02,21.88
2024-10-03,21.51
2024-10-04,23.96
2024-10-07,23.49
2024-10-08,22.6
2024-10-09,23.72
2024-10-10,22.17
2024-10-11,24.0
2024-10-14,23.81
2024-10-15,23.27
2024-10-16,26.39
2024-10-17,24.73
2024-10-18,24.92
2024-10-21,23.85
2024-10-22,23.36
2024-10-23,22.19
2024-10-24,22.64
2024-10-25,22.93
2024-10-28,24.22
2024-10-29,24.08
2024-10-30,23.48
2024-10-31,24.52
2024-11-01,28.54
2024-11-04,27.04
2024-11-05,28.7
2024-11-06,28.62
2024-11-07,28.31
2024-11-08,34.14
2024-11-11,36.81
2024-11-12,36.06
2024-11-13,36.65
2024-11-14,31.905
2024-11-15,30.08
2024-11-18,30.57
2024-11-19,31.57
2024-11-20,31.16
2024-11-21,33.96
2024-11-22,34.22
2024-11-25,34.61
2024-11-26,33.68
2024-11-27,32.37
2024-11-29,34.06
2024-12-02,34.49
2024-12-03,32.84
2024-12-04,35.23
2024-12-05,34.89
2024-12-06,31.2
2024-12-09,28.73
2024-12-10,27.04
2024-12-11,28.81
2024-12-12,26.37
2024-12-13,25.83
2024-12-16,25.78
2024-12-17,25.925
