date,close
2019-06-21,27.19
2019-06-24,26.64
2019-06-25,26.11
2019-06-26,26.29
2019-06-27,27.84
2019-06-28,27.52
2019-07-01,27.83
2019-07-02,27.44
2019-07-03,27.79
2019-07-05,27.82
2019-07-08,27.24
2019-07-09,27.42
2019-07-10,27.92
2019-07-11,28.43
2019-07-12,28.91
2019-07-15,28.8
2019-07-16,28.74
2019-07-17,28.27
2019-07-18,28.76
2019-07-19,28.94
2019-07-22,28.83
2019-07-23,29.4
2019-07-24,29.75
2019-07-25,29.31
2019-07-26,29.93
2019-07-29,29.69
2019-07-30,29.61
2019-07-31,29.59
2019-08-01,28.82
2019-08-02,28.19
2019-08-05,27.19
2019-08-06,27.76
2019-08-07,27.89
2019-08-08,28.24
2019-08-09,27.75
2019-08-12,26.97
2019-08-13,27.35
2019-08-14,26.22
2019-08-15,25.59
2019-08-16,26.19
2019-08-19,26.77
2019-08-20,26.58
2019-08-21,26.89
2019-08-22,27.01
2019-08-23,26.05
2019-08-26,26.09
2019-08-27,25.74
2019-08-28,26.16
2019-08-29,26.73
2019-08-30,26.64
2019-09-03,26.17
2019-09-04,26.72
2019-09-05,27.87
2019-09-06,28.06
2019-09-09,28.25
2019-09-10,28.44
2019-09-11,28.78
2019-09-12,28.63
2019-09-13,28.73
2019-09-16,29.1
2019-09-17,28.99
2019-09-18,29.12
2019-09-19,28.85
2019-09-20,28.53
2019-09-23,28.92
2019-09-24,28.33
2019-09-25,28.79
2019-09-26,28.56
2019-09-27,28.27
2019-09-30,28.24
2019-10-01,27.33
2019-10-02,26.88
2019-10-03,26.7
2019-10-04,26.58
2019-10-07,26.36
2019-10-08,25.83
2019-10-09,26.01
2019-10-10,25.96
2019-10-11,26.59
2019-10-14,26.0
2019-10-15,26.2
2019-10-16,25.81
2019-10-17,25.84
2019-10-18,25.99
2019-10-21,26.57
2019-10-22,26.43
2019-10-23,26.86
2019-10-24,26.49
2019-10-25,26.69
2019-10-28,27.32
2019-10-29,27.63
2019-10-30,27.9
2019-10-31,27.35
2019-11-01,28.22
2019-11-04,28.85
2019-11-05,29.4
2019-11-06,29.47
2019-11-07,29.64
2019-11-08,29.48
2019-11-11,29.48
2019-11-12,29.41
2019-11-13,29.18
2019-11-14,28.53
2019-11-15,28.27
2019-11-18,27.86
2019-11-19,28.89
2019-11-20,29.06
2019-11-21,29.34
2019-11-22,29.55
2019-11-25,30.06
2019-11-26,29.88
2019-11-27,30.04
2019-11-29,29.67
2019-12-02,29.62
2019-12-03,29.27
2019-12-04,29.37
2019-12-05,29.67
2019-12-06,30.08
2019-12-09,30.02
2019-12-10,29.98
2019-12-11,30.39
2019-12-12,31.17
2019-12-13,31.16
2019-12-16,31.37
2019-12-17,31.48
2019-12-18,31.3
2019-12-19,32.02
2019-12-20,31.99
2019-12-23,32.43
2019-12-24,32.17
2019-12-26,32.3
2019-12-27,32.22
2019-12-30,32.17
2019-12-31,32.32
2020-01-02,32.51
2020-01-03,32.48
2020-01-06,32.67
2020-01-07,33.01
2020-01-08,33.08
2020-01-09,33.25
2020-01-10,33.2
2020-01-13,34.31
2020-01-14,34.46
2020-01-15,34.47
2020-01-16,35.19
2020-01-17,34.97
2020-01-21,34.33
2020-01-22,34.16
2020-01-23,34.21
2020-01-24,33.49
2020-01-27,33.26
2020-01-28,33.65
2020-01-29,33.77
2020-01-30,34.04
2020-01-31,33.4
2020-02-03,33.65
2020-02-04,34.57
2020-02-05,35.48
2020-02-06,36.2
2020-02-07,36.13
2020-02-10,37.03
2020-02-11,37.49
2020-02-12,38.09
2020-02-13,36.22
2020-02-14,35.99
2020-02-18,35.69
2020-02-19,35.82
2020-02-20,35.24
2020-02-21,34.1
2020-02-24,32.37
2020-02-25,30.71
2020-02-26,31.0
2020-02-27,29.21
2020-02-28,28.58
2020-03-02,29.97
2020-03-03,28.52
2020-03-04,29.03
2020-03-05,26.65
2020-03-06,25.96
2020-03-09,24.0
2020-03-10,24.87
2020-03-11,22.06
2020-03-12,20.01
2020-03-13,22.27
2020-03-16,18.01
2020-03-17,20.17
2020-03-18,19.92
2020-03-19,21.6
