date,close
2023-06-21,2.55
2023-06-22,2.45
2023-06-23,2.5
2023-06-26,2.6
2023-06-27,2.71
2023-06-28,2.93
2023-06-29,2.74
2023-06-30,2.89
2023-07-03,2.93
2023-07-05,2.9
2023-07-06,2.75
2023-07-07,2.8
2023-07-10,2.92
2023-07-11,2.95
2023-07-12,3.05
2023-07-13,3.03
2023-07-14,2.99
2023-07-17,2.9
2023-07-18,2.9
2023-07-19,2.86
2023-07-20,2.75
2023-07-21,2.78
2023-07-24,2.86
2023-07-25,2.91
2023-07-26,2.92
2023-07-27,2.83
2023-07-28,2.98
2023-07-31,2.95
2023-08-01,3.07
2023-08-02,2.91
2023-08-03,3.02
2023-08-04,2.86
2023-08-07,2.84
2023-08-08,2.84
2023-08-09,2.83
2023-08-10,2.75
2023-08-11,2.82
2023-08-14,2.77
2023-08-15,2.8
2023-08-16,2.79
2023-08-17,2.77
2023-08-18,2.78
2023-08-21,2.7
2023-08-22,2.55
2023-08-23,2.59
2023-08-24,2.51
2023-08-25,2.52
2023-08-28,2.57
2023-08-29,2.6
2023-08-30,2.66
2023-08-31,2.69
2023-09-01,2.74
2023-09-05,2.68
2023-09-06,2.64
2023-09-07,2.55
2023-09-08,2.5773
2023-09-11,2.58
2023-09-12,2.57
2023-09-13,2.64
2023-09-14,2.6
2023-09-15,2.5
2023-09-18,2.4
2023-09-19,2.3
2023-09-20,2.19
2023-09-21,2.15
2023-09-22,2.06
2023-09-25,2.14
2023-09-26,2.12
2023-09-27,2.16
2023-09-28,2.1
2023-09-29,2.33
2023-10-02,2.31
2023-10-03,2.26
2023-10-04,2.25
2023-10-05,2.27
2023-10-06,2.28
2023-10-09,2.23
2023-10-10,2.26
2023-10-11,2.24
2023-10-12,2.15
2023-10-13,2.16
2023-10-16,2.13
2023-10-17,2.12
2023-10-18,2.08
2023-10-19,2.0
2023-10-20,1.93
2023-10-23,1.85
2023-10-24,1.79
2023-10-25,1.78
2023-10-26,1.85
2023-10-27,1.86
2023-10-30,1.86
2023-10-31,1.93
2023-11-01,1.93
2023-11-02,1.86
2023-11-03,2.03
2023-11-06,2.1
2023-11-07,2.05
2023-11-08,1.95
2023-11-09,1.84
2023-11-10,1.9
2023-11-13,1.91
2023-11-14,1.97
2023-11-15,2.06
2023-11-16,2.04
2023-11-17,2.0
2023-11-20,1.9
2023-11-21,1.86
2023-11-22,1.83
2023-11-24,1.93
2023-11-27,1.95
2023-11-28,2.0
2023-11-29,2.04
2023-11-30,1.96
2023-12-01,1.98
2023-12-04,1.94
2023-12-05,1.92
2023-12-06,1.93
2023-12-07,1.88
2023-12-08,1.85
2023-12-11,1.82
2023-12-12,1.81
2023-12-13,1.83
2023-12-14,1.97
2023-12-15,2.14
2023-12-18,2.21
2023-12-19,2.19
2023-12-20,2.09
2023-12-21,2.22
2023-12-22,2.12
2023-12-26,2.24
2023-12-27,2.22
2023-12-28,2.29
2023-12-29,2.18
2024-01-02,2.29
2024-01-03,2.13
2024-01-04,2.14
2024-01-05,2.08
2024-01-08,2.12
2024-01-09,2.09
2024-01-10,1.96
2024-01-11,1.93
2024-01-12,1.92
2024-01-16,1.82
