date,close
2023-09-14,63.59
2023-09-15,60.75
2023-09-18,58.0
2023-09-19,55.17
2023-09-20,52.91
2023-09-21,52.16
2023-09-22,51.32
2023-09-25,54.44
2023-09-26,53.52
2023-09-27,52.99
2023-09-28,55.49
2023-09-29,53.52
2023-10-02,52.26
2023-10-03,51.57
2023-10-04,53.46
2023-10-05,52.51
2023-10-06,54.08
2023-10-09,54.25
2023-10-10,55.71
2023-10-11,54.68
2023-10-12,51.85
2023-10-13,50.78
2023-10-16,52.09
2023-10-17,52.29
2023-10-18,51.9
2023-10-19,49.74
2023-10-20,47.87
2023-10-23,50.21
2023-10-24,52.37
2023-10-25,49.44
2023-10-26,50.17
2023-10-27,49.09
2023-10-30,47.9
2023-10-31,49.29
2023-11-01,50.52
2023-11-02,52.82
2023-11-03,53.49
2023-11-06,53.1
2023-11-07,55.27
2023-11-08,54.4
2023-11-09,51.58
2023-11-10,52.27
2023-11-13,51.69
2023-11-14,53.43
2023-11-15,55.43
2023-11-16,54.23
2023-11-17,54.99
2023-11-20,58.68
2023-11-21,58.66
2023-11-22,61.76
2023-11-24,63.88
2023-11-27,61.0
2023-11-28,61.92
2023-11-29,62.21
2023-11-30,61.5
2023-12-01,63.9
2023-12-04,61.93
2023-12-05,63.59
2023-12-06,61.06
2023-12-07,62.44
2023-12-08,67.23
2023-12-11,64.89
2023-12-12,64.71
2023-12-13,65.61
2023-12-14,70.735
2023-12-15,71.03
2023-12-18,68.87
2023-12-19,69.43
2023-12-20,68.4
2023-12-21,71.2
2023-12-22,72.29
2023-12-26,73.41
2023-12-27,74.25
2023-12-28,77.47
2023-12-29,75.145
2024-01-02,68.92
2024-01-03,67.91
2024-01-04,68.39
2024-01-05,67.05
2024-01-08,72.84
2024-01-09,71.88
2024-01-10,70.77
2024-01-11,69.77
2024-01-12,70.0
2024-01-16,68.48
2024-01-17,69.86
2024-01-18,74.23
2024-01-19,78.58
2024-01-22,77.11
2024-01-23,76.35
2024-01-24,75.74
2024-01-25,73.91
2024-01-26,71.17
2024-01-29,72.93
2024-01-30,71.97
2024-01-31,70.67
2024-02-01,70.52
2024-02-02,71.0
2024-02-05,73.27
2024-02-06,72.98
2024-02-07,77.01
2024-02-08,113.89
2024-02-09,115.21
2024-02-12,148.97
2024-02-13,119.98
2024-02-14,126.4
2024-02-15,133.68
2024-02-16,128.34
2024-02-20,121.77
2024-02-21,123.39
2024-02-22,128.53
2024-02-23,133.34
2024-02-26,146.2
2024-02-27,137.95
2024-02-28,133.86
2024-02-29,141.04
2024-03-01,141.62
2024-03-04,138.01
2024-03-05,134.07
2024-03-06,136.99
2024-03-07,140.85
2024-03-08,131.48
2024-03-11,126.74
2024-03-12,129.5
2024-03-13,131.27
2024-03-14,130.96
2024-03-15,126.97
2024-03-18,129.75
2024-03-19,124.59
2024-03-20,131.33
2024-03-21,133.6
2024-03-22,134.15
2024-03-25,138.31
2024-03-26,127.96
2024-03-27,125.62
2024-03-28,124.99
2024-04-01,126.91
2024-04-02,124.28
2024-04-03,125.31
2024-04-04,122.01
2024-04-05,124.82
2024-04-08,129.25
2024-04-09,126.81
2024-04-10,125.18
2024-04-11,131.13
2024-04-12,126.33
2024-04-15,122.32
2024-04-16,122.22
2024-04-17,107.56
2024-04-18,104.92
2024-04-19,87.19
2024-04-22,93.11
2024-04-23,96.04
2024-04-24,99.88
2024-04-25,97.93
2024-04-26,101.95
2024-04-29,103.24
2024-04-30,101.21
2024-05-01,95.29
2024-05-02,98.0
2024-05-03,101.7
2024-05-06,106.98
2024-05-07,107.8
2024-05-08,106.07
