date,close
2020-09-30,28.8
2020-10-01,26.13
2020-10-02,25.91
2020-10-05,25.19
2020-10-06,26.0
2020-10-07,26.48
2020-10-08,26.53
2020-10-09,25.7
2020-10-12,24.88
2020-10-13,24.38
2020-10-14,23.35
2020-10-15,23.97
2020-10-16,23.98
2020-10-19,23.9
2020-10-20,24.1
2020-10-21,24.19
2020-10-22,24.0
2020-10-23,23.51
2020-10-26,23.63
2020-10-27,23.51
2020-10-28,23.48
2020-10-29,23.18
2020-10-30,22.11
2020-11-02,21.95
2020-11-03,22.2
2020-11-04,22.16
2020-11-05,22.97
2020-11-06,23.39
2020-11-09,22.95
2020-11-10,21.37
2020-11-11,21.55
2020-11-12,21.31
2020-11-13,22.4
2020-11-16,22.86
2020-11-17,23.35
2020-11-18,22.72
2020-11-19,22.0
2020-11-20,22.14
2020-11-23,22.02
2020-11-24,22.88
2020-11-25,25.82
2020-11-27,27.88
2020-11-30,27.95
2020-12-01,27.12
2020-12-02,26.71
2020-12-03,27.17
2020-12-04,26.5
2020-12-07,29.7
2020-12-08,29.02
2020-12-09,28.34
2020-12-10,29.1
2020-12-11,28.4
2020-12-14,28.1
2020-12-15,28.67
2020-12-16,29.12
2020-12-17,30.27
2020-12-18,30.34
2020-12-21,31.12
2020-12-22,30.36
2020-12-23,30.01
2020-12-24,30.05
2020-12-28,28.81
2020-12-29,28.62
2020-12-30,29.12
2020-12-31,29.55
2021-01-04,29.0
2021-01-05,28.55
2021-01-06,28.03
2021-01-07,28.9
2021-01-08,31.58
2021-01-11,32.08
2021-01-12,34.98
2021-01-13,36.48
2021-01-14,37.14
2021-01-15,38.63
2021-01-19,39.7
2021-01-20,39.57
2021-01-21,39.68
2021-01-22,38.97
2021-01-25,38.35
2021-01-26,38.31
2021-01-27,35.0
2021-01-28,35.32
2021-01-29,35.37
2021-02-01,35.46
2021-02-02,36.7
2021-02-03,38.13
2021-02-04,38.64
2021-02-05,39.08
2021-02-08,40.0
2021-02-09,38.87
2021-02-10,39.73
2021-02-11,38.75
2021-02-12,41.49
2021-02-16,40.98
2021-02-17,40.2
2021-02-18,40.48
2021-02-19,41.42
2021-02-22,38.52
2021-02-23,36.54
2021-02-24,36.05
2021-02-25,35.03
2021-02-26,34.63
2021-03-01,36.97
2021-03-02,35.13
2021-03-03,32.29
2021-03-04,30.56
2021-03-05,30.71
2021-03-08,29.67
2021-03-09,32.83
2021-03-10,31.92
2021-03-11,33.94
2021-03-12,32.17
2021-03-15,32.7
2021-03-16,33.34
2021-03-17,33.03
2021-03-18,30.32
2021-03-19,29.5
2021-03-22,29.95
2021-03-23,29.44
2021-03-24,28.13
2021-03-25,27.66
2021-03-26,27.39
2021-03-29,26.16
2021-03-30,27.28
2021-03-31,28.58
2021-04-01,30.81
2021-04-05,32.13
2021-04-06,33.46
2021-04-07,33.08
2021-04-08,33.3
2021-04-09,33.9
2021-04-12,33.83
2021-04-13,34.51
2021-04-14,33.42
2021-04-15,33.86
2021-04-16,33.54
2021-04-19,31.66
2021-04-20,31.27
2021-04-21,31.82
2021-04-22,32.13
2021-04-23,33.21
2021-04-26,34.17
2021-04-27,33.97
2021-04-28,33.73
2021-04-29,33.44
2021-04-30,33.32
2021-05-03,31.72
2021-05-04,30.76
2021-05-05,30.24
2021-05-06,28.51
2021-05-07,28.79
2021-05-10,28.58
2021-05-11,29.3
2021-05-12,28.5
2021-05-13,28.15
2021-05-14,29.41
2021-05-17,30.46
2021-05-18,31.28
2021-05-19,32.15
2021-05-20,33.05
2021-05-21,34.63
2021-05-24,35.63
2021-05-25,35.86
2021-05-26,36.1
2021-05-27,36.84
2021-05-28,36.78
2021-06-01,37.0
2021-06-02,36.86
2021-06-03,36.79
2021-06-04,39.19
2021-06-07,38.59
2021-06-08,39.72
2021-06-09,41.15
2021-06-10,45.94
2021-06-11,46.47
2021-06-14,46.27
2021-06-15,46.82
2021-06-16,49.51
2021-06-17,53.62
2021-06-18,57.8
2021-06-21,59.57
2021-06-22,56.01
2021-06-23,58.61
2021-06-24,59.75
2021-06-25,62.73
2021-06-28,61.42
2021-06-29,63.68
2021-06-30,62.03
2021-07-01,61.33
2021-07-02,67.16
2021-07-06,68.51
2021-07-07,66.88
2021-07-08,66.39
2021-07-09,68.11
2021-07-12,66.94
2021-07-13,68.78
2021-07-14,67.11
2021-07-15,66.52
2021-07-16,64.98
2021-07-19,67.02
2021-07-20,68.3
2021-07-21,69.69
2021-07-22,73.64
2021-07-23,72.32
2021-07-26,74.15
2021-07-27,66.0
2021-07-28,70.1
2021-07-29,71.28
2021-07-30,71.06
2021-08-02,71.31
2021-08-03,72.33
2021-08-04,72.9
2021-08-05,78.1
2021-08-06,75.7
2021-08-09,74.66
2021-08-10,72.36
2021-08-11,74.47
2021-08-12,78.8
2021-08-13,76.43
2021-08-16,74.56
2021-08-17,76.17
2021-08-18,77.9
2021-08-19,74.98
2021-08-20,74.4
2021-08-23,77.18
2021-08-24,75.9
2021-08-25,76.63
2021-08-26,74.83
2021-08-27,77.39
2021-08-30,77.87
2021-08-31,75.55
2021-09-01,77.28
2021-09-02,89.16
2021-09-03,93.85
2021-09-07,94.53
2021-09-08,92.09
2021-09-09,97.36
2021-09-10,97.61
2021-09-13,101.45
2021-09-14,106.5
2021-09-15,109.32
2021-09-16,117.86
2021-09-17,118.26
2021-09-20,118.9
2021-09-21,113.78
2021-09-22,119.49
2021-09-23,124.48
2021-09-24,120.02
2021-09-27,113.99
2021-09-28,102.25
2021-09-29,103.23
2021-09-30,103.84
2021-10-01,101.87
2021-10-04,99.85
2021-10-05,103.16
2021-10-06,108.19
2021-10-07,108.87
2021-10-08,105.45
2021-10-11,105.9
2021-10-12,110.15
2021-10-13,114.83
2021-10-14,116.24
2021-10-15,116.1
2021-10-18,117.9
2021-10-19,127.65
2021-10-20,129.78
2021-10-21,136.02
2021-10-22,134.07
2021-10-25,136.23
2021-10-26,125.62
2021-10-27,124.9
2021-10-28,131.83
2021-10-29,135.8
2021-11-01,135.28
2021-11-02,128.19
2021-11-03,132.44
2021-11-04,131.67
2021-11-05,128.07
2021-11-08,135.44
2021-11-09,142.68
2021-11-10,129.67
2021-11-11,132.45
2021-11-12,141.66
2021-11-15,136.4
2021-11-16,135.29
2021-11-17,131.6
2021-11-18,136.98
2021-11-19,137.19
2021-11-22,106.09
2021-11-23,101.42
2021-11-24,106.8
2021-11-26,106.02
2021-11-29,108.91
2021-11-30,103.95
2021-12-01,89.96
2021-12-02,91.0
2021-12-03,66.98
2021-12-06,65.86
2021-12-07,74.31
2021-12-08,80.01
2021-12-09,73.8
2021-12-10,67.91
2021-12-13,64.2
2021-12-14,64.92
2021-12-15,69.65
2021-12-16,67.24
2021-12-17,74.75
2021-12-20,76.47
2021-12-21,79.94
2021-12-22,79.33
2021-12-23,77.9
2021-12-27,76.41
2021-12-28,74.68
2021-12-29,72.11
2021-12-30,76.57
2021-12-31,74.55
2022-01-03,71.66
2022-01-04,68.85
2022-01-05,60.48
2022-01-06,61.64
2022-01-07,61.22
2022-01-10,61.57
2022-01-11,65.87
2022-01-12,65.37
2022-01-13,61.6
2022-01-14,60.18
2022-01-18,53.21
2022-01-19,53.08
2022-01-20,53.42
2022-01-21,50.43
2022-01-24,54.69
2022-01-25,50.57
2022-01-26,48.14
2022-01-27,45.46
2022-01-28,48.0
2022-01-31,52.48
2022-02-01,53.41
2022-02-02,50.05
2022-02-03,46.06
2022-02-04,48.11
2022-02-07,48.9
2022-02-08,54.96
2022-02-09,61.03
2022-02-10,64.62
2022-02-11,61.56
2022-02-14,68.66
2022-02-15,73.2
2022-02-16,74.13
