date,close
2019-06-21,202.27
2019-06-24,202.8
2019-06-25,199.04
2019-06-26,204.39
2019-06-27,204.99
2019-06-28,207.93
2019-07-01,214.97
2019-07-02,214.42
2019-07-03,213.83
2019-07-05,209.75
2019-07-08,208.03
2019-07-09,206.61
2019-07-10,208.12
2019-07-11,208.74
2019-07-12,208.18
2019-07-15,206.76
2019-07-16,205.0
2019-07-17,217.67
2019-07-18,226.65
2019-07-19,223.62
2019-07-22,227.74
2019-07-23,230.21
2019-07-24,234.06
2019-07-25,230.05
2019-07-26,230.85
2019-07-29,230.97
2019-07-30,228.34
2019-07-31,222.81
2019-08-01,221.44
2019-08-02,219.91
2019-08-05,212.13
2019-08-06,214.89
2019-08-07,215.7
2019-08-08,220.03
2019-08-09,215.99
2019-08-12,214.45
2019-08-13,219.2
2019-08-14,208.72
2019-08-15,209.86
2019-08-16,212.85
2019-08-19,215.69
2019-08-20,214.69
2019-08-21,217.03
2019-08-22,215.26
2019-08-23,210.5
2019-08-26,213.99
2019-08-27,214.07
2019-08-28,215.75
2019-08-29,219.74
2019-08-30,222.61
2019-09-03,220.02
2019-09-04,227.27
2019-09-05,237.09
2019-09-06,238.56
2019-09-09,241.33
2019-09-10,241.67
2019-09-11,245.24
2019-09-12,246.83
2019-09-13,248.99
2019-09-16,246.21
2019-09-17,248.1
2019-09-18,249.79
2019-09-19,249.59
2019-09-20,245.79
2019-09-23,248.48
2019-09-24,246.39
2019-09-25,247.53
2019-09-26,248.04
2019-09-27,243.71
2019-09-30,248.42
2019-10-01,245.39
2019-10-02,240.29
2019-10-03,244.35
2019-10-04,246.04
2019-10-07,247.42
2019-10-08,242.08
2019-10-09,246.27
2019-10-10,251.49
2019-10-11,260.0
2019-10-14,261.64
2019-10-15,267.54
2019-10-16,254.47
2019-10-17,253.76
2019-10-18,254.42
2019-10-21,260.43
2019-10-22,255.29
2019-10-23,257.66
2019-10-24,264.97
2019-10-25,263.99
2019-10-28,266.51
2019-10-29,264.6
2019-10-30,265.65
2019-10-31,261.97
2019-11-01,270.6
2019-11-04,273.18
2019-11-05,271.8
2019-11-06,268.74
2019-11-07,267.65
2019-11-08,267.29
2019-11-11,266.72
2019-11-12,267.59
2019-11-13,269.92
2019-11-14,269.73
2019-11-15,274.97
2019-11-18,273.47
2019-11-19,271.55
2019-11-20,268.87
2019-11-21,267.03
2019-11-22,266.22
2019-11-25,271.15
2019-11-26,271.47
2019-11-27,271.48
2019-11-29,270.62
2019-12-02,265.59
2019-12-03,264.84
2019-12-04,269.76
2019-12-05,273.84
2019-12-06,280.09
2019-12-09,277.52
2019-12-10,279.11
2019-12-11,284.04
2019-12-12,287.24
2019-12-13,289.89
2019-12-16,292.97
2019-12-17,294.84
2019-12-18,292.16
2019-12-19,291.82
2019-12-20,293.59
2019-12-23,296.14
2019-12-24,294.93
2019-12-26,296.34
2019-12-27,296.67
2019-12-30,294.89
2019-12-31,295.94
2020-01-02,302.83
2020-01-03,297.95
2020-01-06,295.58
2020-01-07,298.79
2020-01-08,301.89
2020-01-09,301.38
2020-01-10,296.18
2020-01-13,301.45
2020-01-14,302.55
2020-01-15,300.08
2020-01-16,301.08
2020-01-17,300.04
2020-01-21,298.4
2020-01-22,296.25
2020-01-23,294.32
2020-01-24,295.83
2020-01-27,284.28
2020-01-28,290.18
2020-01-29,296.14
2020-01-30,294.38
2020-01-31,280.66
2020-02-03,288.16
2020-02-04,299.23
2020-02-05,306.32
2020-02-06,309.55
2020-02-07,304.97
2020-02-10,309.68
2020-02-11,316.01
2020-02-12,317.44
2020-02-13,317.25
2020-02-14,316.3
2020-02-18,309.18
2020-02-19,317.39
2020-02-20,313.47
2020-02-21,306.0
2020-02-24,290.4
2020-02-25,284.59
2020-02-26,286.32
2020-02-27,277.23
2020-02-28,276.71
2020-03-02,287.49
2020-03-03,284.3
2020-03-04,301.61
2020-03-05,288.25
2020-03-06,288.11
2020-03-09,263.91
2020-03-10,279.76
2020-03-11,264.14
2020-03-12,240.75
2020-03-13,256.95
2020-03-16,229.36
2020-03-17,238.34
2020-03-18,196.99
2020-03-19,214.03
2020-03-20,216.1
2020-03-23,233.15
2020-03-24,260.21
2020-03-25,262.07
2020-03-26,275.9
