date,close
2019-06-21,112.07
2019-06-24,111.71
2019-06-25,111.93
2019-06-26,110.35
2019-06-27,113.03
2019-06-28,115.68
2019-07-01,118.56
2019-07-02,119.44
2019-07-03,120.15
2019-07-05,120.48
2019-07-08,117.7
2019-07-09,115.65
2019-07-10,114.6
2019-07-11,115.3
2019-07-12,113.48
2019-07-15,113.46
2019-07-16,115.91
2019-07-17,113.26
2019-07-18,113.85
2019-07-19,113.86
2019-07-22,112.29
2019-07-23,117.09
2019-07-24,116.61
2019-07-25,115.99
2019-07-26,117.19
2019-07-29,116.4
2019-07-30,116.09
2019-07-31,114.87
2019-08-01,111.02
2019-08-02,110.87
2019-08-05,108.34
2019-08-06,110.06
2019-08-07,111.01
2019-08-08,114.67
2019-08-09,113.25
2019-08-12,112.12
2019-08-13,112.73
2019-08-14,109.9
2019-08-15,111.63
2019-08-16,113.98
2019-08-19,115.74
2019-08-20,114.09
2019-08-21,114.97
2019-08-22,114.95
2019-08-23,110.72
2019-08-26,111.69
2019-08-27,112.92
2019-08-28,113.69
2019-08-29,115.0
2019-08-30,115.57
2019-09-03,112.66
2019-09-04,114.35
2019-09-05,113.93
2019-09-06,114.19
2019-09-09,113.42
2019-09-10,113.69
2019-09-11,113.0
2019-09-12,113.0
2019-09-13,116.55
2019-09-16,112.94
2019-09-17,114.7
2019-09-18,114.42
2019-09-19,114.07
2019-09-20,112.82
2019-09-23,113.2
2019-09-24,112.33
2019-09-25,112.26
2019-09-26,112.56
2019-09-27,112.82
2019-09-30,113.57
2019-10-01,111.66
2019-10-02,109.41
2019-10-03,109.45
2019-10-04,111.36
2019-10-07,111.17
2019-10-08,108.9
2019-10-09,110.51
2019-10-10,111.3
2019-10-11,113.37
2019-10-14,112.9
2019-10-15,113.62
2019-10-16,114.08
2019-10-17,115.35
2019-10-18,116.89
2019-10-21,118.5
2019-10-22,118.43
2019-10-23,126.14
2019-10-24,126.2
2019-10-25,126.8
2019-10-28,127.49
2019-10-29,129.18
2019-10-30,129.01
2019-10-31,127.86
2019-11-01,129.4
2019-11-04,130.65
2019-11-05,133.31
2019-11-06,132.02
2019-11-07,132.67
2019-11-08,133.83
2019-11-11,133.46
2019-11-12,133.89
2019-11-13,132.22
2019-11-14,131.85
