date,close
2019-06-21,74.5
2019-06-24,74.44
2019-06-25,74.32
2019-06-26,73.21
2019-06-27,73.92
2019-06-28,75.24
2019-07-01,74.38
2019-07-02,75.57
2019-07-03,75.82
2019-07-05,75.82
2019-07-08,76.01
2019-07-09,75.5
2019-07-10,75.76
2019-07-11,75.19
2019-07-12,75.11
2019-07-15,75.11
2019-07-16,75.57
2019-07-17,76.09
2019-07-18,77.13
2019-07-19,76.02
2019-07-22,76.11
2019-07-23,76.22
2019-07-24,76.65
2019-07-25,76.34
2019-07-26,76.75
2019-07-29,76.82
2019-07-30,77.23
2019-07-31,77.47
2019-08-01,77.9
2019-08-02,78.05
2019-08-05,76.58
2019-08-06,77.98
2019-08-07,80.41
2019-08-08,83.02
2019-08-09,84.04
2019-08-12,84.13
2019-08-13,84.24
2019-08-14,84.35
2019-08-15,87.2
2019-08-16,87.74
2019-08-19,87.83
2019-08-20,87.68
2019-08-21,87.79
2019-08-22,88.49
2019-08-23,87.94
2019-08-26,89.21
2019-08-27,90.56
2019-08-28,91.4
2019-08-29,92.6
2019-08-30,92.53
2019-09-03,93.78
2019-09-04,94.18
2019-09-05,92.91
2019-09-06,91.73
2019-09-09,90.09
2019-09-10,88.85
2019-09-11,90.07
2019-09-12,90.79
2019-09-13,90.55
2019-09-16,90.32
2019-09-17,90.97
2019-09-18,90.86
2019-09-19,91.79
2019-09-20,90.14
2019-09-23,89.4
2019-09-24,89.75
2019-09-25,91.07
2019-09-26,90.7
2019-09-27,90.45
2019-09-30,89.86
2019-10-01,90.0
2019-10-02,88.96
2019-10-03,89.7
2019-10-04,90.76
2019-10-07,90.6
2019-10-08,90.7
2019-10-09,91.25
2019-10-10,91.52
2019-10-11,92.96
2019-10-14,92.43
2019-10-15,92.13
2019-10-16,93.09
2019-10-17,94.68
2019-10-18,94.2
2019-10-21,94.48
2019-10-22,94.03
2019-10-23,94.37
2019-10-24,94.34
2019-10-25,93.95
2019-10-28,93.1
2019-10-29,93.81
2019-10-30,94.33
2019-10-31,95.13
2019-11-01,94.14
2019-11-04,90.95
2019-11-05,90.49
2019-11-06,89.6
2019-11-07,87.45
2019-11-08,85.06
2019-11-11,84.38
2019-11-12,84.36
2019-11-13,84.68
2019-11-14,84.34
2019-11-15,84.04
2019-11-18,84.81
2019-11-19,85.24
2019-11-20,86.24
2019-11-21,84.97
2019-11-22,84.55
2019-11-25,84.91
2019-11-26,86.07
2019-11-27,85.44
2019-11-29,85.29
2019-12-02,84.61
2019-12-03,84.96
2019-12-04,85.42
2019-12-05,86.17
2019-12-06,86.58
2019-12-09,86.15
2019-12-10,86.19
2019-12-11,86.88
2019-12-12,86.27
2019-12-13,85.26
2019-12-16,86.43
2019-12-17,86.28
2019-12-18,87.05
2019-12-19,87.07
2019-12-20,87.89
2019-12-23,85.56
2019-12-24,86.14
2019-12-26,86.44
2019-12-27,86.9
2019-12-30,87.33
2019-12-31,86.64
2020-01-02,85.83
2020-01-03,86.51
2020-01-06,84.9
2020-01-07,84.21
2020-01-08,83.59
2020-01-09,83.91
2020-01-10,84.03
2020-01-13,84.84
2020-01-14,84.34
2020-01-15,85.38
2020-01-16,86.73
2020-01-17,87.21
2020-01-21,88.66
2020-01-22,89.27
2020-01-23,89.87
2020-01-24,90.09
2020-01-27,89.58
2020-01-28,89.97
2020-01-29,90.41
2020-01-30,90.72
2020-01-31,88.56
2020-02-03,89.32
2020-02-04,88.47
2020-02-05,89.18
2020-02-06,89.83
2020-02-07,90.28
2020-02-10,91.08
2020-02-11,91.05
2020-02-12,91.51
2020-02-13,92.53
2020-02-14,93.85
2020-02-18,93.64
2020-02-19,91.5
2020-02-20,90.23
2020-02-21,90.16
2020-02-24,89.32
2020-02-25,87.67
2020-02-26,87.31
2020-02-27,81.99
2020-02-28,76.59
2020-03-02,80.49
2020-03-03,81.16
2020-03-04,87.34
