date,close
2019-06-21,67.08
2019-06-24,67.18
2019-06-25,68.06
2019-06-26,67.75
2019-06-27,68.1
2019-06-28,69.99
2019-07-01,70.26
2019-07-02,71.56
2019-07-03,72.25
2019-07-05,71.77
2019-07-08,70.6
2019-07-09,70.92
2019-07-10,70.43
2019-07-11,71.15
2019-07-12,70.0
2019-07-15,69.29
2019-07-16,69.07
2019-07-17,68.51
2019-07-18,70.9
2019-07-19,70.7
2019-07-22,71.11
2019-07-23,71.78
2019-07-24,72.03
2019-07-25,71.29
2019-07-26,72.14
2019-07-29,72.28
2019-07-30,72.78
2019-07-31,71.48
2019-08-01,74.74
2019-08-02,74.73
2019-08-05,73.25
2019-08-06,73.95
2019-08-07,75.29
2019-08-08,76.08
2019-08-09,77.46
2019-08-12,76.84
2019-08-13,79.29
2019-08-14,76.85
2019-08-15,78.0
2019-08-16,79.63
2019-08-19,79.74
2019-08-20,79.19
2019-08-21,79.73
2019-08-22,79.76
2019-08-23,78.2
2019-08-26,78.76
2019-08-27,79.02
2019-08-28,79.27
2019-08-29,80.43
2019-08-30,80.41
2019-09-03,79.93
2019-09-04,80.78
2019-09-05,78.71
2019-09-06,78.3
2019-09-09,75.07
2019-09-10,71.89
2019-09-11,71.88
2019-09-12,73.36
2019-09-13,72.73
2019-09-16,72.2
2019-09-17,75.0
2019-09-18,74.51
2019-09-19,74.28
2019-09-20,73.84
2019-09-23,74.48
2019-09-24,74.72
2019-09-25,73.5
2019-09-26,74.47
2019-09-27,72.79
2019-09-30,72.81
2019-10-01,72.11
2019-10-02,70.82
2019-10-03,71.64
2019-10-04,72.73
2019-10-07,72.45
2019-10-08,71.41
2019-10-09,72.27
2019-10-10,72.84
2019-10-11,72.61
2019-10-14,72.92
2019-10-15,72.16
2019-10-16,72.58
2019-10-17,73.87
2019-10-18,74.11
2019-10-21,72.29
2019-10-22,70.85
2019-10-23,71.08
2019-10-24,71.8
2019-10-25,71.91
2019-10-28,71.34
2019-10-29,72.74
2019-10-30,73.96
2019-10-31,69.97
2019-11-01,68.36
2019-11-04,66.55
2019-11-05,64.71
2019-11-06,66.66
2019-11-07,65.07
2019-11-08,64.65
2019-11-11,64.54
2019-11-12,64.37
2019-11-13,65.13
2019-11-14,65.74
2019-11-15,65.6
2019-11-18,67.59
2019-11-19,67.25
2019-11-20,67.44
2019-11-21,66.16
2019-11-22,65.73
2019-11-25,64.97
2019-11-26,66.7
2019-11-27,66.55
2019-11-29,66.06
2019-12-02,65.79
2019-12-03,66.44
2019-12-04,65.75
2019-12-05,66.14
2019-12-06,63.55
2019-12-09,64.13
2019-12-10,63.91
2019-12-11,63.87
2019-12-12,63.41
2019-12-13,63.34
2019-12-16,63.97
2019-12-17,64.19
2019-12-18,64.4
2019-12-19,63.72
2019-12-20,65.18
2019-12-23,65.25
2019-12-24,65.23
2019-12-26,64.91
2019-12-27,64.69
2019-12-30,64.44
2019-12-31,64.67
2020-01-02,63.88
2020-01-03,64.77
2020-01-06,64.17
2020-01-07,63.92
2020-01-08,64.47
2020-01-09,66.72
2020-01-10,66.27
2020-01-13,67.5
2020-01-14,66.55
2020-01-15,68.21
2020-01-16,69.18
2020-01-17,69.24
2020-01-21,69.26
2020-01-22,71.85
2020-01-23,71.87
2020-01-24,71.93
2020-01-27,73.96
2020-01-28,72.67
2020-01-29,72.59
2020-01-30,73.1
