date,close
2023-06-21,16.5
2023-06-22,16.23
2023-06-23,15.44
2023-06-26,15.51
2023-06-27,15.99
2023-06-28,16.18
2023-06-29,16.25
2023-06-30,16.35
2023-07-03,16.32
2023-07-05,16.25
2023-07-06,15.55
2023-07-07,16.69
2023-07-10,17.37
2023-07-11,17.67
2023-07-12,17.59
2023-07-13,17.93
2023-07-14,17.59
2023-07-17,18.42
2023-07-18,18.2
2023-07-19,17.77
2023-07-20,17.39
2023-07-21,17.57
2023-07-24,17.8
2023-07-25,17.45
2023-07-26,17.89
2023-07-27,17.28
2023-07-28,17.36
2023-07-31,17.86
2023-08-01,17.67
2023-08-02,16.77
2023-08-03,16.57
2023-08-04,15.88
2023-08-07,15.72
2023-08-08,15.76
2023-08-09,15.57
2023-08-10,14.97
2023-08-11,15.06
2023-08-14,15.47
2023-08-15,14.81
2023-08-16,14.61
2023-08-17,14.45
2023-08-18,14.49
2023-08-21,14.42
2023-08-22,14.26
2023-08-23,14.68
2023-08-24,14.35
2023-08-25,14.46
2023-08-28,14.87
2023-08-29,15.45
2023-08-30,15.15
2023-08-31,14.99
2023-09-01,15.16
2023-09-05,15.1
2023-09-06,15.1
2023-09-07,15.05
2023-09-08,14.71
2023-09-11,15.1
2023-09-12,15.41
2023-09-13,15.03
2023-09-14,15.55
2023-09-15,15.12
2023-09-18,14.47
2023-09-19,14.67
2023-09-20,14.4
2023-09-21,13.78
2023-09-22,13.57
2023-09-25,13.73
2023-09-26,13.35
2023-09-27,13.42
2023-09-28,13.23
2023-09-29,13.26
2023-10-02,12.19
2023-10-03,11.54
2023-10-04,11.38
2023-10-05,10.74
2023-10-06,11.13
2023-10-09,10.55
2023-10-10,11.46
2023-10-11,11.84
2023-10-12,11.41
2023-10-13,11.43
2023-10-16,12.39
2023-10-17,12.42
2023-10-18,12.02
2023-10-19,11.94
2023-10-20,11.31
2023-10-23,11.25
2023-10-24,11.75
2023-10-25,11.35
2023-10-26,10.86
2023-10-27,9.78
2023-10-30,10.01
2023-10-31,10.4
2023-11-01,10.02
2023-11-02,10.76
2023-11-03,10.8
2023-11-06,10.09
2023-11-07,9.93
2023-11-08,10.03
2023-11-09,10.87
2023-11-10,10.54
2023-11-13,10.61
2023-11-14,12.35
2023-11-15,12.53
2023-11-16,12.42
2023-11-17,12.57
2023-11-20,12.86
2023-11-21,12.82
2023-11-22,13.12
2023-11-24,13.21
2023-11-27,13.01
2023-11-28,13.55
2023-11-29,14.31
2023-11-30,14.44
2023-12-01,15.38
2023-12-04,15.52
2023-12-05,14.91
2023-12-06,14.21
2023-12-07,13.88
2023-12-08,13.91
2023-12-11,13.51
2023-12-12,12.87
2023-12-13,13.56
2023-12-14,14.41
2023-12-15,14.2
2023-12-18,13.72
2023-12-19,14.31
2023-12-20,13.84
2023-12-21,14.76
2023-12-22,14.88
2023-12-26,15.09
2023-12-27,15.25
2023-12-28,15.23
2023-12-29,14.8
2024-01-02,14.76
2024-01-03,14.02
2024-01-04,13.91
2024-01-05,13.77
2024-01-08,13.89
2024-01-09,13.32
2024-01-10,13.47
2024-01-11,12.97
2024-01-12,12.73
2024-01-16,11.85
2024-01-17,11.26
2024-01-18,11.27
2024-01-19,11.4
2024-01-22,12.06
2024-01-23,11.93
2024-01-24,11.87
2024-01-25,12.47
2024-01-26,12.47
2024-01-29,11.9
2024-01-30,11.36
2024-01-31,11.32
2024-02-01,12.01
2024-02-02,11.6
2024-02-05,11.03
2024-02-06,11.31
2024-02-07,11.3
2024-02-08,11.52
2024-02-09,11.53
2024-02-12,12.32
2024-02-13,11.25
2024-02-14,11.71
2024-02-15,11.97
2024-02-16,9.88
2024-02-20,8.92
2024-02-21,8.96
2024-02-22,8.6
2024-02-23,8.58
2024-02-26,8.7
2024-02-27,9.32
2024-02-28,8.99
2024-02-29,8.77
2024-03-01,9.08
2024-03-04,9.03
2024-03-05,9.12
2024-03-06,9.54
2024-03-07,10.44
2024-03-08,10.31
2024-03-11,10.46
2024-03-12,10.3
2024-03-13,10.03
2024-03-14,9.03
2024-03-15,9.26
2024-03-18,9.78
2024-03-19,9.47
2024-03-20,9.59
2024-03-21,9.82
2024-03-22,9.87
2024-03-25,10.04
2024-03-26,10.8
2024-03-27,11.03
2024-03-28,11.24
2024-04-01,11.73
2024-04-02,11.75
2024-04-03,11.71
2024-04-04,11.79
2024-04-05,11.69
2024-04-08,11.67
2024-04-09,11.88
2024-04-10,11.42
2024-04-11,11.38
2024-04-12,10.74
2024-04-15,10.24
2024-04-16,9.88
2024-04-17,9.8
2024-04-18,9.75
2024-04-19,9.63
2024-04-22,9.32
2024-04-23,9.83
2024-04-24,9.64
2024-04-25,9.55
2024-04-26,10.6
2024-04-29,10.99
2024-04-30,11.13
2024-05-01,11.31
2024-05-02,11.44
2024-05-03,11.8
2024-05-06,12.2
2024-05-07,11.77
2024-05-08,11.8
2024-05-09,11.74
2024-05-10,11.16
2024-05-13,11.55
2024-05-14,12.48
2024-05-15,12.86
2024-05-16,12.23
2024-05-17,12.33
2024-05-20,12.92
2024-05-21,15.13
2024-05-22,17.0
2024-05-23,15.73
2024-05-24,16.29
2024-05-28,16.53
2024-05-29,15.52
2024-05-30,16.64
2024-05-31,16.32
2024-06-03,15.75
2024-06-04,15.02
2024-06-05,15.68
2024-06-06,15.35
2024-06-07,14.84
2024-06-10,15.13
2024-06-11,14.75
2024-06-12,15.31
2024-06-13,15.1
2024-06-14,14.33
2024-06-17,13.95
2024-06-18,13.65
2024-06-20,14.01
2024-06-21,12.82
2024-06-24,13.24
2024-06-25,13.32
2024-06-26,12.62
2024-06-27,13.04
2024-06-28,12.24
2024-07-01,11.37
2024-07-02,10.82
2024-07-03,11.85
2024-07-05,12.16
2024-07-08,12.41
2024-07-09,12.26
2024-07-10,12.8
2024-07-11,13.37
2024-07-12,13.97
2024-07-15,14.54
2024-07-16,15.08
2024-07-17,15.28
2024-07-18,14.65
2024-07-19,14.18
2024-07-22,14.25
2024-07-23,15.11
2024-07-24,14.48
2024-07-25,14.48
2024-07-26,14.51
2024-07-29,13.79
2024-07-30,13.07
2024-07-31,13.54
2024-08-01,12.5
2024-08-02,11.79
2024-08-05,10.9
2024-08-06,10.65
2024-08-07,9.9
2024-08-08,10.54
2024-08-09,11.49
2024-08-12,11.14
2024-08-13,11.86
2024-08-14,11.41
2024-08-15,11.98
2024-08-16,11.61
2024-08-19,11.79
2024-08-20,11.51
2024-08-21,11.58
2024-08-22,11.24
2024-08-23,11.86
2024-08-26,11.87
2024-08-27,11.77
2024-08-28,11.34
2024-08-29,11.9
2024-08-30,11.91
2024-09-03,11.02
2024-09-04,11.17
2024-09-05,11.03
2024-09-06,9.95
2024-09-09,9.75
2024-09-10,10.15
2024-09-11,10.64
2024-09-12,10.38
2024-09-13,10.2
2024-09-16,9.78
2024-09-17,10.09
2024-09-18,10.14
2024-09-19,10.24
2024-09-20,10.91
2024-09-23,10.86
2024-09-24,10.54
2024-09-25,10.18
2024-09-26,10.41
2024-09-27,10.7
2024-09-30,10.56
2024-10-01,10.21
2024-10-02,10.73
2024-10-03,10.65
2024-10-04,10.83
2024-10-07,10.36
2024-10-08,10.25
2024-10-09,10.56
2024-10-10,10.22
2024-10-11,10.74
2024-10-14,10.46
2024-10-15,10.46
2024-10-16,10.41
2024-10-17,10.16
2024-10-18,10.16
2024-10-21,9.87
2024-10-22,9.73
2024-10-23,9.04
2024-10-24,9.19
2024-10-25,9.5
2024-10-28,10.15
2024-10-29,10.14
2024-10-30,10.1
2024-10-31,9.6
2024-11-01,9.94
2024-11-04,10.82
2024-11-05,11.4
2024-11-06,10.97
2024-11-07,10.67
2024-11-08,13.17
2024-11-11,13.62
2024-11-12,13.54
2024-11-13,13.6
2024-11-14,13.28
2024-11-15,21.14
2024-11-18,22.81
2024-11-19,23.75
2024-11-20,24.8
2024-11-21,23.94
2024-11-22,25.76
2024-11-25,25.95
2024-11-26,26.17
2024-11-27,27.21
2024-11-29,27.45
2024-12-02,26.92
2024-12-03,26.14
2024-12-04,26.28
2024-12-05,25.96
2024-12-06,27.08
2024-12-09,26.58
2024-12-10,23.47
2024-12-11,23.6
2024-12-12,24.81
2024-12-13,25.59
2024-12-16,26.15
2024-12-17,24.77
2024-12-18,23.46
2024-12-19,22.88
2024-12-20,24.12
2024-12-23,24.2
2024-12-24,24.33
2024-12-26,24.33
2024-12-27,22.9
2024-12-30,22.51
2024-12-31,22.21
2025-01-02,23.37
2025-01-03,24.32
2025-01-06,25.48
2025-01-07,25.06
2025-01-08,24.38
2025-01-10,23.58
2025-01-13,23.03
2025-01-14,22.3
2025-01-15,22.65
2025-01-16,23.56
2025-01-17,23.92
2025-01-21,25.75
2025-01-22,25.53
2025-01-23,27.67
2025-01-24,29.81
2025-01-27,22.42
2025-01-28,20.4
2025-01-29,22.38
2025-01-30,23.52
2025-01-31,23.58
2025-02-03,23.57
2025-02-04,23.11
2025-02-05,24.26
2025-02-06,24.78
2025-02-07,24.78
2025-02-10,25.39
2025-02-11,24.07
2025-02-12,23.48
2025-02-13,24.71
2025-02-14,25.41
2025-02-18,26.02
2025-02-19,26.5
2025-02-20,25.99
2025-02-21,24.17
2025-02-24,22.7
2025-02-25,21.97
2025-02-26,23.4
2025-02-27,23.04
2025-02-28,24.02
2025-03-03,23.42
2025-03-04,22.7
2025-03-05,24.12
2025-03-06,22.39
2025-03-07,23.08
2025-03-10,22.62
2025-03-11,25.0
2025-03-12,24.55
2025-03-13,23.93
2025-03-14,24.47
2025-03-17,24.19
2025-03-18,23.81
2025-03-19,24.31
2025-03-20,25.41
2025-03-21,23.95
2025-03-24,23.03
2025-03-25,23.11
2025-03-26,22.28
2025-03-27,21.99
2025-03-28,20.33
2025-03-31,19.66
2025-04-01,21.24
2025-04-02,21.12
2025-04-03,19.34
2025-04-04,16.6
2025-04-07,17.24
2025-04-08,17.02
2025-04-09,17.87
2025-04-10,16.85
2025-04-11,17.64
2025-04-14,17.9
2025-04-15,18.31
2025-04-16,17.83
2025-04-17,17.0
2025-04-21,16.38
2025-04-22,16.88
2025-04-23,17.26
2025-04-24,18.14
2025-04-25,18.93
2025-04-28,19.24
2025-04-29,18.91
2025-04-30,18.32
2025-05-01,16.81
2025-05-02,16.44
2025-05-05,16.32
2025-05-06,16.34
2025-05-07,16.53
2025-05-08,17.24
2025-05-09,17.62
2025-05-12,18.91
2025-05-13,19.16
2025-05-14,20.25
2025-05-15,19.82
2025-05-16,20.11
2025-05-19,19.23
2025-05-20,19.11
2025-05-21,18.21
2025-05-22,18.37
2025-05-23,19.48
2025-05-27,19.76
2025-05-28,19.59
2025-05-29,18.57
2025-05-30,18.47
2025-06-02,18.28
2025-06-03,20.41
2025-06-04,20.25
2025-06-05,20.45
2025-06-06,21.78
2025-06-09,21.43
2025-06-10,21.63
2025-06-11,22.53
2025-06-12,22.25
2025-06-13,21.95
2025-06-16,22.91
2025-06-17,21.34
2025-06-18,21.5
2025-06-20,21.75
2025-06-23,22.56
2025-06-24,22.95
2025-06-25,21.6
2025-06-26,22.33
2025-06-27,22.18
2025-06-30,23.92
2025-07-01,22.13
2025-07-02,22.56
