date,close
2024-04-02,35.91
2024-04-03,35.6828
2024-04-04,38.44
2024-04-05,37.12
2024-04-08,42.03
2024-04-09,38.72
2024-04-10,40.0
2024-04-11,40.39
2024-04-12,36.2
2024-04-15,32.32
2024-04-16,31.71
2024-04-17,29.92
2024-04-18,32.41
2024-04-19,33.25
2024-04-22,35.51
2024-04-23,35.39
2024-04-24,32.6
2024-04-25,33.31
2024-04-26,32.37
2024-04-29,31.52
2024-04-30,27.91
2024-05-01,25.6
2024-05-02,27.7
2024-05-03,30.32
2024-05-06,31.27
2024-05-07,31.2
2024-05-08,30.25
2024-05-09,30.52
2024-05-10,28.77
2024-05-13,31.13
2024-05-14,29.56
2024-05-15,34.0
2024-05-16,32.95
2024-05-17,34.95
2024-05-20,37.98
2024-05-21,37.01
2024-05-22,37.46
2024-05-23,34.69
2024-05-24,36.76
2024-05-28,35.95
2024-05-29,34.67
2024-05-30,36.19
2024-05-31,34.96
2024-06-03,36.52
2024-06-04,37.89
2024-06-05,38.88
2024-06-06,37.9
2024-06-07,36.5
2024-06-10,36.71
2024-06-11,34.53
2024-06-12,34.55
2024-06-13,33.6
2024-06-14,32.47
2024-06-17,33.6
2024-06-18,31.27
2024-06-20,31.85
2024-06-21,31.07
2024-06-24,26.25
2024-06-25,28.67
2024-06-26,27.66
2024-06-27,28.04
2024-06-28,26.71
2024-07-01,29.52
2024-07-02,28.29
2024-07-03,26.98
2024-07-05,23.48
2024-07-08,23.44
2024-07-09,24.53
2024-07-10,24.17
2024-07-11,24.15
2024-07-12,24.32
2024-07-15,29.16
2024-07-16,30.8
2024-07-17,30.2
2024-07-18,29.23
2024-07-19,32.65
2024-07-22,33.53
2024-07-23,30.85
2024-07-24,30.88
2024-07-25,29.95
2024-07-26,33.04
2024-07-29,32.3
2024-07-30,30.88
2024-07-31,30.27
2024-08-01,28.44
2024-08-02,27.7
2024-08-05,19.68
2024-08-06,22.13
2024-08-07,20.51
2024-08-08,24.05
2024-08-09,25.05
2024-08-12,23.61
2024-08-13,25.04
2024-08-14,23.42
2024-08-15,21.96
2024-08-16,24.0
2024-08-19,23.41
2024-08-20,23.81
2024-08-21,25.44
2024-08-22,24.38
2024-08-23,27.05
2024-08-26,26.72
2024-08-27,25.69
2024-08-28,22.98
2024-08-29,23.22
2024-08-30,22.74
2024-09-03,22.21
2024-09-04,22.25
2024-09-05,20.66
2024-09-06,18.78
2024-09-09,21.38
2024-09-10,21.98
2024-09-11,21.69
2024-09-12,22.28
2024-09-13,23.3
2024-09-16,21.86
2024-09-17,23.32
2024-09-18,23.41
2024-09-19,25.91
2024-09-20,25.54
2024-09-23,25.91
2024-09-24,26.72
2024-09-25,25.79
2024-09-26,26.99
2024-09-27,27.81
2024-09-30,25.9
2024-10-01,24.43
2024-10-02,23.22
2024-10-03,23.87
2024-10-04,24.93
2024-10-07,25.66
2024-10-08,24.71
2024-10-09,23.71
2024-10-10,22.7
2024-10-11,25.28
2024-10-14,27.53
2024-10-15,28.42
2024-10-16,29.06
2024-10-17,28.25
2024-10-18,29.73
2024-10-21,28.96
2024-10-22,28.71
2024-10-23,27.79
2024-10-24,29.3
2024-10-25,27.99
2024-10-28,30.37
2024-10-29,33.0
2024-10-30,32.31
2024-10-31,30.51
2024-11-01,29.79
2024-11-04,28.11
2024-11-05,29.91
2024-11-06,35.82
2024-11-07,36.17
2024-11-08,36.39
2024-11-11,46.02
2024-11-12,48.68
2024-11-13,48.76
2024-11-14,46.27
2024-11-15,50.6
2024-11-18,50.67
2024-11-19,51.74
2024-11-20,53.64
2024-11-21,58.02
2024-11-22,59.09
2024-11-25,53.93
2024-11-26,49.28
2024-11-27,55.59
2024-11-29,56.11
2024-12-02,54.29
2024-12-03,54.19
2024-12-04,58.03
2024-12-05,57.9
2024-12-06,60.91
2024-12-09,54.22
2024-12-10,54.47
2024-12-11,60.08
2024-12-12,58.41
2024-12-13,60.35
2024-12-16,65.3
2024-12-17,66.36
2024-12-18,58.56
2024-12-19,53.44
2024-12-20,53.54
2024-12-23,49.54
2024-12-24,56.02
2024-12-26,51.98
2024-12-27,50.7
2024-12-30,50.28
2024-12-31,49.42
2025-01-02,53.59
2025-01-03,54.78
2025-01-06,59.15
2025-01-07,52.06
2025-01-08,49.38
2025-01-10,50.22
2025-01-13,49.11
2025-01-14,51.93
2025-01-15,55.34
2025-01-16,56.09
2025-01-17,61.13
2025-01-21,62.61
2025-01-22,60.38
2025-01-23,59.13
2025-01-24,60.94
2025-01-27,56.94
2025-01-28,56.63
2025-01-29,60.06
2025-01-30,60.76
2025-01-31,56.71
2025-02-03,55.26
2025-02-04,52.26
2025-02-05,50.8
2025-02-06,50.4
2025-02-07,49.08
2025-02-10,50.68
2025-02-11,48.49
2025-02-12,50.29
2025-02-13,49.48
2025-02-14,50.41
2025-02-18,46.99
2025-02-19,49.01
2025-02-20,51.44
2025-02-21,47.38
2025-02-24,46.61
2025-02-25,40.75
2025-02-26,37.26
2025-02-27,36.33
2025-02-28,37.12
2025-03-03,37.83
2025-03-04,38.56
2025-03-05,41.77
2025-03-06,40.39
2025-03-07,38.44
2025-03-10,31.33
2025-03-11,34.58
2025-03-12,34.42
2025-03-13,32.04
2025-03-14,35.66
2025-03-17,35.52
2025-03-18,33.66
2025-03-19,36.22
2025-03-20,35.08
2025-03-21,34.83
2025-03-24,38.45
2025-03-25,38.32
2025-03-26,36.88
2025-03-27,37.25
2025-03-28,34.37
2025-03-31,33.28
2025-04-01,35.38
2025-04-02,37.03
2025-04-03,32.69
2025-04-04,34.32
2025-04-07,29.41
2025-04-08,28.42
2025-04-09,32.49
2025-04-10,30.27
2025-04-11,33.54
2025-04-14,34.38
2025-04-15,33.63
2025-04-16,33.91
2025-04-17,34.29
2025-04-21,36.34
2025-04-22,39.77
2025-04-23,41.48
2025-04-24,41.54
2025-04-25,43.08
2025-04-28,42.45
2025-04-29,42.94
2025-04-30,41.78
2025-05-01,43.95
2025-05-02,44.26
2025-05-05,41.79
2025-05-06,42.33
2025-05-07,43.44
2025-05-08,48.0
2025-05-09,49.72
2025-05-12,48.4
2025-05-13,51.35
2025-05-14,49.77
2025-05-15,49.62
2025-05-16,50.48
2025-05-19,51.83
2025-05-20,53.39
2025-05-21,54.88
2025-05-22,57.47
2025-05-23,54.78
2025-05-27,55.9
2025-05-28,52.86
2025-05-29,51.47
2025-05-30,50.39
2025-06-02,49.69
2025-06-03,51.47
2025-06-04,50.12
2025-06-05,47.09
2025-06-06,49.3
2025-06-09,53.48
2025-06-10,54.32
2025-06-11,53.55
2025-06-12,51.53
2025-06-13,49.89
2025-06-16,53.27
2025-06-17,49.31
2025-06-18,48.36
2025-06-20,47.83
2025-06-23,47.83
2025-06-24,50.03
2025-06-25,52.02
2025-06-26,51.83
2025-06-27,51.02
2025-06-30,51.75
2025-07-01,49.28
2025-07-02,53.47
2025-07-03,53.12
2025-07-07,51.73
2025-07-08,52.45
2025-07-09,55.37
2025-07-10,56.94
2025-07-11,61.65
2025-07-14,63.41
2025-07-15,59.78
2025-07-16,62.67
2025-07-17,62.31
2025-07-18,60.48
2025-07-21,59.84
2025-07-22,62.5
2025-07-23,61.56
2025-07-24,62.13
2025-07-25,59.79
2025-07-28,61.0
2025-07-29,60.36
2025-07-30,59.67
2025-07-31,59.53
2025-08-01,54.72
2025-08-04,56.37
2025-08-05,55.33
2025-08-06,56.89
2025-08-07,59.17
2025-08-08,57.96
2025-08-11,60.46
2025-08-12,61.11
2025-08-13,64.41
2025-08-14,59.25
2025-08-15,58.07
2025-08-18,57.4
2025-08-19,54.11
2025-08-20,55.36
2025-08-21,53.3
2025-08-22,57.54
2025-08-25,51.72
2025-08-26,52.04
2025-08-27,52.84
2025-08-28,52.76
2025-08-29,49.19
2025-09-02,50.94
2025-09-03,52.33
2025-09-04,49.95
2025-09-05,51.57
2025-09-08,52.02
2025-09-09,51.31
2025-09-10,53.3
2025-09-11,54.19
2025-09-12,56.36
2025-09-15,54.81
2025-09-16,56.24
2025-09-17,55.06
2025-09-18,56.82
2025-09-19,54.46
2025-09-22,51.61
2025-09-23,51.09
2025-09-24,52.72
2025-09-25,48.9
2025-09-26,48.67
2025-09-29,53.36
2025-09-30,53.39
2025-10-01,55.87
2025-10-02,59.13
2025-10-03,60.93
2025-10-06,63.51
2025-10-07,59.6
2025-10-08,61.28
2025-10-09,58.91
2025-10-10,54.47
2025-10-13,53.88
2025-10-14,50.86
2025-10-15,49.52
2025-10-16,46.75
2025-10-17,45.27
2025-10-20,48.97
2025-10-21,49.84
2025-10-22,46.22
2025-10-23,48.29
2025-10-24,48.61
2025-10-27,52.35
2025-10-28,51.14
2025-10-29,48.38
2025-10-30,44.78
2025-10-31,47.55
2025-11-03,44.32
2025-11-04,39.48
2025-11-05,41.94
2025-11-06,39.45
2025-11-07,41.71
2025-11-10,43.5
2025-11-11,40.82
2025-11-12,39.77
2025-11-13,36.97
2025-11-14,34.13
2025-11-17,32.35
2025-11-18,33.04
2025-11-19,30.64
2025-11-20,28.48
2025-11-21,27.29
2025-11-24,30.21
2025-11-25,28.98
2025-11-26,30.68
2025-11-28,31.2
2025-12-01,27.24
2025-12-02,30.71
2025-12-03,31.98
2025-12-04,31.7
2025-12-05,29.46
2025-12-08,30.37
2025-12-09,31.94
2025-12-10,31.53
2025-12-11,31.02
2025-12-12,29.94
2025-12-15,26.93
2025-12-16,28.11
2025-12-17,26.95
2025-12-18,26.19
2025-12-19,28.19
2025-12-22,28.43
2025-12-23,27.96
2025-12-24,22.01
2025-12-26,22.11
2025-12-29,21.91
2025-12-30,22.28
2025-12-31,22.09
2026-01-02,23.21
2026-01-05,25.53
2026-01-06,24.55
2026-01-07,23.68
2026-01-08,23.65
2026-01-09,23.28
2026-01-12,23.92
2026-01-13,25.51
2026-01-14,27.25
2026-01-15,25.82
2026-01-16,25.94
2026-01-20,22.69
2026-01-21,22.98
2026-01-22,22.57
2026-01-23,22.59
2026-01-26,21.61
2026-01-27,22.48
2026-01-28,22.34
2026-01-29,19.8
2026-01-30,19.67
2026-02-02,16.81
2026-02-03,16.2
2026-02-04,14.9
2026-02-05,10.99
2026-02-06,13.13
2026-02-09,13.41
2026-02-10,12.65
2026-02-11,12.19
2026-02-12,11.38
2026-02-13,12.54
2026-02-17,12.17
2026-02-18,11.63
2026-02-19,11.95
2026-02-20,12.15
2026-02-23,10.98
2026-02-24,10.97
2026-02-25,12.56
2026-02-26,11.93
2026-02-27,11.26
2026-03-02,12.45
2026-03-03,12.1
2026-03-04,13.84
2026-03-05,13.12
2026-03-06,11.95
2026-03-09,12.29
2026-03-10,12.63
2026-03-11,12.86
2026-03-12,12.77
2026-03-13,13.03
2026-03-16,14.04
2026-03-17,14.26
2026-03-18,12.89
2026-03-19,12.6
2026-03-20,12.57
2026-03-23,12.74
2026-03-24,12.25
2026-03-25,12.77
2026-03-26,11.93
2026-03-27,11.03
2026-03-30,11.2
2026-03-31,11.64
2026-04-01,11.73
2026-04-02,11.33
2026-04-06,12.25
2026-04-07,11.98
2026-04-08,12.78
2026-04-09,13.07
2026-04-10,13.49
2026-04-13,13.52
2026-04-14,13.84
2026-04-15,14.14
2026-04-16,14.25
2026-04-17,15.03
2026-04-20,14.57
2026-04-21,14.05
2026-04-22,15.52
2026-04-23,15.07
2026-04-24,15.01
2026-04-27,14.69
2026-04-28,14.46
2026-04-29,14.15
2026-04-30,14.48
2026-05-01,15.23
2026-05-04,15.87
2026-05-05,16.48
2026-05-06,16.38
2026-05-07,15.83
2026-05-08,15.85
2026-05-11,16.54
2026-05-12,16.07
2026-05-13,15.58
2026-05-14,16.3
2026-05-15,15.33
2026-05-18,14.45
2026-05-19,14.44
2026-05-20,14.75
2026-05-21,14.74
2026-05-22,14.01
2026-05-26,14.06
2026-05-27,13.67
