date,close
2025-05-16,8.0
2025-05-19,3.2
2025-05-20,7.3625
2025-05-21,7.5
2025-05-22,7.2
2025-05-23,8.11
2025-05-27,8.11
2025-05-28,9.958
2025-05-29,11.0
2025-05-30,15.0
2025-06-02,13.415
2025-06-03,13.5
2025-06-04,19.0
2025-06-05,7.75
2025-06-06,7.545
2025-06-09,6.89
2025-06-10,6.75
2025-06-11,6.3001
2025-06-12,5.61
2025-06-13,4.96
2025-06-16,4.75
2025-06-17,4.82
2025-06-18,4.7
2025-06-20,4.61
2025-06-23,4.4
2025-06-24,4.42
2025-06-25,4.37
2025-06-26,4.42
2025-06-27,4.265
2025-06-30,33.9
2025-07-01,46.0
2025-07-02,58.5
2025-07-03,135.0
2025-07-07,107.48
2025-07-08,111.5
2025-07-09,66.72
2025-07-10,46.01
2025-07-11,40.62
2025-07-14,41.02
2025-07-15,39.96
2025-07-16,44.8
2025-07-17,41.9
2025-07-18,42.35
2025-07-21,39.57
2025-07-22,40.33
2025-07-23,39.5
2025-07-24,41.75
2025-07-25,39.8
2025-07-28,35.11
2025-07-29,32.0
2025-07-30,34.4
2025-07-31,34.64
2025-08-01,31.68
2025-08-04,31.13
2025-08-05,33.3
2025-08-06,38.47
2025-08-07,41.28
2025-08-08,51.43
2025-08-11,58.98
2025-08-12,62.44
2025-08-13,61.63
2025-08-14,60.45
2025-08-15,57.81
2025-08-18,54.87
2025-08-19,49.78
2025-08-20,52.06
2025-08-21,47.73
2025-08-22,53.49
2025-08-25,49.6
2025-08-26,49.95
2025-08-27,46.03
2025-08-28,45.57
2025-08-29,43.62
2025-09-02,42.49
2025-09-03,44.86
2025-09-04,42.19
2025-09-05,42.04
2025-09-08,43.79
2025-09-09,44.6
2025-09-10,45.6
2025-09-11,47.79
2025-09-12,55.09
2025-09-15,53.11
2025-09-16,55.93
2025-09-17,57.07
2025-09-18,59.96
2025-09-19,61.29
2025-09-22,55.1
2025-09-23,54.49
2025-09-24,51.92
2025-09-25,49.57
2025-09-26,50.5
2025-09-29,53.22
2025-09-30,51.93
2025-10-01,52.36
2025-10-02,56.5
2025-10-03,56.65
2025-10-06,63.22
2025-10-07,59.2
2025-10-08,60.0
2025-10-09,59.1
2025-10-10,52.47
2025-10-13,56.85
2025-10-14,52.92
2025-10-15,53.8
2025-10-16,51.08
2025-10-17,49.85
2025-10-20,53.8
2025-10-21,51.85
2025-10-22,48.03
2025-10-23,49.19
2025-10-24,50.41
2025-10-27,53.71
2025-10-28,52.54
2025-10-29,49.76
2025-10-30,44.55
2025-10-31,46.65
2025-11-03,42.86
2025-11-04,39.46
2025-11-05,41.42
2025-11-06,37.37
2025-11-07,40.23
2025-11-10,41.15
2025-11-11,39.59
2025-11-12,40.57
2025-11-13,36.57
2025-11-14,34.4
2025-11-17,30.95
2025-11-18,32.28
2025-11-19,29.18
2025-11-20,26.02
2025-11-21,26.0
2025-11-24,31.1
2025-11-25,28.91
2025-11-26,31.74
2025-11-28,33.12
2025-12-01,28.94
2025-12-02,31.91
2025-12-03,33.66
2025-12-04,36.32
2025-12-05,34.06
2025-12-08,35.84
2025-12-09,39.21
2025-12-10,40.4
2025-12-11,38.38
2025-12-12,34.86
2025-12-15,30.95
2025-12-16,31.39
2025-12-17,29.32
2025-12-18,28.43
2025-12-19,31.36
2025-12-22,31.09
2025-12-23,29.78
2025-12-24,29.35
2025-12-26,28.31
2025-12-29,28.54
2025-12-30,27.72
2025-12-31,27.15
2026-01-02,31.19
2026-01-05,33.35
2026-01-06,32.33
2026-01-07,30.36
2026-01-08,31.28
2026-01-09,30.06
