date,close
2019-06-21,80.49
2019-06-24,80.54
2019-06-25,80.59
2019-06-26,80.48
2019-06-27,80.56
2019-06-28,80.53
2019-07-01,80.36
2019-07-02,80.45
2019-07-03,80.47
2019-07-05,80.26
2019-07-08,80.21
2019-07-09,80.18
2019-07-10,80.31
2019-07-11,80.23
2019-07-12,80.3
2019-07-15,80.27
2019-07-16,80.23
2019-07-17,80.36
2019-07-18,80.49
2019-07-19,80.38
2019-07-22,80.43
2019-07-23,80.43
2019-07-24,80.44
2019-07-25,80.39
2019-07-26,80.36
2019-07-29,80.39
2019-07-30,80.4
2019-07-31,80.4
2019-08-01,80.53
2019-08-02,80.55
2019-08-05,80.76
2019-08-06,80.79
2019-08-07,80.8
2019-08-08,80.8
2019-08-09,80.74
2019-08-12,80.86
2019-08-13,80.74
2019-08-14,80.82
2019-08-15,81.01
2019-08-16,81.02
2019-08-19,80.94
2019-08-20,81.05
2019-08-21,80.98
2019-08-22,80.93
2019-08-23,81.08
2019-08-26,81.05
2019-08-27,81.15
2019-08-28,81.16
2019-08-29,81.12
2019-08-30,81.16
2019-09-03,81.07
2019-09-04,81.13
2019-09-05,80.94
2019-09-06,80.94
2019-09-09,80.83
2019-09-10,80.65
2019-09-11,80.62
2019-09-12,80.53
2019-09-13,80.39
2019-09-16,80.5
2019-09-17,80.56
2019-09-18,80.57
2019-09-19,80.58
2019-09-20,80.64
2019-09-23,80.71
2019-09-24,80.84
2019-09-25,80.65
2019-09-26,80.72
2019-09-27,80.74
2019-09-30,80.79
2019-10-01,80.77
2019-10-02,80.93
2019-10-03,81.14
2019-10-04,81.11
2019-10-07,81.03
2019-10-08,81.1
2019-10-09,81.02
2019-10-10,80.91
2019-10-11,80.78
2019-10-14,80.79
2019-10-15,80.72
2019-10-16,80.79
2019-10-17,80.8
2019-10-18,80.85
2019-10-21,80.77
2019-10-22,80.81
2019-10-23,80.81
2019-10-24,80.82
2019-10-25,80.76
2019-10-28,80.67
2019-10-29,80.68
2019-10-30,80.79
2019-10-31,80.97
2019-11-01,80.79
2019-11-04,80.67
2019-11-05,80.56
2019-11-06,80.64
2019-11-07,80.48
2019-11-08,80.5
2019-11-11,80.5
2019-11-12,80.51
2019-11-13,80.6
2019-11-14,80.67
2019-11-15,80.65
2019-11-18,80.74
2019-11-19,80.75
2019-11-20,80.77
2019-11-21,80.71
2019-11-22,80.7
2019-11-25,80.72
2019-11-26,80.78
2019-11-27,80.71
2019-11-29,80.75
2019-12-02,80.59
2019-12-03,80.75
2019-12-04,80.69
2019-12-05,80.63
2019-12-06,80.57
2019-12-09,80.59
2019-12-10,80.52
2019-12-11,80.64
2019-12-12,80.49
2019-12-13,80.64
2019-12-16,80.55
2019-12-17,80.57
2019-12-18,80.58
2019-12-19,80.63
2019-12-20,80.57
2019-12-23,80.41
2019-12-24,80.47
2019-12-26,80.47
2019-12-27,80.57
2019-12-30,80.63
2019-12-31,80.61
2020-01-02,80.67
2020-01-03,80.74
2020-01-06,80.71
2020-01-07,80.73
2020-01-08,80.67
2020-01-09,80.68
2020-01-10,80.72
2020-01-13,80.68
2020-01-14,80.7
2020-01-15,80.74
2020-01-16,80.73
2020-01-17,80.74
2020-01-21,80.83
2020-01-22,80.88
2020-01-23,80.94
2020-01-24,80.98
2020-01-27,81.1
2020-01-28,81.04
2020-01-29,81.17
2020-01-30,81.16
2020-01-31,81.33
2020-02-03,81.16
2020-02-04,81.03
2020-02-05,80.96
2020-02-06,80.96
2020-02-07,81.08
2020-02-10,81.12
2020-02-11,81.06
2020-02-12,81.0
2020-02-13,81.03
2020-02-14,81.09
2020-02-18,81.13
2020-02-19,81.1
2020-02-20,81.16
2020-02-21,81.25
2020-02-24,81.45
2020-02-25,81.52
2020-02-26,81.56
2020-02-27,81.67
2020-02-28,81.95
2020-03-02,81.87
2020-03-03,82.23
2020-03-04,82.33
2020-03-05,82.4
2020-03-06,82.51
2020-03-09,82.5
2020-03-10,82.08
2020-03-11,81.79
2020-03-12,81.57
2020-03-13,81.46
2020-03-16,81.03
2020-03-17,80.81
2020-03-18,79.99
2020-03-19,78.67
2020-03-20,80.23
2020-03-23,80.95
2020-03-24,81.22
2020-03-25,81.9
2020-03-26,81.86
2020-03-27,81.8
2020-03-30,81.95
2020-03-31,82.18
2020-04-01,81.85
2020-04-02,81.97
2020-04-03,81.78
2020-04-06,81.91
2020-04-07,81.98
2020-04-08,82.14
2020-04-09,82.57
2020-04-13,82.51
2020-04-14,82.61
2020-04-15,82.73
2020-04-16,82.7
2020-04-17,82.71
2020-04-20,82.6
2020-04-21,82.59
2020-04-22,82.55
2020-04-23,82.62
2020-04-24,82.58
2020-04-27,82.56
2020-04-28,82.57
2020-04-29,82.7
2020-04-30,82.68
2020-05-01,82.56
2020-05-04,82.57
2020-05-05,82.55
2020-05-06,82.56
2020-05-07,82.6
2020-05-08,82.63
2020-05-11,82.57
2020-05-12,82.66
2020-05-13,82.71
2020-05-14,82.72
2020-05-15,82.76
2020-05-18,82.71
2020-05-19,82.79
2020-05-20,82.85
2020-05-21,82.76
2020-05-22,82.84
2020-05-26,82.86
2020-05-27,82.88
2020-05-28,82.95
2020-05-29,83.01
2020-06-01,82.92
2020-06-02,82.91
2020-06-03,82.87
2020-06-04,82.82
2020-06-05,82.75
2020-06-08,82.77
2020-06-09,82.8
2020-06-10,82.96
2020-06-11,82.86
2020-06-12,82.85
2020-06-15,83.05
2020-06-16,83.0
2020-06-17,83.0
2020-06-18,82.98
2020-06-19,83.0
2020-06-22,83.01
2020-06-23,83.02
2020-06-24,83.03
2020-06-25,83.03
2020-06-26,83.06
2020-06-29,83.09
2020-06-30,83.12
2020-07-01,83.02
2020-07-02,83.08
2020-07-06,83.03
2020-07-07,83.06
2020-07-08,83.04
2020-07-09,83.04
2020-07-10,83.04
2020-07-13,83.05
2020-07-14,83.08
2020-07-15,83.09
2020-07-16,83.11
2020-07-17,83.13
2020-07-20,83.12
2020-07-21,83.17
2020-07-22,83.18
2020-07-23,83.14
2020-07-24,83.14
2020-07-27,83.12
2020-07-28,83.14
2020-07-29,83.2
2020-07-30,83.24
2020-07-31,83.3
2020-08-03,83.17
2020-08-04,83.21
2020-08-05,83.16
2020-08-06,83.19
2020-08-07,83.15
2020-08-10,83.18
2020-08-11,83.09
2020-08-12,83.07
2020-08-13,83.01
2020-08-14,83.05
2020-08-17,83.05
2020-08-18,83.11
2020-08-19,83.14
2020-08-20,83.14
2020-08-21,83.12
2020-08-24,83.11
2020-08-25,83.06
2020-08-26,83.09
2020-08-27,83.07
2020-08-28,83.13
2020-08-31,83.16
2020-09-01,83.09
2020-09-02,83.09
2020-09-03,83.08
2020-09-04,83.0
2020-09-08,83.01
2020-09-09,83.04
2020-09-10,83.03
2020-09-11,83.06
2020-09-14,83.06
2020-09-15,83.07
2020-09-16,83.07
2020-09-17,83.04
2020-09-18,83.04
2020-09-21,83.01
2020-09-22,83.04
2020-09-23,82.99
2020-09-24,82.96
2020-09-25,82.96
2020-09-28,83.04
