date,close
2019-06-21,90.08
2019-06-24,90.08
2019-06-25,88.4
2019-06-26,87.37
2019-06-27,87.2
2019-06-28,88.51
2019-07-01,88.43
2019-07-02,90.65
2019-07-03,93.93
2019-07-05,92.71
2019-07-08,91.68
2019-07-09,91.51
2019-07-10,91.35
2019-07-11,89.66
2019-07-12,86.94
2019-07-15,88.56
2019-07-16,88.01
2019-07-17,88.42
2019-07-18,89.34
2019-07-19,94.28
2019-07-22,94.97
2019-07-23,95.83
2019-07-24,95.56
2019-07-25,99.49
2019-07-26,100.49
2019-07-29,101.67
2019-07-30,101.58
2019-07-31,100.98
2019-08-01,100.46
2019-08-02,100.19
2019-08-05,98.19
2019-08-06,97.7
2019-08-07,98.17
2019-08-08,98.51
2019-08-09,98.22
2019-08-12,96.27
2019-08-13,95.67
2019-08-14,93.36
2019-08-15,93.63
2019-08-16,95.29
2019-08-19,95.92
2019-08-20,94.95
2019-08-21,95.87
2019-08-22,95.58
2019-08-23,94.19
2019-08-26,94.8
2019-08-27,92.99
2019-08-28,93.64
2019-08-29,95.26
2019-08-30,94.5
2019-09-03,93.96
2019-09-04,94.73
2019-09-05,93.25
2019-09-06,93.57
2019-09-09,95.78
2019-09-10,94.2
2019-09-11,94.27
2019-09-12,97.47
2019-09-13,96.4
2019-09-16,95.74
2019-09-17,96.97
2019-09-18,96.9
2019-09-19,94.98
2019-09-20,96.32
2019-09-23,96.34
2019-09-24,93.83
2019-09-25,94.61
2019-09-26,94.98
2019-09-27,94.42
2019-09-30,95.15
2019-10-01,93.34
2019-10-02,91.06
2019-10-03,91.9
2019-10-04,93.33
2019-10-07,93.0
2019-10-08,91.95
2019-10-09,92.53
2019-10-10,91.56
2019-10-11,92.31
2019-10-14,91.28
2019-10-15,92.08
2019-10-16,92.28
2019-10-17,93.28
2019-10-18,93.03
2019-10-21,93.43
2019-10-22,91.89
2019-10-23,91.46
2019-10-24,91.6
2019-10-25,81.83
2019-10-28,80.98
2019-10-29,80.33
2019-10-30,80.95
2019-10-31,80.77
2019-11-01,79.36
2019-11-04,79.42
2019-11-05,79.1
2019-11-06,79.33
2019-11-07,78.38
2019-11-08,78.48
2019-11-11,78.71
2019-11-12,79.08
2019-11-13,79.28
2019-11-14,79.11
2019-11-15,79.65
2019-11-18,80.05
2019-11-19,79.19
2019-11-20,78.43
2019-11-21,78.57
2019-11-22,79.08
2019-11-25,79.09
2019-11-26,79.05
2019-11-27,78.58
2019-11-29,79.35
2019-12-02,79.28
2019-12-03,78.92
2019-12-04,79.4
2019-12-05,78.63
2019-12-06,79.36
2019-12-09,78.9
2019-12-10,78.15
2019-12-11,78.77
2019-12-12,77.77
2019-12-13,77.91
2019-12-16,80.01
2019-12-17,79.51
2019-12-18,80.48
2019-12-19,80.51
2019-12-20,81.99
2019-12-23,81.86
2019-12-24,81.61
2019-12-26,82.37
2019-12-27,83.12
2019-12-30,82.38
2019-12-31,82.04
2020-01-02,83.45
2020-01-03,82.75
2020-01-06,83.33
2020-01-07,81.61
2020-01-08,81.98
2020-01-09,80.98
2020-01-10,81.49
2020-01-13,81.28
2020-01-14,80.01
2020-01-15,80.17
2020-01-16,79.67
2020-01-17,80.03
2020-01-21,78.81
2020-01-22,78.11
2020-01-23,78.26
2020-01-24,77.74
2020-01-27,75.58
2020-01-28,76.26
2020-01-29,75.97
2020-01-30,76.17
2020-01-31,75.3
2020-02-03,75.09
2020-02-04,76.29
2020-02-05,76.67
2020-02-06,76.57
2020-02-07,74.8
2020-02-10,74.59
2020-02-11,74.03
2020-02-12,74.06
2020-02-13,73.7
2020-02-14,73.45
2020-02-18,73.5
2020-02-19,73.6
2020-02-20,73.26
2020-02-21,71.6
2020-02-24,69.36
2020-02-25,66.92
2020-02-26,66.29
2020-02-27,60.21
2020-02-28,58.37
2020-03-02,58.6
2020-03-03,56.65
2020-03-04,57.81
2020-03-05,55.57
2020-03-06,53.8
2020-03-09,48.3
2020-03-10,51.13
2020-03-11,49.2
2020-03-12,44.01
2020-03-13,44.29
2020-03-16,37.2
2020-03-17,38.1
2020-03-18,35.18
2020-03-19,36.36
2020-03-20,40.3
2020-03-23,41.8
2020-03-24,43.93
2020-03-25,45.59
2020-03-26,46.3
2020-03-27,42.99
2020-03-30,42.87
2020-03-31,44.12
2020-04-01,43.05
2020-04-02,43.97
2020-04-03,43.46
2020-04-06,44.68
2020-04-07,46.77
2020-04-08,47.9
2020-04-09,48.9
2020-04-13,49.4
2020-04-14,48.07
2020-04-15,45.54
2020-04-16,45.5
2020-04-17,45.95
2020-04-20,44.59
2020-04-21,43.14
2020-04-22,41.61
2020-04-23,41.93
2020-04-24,41.91
2020-04-27,44.16
2020-04-28,46.85
2020-04-29,48.66
2020-04-30,46.52
2020-05-01,44.79
2020-05-04,42.39
2020-05-05,41.49
2020-05-06,42.63
2020-05-07,42.43
2020-05-08,43.34
2020-05-11,42.73
2020-05-12,41.51
2020-05-13,40.21
2020-05-14,39.52
2020-05-15,39.97
2020-05-18,43.11
2020-05-19,41.26
2020-05-20,42.18
2020-05-21,41.15
2020-05-22,40.9
2020-05-26,44.4
2020-05-27,47.14
2020-05-28,47.48
2020-05-29,46.88
2020-06-01,48.93
2020-06-02,49.57
2020-06-03,54.36
2020-06-04,55.03
2020-06-05,57.18
2020-06-08,57.92
2020-06-09,55.11
2020-06-10,53.59
2020-06-11,48.97
2020-06-12,51.48
2020-06-15,50.71
2020-06-16,52.21
2020-06-17,51.35
2020-06-18,51.78
2020-06-19,50.44
2020-06-22,50.88
2020-06-23,52.1
2020-06-24,48.92
2020-06-25,49.91
2020-06-26,48.05
2020-06-29,49.3
2020-06-30,49.3
2020-07-01,48.97
2020-07-02,50.11
2020-07-06,52.86
2020-07-07,52.53
2020-07-08,52.41
2020-07-09,51.01
2020-07-10,53.76
2020-07-13,52.45
2020-07-14,53.04
2020-07-15,54.16
2020-07-16,53.91
2020-07-17,53.85
2020-07-20,53.58
2020-07-21,55.45
2020-07-22,54.47
2020-07-23,54.55
2020-07-24,54.53
2020-07-27,54.08
2020-07-28,55.64
2020-07-29,56.7
2020-07-30,58.08
2020-07-31,54.43
2020-08-03,54.43
2020-08-04,55.72
2020-08-05,55.79
2020-08-06,54.88
2020-08-07,54.26
2020-08-10,54.55
2020-08-11,55.93
2020-08-12,56.93
2020-08-13,56.34
2020-08-14,56.22
2020-08-17,56.19
2020-08-18,57.24
2020-08-19,57.32
2020-08-20,56.75
2020-08-21,55.62
2020-08-24,57.34
2020-08-25,58.09
2020-08-26,59.33
2020-08-27,58.96
2020-08-28,59.16
2020-08-31,58.15
2020-09-01,57.62
2020-09-02,59.56
2020-09-03,58.96
2020-09-04,58.44
2020-09-08,55.74
2020-09-09,57.2
2020-09-10,56.88
2020-09-11,56.15
2020-09-14,56.25
2020-09-15,56.44
2020-09-16,57.05
2020-09-17,58.0
2020-09-18,57.56
2020-09-21,54.46
2020-09-22,54.34
2020-09-23,52.53
2020-09-24,52.88
2020-09-25,52.82
2020-09-28,54.38
2020-09-29,54.28
2020-09-30,53.88
2020-10-01,53.6
2020-10-02,54.0
2020-10-05,55.29
2020-10-06,56.82
2020-10-07,58.44
2020-10-08,59.63
2020-10-09,59.5
2020-10-12,59.97
2020-10-13,58.16
2020-10-14,57.33
2020-10-15,54.92
2020-10-16,55.42
2020-10-19,55.53
2020-10-20,56.92
2020-10-21,55.59
2020-10-22,56.17
2020-10-23,57.59
2020-10-26,56.67
2020-10-27,55.25
2020-10-28,53.02
2020-10-29,53.39
2020-10-30,51.91
2020-11-02,52.24
2020-11-03,53.85
2020-11-04,54.05
2020-11-05,56.22
2020-11-06,56.68
2020-11-09,62.52
2020-11-10,66.6
2020-11-11,66.99
2020-11-12,65.04
2020-11-13,66.36
2020-11-16,68.0
2020-11-17,66.55
2020-11-18,65.89
2020-11-19,65.97
2020-11-20,65.04
2020-11-23,66.34
2020-11-24,68.89
2020-11-25,67.99
2020-11-27,68.43
2020-11-30,66.68
2020-12-01,67.81
2020-12-02,68.0
2020-12-03,68.91
2020-12-04,70.54
2020-12-07,70.03
2020-12-08,69.82
2020-12-09,70.47
2020-12-10,70.76
2020-12-11,69.64
2020-12-14,70.0
2020-12-15,70.74
2020-12-16,70.18
2020-12-17,71.45
2020-12-18,71.5
2020-12-21,70.01
2020-12-22,69.65
2020-12-23,70.5
2020-12-24,70.55
2020-12-28,70.57
2020-12-29,70.99
2020-12-30,70.65
2020-12-31,69.91
2021-01-04,69.77
2021-01-05,70.75
2021-01-06,71.83
2021-01-07,71.2
2021-01-08,71.08
2021-01-11,69.11
2021-01-12,69.0
2021-01-13,69.07
2021-01-14,69.35
2021-01-15,68.64
2021-01-19,68.34
2021-01-20,68.3
2021-01-21,67.81
2021-01-22,66.61
2021-01-25,64.7
2021-01-26,65.14
2021-01-27,63.46
2021-01-28,65.02
2021-01-29,62.69
2021-02-01,63.88
2021-02-02,65.88
2021-02-03,65.45
2021-02-04,65.55
2021-02-05,65.63
2021-02-08,65.07
2021-02-09,64.7
2021-02-10,64.5
2021-02-11,63.74
2021-02-12,63.56
2021-02-16,64.73
2021-02-17,64.33
2021-02-18,63.9
2021-02-19,64.46
2021-02-22,64.35
2021-02-23,65.02
2021-02-24,65.25
2021-02-25,60.11
2021-02-26,57.73
2021-03-01,59.34
2021-03-02,59.18
2021-03-03,59.21
2021-03-04,60.42
2021-03-05,60.96
2021-03-08,61.32
2021-03-09,62.18
2021-03-10,63.36
2021-03-11,62.37
2021-03-12,62.87
2021-03-15,62.67
2021-03-16,61.85
2021-03-17,63.83
2021-03-18,62.76
2021-03-19,64.29
2021-03-22,63.39
2021-03-23,62.8
2021-03-24,62.04
2021-03-25,62.04
2021-03-26,63.31
2021-03-29,64.1
2021-03-30,63.98
2021-03-31,62.85
2021-04-01,63.79
2021-04-05,64.34
2021-04-06,63.9
2021-04-07,63.57
2021-04-08,65.14
2021-04-09,65.39
