date,close
2021-08-18,24.41
2021-08-19,24.95
2021-08-20,25.93
2021-08-23,27.85
2021-08-24,27.52
2021-08-25,27.7
2021-08-26,27.4
2021-08-27,28.52
2021-08-30,29.55
2021-08-31,28.5
2021-09-01,28.62
2021-09-02,28.44
2021-09-03,28.85
2021-09-07,29.4
2021-09-08,28.23
2021-09-09,27.89
2021-09-10,27.6
2021-09-13,27.2
2021-09-14,26.9
2021-09-15,27.35
2021-09-16,27.66
2021-09-17,26.94
2021-09-20,25.05
2021-09-21,25.06
2021-09-22,26.02
2021-09-23,27.12
2021-09-24,27.3
2021-09-27,27.08
2021-09-28,24.5
2021-09-29,23.88
2021-09-30,24.03
2021-10-01,24.8
2021-10-04,22.84
2021-10-05,23.93
2021-10-06,24.45
2021-10-07,25.06
2021-10-08,24.49
2021-10-11,23.93
2021-10-12,23.79
2021-10-13,24.65
2021-10-14,26.06
2021-10-15,26.5
2021-10-18,27.69
2021-10-19,28.05
2021-10-20,27.62
2021-10-21,28.35
2021-10-22,26.97
2021-10-25,28.48
2021-10-26,28.66
2021-10-27,28.49
2021-10-28,29.64
2021-10-29,30.1
2021-11-01,31.06
2021-11-02,31.06
2021-11-03,32.31
2021-11-04,33.8
2021-11-05,33.04
2021-11-08,33.8
2021-11-09,32.12
2021-11-10,30.16
2021-11-11,30.76
2021-11-12,32.06
2021-11-15,32.29
2021-11-16,33.2
2021-11-17,32.76
2021-11-18,33.69
2021-11-19,34.61
2021-11-22,32.9
2021-11-23,31.21
2021-11-24,32.21
2021-11-26,31.2
2021-11-29,32.69
2021-11-30,30.92
2021-12-01,27.61
2021-12-02,28.44
2021-12-03,25.89
2021-12-06,26.32
2021-12-07,29.09
2021-12-08,29.79
2021-12-09,27.73
2021-12-10,27.81
2021-12-13,26.25
2021-12-14,25.49
2021-12-15,27.52
2021-12-16,25.13
2021-12-17,25.21
2021-12-20,24.0
2021-12-21,26.63
2021-12-22,27.39
2021-12-23,28.26
2021-12-27,29.68
2021-12-28,29.0
2021-12-29,28.86
2021-12-30,28.36
2021-12-31,27.49
2022-01-03,29.52
2022-01-04,28.06
2022-01-05,25.15
2022-01-06,25.0
2022-01-07,23.79
2022-01-10,24.03
2022-01-11,25.3
2022-01-12,25.54
2022-01-13,23.25
2022-01-14,23.97
2022-01-18,21.85
2022-01-19,20.77
2022-01-20,19.44
2022-01-21,17.08
2022-01-24,16.97
2022-01-25,15.49
2022-01-26,15.48
2022-01-27,14.48
2022-01-28,15.71
2022-01-31,18.2
2022-02-01,18.91
2022-02-02,18.16
2022-02-03,14.99
2022-02-04,15.93
2022-02-07,15.17
2022-02-08,15.69
2022-02-09,17.14
2022-02-10,15.91
2022-02-11,14.08
2022-02-14,14.29
2022-02-15,15.81
2022-02-16,15.32
2022-02-17,13.61
2022-02-18,12.88
2022-02-22,12.34
2022-02-23,11.16
2022-02-24,12.72
2022-02-25,14.07
2022-02-28,14.65
2022-03-01,13.5
2022-03-02,14.26
2022-03-03,12.9
2022-03-04,11.99
2022-03-07,10.17
2022-03-08,10.26
2022-03-09,11.72
2022-03-10,11.18
2022-03-11,10.26
2022-03-14,9.28
2022-03-15,10.38
2022-03-16,12.09
2022-03-17,12.89
2022-03-18,14.19
2022-03-21,13.9
2022-03-22,14.86
2022-03-23,13.86
2022-03-24,14.97
2022-03-25,14.79
2022-03-28,15.71
2022-03-29,16.84
2022-03-30,15.84
2022-03-31,14.74
2022-04-01,14.53
2022-04-04,15.99
2022-04-05,14.54
2022-04-06,13.07
2022-04-07,12.99
2022-04-08,12.22
2022-04-11,11.32
2022-04-12,11.1
2022-04-13,11.6
2022-04-14,10.53
2022-04-18,10.66
2022-04-19,11.54
2022-04-20,9.76
2022-04-21,8.79
2022-04-22,8.08
2022-04-25,8.42
2022-04-26,7.22
2022-04-27,7.07
2022-04-28,8.26
2022-04-29,7.21
2022-05-02,7.74
2022-05-03,7.76
2022-05-04,8.65
2022-05-05,7.08
2022-05-06,6.82
2022-05-09,5.74
2022-05-10,6.01
2022-05-11,5.23
2022-05-12,5.25
2022-05-13,6.08
2022-05-16,5.79
2022-05-17,6.38
2022-05-18,5.45
2022-05-19,5.46
2022-05-20,5.32
2022-05-23,5.51
2022-05-24,4.9
2022-05-25,5.18
2022-05-26,5.7
2022-05-27,6.41
2022-05-31,6.36
2022-06-01,6.24
2022-06-02,7.08
2022-06-03,6.32
2022-06-06,6.37
2022-06-07,6.52
2022-06-08,6.36
2022-06-09,5.73
2022-06-10,4.9
2022-06-13,3.96
2022-06-14,3.93
2022-06-15,4.31
2022-06-16,3.66
