date,close
2023-06-21,12.42
2023-06-22,12.52
2023-06-23,12.91
2023-06-26,11.95
2023-06-27,12.41
2023-06-28,12.53
2023-06-29,12.97
2023-06-30,12.98
2023-07-03,13.17
2023-07-05,13.81
2023-07-06,13.63
2023-07-07,14.78
2023-07-10,14.86
2023-07-11,15.46
2023-07-12,17.55
2023-07-13,17.67
2023-07-14,17.04
2023-07-17,16.81
2023-07-18,16.55
2023-07-19,17.01
2023-07-20,15.46
2023-07-21,15.17
2023-07-24,15.47
2023-07-25,15.53
2023-07-26,16.3
2023-07-27,15.275
2023-07-28,15.87
2023-07-31,17.2
2023-08-01,16.94
2023-08-02,15.79
2023-08-03,15.96
2023-08-04,15.74
2023-08-07,15.28
2023-08-08,13.1
2023-08-09,12.82
2023-08-10,13.02
2023-08-11,12.99
2023-08-14,12.93
2023-08-15,12.43
2023-08-16,12.29
2023-08-17,12.08
2023-08-18,12.1
2023-08-21,11.66
2023-08-22,11.55
2023-08-23,11.47
2023-08-24,11.36
2023-08-25,11.55
2023-08-28,11.98
2023-08-29,12.11
2023-08-30,12.39
2023-08-31,11.8
2023-09-01,12.04
2023-09-05,11.77
2023-09-06,11.45
2023-09-07,11.29
2023-09-08,10.94
2023-09-11,10.75
2023-09-12,10.82
2023-09-13,10.28
2023-09-14,10.48
2023-09-15,10.35
2023-09-18,10.18
2023-09-19,10.24
2023-09-20,10.25
2023-09-21,9.86
2023-09-22,9.56
2023-09-25,9.4
2023-09-26,9.37
2023-09-27,9.5
2023-09-28,9.45
2023-09-29,9.62
2023-10-02,9.24
2023-10-03,8.7
2023-10-04,8.48
2023-10-05,8.19
2023-10-06,8.26
2023-10-09,8.0
2023-10-10,8.56
2023-10-11,8.84
2023-10-12,8.32
2023-10-13,8.64
2023-10-16,8.8
2023-10-17,8.4
2023-10-18,8.14
2023-10-19,7.43
2023-10-20,6.835
2023-10-23,6.29
2023-10-24,6.14
2023-10-25,5.69
2023-10-26,5.68
2023-10-27,5.97
2023-10-30,5.88
2023-10-31,5.97
2023-11-01,5.91
2023-11-02,7.0
2023-11-03,6.99
2023-11-06,6.88
2023-11-07,6.97
2023-11-08,6.62
2023-11-09,6.79
2023-11-10,6.91
2023-11-13,6.39
2023-11-14,6.74
2023-11-15,7.24
2023-11-16,6.88
2023-11-17,6.68
2023-11-20,6.67
2023-11-21,6.33
2023-11-22,6.6
2023-11-24,6.76
2023-11-27,6.46
2023-11-28,6.68
2023-11-29,6.88
2023-11-30,7.29
2023-12-01,7.57
2023-12-04,8.61
2023-12-05,8.85
2023-12-06,9.66
2023-12-07,9.1
2023-12-08,9.09
2023-12-11,9.94
2023-12-12,10.55
2023-12-13,10.43
2023-12-14,10.54
2023-12-15,9.99
2023-12-18,9.9
2023-12-19,10.04
2023-12-20,9.21
2023-12-21,9.38
2023-12-22,8.95
2023-12-26,8.81
2023-12-27,8.7
2023-12-28,8.72
2023-12-29,8.9
2024-01-02,8.19
2024-01-03,8.26
2024-01-04,8.35
2024-01-05,8.44
2024-01-08,8.55
2024-01-09,8.13
2024-01-10,8.24
2024-01-11,7.74
2024-01-12,7.57
2024-01-16,7.29
2024-01-17,7.28
2024-01-18,7.39
2024-01-19,7.32
2024-01-22,7.235
2024-01-23,6.82
2024-01-24,6.85
2024-01-25,7.05
2024-01-26,7.15
2024-01-29,7.09
2024-01-30,6.82
2024-01-31,6.62
2024-02-01,6.69
2024-02-02,6.43
2024-02-05,6.13
2024-02-06,6.12
2024-02-07,6.21
2024-02-08,6.57
2024-02-09,7.13
2024-02-12,6.93
2024-02-13,6.5
2024-02-14,6.66
2024-02-15,7.26
2024-02-16,7.07
2024-02-20,7.18
2024-02-21,7.33
2024-02-22,7.58
2024-02-23,7.81
2024-02-26,7.45
2024-02-27,7.52
2024-02-28,9.83
2024-02-29,10.69
2024-03-01,9.77
2024-03-04,8.51
2024-03-05,8.385
2024-03-06,8.07
2024-03-07,7.98
2024-03-08,8.15
2024-03-11,7.9
2024-03-12,8.2
2024-03-13,8.87
2024-03-14,8.23
2024-03-15,8.5
