date,close
2019-06-21,44.21
2019-06-24,43.41
2019-06-25,43.58
2019-06-26,43.03
2019-06-27,43.92
2019-06-28,43.72
2019-07-01,43.1
2019-07-02,42.96
2019-07-03,43.31
2019-07-05,44.01
2019-07-08,43.36
2019-07-09,42.96
2019-07-10,42.65
2019-07-11,42.62
2019-07-12,42.97
2019-07-15,43.83
2019-07-16,43.87
2019-07-17,44.04
2019-07-18,44.13
2019-07-19,43.95
2019-07-22,43.38
2019-07-23,43.93
2019-07-24,44.32
2019-07-25,43.7
2019-07-26,43.85
2019-07-29,44.58
2019-07-30,44.5
2019-07-31,43.08
2019-08-01,44.24
2019-08-02,42.38
2019-08-05,41.96
2019-08-06,40.95
2019-08-07,40.58
2019-08-08,41.25
2019-08-09,40.05
2019-08-12,39.02
2019-08-13,39.17
2019-08-14,37.42
2019-08-15,36.24
2019-08-16,36.49
2019-08-19,36.91
2019-08-20,36.47
2019-08-21,35.9
2019-08-22,37.7
2019-08-23,37.26
2019-08-26,36.99
2019-08-27,36.38
2019-08-28,37.31
2019-08-29,37.98
2019-08-30,37.99
2019-09-03,38.7
2019-09-04,38.76
2019-09-05,39.64
2019-09-06,39.98
2019-09-09,42.01
2019-09-10,43.29
2019-09-11,43.31
2019-09-12,42.16
2019-09-13,42.58
2019-09-16,43.0
2019-09-17,42.63
2019-09-18,42.44
2019-09-19,40.69
2019-09-20,40.03
2019-09-23,40.09
2019-09-24,40.05
2019-09-25,40.37
2019-09-26,40.85
2019-09-27,40.89
2019-09-30,41.68
2019-10-01,41.42
2019-10-02,40.98
2019-10-03,40.69
2019-10-04,39.64
2019-10-07,39.49
2019-10-08,38.49
2019-10-09,38.43
2019-10-10,38.57
2019-10-11,39.07
2019-10-14,37.95
2019-10-15,38.31
2019-10-16,38.4
2019-10-17,38.46
2019-10-18,38.545
2019-10-21,39.48
2019-10-22,40.25
2019-10-23,40.97
2019-10-24,40.05
2019-10-25,41.97
2019-10-28,42.04
2019-10-29,43.78
2019-10-30,41.7
2019-10-31,41.79
2019-11-01,41.96
2019-11-04,43.25
