date,close
2022-08-09,21.0704
2022-08-10,23.2863
2022-08-11,19.53
2022-08-12,21.7953
2022-08-15,22.3497
2022-08-16,21.8082
2022-08-17,19.9703
2022-08-18,19.2697
2022-08-19,16.0451
2022-08-22,15.1668
2022-08-23,15.1241
2022-08-24,15.1697
2022-08-25,15.0937
2022-08-26,13.6691
2022-08-29,13.5494
2022-08-30,13.7294
2022-08-31,13.6709
2022-09-01,13.2325
2022-09-02,13.18
2022-09-06,12.45
2022-09-07,14.02
2022-09-08,15.49
2022-09-09,17.9963
2022-09-12,18.5592
2022-09-13,16.07
2022-09-14,17.22
2022-09-15,16.73
2022-09-16,15.59
2022-09-19,14.37
2022-09-20,13.76
2022-09-21,13.61
2022-09-22,12.2
2022-09-23,11.87
2022-09-26,12.0297
2022-09-27,12.2145
2022-09-28,13.4488
2022-09-29,11.8767
2022-09-30,12.5334
2022-10-03,12.9655
2022-10-04,15.48
2022-10-05,15.0112
2022-10-06,15.2967
2022-10-07,13.12
2022-10-10,13.163
2022-10-11,14.06
2022-10-12,13.9951
2022-10-13,13.764
2022-10-14,12.11
2022-10-17,13.6199
2022-10-18,12.81
2022-10-19,11.92
2022-10-20,11.9718
2022-10-21,12.73
2022-10-24,12.7183
2022-10-25,15.22
2022-10-26,14.84
2022-10-27,14.5
2022-10-28,14.3259
2022-10-31,12.64
2022-11-01,11.81
2022-11-02,11.08
2022-11-03,9.75
2022-11-04,10.61
2022-11-07,10.03
2022-11-08,8.33
2022-11-09,7.17
2022-11-10,8.38
2022-11-11,9.99
2022-11-14,8.87
2022-11-15,9.4111
2022-11-16,7.72
2022-11-17,7.69
2022-11-18,6.88
2022-11-21,5.95
2022-11-22,6.3551
2022-11-23,6.88
2022-11-25,6.58
2022-11-28,6.19
2022-11-29,6.3222
2022-11-30,6.8845
2022-12-01,6.77
2022-12-02,7.3208
2022-12-05,6.94
2022-12-06,6.13
2022-12-07,5.89
2022-12-08,6.208
2022-12-09,5.66
2022-12-12,6.13
2022-12-13,5.29
2022-12-14,5.6041
2022-12-15,5.15
2022-12-16,4.86
2022-12-19,4.565
2022-12-20,4.5305
2022-12-21,4.57
2022-12-22,4.4496
2022-12-23,4.6187
2022-12-27,4.07
2022-12-28,4.0464
2022-12-29,4.4644
2022-12-30,4.5764
2023-01-03,4.24
2023-01-04,5.06
2023-01-05,4.19
2023-01-06,4.1155
2023-01-09,5.07
2023-01-10,6.03
2023-01-11,6.12
