date,close
2021-03-11,49.25
2021-03-12,48.47
2021-03-15,50.45
2021-03-16,47.13
2021-03-17,43.29
2021-03-18,43.89
2021-03-19,44.89
2021-03-22,44.86
2021-03-23,46.0
2021-03-24,43.79
2021-03-25,43.7
2021-03-26,43.53
2021-03-29,46.01
2021-03-30,48.75
2021-03-31,49.35
2021-04-01,47.31
2021-04-05,45.94
2021-04-06,46.57
2021-04-07,45.33
2021-04-08,45.58
2021-04-09,45.85
2021-04-12,45.22
2021-04-13,47.1
2021-04-14,45.71
2021-04-15,45.8
2021-04-16,45.9
2021-04-19,45.72
2021-04-20,42.62
2021-04-21,41.98
2021-04-22,42.81
2021-04-23,45.56
2021-04-26,45.67
2021-04-27,45.54
2021-04-28,43.71
2021-04-29,42.56
2021-04-30,41.9
2021-05-03,42.06
2021-05-04,41.49
2021-05-05,41.26
2021-05-06,40.23
2021-05-07,38.93
2021-05-10,37.07
2021-05-11,36.25
2021-05-12,35.33
2021-05-13,32.04
2021-05-14,36.43
2021-05-17,35.18
2021-05-18,37.25
2021-05-19,37.06
2021-05-20,38.74
2021-05-21,38.01
2021-05-24,40.5
2021-05-25,40.14
2021-05-26,41.8
2021-05-27,41.0
2021-05-28,40.79
2021-06-01,41.31
2021-06-02,40.84
2021-06-03,39.52
2021-06-04,38.89
2021-06-07,38.58
2021-06-08,38.19
2021-06-09,37.78
2021-06-10,38.06
2021-06-11,38.6
2021-06-14,38.51
2021-06-15,38.82
2021-06-16,38.67
2021-06-17,39.73
2021-06-18,39.41
2021-06-21,39.44
2021-06-22,40.02
2021-06-23,39.64
2021-06-24,38.17
2021-06-25,37.4
2021-06-28,38.25
2021-06-29,42.16
2021-06-30,41.82
2021-07-01,41.52
2021-07-02,40.46
2021-07-06,39.95
2021-07-07,40.03
2021-07-08,40.0
2021-07-09,42.13
2021-07-12,43.08
2021-07-13,44.54
2021-07-14,44.06
2021-07-15,42.25
2021-07-16,40.19
2021-07-19,39.9
2021-07-20,38.83
2021-07-21,39.65
2021-07-22,38.56
2021-07-23,38.61
2021-07-26,37.19
2021-07-27,37.54
2021-07-28,38.39
2021-07-29,37.57
2021-07-30,36.32
2021-08-02,36.74
2021-08-03,38.03
2021-08-04,39.37
2021-08-05,40.06
2021-08-06,38.8
2021-08-09,39.49
2021-08-10,36.7
2021-08-11,37.2
2021-08-12,34.13
2021-08-13,33.87
2021-08-16,33.22
2021-08-17,33.63
2021-08-18,32.37
2021-08-19,31.73
2021-08-20,31.29
2021-08-23,30.55
2021-08-24,31.78
2021-08-25,30.86
2021-08-26,30.93
2021-08-27,29.99
2021-08-30,30.09
2021-08-31,29.96
2021-09-01,31.29
2021-09-02,29.85
2021-09-03,29.65
2021-09-07,32.55
2021-09-08,31.35
2021-09-09,30.25
2021-09-10,29.98
2021-09-13,30.52
2021-09-14,29.87
2021-09-15,29.39
2021-09-16,29.41
2021-09-17,29.72
2021-09-20,29.14
2021-09-21,28.87
2021-09-22,28.45
2021-09-23,29.07
2021-09-24,28.31
2021-09-27,28.79
2021-09-28,28.11
2021-09-29,28.23
2021-09-30,27.85
2021-10-01,27.22
2021-10-04,26.05
2021-10-05,27.03
2021-10-06,26.65
2021-10-07,27.51
2021-10-08,28.1
2021-10-11,26.76
2021-10-12,26.18
2021-10-13,26.44
2021-10-14,27.26
2021-10-15,27.59
2021-10-18,27.55
2021-10-19,28.43
2021-10-20,28.83
2021-10-21,29.15
2021-10-22,29.0
2021-10-25,29.24
2021-10-26,29.86
2021-10-27,29.63
2021-10-28,29.82
2021-10-29,29.76
2021-11-01,30.23
2021-11-02,30.14
2021-11-03,30.4
2021-11-04,30.45
2021-11-05,29.93
2021-11-08,30.19
2021-11-09,29.7
2021-11-10,29.86
2021-11-11,29.19
2021-11-12,26.58
2021-11-15,28.15
2021-11-16,29.79
2021-11-17,28.34
2021-11-18,27.42
2021-11-19,27.16
2021-11-22,26.51
2021-11-23,25.69
2021-11-24,26.78
2021-11-26,27.39
2021-11-29,26.95
2021-11-30,26.5
2021-12-01,26.0
2021-12-02,26.15
2021-12-03,26.55
2021-12-06,26.07
2021-12-07,27.36
2021-12-08,28.05
2021-12-09,27.52
2021-12-10,26.76
2021-12-13,27.24
2021-12-14,27.36
2021-12-15,26.82
2021-12-16,26.97
2021-12-17,29.15
2021-12-20,28.17
2021-12-21,29.99
2021-12-22,29.49
2021-12-23,30.23
2021-12-27,29.42
2021-12-28,29.52
2021-12-29,28.93
2021-12-30,29.58
2021-12-31,29.38
2022-01-03,28.72
2022-01-04,26.41
2022-01-05,25.61
2022-01-06,25.66
2022-01-07,25.97
2022-01-10,24.12
2022-01-11,25.05
2022-01-12,23.44
2022-01-13,22.42
2022-01-14,21.21
2022-01-18,20.61
2022-01-19,20.49
2022-01-20,19.99
2022-01-21,18.1
2022-01-24,18.35
2022-01-25,18.74
2022-01-26,18.85
2022-01-27,18.99
2022-01-28,18.92
2022-01-31,20.82
2022-02-01,21.3
2022-02-02,21.03
2022-02-03,19.99
2022-02-04,20.84
2022-02-07,20.9
2022-02-08,21.55
2022-02-09,22.5
2022-02-10,23.19
2022-02-11,22.55
2022-02-14,22.86
2022-02-15,23.68
2022-02-16,23.14
2022-02-17,23.27
2022-02-18,22.99
2022-02-22,21.93
2022-02-23,22.64
2022-02-24,23.64
2022-02-25,25.0
2022-02-28,26.52
2022-03-01,25.46
2022-03-02,25.41
2022-03-03,25.47
2022-03-04,21.1
2022-03-07,19.72
2022-03-08,20.54
2022-03-09,22.7
2022-03-10,18.94
2022-03-11,17.42
2022-03-14,16.12
2022-03-15,15.45
2022-03-16,18.09
2022-03-17,19.2
2022-03-18,19.24
2022-03-21,18.85
2022-03-22,19.7
