date,close
2019-06-21,42.86
2019-06-24,43.72
2019-06-25,43.2
2019-06-26,44.63
2019-06-27,44.81
2019-06-28,45.82
2019-07-01,45.46
2019-07-02,44.64
2019-07-03,44.98
2019-07-05,45.46
2019-07-08,43.7
2019-07-09,43.43
2019-07-10,43.94
2019-07-11,42.1
2019-07-12,45.35
2019-07-15,46.44
2019-07-16,46.1
2019-07-17,45.52
2019-07-18,44.75
2019-07-19,46.52
2019-07-22,45.27
2019-07-23,47.51
2019-07-24,50.27
2019-07-25,49.11
2019-07-26,49.97
2019-07-29,50.08
2019-07-30,49.17
2019-07-31,49.48
2019-08-01,47.65
2019-08-02,44.16
2019-08-05,40.72
2019-08-06,40.92
2019-08-07,39.36
2019-08-08,39.66
2019-08-09,37.84
2019-08-12,33.78
2019-08-13,34.84
2019-08-14,32.67
2019-08-15,31.51
2019-08-16,33.48
2019-08-19,34.04
2019-08-20,32.61
2019-08-21,33.3
2019-08-22,34.45
2019-08-23,32.88
2019-08-26,33.51
2019-08-27,31.86
2019-08-28,34.11
2019-08-29,36.33
2019-08-30,37.44
2019-09-03,35.36
2019-09-04,36.39
2019-09-05,39.08
2019-09-06,39.65
2019-09-09,44.62
2019-09-10,46.85
2019-09-11,48.42
2019-09-12,48.18
2019-09-13,48.36
2019-09-16,47.03
2019-09-17,46.86
2019-09-18,45.04
2019-09-19,44.61
2019-09-20,42.58
2019-09-23,42.1
2019-09-24,41.66
2019-09-25,41.9
2019-09-26,41.51
2019-09-27,40.95
2019-09-30,40.88
2019-10-01,38.43
2019-10-02,37.49
2019-10-03,36.78
2019-10-04,36.44
2019-10-07,35.13
2019-10-08,33.05
2019-10-09,33.09
2019-10-10,32.9
2019-10-11,34.72
2019-10-14,35.61
2019-10-15,36.35
2019-10-16,34.9
2019-10-17,33.64
2019-10-18,33.51
2019-10-21,33.36
2019-10-22,34.35
2019-10-23,33.89
2019-10-24,32.75
2019-10-25,32.49
2019-10-28,33.33
2019-10-29,33.87
2019-10-30,33.41
2019-10-31,31.86
2019-11-01,33.7
2019-11-04,35.14
2019-11-05,36.12
2019-11-06,36.69
2019-11-07,37.6
2019-11-08,38.37
2019-11-11,36.11
2019-11-12,34.99
2019-11-13,34.5
2019-11-14,32.76
2019-11-15,31.55
2019-11-18,29.89
2019-11-19,28.55
2019-11-20,27.04
2019-11-21,26.97
2019-11-22,27.33
2019-11-25,29.54
2019-11-26,28.9
2019-11-27,29.32
2019-11-29,28.43
2019-12-02,28.71
2019-12-03,28.4
2019-12-04,27.9
2019-12-05,27.85
2019-12-06,29.1
2019-12-09,28.99
2019-12-10,27.9
2019-12-11,27.78
2019-12-12,29.84
2019-12-13,28.85
2019-12-16,29.29
2019-12-17,30.48
2019-12-18,31.21
2019-12-19,31.44
2019-12-20,33.25
2019-12-23,33.24
2019-12-24,33.13
2019-12-26,32.89
2019-12-27,32.42
2019-12-30,32.21
2019-12-31,33.16
2020-01-02,33.88
2020-01-03,31.64
2020-01-06,31.72
2020-01-07,31.14
2020-01-08,31.36
2020-01-09,30.12
2020-01-10,29.41
2020-01-13,29.11
2020-01-14,29.4
2020-01-15,29.07
2020-01-16,30.51
2020-01-17,31.07
2020-01-21,31.0
2020-01-22,31.95
2020-01-23,32.11
2020-01-24,29.36
2020-01-27,27.73
2020-01-28,27.86
2020-01-29,28.79
2020-01-30,28.2
2020-01-31,26.52
2020-02-03,26.53
2020-02-04,26.23
2020-02-05,27.71
2020-02-06,26.65
2020-02-07,25.09
2020-02-10,23.96
2020-02-11,24.41
2020-02-12,25.08
2020-02-13,25.19
2020-02-14,23.81
2020-02-18,22.31
2020-02-19,21.01
2020-02-20,21.64
2020-02-21,20.56
2020-02-24,19.83
2020-02-25,17.92
2020-02-26,17.85
2020-02-27,16.69
2020-02-28,17.28
2020-03-02,15.37
2020-03-03,13.7
2020-03-04,16.17
2020-03-05,14.96
2020-03-06,14.9
2020-03-09,13.95
2020-03-10,15.3
2020-03-11,14.31
2020-03-12,12.39
2020-03-13,15.28
2020-03-16,13.13
2020-03-17,11.81
2020-03-18,8.16
2020-03-19,8.91
2020-03-20,9.48
2020-03-23,10.1
2020-03-24,10.57
