date,close
2025-06-05,83.23
2025-06-06,107.7
2025-06-09,115.25
2025-06-10,105.91
2025-06-11,117.2
2025-06-12,106.54
2025-06-13,133.56
2025-06-16,151.06
2025-06-17,149.15
2025-06-18,199.59
2025-06-20,240.28
2025-06-23,263.45
2025-06-24,222.65
2025-06-25,198.62
2025-06-26,213.63
2025-06-27,180.43
2025-06-30,181.29
2025-07-01,192.53
2025-07-02,177.97
2025-07-03,188.77
2025-07-07,207.46
2025-07-08,204.81
2025-07-09,200.68
2025-07-10,202.9
2025-07-11,187.33
2025-07-14,204.7
2025-07-15,195.33
2025-07-16,233.2
2025-07-17,235.08
2025-07-18,223.78
2025-07-21,216.1
2025-07-22,198.31
2025-07-23,202.41
2025-07-24,193.08
2025-07-25,192.86
2025-07-28,185.36
2025-07-29,181.64
2025-07-30,190.5
2025-07-31,183.52
2025-08-01,168.1
2025-08-04,164.82
2025-08-05,153.93
2025-08-06,161.71
2025-08-07,152.93
2025-08-08,159.03
2025-08-11,161.17
2025-08-12,163.21
2025-08-13,153.16
2025-08-14,139.23
2025-08-15,149.26
2025-08-18,141.58
2025-08-19,135.23
2025-08-20,137.81
2025-08-21,131.8
2025-08-22,135.04
2025-08-25,125.24
2025-08-26,129.05
2025-08-27,127.4
2025-08-28,130.94
2025-08-29,131.98
2025-09-02,120.14
2025-09-03,118.46
2025-09-04,117.49
2025-09-05,114.56
2025-09-08,112.46
2025-09-09,117.99
2025-09-10,113.69
2025-09-11,133.7
2025-09-12,125.32
2025-09-15,134.05
2025-09-16,134.81
2025-09-17,131.04
2025-09-18,140.42
2025-09-19,144.14
2025-09-22,137.64
2025-09-23,130.97
2025-09-24,131.58
2025-09-25,124.66
2025-09-26,126.99
2025-09-29,133.66
2025-09-30,132.58
2025-10-01,129.03
2025-10-02,149.72
2025-10-03,145.78
2025-10-06,148.51
2025-10-07,148.72
2025-10-08,150.46
2025-10-09,150.48
2025-10-10,132.94
2025-10-13,137.47
2025-10-14,134.46
2025-10-15,134.48
2025-10-16,128.46
2025-10-17,126.49
2025-10-20,130.81
2025-10-21,129.85
2025-10-22,124.79
2025-10-23,129.86
2025-10-24,142.05
2025-10-27,143.29
2025-10-28,136.11
2025-10-29,131.74
2025-10-30,122.71
2025-10-31,126.98
2025-11-03,117.86
2025-11-04,111.25
2025-11-05,113.03
2025-11-06,100.01
2025-11-07,103.14
2025-11-10,104.1
2025-11-11,98.3
2025-11-12,86.3
2025-11-13,82.34
2025-11-14,81.89
2025-11-17,76.59
2025-11-18,76.6
2025-11-19,69.72
2025-11-20,66.93
2025-11-21,71.33
2025-11-24,72.74
2025-11-25,70.11
2025-11-26,72.64
2025-11-28,79.93
2025-12-01,75.94
2025-12-02,77.44
2025-12-03,86.29
2025-12-04,87.46
2025-12-05,85.62
2025-12-08,83.96
2025-12-09,88.88
2025-12-10,88.41
2025-12-11,88.57
2025-12-12,83.47
2025-12-15,75.46
2025-12-16,83.0
2025-12-17,79.2
2025-12-18,80.99
2025-12-19,86.13
2025-12-22,87.0
2025-12-23,82.73
2025-12-24,82.64
2025-12-26,81.27
2025-12-29,80.51
2025-12-30,79.89
2025-12-31,79.3
2026-01-02,83.47
2026-01-05,84.8
2026-01-06,84.85
2026-01-07,80.59
2026-01-08,81.79
2026-01-09,82.9
2026-01-12,82.9
2026-01-13,83.46
2026-01-14,84.8
2026-01-15,76.6
2026-01-16,78.61
2026-01-20,72.7
2026-01-21,72.64
2026-01-22,71.35
2026-01-23,71.33
2026-01-26,70.9
2026-01-27,69.96
2026-01-28,72.84
2026-01-29,67.55
2026-01-30,63.93
2026-02-02,58.86
2026-02-03,56.16
2026-02-04,55.05
2026-02-05,50.23
2026-02-06,57.04
2026-02-09,60.1
2026-02-10,59.75
2026-02-11,57.86
2026-02-12,56.63
2026-02-13,60.04
2026-02-17,61.62
2026-02-18,63.15
2026-02-19,61.92
2026-02-20,63.02
2026-02-23,61.17
2026-02-24,61.37
2026-02-25,83.14
2026-02-26,87.21
2026-02-27,83.44
2026-03-02,96.14
2026-03-03,99.63
2026-03-04,105.27
2026-03-05,105.74
2026-03-06,101.91
2026-03-09,111.84
2026-03-10,118.09
2026-03-11,112.81
2026-03-12,114.18
2026-03-13,115.38
2026-03-16,125.83
2026-03-17,132.31
2026-03-18,132.84
2026-03-19,128.33
