date,close
2023-06-21,56.97
2023-06-22,56.94
2023-06-23,56.03
2023-06-26,56.23
2023-06-27,55.82
2023-06-28,57.16
2023-06-29,57.02
2023-06-30,56.14
2023-07-03,56.25
2023-07-05,56.78
2023-07-06,54.02
2023-07-07,54.37
2023-07-10,57.66
2023-07-11,57.62
2023-07-12,57.48
2023-07-13,59.0
2023-07-14,56.91
2023-07-17,58.22
2023-07-18,57.75
2023-07-19,58.12
2023-07-20,56.54
2023-07-21,56.73
2023-07-24,55.52
2023-07-25,55.44
2023-07-26,57.28
2023-07-27,55.44
2023-07-28,56.89
2023-07-31,57.33
2023-08-01,56.41
2023-08-02,53.01
2023-08-03,51.35
2023-08-04,50.96
2023-08-07,48.34
2023-08-08,53.05
2023-08-09,50.95
2023-08-10,50.07
2023-08-11,49.65
2023-08-14,48.42
2023-08-15,48.68
2023-08-16,47.2
2023-08-17,47.09
2023-08-18,48.14
2023-08-21,47.93
2023-08-22,48.97
2023-08-23,50.5
2023-08-24,49.65
2023-08-25,49.69
2023-08-28,49.96
2023-08-29,50.57
2023-08-30,50.52
2023-08-31,50.01
2023-09-01,50.53
2023-09-05,50.26
2023-09-06,51.09
2023-09-07,49.34
2023-09-08,49.94
2023-09-11,51.07
2023-09-12,50.37
2023-09-13,49.36
2023-09-14,51.28
2023-09-15,50.58
2023-09-18,47.64
2023-09-19,47.42
2023-09-20,46.56
2023-09-21,46.06
2023-09-22,45.49
2023-09-25,45.86
2023-09-26,46.11
2023-09-27,47.13
2023-09-28,45.74
2023-09-29,45.39
2023-10-02,42.41
2023-10-03,42.94
2023-10-04,41.62
2023-10-05,43.0
2023-10-06,43.06
2023-10-09,42.51
2023-10-10,43.84
2023-10-11,44.73
2023-10-12,43.03
2023-10-13,44.31
2023-10-16,44.81
2023-10-17,43.66
2023-10-18,40.43
2023-10-19,39.78
2023-10-20,38.62
2023-10-23,40.1
2023-10-24,41.51
2023-10-25,39.18
2023-10-26,39.11
2023-10-27,38.74
2023-10-30,38.93
2023-10-31,38.93
2023-11-01,43.75
2023-11-02,46.18
2023-11-03,50.99
2023-11-06,51.58
2023-11-07,58.58
2023-11-08,54.72
2023-11-09,51.26
