date,close
2019-06-21,22.62
2019-06-24,22.4
2019-06-25,22.37
2019-06-26,22.24
2019-06-27,22.43
2019-06-28,22.65
2019-07-01,22.55
2019-07-02,22.57
2019-07-03,22.5399
2019-07-05,22.74
2019-07-08,22.57
2019-07-09,22.54
2019-07-10,22.67
2019-07-11,22.7
2019-07-12,22.82
2019-07-15,22.79
2019-07-16,22.81
2019-07-17,22.73
2019-07-18,22.69
2019-07-19,22.72
2019-07-22,22.73
2019-07-23,22.82
2019-07-24,22.9
2019-07-25,22.85
2019-07-26,23.01
2019-07-29,23.04
2019-07-30,23.16
2019-07-31,23.08
2019-08-01,22.88
2019-08-02,22.9
2019-08-05,22.26
2019-08-06,22.31
2019-08-07,22.39
2019-08-08,22.69
2019-08-09,22.49
2019-08-12,22.39
2019-08-13,22.46
2019-08-14,22.0168
2019-08-15,21.98
2019-08-16,22.35
2019-08-19,22.57
2019-08-20,22.4717
2019-08-21,22.59
2019-08-22,22.67
2019-08-23,22.38
2019-08-26,22.59
2019-08-27,22.21
2019-08-28,22.45
2019-08-29,22.6
2019-08-30,22.66
2019-09-03,22.56
2019-09-04,22.79
2019-09-05,22.81
2019-09-06,22.89
2019-09-09,23.18
2019-09-10,23.45
2019-09-11,23.69
2019-09-12,23.63
2019-09-13,23.61
2019-09-16,23.6
2019-09-17,23.6
2019-09-18,23.4779
2019-09-19,23.37
2019-09-20,23.46
2019-09-23,23.51
2019-09-24,23.45
2019-09-25,23.6
2019-09-26,23.56
2019-09-27,23.58
2019-09-30,23.57
2019-10-01,23.36
2019-10-02,23.1
2019-10-03,22.95
2019-10-04,23.09
2019-10-07,23.01
2019-10-08,22.75
2019-10-09,22.73
2019-10-10,22.8
2019-10-11,23.0
2019-10-14,22.93
2019-10-15,23.12
2019-10-16,23.09
2019-10-17,23.3
2019-10-18,23.38
2019-10-21,23.54
2019-10-22,23.6423
2019-10-23,23.72
2019-10-24,23.61
2019-10-25,23.63
2019-10-28,23.61
2019-10-29,23.62
2019-10-30,23.3
2019-10-31,23.35
2019-11-01,23.49
2019-11-04,23.56
2019-11-05,23.42
2019-11-06,23.47
2019-11-07,23.485
2019-11-08,23.45
2019-11-11,23.4
2019-11-12,23.41
2019-11-13,23.27
2019-11-14,23.26
2019-11-15,23.39
2019-11-18,23.31
2019-11-19,23.16
2019-11-20,23.08
2019-11-21,23.01
2019-11-22,23.19
2019-11-25,23.41
2019-11-26,23.45
2019-11-27,23.65
2019-11-29,23.62
2019-12-02,23.505
2019-12-03,23.41
2019-12-04,23.33
2019-12-05,23.28
2019-12-06,23.4
2019-12-09,23.46
2019-12-10,23.47
2019-12-11,23.39
2019-12-12,23.38
2019-12-13,23.4
2019-12-16,23.59
2019-12-17,23.63
2019-12-18,23.8
2019-12-19,23.77
2019-12-20,23.89
2019-12-23,23.78
2019-12-24,23.8
2019-12-26,23.89
2019-12-27,23.88
2019-12-30,23.66
2019-12-31,23.73
2020-01-02,23.64
2020-01-03,23.69
2020-01-06,23.73
2020-01-07,23.7
2020-01-08,23.63
2020-01-09,23.69
2020-01-10,23.56
2020-01-13,23.67
2020-01-14,23.67
2020-01-15,23.82
2020-01-16,23.98
2020-01-17,23.94
2020-01-21,23.84
2020-01-22,23.8
2020-01-23,23.8
2020-01-24,23.52
2020-01-27,23.28
2020-01-28,23.41
2020-01-29,23.41
2020-01-30,23.36
2020-01-31,23.09
2020-02-03,23.04
2020-02-04,23.19
2020-02-05,23.32
2020-02-06,23.31
2020-02-07,23.09
2020-02-10,23.11
2020-02-11,23.11
2020-02-12,23.24
2020-02-13,23.24
2020-02-14,23.17
2020-02-18,23.1718
2020-02-19,23.19
2020-02-20,23.26
2020-02-21,23.2
2020-02-24,22.67
2020-02-25,21.91
2020-02-26,21.5
2020-02-27,20.72
2020-02-28,20.45
2020-03-02,21.12
2020-03-03,20.62
2020-03-04,20.98
2020-03-05,20.36
2020-03-06,19.9
2020-03-09,17.77
2020-03-10,18.19
2020-03-11,17.15
2020-03-12,14.6
2020-03-13,15.81
2020-03-16,13.78
2020-03-17,13.6901
2020-03-18,11.32
2020-03-19,12.3
2020-03-20,12.25
2020-03-23,11.17
2020-03-24,11.71
2020-03-25,12.53
2020-03-26,13.48
2020-03-27,13.04
2020-03-30,12.83
2020-03-31,12.88
2020-04-01,11.99
2020-04-02,12.15
2020-04-03,11.74
2020-04-06,12.37
2020-04-07,12.6
2020-04-08,13.35
2020-04-09,14.08
2020-04-13,13.86
2020-04-14,14.175
2020-04-15,13.57
2020-04-16,13.42
2020-04-17,13.94
2020-04-20,13.65
2020-04-21,13.48
2020-04-22,13.6806
2020-04-23,13.87
2020-04-24,14.03
2020-04-27,14.4
2020-04-28,14.93
2020-04-29,15.45
2020-04-30,15.17
2020-05-01,14.61
2020-05-04,14.58
2020-05-05,14.37
2020-05-06,14.13
2020-05-07,14.24
2020-05-08,14.77
2020-05-11,14.57
2020-05-12,14.31
2020-05-13,13.9
2020-05-14,13.97
2020-05-15,14.02
2020-05-18,14.75
2020-05-19,14.52
2020-05-20,14.82
2020-05-21,14.89
2020-05-22,14.94
2020-05-26,15.49
2020-05-27,15.79
2020-05-28,15.57
2020-05-29,15.44
2020-06-01,15.54
2020-06-02,15.68
2020-06-03,15.96
2020-06-04,16.04
2020-06-05,16.46
2020-06-08,17.0
2020-06-09,16.61
2020-06-10,16.2
2020-06-11,15.01
2020-06-12,15.44
2020-06-15,15.64
2020-06-16,15.85
2020-06-17,15.65
2020-06-18,15.66
2020-06-19,15.49
