date,close
2023-06-21,14.26
2023-06-22,14.23
2023-06-23,14.28
2023-06-26,14.37
2023-06-27,14.7
2023-06-28,14.79
2023-06-29,14.77
2023-06-30,14.73
2023-07-03,14.81
2023-07-05,14.55
2023-07-06,14.3
2023-07-07,14.52
2023-07-10,15.3
2023-07-11,15.41
2023-07-12,15.72
2023-07-13,15.46
2023-07-14,15.35
2023-07-17,15.44
2023-07-18,15.68
2023-07-19,15.95
2023-07-20,15.8
2023-07-21,15.68
2023-07-24,15.66
2023-07-25,15.6
2023-07-26,15.52
2023-07-27,15.55
2023-07-28,15.58
2023-07-31,15.4
2023-08-01,15.29
2023-08-02,14.86
2023-08-03,14.89
2023-08-04,14.84
2023-08-07,14.79
2023-08-08,14.38
2023-08-09,14.4
2023-08-10,12.43
2023-08-11,12.95
2023-08-14,12.99
2023-08-15,13.27
2023-08-16,13.25
2023-08-17,12.92
2023-08-18,13.01
2023-08-21,13.18
2023-08-22,13.34
2023-08-23,13.37
2023-08-24,13.19
2023-08-25,13.13
2023-08-28,13.24
2023-08-29,13.34
2023-08-30,13.53
2023-08-31,13.39
2023-09-01,13.35
2023-09-05,13.24
2023-09-06,13.14
2023-09-07,13.08
2023-09-08,13.12
2023-09-11,13.19
2023-09-12,12.87
2023-09-13,13.06
2023-09-14,13.29
2023-09-15,13.13
2023-09-18,13.18
2023-09-19,13.1
2023-09-20,13.05
2023-09-21,12.88
2023-09-22,12.79
2023-09-25,12.74
2023-09-26,12.53
2023-09-27,12.35
2023-09-28,12.39
2023-09-29,12.47
2023-10-02,12.43
2023-10-03,12.51
2023-10-04,12.71
2023-10-05,12.44
2023-10-06,12.35
2023-10-09,12.42
2023-10-10,12.45
2023-10-11,12.06
2023-10-12,11.8
2023-10-13,11.7
2023-10-16,12.28
2023-10-17,12.44
2023-10-18,12.58
2023-10-19,12.73
2023-10-20,12.48
2023-10-23,12.68
2023-10-24,12.91
2023-10-25,12.67
2023-10-26,12.87
2023-10-27,12.86
2023-10-30,12.86
2023-10-31,12.93
2023-11-01,13.03
2023-11-02,13.24
2023-11-03,13.3
2023-11-06,13.41
2023-11-07,13.43
2023-11-08,13.44
2023-11-09,12.56
2023-11-10,12.82
2023-11-13,13.13
2023-11-14,13.39
