date,close
2023-06-21,50.7
2023-06-22,50.85
2023-06-23,50.08
2023-06-26,50.61
2023-06-27,50.93
2023-06-28,51.72
2023-06-29,51.22
2023-06-30,51.09
2023-07-03,51.8
2023-07-05,50.93
2023-07-06,49.44
2023-07-07,49.7
2023-07-10,51.11
2023-07-11,51.76
2023-07-12,51.8
2023-07-13,53.93
2023-07-14,52.72
2023-07-17,52.76
2023-07-18,53.84
2023-07-19,54.18
2023-07-20,51.72
2023-07-21,52.06
2023-07-24,51.82
2023-07-25,51.29
2023-07-26,52.53
2023-07-27,52.01
2023-07-28,52.86
2023-07-31,53.82
2023-08-01,52.99
2023-08-02,51.34
2023-08-03,52.25
2023-08-04,51.24
2023-08-07,51.51
2023-08-08,51.09
2023-08-09,50.7
2023-08-10,50.29
2023-08-11,49.22
2023-08-14,49.43
2023-08-15,48.54
2023-08-16,48.36
2023-08-17,47.62
2023-08-18,48.28
2023-08-21,47.97
2023-08-22,47.87
2023-08-23,48.16
2023-08-24,46.69
2023-08-25,48.29
2023-08-28,47.74
2023-08-29,47.95
2023-08-30,48.88
2023-08-31,50.3
2023-09-01,51.67
2023-09-05,52.27
2023-09-06,52.78
2023-09-07,52.13
2023-09-08,50.21
2023-09-11,47.01
2023-09-12,46.4
2023-09-13,45.48
2023-09-14,44.95
2023-09-15,43.95
2023-09-18,43.76
2023-09-19,43.69
2023-09-20,43.42
2023-09-21,42.19
2023-09-22,41.5
2023-09-25,41.5
2023-09-26,41.04
2023-09-27,41.32
2023-09-28,42.01
2023-09-29,42.0
2023-10-02,41.73
2023-10-03,41.52
2023-10-04,41.44
2023-10-05,41.04
2023-10-06,42.13
2023-10-09,42.38
2023-10-10,42.35
2023-10-11,42.23
2023-10-12,40.45
2023-10-13,40.57
2023-10-16,41.67
2023-10-17,42.48
2023-10-18,41.65
2023-10-19,41.14
2023-10-20,40.27
2023-10-23,40.08
2023-10-24,40.54
2023-10-25,39.39
2023-10-26,38.96
2023-10-27,38.53
2023-10-30,38.77
2023-10-31,38.88
2023-11-01,38.69
2023-11-02,39.88
2023-11-03,41.09
2023-11-06,40.41
2023-11-07,41.08
2023-11-08,41.13
2023-11-09,40.04
2023-11-10,40.98
2023-11-13,41.12
2023-11-14,42.73
2023-11-15,43.38
2023-11-16,42.62
2023-11-17,42.95
2023-11-20,43.8
2023-11-21,42.5
2023-11-22,42.26
2023-11-24,42.74
2023-11-27,42.35
2023-11-28,42.71
2023-11-29,43.62
2023-11-30,43.1
2023-12-01,45.99
2023-12-04,45.88
2023-12-05,46.06
2023-12-06,47.36
2023-12-07,47.44
2023-12-08,49.73
2023-12-11,53.72
2023-12-12,56.0
2023-12-13,56.15
2023-12-14,56.12
2023-12-15,63.11
2023-12-18,61.54
2023-12-19,62.43
2023-12-20,59.63
2023-12-21,60.47
2023-12-22,60.69
2023-12-26,60.39
2023-12-27,59.76
2023-12-28,60.2
2023-12-29,59.45
2024-01-02,57.02
2024-01-03,55.03
2024-01-04,54.97
2024-01-05,54.64
2024-01-08,55.66
2024-01-09,56.09
2024-01-10,56.11
2024-01-11,61.35
2024-01-12,63.55
2024-01-16,62.65
2024-01-17,61.65
2024-01-18,61.26
2024-01-19,63.2
2024-01-22,62.01
2024-01-23,62.33
2024-01-24,62.47
2024-01-25,62.47
2024-01-26,62.63
2024-01-29,63.35
2024-01-30,61.61
2024-01-31,60.92
2024-02-01,58.93
2024-02-02,58.12
2024-02-05,53.21
2024-02-06,52.17
2024-02-07,51.31
2024-02-08,51.145
2024-02-09,51.18
2024-02-12,51.57
2024-02-13,50.52
2024-02-14,51.09
2024-02-15,51.51
2024-02-16,50.22
2024-02-20,49.98
2024-02-21,50.08
2024-02-22,50.14
2024-02-23,51.73
2024-02-26,51.8
2024-02-27,52.11
2024-02-28,52.77
2024-02-29,53.27
2024-03-01,54.58
2024-03-04,53.55
2024-03-05,51.78
2024-03-06,52.47
2024-03-07,53.56
2024-03-08,55.97
2024-03-11,57.98
2024-03-12,58.48
2024-03-13,59.41
2024-03-14,57.46
2024-03-15,56.77
2024-03-18,58.12
2024-03-19,58.95
2024-03-20,58.54
2024-03-21,58.7
2024-03-22,58.27
2024-03-25,58.63
2024-03-26,58.0
2024-03-27,59.27
2024-03-28,59.55
2024-04-01,58.23
2024-04-02,58.59
2024-04-03,60.55
2024-04-04,58.8
2024-04-05,59.47
2024-04-08,59.66
2024-04-09,60.14
2024-04-10,59.25
2024-04-11,59.48
2024-04-12,58.9
2024-04-15,56.67
2024-04-16,57.74
2024-04-17,58.06
2024-04-18,57.04
2024-04-19,55.7
2024-04-22,55.84
2024-04-23,56.71
2024-04-24,57.29
2024-04-25,57.35
2024-04-26,57.2
2024-04-29,57.1
2024-04-30,56.6
2024-05-01,57.3
2024-05-02,58.76
2024-05-03,59.8
2024-05-06,59.5
2024-05-07,58.31
2024-05-08,57.51
2024-05-09,57.28
2024-05-10,58.03
2024-05-13,59.76
2024-05-14,59.73
2024-05-15,61.13
2024-05-16,59.9
2024-05-17,60.215
2024-05-20,60.5
2024-05-21,59.89
2024-05-22,58.04
2024-05-23,57.32
2024-05-24,56.93
2024-05-28,57.71
2024-05-29,58.5
2024-05-30,54.69
2024-05-31,54.74
2024-06-03,53.44
2024-06-04,53.2
2024-06-05,53.54
2024-06-06,54.6
2024-06-07,52.05
2024-06-10,50.99
2024-06-11,52.07
2024-06-12,51.32
2024-06-13,51.18
2024-06-14,50.84
2024-06-17,51.03
2024-06-18,50.97
2024-06-20,52.2
2024-06-21,52.74
2024-06-24,51.69
2024-06-25,51.54
2024-06-26,51.62
2024-06-27,52.69
2024-06-28,53.5
2024-07-01,55.14
2024-07-02,54.32
2024-07-03,54.13
2024-07-05,54.46
2024-07-08,53.83
2024-07-09,51.91
2024-07-10,53.79
2024-07-11,54.29
2024-07-12,56.38
2024-07-15,57.135
2024-07-16,56.9
2024-07-17,56.18
2024-07-18,54.59
2024-07-19,55.89
2024-07-22,56.62
2024-07-23,56.11
2024-07-24,53.8
2024-07-25,55.1
2024-07-26,55.9
2024-07-29,55.77
2024-07-30,55.43
2024-07-31,55.48
2024-08-01,53.61
2024-08-02,51.73
2024-08-05,49.73
2024-08-06,50.58
2024-08-07,51.05
2024-08-08,52.1
2024-08-09,52.52
2024-08-12,52.02
2024-08-13,53.59
2024-08-14,55.59
2024-08-15,56.46
2024-08-16,56.8
2024-08-19,57.19
2024-08-20,56.87
2024-08-21,56.79
2024-08-22,56.7
2024-08-23,57.44
2024-08-26,58.72
2024-08-27,58.46
2024-08-28,57.66
2024-08-29,59.03
2024-08-30,59.21
2024-09-03,57.91
2024-09-04,57.42
2024-09-05,56.93
2024-09-06,59.19
2024-09-09,56.04
2024-09-10,54.56
2024-09-11,55.31
2024-09-12,56.49
2024-09-13,56.63
2024-09-16,56.76
2024-09-17,55.69
2024-09-18,56.64
2024-09-19,57.91
2024-09-20,57.97
2024-09-23,58.85
2024-09-24,58.66
2024-09-25,60.55
2024-09-26,62.53
2024-09-27,61.67
2024-09-30,62.09
