date,close
2023-06-21,48.94
2023-06-22,47.69
2023-06-23,47.15
2023-06-26,47.74
2023-06-27,47.32
2023-06-28,47.69
2023-06-29,48.4
2023-06-30,48.34
2023-07-03,48.83
2023-07-05,48.5
2023-07-06,47.55
2023-07-07,48.85
2023-07-10,49.19
2023-07-11,50.56
2023-07-12,51.09
2023-07-13,51.11
2023-07-14,48.9
2023-07-17,48.92
2023-07-18,50.51
2023-07-19,50.62
2023-07-20,51.4
2023-07-21,52.26
2023-07-24,53.09
2023-07-25,53.4
2023-07-26,53.15
2023-07-27,52.22
2023-07-28,53.0
2023-07-31,54.0
2023-08-01,53.68
2023-08-02,49.74
2023-08-03,50.83
2023-08-04,50.8
2023-08-07,50.81
2023-08-08,50.77
2023-08-09,51.19
2023-08-10,50.76
2023-08-11,50.41
2023-08-14,50.29
2023-08-15,49.19
2023-08-16,48.52
2023-08-17,49.06
2023-08-18,49.99
2023-08-21,50.17
2023-08-22,49.74
2023-08-23,49.34
2023-08-24,48.84
2023-08-25,50.43
2023-08-28,50.57
2023-08-29,50.73
2023-08-30,50.66
2023-08-31,51.09
2023-09-01,52.92
2023-09-05,53.5
2023-09-06,53.49
2023-09-07,52.5
2023-09-08,52.66
2023-09-11,50.78
2023-09-12,51.39
2023-09-13,50.65
2023-09-14,50.93
2023-09-15,49.68
2023-09-18,49.5
2023-09-19,48.99
2023-09-20,47.88
2023-09-21,46.41
2023-09-22,46.59
2023-09-25,47.51
2023-09-26,46.95
2023-09-27,48.84
2023-09-28,48.81
2023-09-29,47.7
2023-10-02,45.65
2023-10-03,45.75
2023-10-04,43.35
2023-10-05,42.85
2023-10-06,43.7
2023-10-09,46.1
2023-10-10,46.07
2023-10-11,46.75
2023-10-12,46.69
2023-10-13,48.39
2023-10-16,49.4
2023-10-17,49.93
2023-10-18,50.08
2023-10-19,49.25
2023-10-20,48.32
2023-10-23,47.71
2023-10-24,47.47
2023-10-25,47.85
2023-10-26,47.17
2023-10-27,46.77
2023-10-30,46.17
2023-10-31,46.57
2023-11-01,46.21
2023-11-02,47.27
2023-11-03,47.34
2023-11-06,46.72
2023-11-07,45.29
2023-11-08,44.18
2023-11-09,44.14
2023-11-10,45.62
2023-11-13,45.42
2023-11-14,45.74
2023-11-15,45.52
2023-11-16,44.29
2023-11-17,45.36
2023-11-20,45.65
2023-11-21,45.25
2023-11-22,45.16
2023-11-24,45.35
2023-11-27,44.93
2023-11-28,44.82
2023-11-29,44.88
2023-11-30,44.97
2023-12-01,45.17
2023-12-04,44.68
2023-12-05,43.78
2023-12-06,43.25
2023-12-07,43.46
2023-12-08,44.09
2023-12-11,44.41
2023-12-12,43.34
2023-12-13,44.22
2023-12-14,44.99
2023-12-15,44.87
2023-12-18,45.24
2023-12-19,45.68
2023-12-20,45.24
2023-12-21,45.85
2023-12-22,45.81
2023-12-26,46.66
2023-12-27,46.4
2023-12-28,45.76
2023-12-29,45.3
2024-01-02,45.84
2024-01-03,46.81
2024-01-04,45.63
2024-01-05,45.94
2024-01-08,45.53
2024-01-09,44.77
2024-01-10,43.94
2024-01-11,43.59
2024-01-12,42.77
2024-01-16,41.68
2024-01-17,41.09
2024-01-18,41.08
2024-01-19,40.97
2024-01-22,41.18
2024-01-23,41.3
2024-01-24,41.62
2024-01-25,42.49
2024-01-26,42.62
2024-01-29,42.77
2024-01-30,43.32
2024-01-31,42.02
2024-02-01,41.8
2024-02-02,41.3
2024-02-05,40.69
2024-02-06,41.08
2024-02-07,41.31
2024-02-08,42.41
2024-02-09,41.59
2024-02-12,42.24
2024-02-13,41.9
2024-02-14,41.84
2024-02-15,43.19
2024-02-16,43.46
2024-02-20,43.41
2024-02-21,44.11
2024-02-22,43.97
2024-02-23,43.88
2024-02-26,43.83
2024-02-27,44.32
2024-02-28,44.03
2024-02-29,44.06
2024-03-01,44.39
2024-03-04,44.37
2024-03-05,45.08
2024-03-06,45.45
2024-03-07,45.89
2024-03-08,46.16
2024-03-11,46.67
2024-03-12,46.58
2024-03-13,47.41
2024-03-14,47.86
2024-03-15,47.62
2024-03-18,47.47
2024-03-19,48.43
2024-03-20,48.61
2024-03-21,48.53
2024-03-22,48.37
2024-03-25,49.05
2024-03-26,48.79
2024-03-27,49.46
2024-03-28,50.18
2024-04-01,50.95
2024-04-02,51.62
2024-04-03,52.77
2024-04-04,52.54
2024-04-05,53.27
2024-04-08,53.43
2024-04-09,54.14
2024-04-10,54.51
2024-04-11,53.9
2024-04-12,53.42
2024-04-15,52.68
2024-04-16,52.18
2024-04-17,51.67
2024-04-18,51.43
2024-04-19,51.83
2024-04-22,52.13
2024-04-23,52.57
2024-04-24,52.1
2024-04-25,52.61
2024-04-26,52.71
2024-04-29,53.08
2024-04-30,51.18
2024-05-01,50.4
2024-05-02,50.34
2024-05-03,50.54
2024-05-06,50.86
2024-05-07,50.98
2024-05-08,50.56
2024-05-09,50.85
2024-05-10,50.12
2024-05-13,49.9
2024-05-14,49.83
2024-05-15,49.71
2024-05-16,49.24
2024-05-17,49.62
2024-05-20,50.02
2024-05-21,49.77
2024-05-22,48.8
2024-05-23,48.23
2024-05-24,48.15
2024-05-28,48.91
2024-05-29,47.19
2024-05-30,47.59
2024-05-31,49.08
2024-06-03,47.08
2024-06-04,46.65
2024-06-05,46.62
2024-06-06,46.76
2024-06-07,46.79
2024-06-10,47.12
2024-06-11,47.29
2024-06-12,46.85
2024-06-13,45.76
2024-06-14,45.56
2024-06-17,45.76
2024-06-18,45.65
2024-06-20,45.99
2024-06-21,45.82
2024-06-24,47.64
2024-06-25,47.37
2024-06-26,46.72
2024-06-27,47.01
2024-06-28,47.4
2024-07-01,47.73
2024-07-02,47.77
2024-07-03,48.11
2024-07-05,47.03
2024-07-08,46.52
2024-07-09,46.06
2024-07-10,45.91
2024-07-11,46.42
2024-07-12,46.48
2024-07-15,48.05
2024-07-16,48.24
2024-07-17,48.65
2024-07-18,48.46
2024-07-19,47.74
2024-07-22,46.8
2024-07-23,45.96
2024-07-24,45.58
2024-07-25,46.28
2024-07-26,46.34
2024-07-29,45.69
2024-07-30,46.17
2024-07-31,47.03
2024-08-01,45.06
2024-08-02,42.79
2024-08-05,41.48
2024-08-06,41.98
2024-08-07,43.17
2024-08-08,45.11
2024-08-09,44.92
2024-08-12,45.33
2024-08-13,44.64
2024-08-14,44.49
2024-08-15,45.44
2024-08-16,45.09
2024-08-19,45.19
2024-08-20,44.04
2024-08-21,43.84
2024-08-22,43.67
2024-08-23,44.7
2024-08-26,45.14
2024-08-27,44.65
2024-08-28,44.59
2024-08-29,45.0
2024-08-30,44.78
2024-09-03,43.02
2024-09-04,42.24
2024-09-05,42.08
2024-09-06,41.34
2024-09-09,41.4
2024-09-10,40.23
2024-09-11,39.93
2024-09-12,40.01
2024-09-13,39.45
2024-09-16,39.64
2024-09-17,40.46
2024-09-18,40.37
2024-09-19,40.97
2024-09-20,40.79
2024-09-23,41.12
2024-09-24,41.01
2024-09-25,39.8
2024-09-26,37.87
2024-09-27,38.96
2024-09-30,39.12
2024-10-01,39.76
2024-10-02,40.5
2024-10-03,41.79
2024-10-04,42.42
2024-10-07,42.61
2024-10-08,41.68
2024-10-09,41.96
2024-10-10,42.86
2024-10-11,42.96
2024-10-14,42.87
2024-10-15,41.2
2024-10-16,40.69
2024-10-17,40.58
2024-10-18,40.66
2024-10-21,40.08
2024-10-22,40.17
2024-10-23,39.51
2024-10-24,39.51
2024-10-25,39.19
2024-10-28,38.59
2024-10-29,38.14
2024-10-30,38.35
2024-10-31,38.68
2024-11-01,38.32
