date,close
2023-06-21,25.71
2023-06-22,25.56
2023-06-23,25.47
2023-06-26,25.49
2023-06-27,25.59
2023-06-28,25.51
2023-06-29,25.39
2023-06-30,25.56
2023-07-03,25.51
2023-07-05,25.4
2023-07-06,25.09
2023-07-07,25.27
2023-07-10,25.35
2023-07-11,25.48
2023-07-12,25.82
2023-07-13,26.05
2023-07-14,25.96
2023-07-17,26.01
2023-07-18,26.04
2023-07-19,25.97
2023-07-20,25.82
2023-07-21,25.84
2023-07-24,25.85
2023-07-25,25.83
2023-07-26,25.91
2023-07-27,25.68
2023-07-28,25.9
2023-07-31,25.9
2023-08-01,25.49
2023-08-02,25.37
2023-08-03,25.14
2023-08-04,25.33
2023-08-07,25.23
2023-08-08,25.16
2023-08-09,25.2
2023-08-10,25.22
2023-08-11,25.19
2023-08-14,25.03
2023-08-15,24.95
2023-08-16,24.87
2023-08-17,24.83
2023-08-18,24.89
2023-08-21,24.84
2023-08-22,24.86
2023-08-23,25.14
2023-08-24,25.05
2023-08-25,25.08
2023-08-28,25.11
2023-08-29,25.26
2023-08-30,25.23
2023-08-31,25.13
2023-09-01,24.93
2023-09-05,24.6
2023-09-06,24.43
2023-09-07,24.38
2023-09-08,24.37
2023-09-11,24.52
2023-09-12,24.46
2023-09-13,24.55
2023-09-14,24.5
2023-09-15,24.51
2023-09-18,24.53
2023-09-19,24.46
2023-09-20,24.45
2023-09-21,24.25
2023-09-22,24.25
2023-09-25,24.08
2023-09-26,23.87
2023-09-27,23.7
2023-09-28,23.78
2023-09-29,23.87
2023-10-02,23.55
2023-10-03,23.29
2023-10-04,23.32
2023-10-05,23.3
2023-10-06,23.31
2023-10-09,23.38
2023-10-10,23.55
2023-10-11,23.75
2023-10-12,23.6
2023-10-13,23.62
2023-10-16,23.72
2023-10-17,23.63
2023-10-18,23.47
2023-10-19,23.47
2023-10-20,23.45
2023-10-23,23.54
2023-10-24,23.59
2023-10-25,23.45
2023-10-26,23.58
2023-10-27,23.67
2023-10-30,23.71
2023-10-31,23.7
2023-11-01,23.79
2023-11-02,24.05
2023-11-03,24.37
2023-11-06,24.39
2023-11-07,24.41
2023-11-08,24.37
2023-11-09,24.18
2023-11-10,24.25
2023-11-13,24.26
2023-11-14,24.76
2023-11-15,24.74
2023-11-16,24.82
2023-11-17,24.87
2023-11-20,25.09
2023-11-21,24.93
2023-11-22,24.86
2023-11-24,24.93
2023-11-27,24.95
2023-11-28,25.06
2023-11-29,25.02
2023-11-30,24.89
2023-12-01,24.98
2023-12-04,24.78
2023-12-05,24.77
2023-12-06,24.81
2023-12-07,24.84
2023-12-08,24.69
2023-12-11,24.71
2023-12-12,24.76
2023-12-13,25.1
2023-12-14,25.39
2023-12-15,25.27
2023-12-18,25.33
2023-12-19,25.5
2023-12-20,25.41
2023-12-21,25.52
2023-12-22,25.51
2023-12-26,25.46
2023-12-27,25.41
2023-12-28,25.34
2023-12-29,25.35
2024-01-02,25.15
2024-01-03,25.07
2024-01-04,25.04
2024-01-05,25.09
2024-01-08,25.16
2024-01-09,25.08
2024-01-10,25.12
2024-01-11,25.25
2024-01-12,25.3
2024-01-16,24.9
2024-01-17,24.9
2024-01-18,24.94
2024-01-19,25.03
2024-01-22,24.97
2024-01-23,24.9
2024-01-24,25.01
2024-01-25,25.01
2024-01-26,25.0
2024-01-29,25.0
2024-01-30,25.08
2024-01-31,24.97
2024-02-01,25.06
2024-02-02,24.89
2024-02-05,24.68
2024-02-06,24.78
2024-02-07,24.77
2024-02-08,24.74
2024-02-09,24.77
2024-02-12,24.78
2024-02-13,24.54
2024-02-14,24.65
2024-02-15,24.81
2024-02-16,24.74
2024-02-20,24.76
2024-02-21,24.8
2024-02-22,24.78
2024-02-23,24.75
2024-02-26,24.8
2024-02-27,24.85
2024-02-28,24.78
2024-02-29,24.79
2024-03-01,24.72
2024-03-04,24.74
2024-03-05,24.73
2024-03-06,24.68
2024-03-07,24.77
2024-03-08,24.92
2024-03-11,24.9
2024-03-12,24.85
2024-03-13,24.93
2024-03-14,24.79
2024-03-15,24.81
2024-03-18,24.56
2024-03-19,24.53
2024-03-20,24.67
2024-03-21,24.63
2024-03-22,24.5
2024-03-25,24.6
2024-03-26,24.54
2024-03-27,24.56
2024-03-28,24.51
2024-04-01,24.26
2024-04-02,24.36
2024-04-03,24.45
2024-04-04,24.5
2024-04-05,24.54
2024-04-08,24.51
2024-04-09,24.56
2024-04-10,24.24
2024-04-11,24.27
2024-04-12,24.06
2024-04-15,23.91
2024-04-16,23.66
2024-04-17,23.81
2024-04-18,23.79
2024-04-19,23.83
2024-04-22,23.89
2024-04-23,23.89
2024-04-24,23.77
2024-04-25,23.78
2024-04-26,23.83
2024-04-29,23.95
2024-04-30,23.71
2024-05-01,23.85
2024-05-02,24.09
2024-05-03,24.25
2024-05-06,24.26
2024-05-07,24.28
2024-05-08,24.23
2024-05-09,24.3
2024-05-10,24.24
2024-05-13,24.28
2024-05-14,24.38
2024-05-15,24.56
2024-05-16,24.58
2024-05-17,24.62
2024-05-20,24.62
2024-05-21,24.59
2024-05-22,24.48
2024-05-23,24.39
2024-05-24,24.42
2024-05-28,24.47
2024-05-29,24.21
2024-05-30,24.23
2024-05-31,24.25
2024-06-03,24.14
2024-06-04,24.08
2024-06-05,24.05
2024-06-06,24.1
2024-06-07,23.84
2024-06-10,23.83
2024-06-11,23.81
2024-06-12,23.83
2024-06-13,23.81
2024-06-14,23.66
2024-06-17,23.69
2024-06-18,23.83
2024-06-20,23.78
2024-06-21,23.84
2024-06-24,23.96
2024-06-25,23.9
2024-06-26,23.77
2024-06-27,23.72
2024-06-28,23.78
2024-07-01,23.58
2024-07-02,23.64
2024-07-03,23.86
2024-07-05,24.01
2024-07-08,24.04
2024-07-09,24.09
2024-07-10,24.15
2024-07-11,24.31
2024-07-12,24.45
2024-07-15,24.37
2024-07-16,24.43
2024-07-17,24.4
2024-07-18,24.2
2024-07-19,24.15
2024-07-22,24.21
2024-07-23,24.16
2024-07-24,24.03
2024-07-25,24.06
2024-07-26,24.14
2024-07-29,24.07
2024-07-30,24.09
2024-07-31,24.21
2024-08-01,24.04
2024-08-02,24.3
2024-08-05,24.21
2024-08-06,24.18
2024-08-07,24.19
2024-08-08,24.34
2024-08-09,24.48
2024-08-12,24.46
2024-08-13,24.67
2024-08-14,24.75
2024-08-15,24.68
2024-08-16,24.77
2024-08-19,24.93
2024-08-20,24.97
2024-08-21,24.92
2024-08-22,24.7
2024-08-23,25.08
2024-08-26,25.03
2024-08-27,25.0
2024-08-28,24.88
2024-08-29,24.83
2024-08-30,24.77
2024-09-03,24.55
2024-09-04,24.67
2024-09-05,24.8
2024-09-06,24.77
2024-09-09,24.74
2024-09-10,24.68
2024-09-11,24.77
2024-09-12,24.89
2024-09-13,25.02
2024-09-16,25.09
2024-09-17,25.13
2024-09-18,25.14
2024-09-19,25.29
2024-09-20,25.29
2024-09-23,25.24
2024-09-24,25.44
2024-09-25,25.31
2024-09-26,25.5
2024-09-27,25.5
2024-09-30,25.4
2024-10-01,25.17
2024-10-02,25.14
2024-10-03,24.94
2024-10-04,24.76
2024-10-07,24.72
2024-10-08,24.7
2024-10-09,24.63
2024-10-10,24.67
2024-10-11,24.74
2024-10-14,24.65
2024-10-15,24.56
2024-10-16,24.52
2024-10-17,24.48
2024-10-18,24.46
2024-10-21,24.36
2024-10-22,24.32
2024-10-23,24.19
2024-10-24,24.27
2024-10-25,24.23
