date,close
2019-06-21,29.13
2019-06-24,29.3
2019-06-25,28.69
2019-06-26,28.93
2019-06-27,28.62
2019-06-28,28.87
2019-07-01,28.87
2019-07-02,29.02
2019-07-03,29.38
2019-07-05,29.38
2019-07-08,29.37
2019-07-09,29.62
2019-07-10,30.29
2019-07-11,30.52
2019-07-12,30.57
2019-07-15,30.31
2019-07-16,30.32
2019-07-17,30.14
2019-07-18,29.93
2019-07-19,30.2
2019-07-22,30.68
2019-07-23,30.49
2019-07-24,30.48
2019-07-25,30.21
2019-07-26,30.21
2019-07-29,29.7
2019-07-30,29.39
2019-07-31,30.11
2019-08-01,29.89
2019-08-02,29.78
2019-08-05,29.01
2019-08-06,28.97
2019-08-07,28.38
2019-08-08,28.5
2019-08-09,28.42
2019-08-12,28.1
2019-08-13,28.4
2019-08-14,27.92
2019-08-15,27.86
2019-08-16,28.42
2019-08-19,28.95
2019-08-20,29.16
2019-08-21,29.29
2019-08-22,28.96
2019-08-23,28.16
2019-08-26,28.12
2019-08-27,27.98
2019-08-28,28.22
2019-08-29,28.45
2019-08-30,28.51
2019-09-03,28.32
2019-09-04,28.46
2019-09-05,28.55
2019-09-06,28.36
2019-09-09,28.8
2019-09-10,28.71
2019-09-11,28.91
2019-09-12,28.68
2019-09-13,28.53
2019-09-16,28.88
2019-09-17,28.99
2019-09-18,29.08
2019-09-19,28.8
2019-09-20,29.14
2019-09-23,29.26
2019-09-24,28.89
2019-09-25,28.69
2019-09-26,28.47
2019-09-27,28.64
2019-09-30,28.58
2019-10-01,28.52
2019-10-02,28.09
2019-10-03,28.08
2019-10-04,27.96
2019-10-07,27.94
2019-10-08,27.61
2019-10-09,27.32
2019-10-10,27.55
2019-10-11,27.58
2019-10-14,27.58
2019-10-15,27.68
2019-10-16,27.5
2019-10-17,27.37
2019-10-18,27.6
2019-10-21,27.57
2019-10-22,27.5
2019-10-23,27.45
2019-10-24,27.45
2019-10-25,27.54
2019-10-28,26.89
2019-10-29,26.83
2019-10-30,26.37
2019-10-31,26.03
