date,close
2019-06-21,55.03
2019-06-24,54.25
2019-06-25,53.73
2019-06-26,54.5
2019-06-27,54.56
2019-06-28,54.67
2019-07-01,54.87
2019-07-02,54.71
2019-07-03,54.56
2019-07-05,53.88
2019-07-08,54.08
2019-07-09,53.19
2019-07-10,54.49
2019-07-11,54.13
2019-07-12,54.34
2019-07-15,54.78
2019-07-16,54.82
2019-07-17,54.23
2019-07-18,55.5
2019-07-19,54.91
2019-07-22,54.9
2019-07-23,55.02
2019-07-24,54.94
2019-07-25,53.56
2019-07-26,53.01
2019-07-29,53.81
2019-07-30,53.1
2019-07-31,51.68
2019-08-01,50.44
2019-08-02,50.09
2019-08-05,48.54
2019-08-06,48.97
2019-08-07,48.7
2019-08-08,48.63
2019-08-09,47.48
2019-08-12,47.04
2019-08-13,47.48
2019-08-14,45.52
2019-08-15,46.36
2019-08-16,46.52
2019-08-19,45.97
2019-08-20,46.1
2019-08-21,47.31
2019-08-22,46.63
2019-08-23,45.82
2019-08-26,46.36
2019-08-27,45.86
2019-08-28,46.44
2019-08-29,46.61
2019-08-30,47.88
2019-09-03,48.21
2019-09-04,49.15
2019-09-05,49.61
2019-09-06,49.74
2019-09-09,49.8
2019-09-10,50.08
2019-09-11,50.78
2019-09-12,51.59
2019-09-13,52.25
2019-09-16,52.66
2019-09-17,51.86
2019-09-18,51.4
2019-09-19,50.61
2019-09-20,50.12
2019-09-23,49.91
2019-09-24,49.85
2019-09-25,48.9
2019-09-26,48.98
2019-09-27,47.9
2019-09-30,47.45
2019-10-01,47.23
2019-10-02,46.98
2019-10-03,47.59
2019-10-04,48.45
2019-10-07,48.13
2019-10-08,47.7
2019-10-09,47.93
2019-10-10,48.9
2019-10-11,50.38
2019-10-14,50.05
2019-10-15,50.09
2019-10-16,50.35
2019-10-17,50.89
2019-10-18,50.95
2019-10-21,51.43
2019-10-22,51.96
2019-10-23,51.45
2019-10-24,50.84
2019-10-25,50.96
2019-10-28,51.72
2019-10-29,51.1
2019-10-30,49.96
2019-10-31,49.6
2019-11-01,50.01
2019-11-04,50.97
2019-11-05,51.66
2019-11-06,51.72
2019-11-07,51.93
2019-11-08,51.11
2019-11-11,50.87
2019-11-12,50.58
2019-11-13,50.55
2019-11-14,50.88
2019-11-15,51.2
2019-11-18,51.17
2019-11-19,51.52
2019-11-20,51.92
2019-11-21,51.82
2019-11-22,51.42
2019-11-25,51.1
2019-11-26,50.21
2019-11-27,49.97
2019-11-29,49.55
2019-12-02,49.13
2019-12-03,49.07
2019-12-04,49.54
2019-12-05,49.14
2019-12-06,49.31
2019-12-09,48.74
2019-12-10,48.63
2019-12-11,49.7
2019-12-12,50.37
2019-12-13,50.99
2019-12-16,47.16
2019-12-17,47.66
2019-12-18,48.77
2019-12-19,48.64
2019-12-20,48.63
2019-12-23,48.45
2019-12-24,48.66
