date,close
2021-05-27,30.02
2021-05-28,34.15
2021-06-01,31.76
2021-06-02,31.81
2021-06-03,31.77
2021-06-04,31.35
2021-06-07,30.32
2021-06-08,32.21
2021-06-09,33.13
2021-06-10,33.94
2021-06-11,34.18
2021-06-14,34.9
2021-06-15,34.0
2021-06-16,34.24
2021-06-17,36.51
2021-06-18,36.4
2021-06-21,42.61
2021-06-22,45.21
2021-06-23,46.51
2021-06-24,43.37
2021-06-25,43.46
2021-06-28,48.72
2021-06-29,47.16
2021-06-30,50.1
2021-07-01,45.87
2021-07-02,44.04
2021-07-06,46.04
2021-07-07,45.16
2021-07-08,44.56
2021-07-09,42.65
2021-07-12,44.24
2021-07-13,45.56
2021-07-14,40.25
2021-07-15,38.85
2021-07-16,38.61
2021-07-19,36.75
2021-07-20,39.08
2021-07-21,41.17
2021-07-22,40.63
2021-07-23,39.75
2021-07-26,39.09
2021-07-27,37.48
2021-07-28,36.75
2021-07-29,36.29
2021-07-30,36.4
2021-08-02,36.22
2021-08-03,36.49
2021-08-04,36.29
2021-08-05,39.69
2021-08-06,39.56
2021-08-09,40.02
2021-08-10,39.83
2021-08-11,40.85
2021-08-12,42.01
2021-08-13,42.33
2021-08-16,42.03
2021-08-17,41.46
2021-08-18,39.67
2021-08-19,38.18
2021-08-20,36.75
2021-08-23,35.24
2021-08-24,37.38
2021-08-25,37.01
2021-08-26,36.28
2021-08-27,39.45
2021-08-30,41.85
2021-08-31,41.01
2021-09-01,44.33
2021-09-02,45.36
2021-09-03,44.5
2021-09-07,45.18
2021-09-08,42.18
2021-09-09,42.36
2021-09-10,43.63
2021-09-13,43.82
2021-09-14,40.5
2021-09-15,40.66
2021-09-16,42.42
2021-09-17,41.21
2021-09-20,38.74
2021-09-21,37.69
2021-09-22,37.75
2021-09-23,39.32
2021-09-24,38.33
2021-09-27,39.02
2021-09-28,38.73
2021-09-29,38.92
2021-09-30,37.14
2021-10-01,37.91
2021-10-04,36.18
2021-10-05,37.36
2021-10-06,37.5
2021-10-07,37.34
2021-10-08,35.84
2021-10-11,35.33
2021-10-12,36.8
2021-10-13,36.77
2021-10-14,36.98
2021-10-15,36.33
2021-10-18,36.02
2021-10-19,36.89
2021-10-20,35.98
2021-10-21,37.52
2021-10-22,37.0
2021-10-25,37.24
2021-10-26,35.65
2021-10-27,32.75
2021-10-28,33.15
2021-10-29,33.61
2021-11-01,34.52
2021-11-02,34.31
2021-11-03,42.27
2021-11-04,41.76
2021-11-05,42.82
2021-11-08,40.13
2021-11-09,40.18
2021-11-10,38.98
2021-11-11,34.1
2021-11-12,34.96
2021-11-15,33.72
2021-11-16,34.0
2021-11-17,32.25
2021-11-18,30.72
2021-11-19,31.95
2021-11-22,32.85
2021-11-23,30.7
2021-11-24,32.96
2021-11-26,32.78
2021-11-29,33.46
2021-11-30,33.24
2021-12-01,30.89
2021-12-02,32.22
2021-12-03,30.02
2021-12-06,31.26
2021-12-07,33.31
2021-12-08,33.72
2021-12-09,31.22
2021-12-10,24.65
2021-12-13,25.74
2021-12-14,25.13
2021-12-15,25.03
2021-12-16,22.94
2021-12-17,25.13
2021-12-20,23.91
2021-12-21,25.25
2021-12-22,25.51
2021-12-23,26.36
2021-12-27,26.12
2021-12-28,25.71
2021-12-29,26.31
2021-12-30,27.48
2021-12-31,27.56
2022-01-03,26.8
2022-01-04,26.25
2022-01-05,24.24
2022-01-06,23.31
2022-01-07,22.53
2022-01-10,25.5
2022-01-11,24.82
2022-01-12,24.77
2022-01-13,23.99
2022-01-14,23.28
2022-01-18,21.91
2022-01-19,21.6
2022-01-20,20.53
2022-01-21,20.96
2022-01-24,22.0
2022-01-25,21.72
2022-01-26,21.2
2022-01-27,20.47
2022-01-28,21.03
2022-01-31,22.48
2022-02-01,22.89
2022-02-02,21.96
2022-02-03,20.37
2022-02-04,21.49
2022-02-07,19.7
2022-02-08,20.39
2022-02-09,21.15
2022-02-10,20.74
2022-02-11,19.38
2022-02-14,18.83
2022-02-15,19.4
2022-02-16,19.0
2022-02-17,17.29
2022-02-18,16.58
2022-02-22,16.36
2022-02-23,16.41
2022-02-24,16.72
2022-02-25,16.49
2022-02-28,16.43
2022-03-01,14.53
2022-03-02,14.81
2022-03-03,13.98
2022-03-04,13.44
2022-03-07,13.56
2022-03-08,14.04
2022-03-09,17.29
2022-03-10,17.16
2022-03-11,16.54
2022-03-14,16.15
2022-03-15,16.45
2022-03-16,18.3
2022-03-17,18.9
2022-03-18,19.61
2022-03-21,19.6
2022-03-22,20.52
2022-03-23,20.67
2022-03-24,21.33
2022-03-25,20.85
2022-03-28,20.76
2022-03-29,22.09
2022-03-30,22.02
2022-03-31,21.52
2022-04-01,22.39
