date,close
2023-06-21,53.62
2023-06-22,53.54
2023-06-23,52.75
2023-06-26,52.68
2023-06-27,52.42
2023-06-28,53.1
2023-06-29,52.92
2023-06-30,54.7
2023-07-03,58.0
2023-07-05,59.8
2023-07-06,59.09
2023-07-07,59.27
2023-07-10,58.39
2023-07-11,59.29
2023-07-12,59.24
2023-07-13,59.63
2023-07-14,59.17
2023-07-17,58.36
2023-07-18,60.17
2023-07-19,60.83
2023-07-20,61.18
2023-07-21,61.56
2023-07-24,61.84
2023-07-25,62.12
2023-07-26,61.49
2023-07-27,60.97
2023-07-28,59.65
2023-07-31,60.38
2023-08-01,61.07
2023-08-02,59.51
2023-08-03,57.29
2023-08-04,58.81
2023-08-07,58.33
2023-08-08,57.66
2023-08-09,57.78
2023-08-10,57.3
2023-08-11,56.29
2023-08-14,55.99
2023-08-15,55.88
2023-08-16,55.81
2023-08-17,56.06
2023-08-18,55.39
2023-08-21,55.68
2023-08-22,55.19
2023-08-23,55.28
2023-08-24,55.26
2023-08-25,54.74
2023-08-28,55.96
2023-08-29,55.72
2023-08-30,56.29
2023-08-31,55.86
2023-09-01,56.68
2023-09-05,55.64
2023-09-06,55.32
2023-09-07,54.39
2023-09-08,55.33
2023-09-11,55.52
2023-09-12,55.72
2023-09-13,55.25
2023-09-14,56.38
2023-09-15,56.9
2023-09-18,57.26
2023-09-19,58.23
2023-09-20,58.14
2023-09-21,57.05
2023-09-22,56.12
2023-09-25,55.98
2023-09-26,55.6
2023-09-27,55.54
2023-09-28,55.82
2023-09-29,55.27
2023-10-02,54.24
2023-10-03,53.75
2023-10-04,54.3
2023-10-05,54.15
2023-10-06,53.44
2023-10-09,52.29
2023-10-10,53.1
2023-10-11,53.12
2023-10-12,51.6
2023-10-13,51.82
2023-10-16,52.6
2023-10-17,53.61
2023-10-18,51.86
2023-10-19,51.42
2023-10-20,50.4
2023-10-23,49.58
2023-10-24,50.5
2023-10-25,48.85
2023-10-26,48.22
2023-10-27,47.16
2023-10-30,48.41
2023-10-31,49.11
2023-11-01,49.28
2023-11-02,51.36
2023-11-03,51.96
2023-11-06,51.72
2023-11-07,51.1
2023-11-08,53.0
2023-11-09,51.78
2023-11-10,52.41
2023-11-13,52.39
2023-11-14,53.91
2023-11-15,54.46
2023-11-16,53.9
2023-11-17,54.67
2023-11-20,54.8
2023-11-21,53.9
2023-11-22,54.43
2023-11-24,55.5
2023-11-27,55.99
2023-11-28,56.91
2023-11-29,58.18
2023-11-30,58.64
2023-12-01,59.9
2023-12-04,59.93
2023-12-05,59.59
2023-12-06,58.96
2023-12-07,58.92
2023-12-08,58.94
2023-12-11,58.72
2023-12-12,57.84
2023-12-13,60.0
2023-12-14,60.36
2023-12-15,59.41
2023-12-18,60.04
2023-12-19,59.92
2023-12-20,58.88
2023-12-21,59.71
2023-12-22,59.94
2023-12-26,60.27
2023-12-27,60.4
2023-12-28,60.8
2023-12-29,60.07
2024-01-02,60.97
2024-01-03,60.21
2024-01-04,60.57
2024-01-05,61.41
2024-01-08,63.35
2024-01-09,62.17
2024-01-10,62.45
2024-01-11,62.3
2024-01-12,61.79
2024-01-16,61.16
2024-01-17,59.8
2024-01-18,59.01
2024-01-19,59.86
2024-01-22,61.83
2024-01-23,60.43
2024-01-24,61.06
2024-01-25,62.25
2024-01-26,63.51
2024-01-29,63.5
2024-01-30,63.15
2024-01-31,62.26
2024-02-01,62.87
2024-02-02,62.29
2024-02-05,61.71
2024-02-06,61.62
2024-02-07,61.67
2024-02-08,61.44
2024-02-09,61.76
2024-02-12,62.32
2024-02-13,61.24
2024-02-14,62.64
2024-02-15,63.65
2024-02-16,63.65
2024-02-20,62.96
2024-02-21,63.45
2024-02-22,64.1
2024-02-23,64.28
2024-02-26,67.33
2024-02-27,66.98
2024-02-28,66.87
2024-02-29,69.19
2024-03-01,69.21
2024-03-04,69.45
2024-03-05,69.75
2024-03-06,69.83
2024-03-07,69.15
2024-03-08,69.65
2024-03-11,69.75
2024-03-12,69.55
2024-03-13,68.9
2024-03-14,68.22
2024-03-15,69.12
2024-03-18,69.3
2024-03-19,69.86
2024-03-20,70.7
2024-03-21,72.26
2024-03-22,70.52
2024-03-25,71.09
2024-03-26,72.3
2024-03-27,73.46
2024-03-28,74.18
2024-04-01,72.75
2024-04-02,73.7
2024-04-03,72.61
2024-04-04,71.9
2024-04-05,72.44
2024-04-08,73.08
2024-04-09,73.87
2024-04-10,72.63
2024-04-11,72.16
2024-04-12,70.95
2024-04-15,70.72
2024-04-16,70.7
2024-04-17,70.35
2024-04-18,70.0
2024-04-19,70.73
2024-04-22,71.3
2024-04-23,71.9
2024-04-24,70.81
2024-04-25,70.47
2024-04-26,69.6
2024-04-29,69.44
2024-04-30,67.92
2024-05-01,67.2
2024-05-02,69.43
2024-05-03,70.72
2024-05-06,70.45
2024-05-07,74.31
2024-05-08,74.05
2024-05-09,73.71
2024-05-10,74.64
2024-05-13,75.75
2024-05-14,76.39
2024-05-15,77.48
