date,close
2023-06-21,25.98
2023-06-22,25.76
2023-06-23,23.88
2023-06-26,23.19
2023-06-27,24.67
2023-06-28,25.76
2023-06-29,26.48
2023-06-30,26.64
2023-07-03,26.15
2023-07-05,25.46
2023-07-06,24.37
2023-07-07,24.38
2023-07-10,25.6
2023-07-11,25.63
2023-07-12,27.25
2023-07-13,28.63
2023-07-14,27.7
2023-07-17,29.11
2023-07-18,31.13
2023-07-19,30.16
2023-07-20,29.73
2023-07-21,28.87
2023-07-24,28.48
2023-07-25,28.07
2023-07-26,28.07
2023-07-27,27.76
2023-07-28,27.33
2023-07-31,29.24
2023-08-01,28.85
2023-08-02,27.63
2023-08-03,28.36
2023-08-04,28.41
2023-08-07,27.15
2023-08-08,27.62
2023-08-09,27.74
2023-08-10,26.02
2023-08-11,24.97
2023-08-14,24.12
2023-08-15,24.34
2023-08-16,22.67
2023-08-17,21.28
2023-08-18,22.83
2023-08-21,22.61
2023-08-22,23.16
2023-08-23,23.91
2023-08-24,23.17
2023-08-25,23.77
2023-08-28,23.96
2023-08-29,26.07
2023-08-30,26.36
2023-08-31,26.35
2023-09-01,27.54
2023-09-05,27.34
2023-09-06,26.79
2023-09-07,26.18
2023-09-08,26.48
2023-09-11,25.43
2023-09-12,25.79
2023-09-13,25.2
2023-09-14,25.44
2023-09-15,25.24
2023-09-18,24.36
2023-09-19,23.95
2023-09-20,23.69
2023-09-21,22.23
2023-09-22,22.15
2023-09-25,22.7
2023-09-26,22.04
2023-09-27,22.25
2023-09-28,22.48
2023-09-29,22.99
2023-10-02,22.38
2023-10-03,20.42
2023-10-04,21.1
2023-10-05,20.62
2023-10-06,20.78
2023-10-09,20.51
2023-10-10,22.48
2023-10-11,23.06
2023-10-12,21.13
2023-10-13,20.7
2023-10-16,21.35
2023-10-17,21.02
2023-10-18,19.31
2023-10-19,19.33
2023-10-20,18.07
2023-10-23,17.975
2023-10-24,19.0
2023-10-25,18.96
2023-10-26,18.62
2023-10-27,17.26
2023-10-30,17.28
2023-10-31,17.32
2023-11-01,16.62
2023-11-02,17.26
2023-11-03,19.01
2023-11-06,18.77
2023-11-07,18.23
2023-11-08,18.5
2023-11-09,17.74
2023-11-10,17.15
2023-11-13,16.65
2023-11-14,18.82
2023-11-15,19.33
2023-11-16,18.27
2023-11-17,19.15
2023-11-20,19.27
2023-11-21,18.9
2023-11-22,18.98
2023-11-24,18.86
2023-11-27,19.1
2023-11-28,20.27
2023-11-29,25.09
2023-11-30,25.08
2023-12-01,25.77
2023-12-04,26.94
2023-12-05,25.74
2023-12-06,22.4
2023-12-07,21.97
2023-12-08,21.93
2023-12-11,21.95
2023-12-12,20.68
2023-12-13,22.96
2023-12-14,24.7
2023-12-15,25.89
2023-12-18,26.31
2023-12-19,27.22
2023-12-20,23.01
2023-12-21,24.91
2023-12-22,25.25
2023-12-26,25.43
2023-12-27,25.24
2023-12-28,24.59
2023-12-29,23.85
2024-01-02,23.85
2024-01-03,22.48
2024-01-04,21.88
2024-01-05,21.5
2024-01-08,21.99
2024-01-09,21.66
2024-01-10,21.56
2024-01-11,20.91
2024-01-12,20.25
2024-01-16,19.61
2024-01-17,19.32
2024-01-18,19.45
2024-01-19,19.94
2024-01-22,21.11
2024-01-23,21.76
2024-01-24,20.98
2024-01-25,21.01
2024-01-26,20.12
2024-01-29,21.05
2024-01-30,20.22
2024-01-31,19.87
2024-02-01,20.54
2024-02-02,19.79
2024-02-05,18.48
2024-02-06,19.6
2024-02-07,20.23
2024-02-08,21.58
2024-02-09,22.43
2024-02-12,22.16
2024-02-13,20.67
2024-02-14,21.08
2024-02-15,20.31
2024-02-16,19.16
2024-02-20,17.76
2024-02-21,17.01
2024-02-22,14.725
2024-02-23,14.41
2024-02-26,15.55
2024-02-27,15.17
2024-02-28,15.45
2024-02-29,15.29
2024-03-01,15.45
2024-03-04,15.11
2024-03-05,14.81
2024-03-06,14.83
2024-03-07,15.21
2024-03-08,15.4
2024-03-11,15.23
2024-03-12,15.17
2024-03-13,14.31
2024-03-14,13.47
2024-03-15,14.1
2024-03-18,14.15
2024-03-19,14.42
2024-03-20,14.99
2024-03-21,16.02
2024-03-22,15.72
2024-03-25,15.9
2024-03-26,15.79
2024-03-27,16.65
2024-03-28,17.34
2024-04-01,17.42
2024-04-02,15.7
2024-04-03,16.46
2024-04-04,16.7
2024-04-05,16.61
2024-04-08,16.69
2024-04-09,17.04
2024-04-10,16.74
2024-04-11,16.8
2024-04-12,16.14
2024-04-15,15.73
2024-04-16,16.05
2024-04-17,15.98
2024-04-18,15.58
2024-04-19,15.1
2024-04-22,15.69
2024-04-23,16.24
2024-04-24,16.84
2024-04-25,16.51
2024-04-26,16.85
2024-04-29,18.14
2024-04-30,17.84
2024-05-01,18.14
2024-05-02,19.49
2024-05-03,20.9
2024-05-06,21.15
2024-05-07,20.82
2024-05-08,20.38
2024-05-09,18.75
2024-05-10,16.73
2024-05-13,17.41
2024-05-14,18.44
2024-05-15,18.53
2024-05-16,18.26
2024-05-17,18.32
2024-05-20,18.15
2024-05-21,18.84
2024-05-22,20.04
2024-05-23,20.21
2024-05-24,23.25
2024-05-28,23.83
2024-05-29,24.39
2024-05-30,25.65
2024-05-31,25.13
2024-06-03,24.4
2024-06-04,22.34
2024-06-05,24.78
2024-06-06,22.9
2024-06-07,22.36
2024-06-10,22.34
2024-06-11,22.6
2024-06-12,22.61
2024-06-13,22.0
2024-06-14,20.43
2024-06-17,20.17
2024-06-18,20.26
2024-06-20,20.01
2024-06-21,19.49
2024-06-24,18.62
2024-06-25,18.6
2024-06-26,18.87
2024-06-27,19.13
2024-06-28,17.34
2024-07-01,16.43
2024-07-02,15.88
2024-07-03,17.09
2024-07-05,16.59
2024-07-08,17.19
2024-07-09,17.01
2024-07-10,17.24
2024-07-11,18.19
2024-07-12,18.54
2024-07-15,16.66
2024-07-16,17.61
2024-07-17,17.01
2024-07-18,16.49
2024-07-19,15.96
2024-07-22,16.25
2024-07-23,16.14
2024-07-24,15.58
2024-07-25,15.6
2024-07-26,16.37
2024-07-29,16.08
2024-07-30,15.63
2024-07-31,16.38
2024-08-01,15.85
2024-08-02,14.67
2024-08-05,14.13
2024-08-06,14.36
2024-08-07,13.84
2024-08-08,15.92
2024-08-09,16.25
2024-08-12,15.77
2024-08-13,17.03
2024-08-14,16.62
2024-08-15,17.44
2024-08-16,17.24
2024-08-19,18.01
2024-08-20,17.67
2024-08-21,18.32
2024-08-22,17.78
2024-08-23,19.58
2024-08-26,19.26
2024-08-27,18.76
2024-08-28,17.99
2024-08-29,18.3
2024-08-30,18.37
2024-09-03,17.34
2024-09-04,18.51
2024-09-05,19.44
2024-09-06,18.35
2024-09-09,18.87
2024-09-10,18.92
2024-09-11,21.09
2024-09-12,21.65
2024-09-13,21.73
2024-09-16,21.99
2024-09-17,21.95
2024-09-18,21.7
2024-09-19,21.34
2024-09-20,21.56
2024-09-23,21.88
2024-09-24,22.36
2024-09-25,21.62
2024-09-26,22.16
2024-09-27,22.92
2024-09-30,22.71
2024-10-01,21.57
2024-10-02,21.85
2024-10-03,21.57
2024-10-04,21.99
2024-10-07,21.16
2024-10-08,20.68
2024-10-09,21.39
2024-10-10,20.57
2024-10-11,21.7
2024-10-14,21.87
2024-10-15,21.3
2024-10-16,22.41
2024-10-17,21.38
2024-10-18,21.06
2024-10-21,20.68
2024-10-22,19.81
2024-10-23,19.8
2024-10-24,20.74
2024-10-25,20.66
2024-10-28,20.81
2024-10-29,20.84
2024-10-30,21.19
2024-10-31,21.75
2024-11-01,21.28
2024-11-04,22.15
2024-11-05,22.42
2024-11-06,19.47
2024-11-07,20.14
2024-11-08,20.67
2024-11-11,21.67
2024-11-12,20.45
2024-11-13,20.22
2024-11-14,21.01
2024-11-15,19.34
2024-11-18,19.64
2024-11-19,21.09
2024-11-20,21.91
2024-11-21,21.18
2024-11-22,23.02
2024-11-25,23.5
2024-11-26,19.0
2024-11-27,18.37
2024-11-29,18.81
2024-12-02,18.77
2024-12-03,18.33
2024-12-04,17.08
2024-12-05,16.84
2024-12-06,16.92
2024-12-09,18.52
2024-12-10,16.42
2024-12-11,16.67
2024-12-12,17.07
2024-12-13,17.17
2024-12-16,16.95
2024-12-17,17.04
2024-12-18,16.07
2024-12-19,15.0
2024-12-20,15.21
2024-12-23,15.94
2024-12-24,16.13
2024-12-26,15.8
2024-12-27,16.24
2024-12-30,16.42
2024-12-31,15.88
2025-01-02,16.91
2025-01-03,17.35
2025-01-06,17.39
2025-01-07,17.66
2025-01-08,17.09
2025-01-10,16.09
2025-01-13,16.56
2025-01-14,16.15
2025-01-15,15.71
2025-01-16,15.58
2025-01-17,14.44
2025-01-21,14.41
2025-01-22,13.33
2025-01-23,13.75
2025-01-24,14.19
2025-01-27,13.69
2025-01-28,12.65
2025-01-29,13.25
2025-01-30,13.82
2025-01-31,13.01
2025-02-03,12.48
2025-02-04,12.37
2025-02-05,11.94
2025-02-06,12.6
2025-02-07,12.53
2025-02-10,13.07
2025-02-11,7.0
2025-02-12,6.53
2025-02-13,6.18
2025-02-14,6.43
2025-02-18,7.03
2025-02-19,6.85
2025-02-20,7.36
2025-02-21,6.94
2025-02-24,6.59
2025-02-25,6.19
2025-02-26,6.15
2025-02-27,5.88
2025-02-28,5.72
2025-03-03,5.19
2025-03-04,5.21
2025-03-05,5.45
2025-03-06,5.28
2025-03-07,5.6
2025-03-10,5.37
2025-03-11,5.38
2025-03-12,5.28
2025-03-13,5.22
2025-03-14,5.13
2025-03-17,5.41
2025-03-18,5.51
2025-03-19,5.66
2025-03-20,5.43
2025-03-21,5.38
2025-03-24,5.3
2025-03-25,5.42
2025-03-26,5.29
2025-03-27,5.03
2025-03-28,4.98
2025-03-31,4.85
2025-04-01,4.8
2025-04-02,4.86
2025-04-03,4.32
2025-04-04,4.31
2025-04-07,4.29
2025-04-08,3.9
2025-04-09,4.42
2025-04-10,3.86
2025-04-11,4.16
2025-04-14,4.06
2025-04-15,3.675
2025-04-16,3.64
2025-04-17,3.69
2025-04-21,3.61
2025-04-22,3.71
2025-04-23,3.67
2025-04-24,3.91
2025-04-25,4.18
2025-04-28,4.1
2025-04-29,4.12
2025-04-30,4.09
2025-05-01,4.28
2025-05-02,4.34
2025-05-05,4.26
2025-05-06,4.19
2025-05-07,4.51
2025-05-08,4.82
2025-05-09,4.58
2025-05-12,5.69
2025-05-13,5.78
2025-05-14,5.45
2025-05-15,5.37
2025-05-16,5.405
2025-05-19,5.27
2025-05-20,5.36
2025-05-21,5.01
2025-05-22,4.93
2025-05-23,4.88
2025-05-27,4.83
2025-05-28,4.78
2025-05-29,4.68
