date,close
2023-06-21,63.45
2023-06-22,62.86
2023-06-23,61.74
2023-06-26,60.03
2023-06-27,61.66
2023-06-28,64.17
2023-06-29,66.21
2023-06-30,67.91
2023-07-03,67.68
2023-07-05,66.98
2023-07-06,64.84
2023-07-07,66.16
2023-07-10,68.19
2023-07-11,67.33
2023-07-12,68.3
2023-07-13,69.35
2023-07-14,67.13
2023-07-17,68.63
2023-07-18,68.87
2023-07-19,68.87
2023-07-20,68.18
2023-07-21,67.49
2023-07-24,66.69
2023-07-25,67.28
2023-07-26,67.34
2023-07-27,65.52
2023-07-28,66.62
2023-07-31,68.99
2023-08-01,68.57
2023-08-02,63.76
2023-08-03,65.3
2023-08-04,64.44
2023-08-07,65.62
2023-08-08,64.82
2023-08-09,63.37
2023-08-10,62.32
2023-08-11,60.81
2023-08-14,60.31
2023-08-15,57.93
2023-08-16,57.34
2023-08-17,53.99
2023-08-18,54.63
2023-08-21,54.22
2023-08-22,54.88
2023-08-23,55.48
2023-08-24,54.72
2023-08-25,55.76
2023-08-28,55.94
2023-08-29,57.6
2023-08-30,56.88
2023-08-31,56.79
2023-09-01,57.79
2023-09-05,56.93
2023-09-06,56.73
2023-09-07,56.78
2023-09-08,56.31
2023-09-11,56.55
2023-09-12,55.49
2023-09-13,53.45
2023-09-14,59.31
2023-09-15,58.72
2023-09-18,58.4
2023-09-19,58.02
2023-09-20,57.03
2023-09-21,55.08
2023-09-22,54.41
2023-09-25,55.08
2023-09-26,54.6
2023-09-27,54.44
2023-09-28,54.88
2023-09-29,55.37
2023-10-02,54.51
2023-10-03,52.93
2023-10-04,53.17
2023-10-05,53.33
2023-10-06,55.0
2023-10-09,52.9
2023-10-10,53.38
2023-10-11,52.24
2023-10-12,51.05
2023-10-13,50.67
2023-10-16,52.02
2023-10-17,53.21
2023-10-18,51.72
2023-10-19,52.31
2023-10-20,50.61
2023-10-23,48.35
2023-10-24,49.62
2023-10-25,46.04
2023-10-26,44.67
2023-10-27,43.61
2023-10-30,43.96
2023-10-31,44.52
2023-11-01,45.45
2023-11-02,47.88
2023-11-03,48.41
2023-11-06,46.57
2023-11-07,47.65
2023-11-08,54.27
2023-11-09,55.53
2023-11-10,57.33
2023-11-13,58.85
2023-11-14,63.4
2023-11-15,62.9
2023-11-16,64.34
2023-11-17,64.64
2023-11-20,64.59
2023-11-21,63.64
2023-11-22,63.83
2023-11-24,63.8
2023-11-27,65.05
2023-11-28,65.0
2023-11-29,66.23
2023-11-30,65.82
2023-12-01,67.48
2023-12-04,66.55
2023-12-05,66.3
2023-12-06,64.71
2023-12-07,65.66
2023-12-08,67.4
2023-12-11,67.15
2023-12-12,67.32
2023-12-13,67.65
2023-12-14,70.83
