date,close
2019-06-21,10.45
2019-06-24,9.92
2019-06-25,9.94
2019-06-26,10.18
2019-06-27,10.37
2019-06-28,10.57
2019-07-01,10.54
2019-07-02,10.78
2019-07-03,11.0
2019-07-05,10.79
2019-07-08,10.62
2019-07-09,11.36
2019-07-10,10.94
2019-07-11,10.79
2019-07-12,10.9
2019-07-15,10.97
2019-07-16,11.25
2019-07-17,11.35
2019-07-18,11.03
2019-07-19,11.17
2019-07-22,11.18
2019-07-23,11.31
2019-07-24,11.37
2019-07-25,11.24
2019-07-26,11.4
2019-07-29,11.36
2019-07-30,11.35
2019-07-31,11.33
2019-08-01,11.0
2019-08-02,10.67
2019-08-05,9.9
2019-08-06,10.11
2019-08-07,10.2
2019-08-08,10.35
2019-08-09,10.1
2019-08-12,10.02
2019-08-13,10.37
2019-08-14,10.0
2019-08-15,10.07
2019-08-16,10.69
2019-08-19,10.68
2019-08-20,10.98
2019-08-21,11.2
2019-08-22,11.15
2019-08-23,11.32
2019-08-26,10.59
2019-08-27,10.92
2019-08-28,11.09
2019-08-29,11.0
2019-08-30,10.8
2019-09-03,10.63
2019-09-04,11.27
2019-09-05,11.15
2019-09-06,11.19
2019-09-09,11.49
2019-09-10,11.65
2019-09-11,11.97
2019-09-12,11.87
2019-09-13,11.99
2019-09-16,12.2
2019-09-17,12.42
2019-09-18,12.17
2019-09-19,12.37
2019-09-20,12.28
2019-09-23,12.11
2019-09-24,11.44
2019-09-25,11.22
2019-09-26,11.19
2019-09-27,10.77
2019-09-30,10.97
2019-10-01,10.59
2019-10-02,10.4
2019-10-03,10.46
2019-10-04,10.53
2019-10-07,10.48
2019-10-08,10.46
2019-10-09,10.63
2019-10-10,10.74
2019-10-11,10.76
2019-10-14,10.72
2019-10-15,10.81
2019-10-16,10.73
2019-10-17,10.675
2019-10-18,10.74
2019-10-21,10.78
2019-10-22,10.74
2019-10-23,10.85
2019-10-24,10.73
2019-10-25,10.74
2019-10-28,10.87
2019-10-29,10.81
2019-10-30,10.79
2019-10-31,10.77
2019-11-01,10.75
2019-11-04,10.89
2019-11-05,11.2
2019-11-06,11.29
2019-11-07,11.56
2019-11-08,11.31
2019-11-11,11.05
2019-11-12,11.1
2019-11-13,10.95
2019-11-14,11.03
2019-11-15,11.12
2019-11-18,11.05
2019-11-19,11.0
2019-11-20,10.93
2019-11-21,11.14
2019-11-22,10.66
2019-11-25,10.66
2019-11-26,10.56
2019-11-27,10.53
2019-11-29,10.45
2019-12-02,10.13
2019-12-03,10.14
2019-12-04,10.2
2019-12-05,10.27
