date,close
2023-06-21,27.5
2023-06-22,27.44
2023-06-23,26.87
2023-06-26,27.01
2023-06-27,27.6
2023-06-28,27.37
2023-06-29,26.94
2023-06-30,27.19
2023-07-03,27.71
2023-07-05,27.39
2023-07-06,26.6
2023-07-07,27.18
2023-07-10,27.16
2023-07-11,27.34
2023-07-12,28.16
2023-07-13,28.8
2023-07-14,28.29
2023-07-17,28.15
2023-07-18,27.52
2023-07-19,27.7
2023-07-20,27.6
2023-07-21,27.62
2023-07-24,28.21
2023-07-25,28.56
2023-07-26,28.97
2023-07-27,28.5
2023-07-28,30.08
2023-07-31,30.42
2023-08-01,29.68
2023-08-02,28.77
2023-08-03,29.55
2023-08-04,29.13
2023-08-07,29.02
2023-08-08,28.48
2023-08-09,28.6
2023-08-10,28.83
2023-08-11,27.92
2023-08-14,27.66
2023-08-15,27.21
2023-08-16,26.65
2023-08-17,26.85
2023-08-18,26.19
2023-08-21,26.15
2023-08-22,26.14
2023-08-23,26.7
2023-08-24,26.82
2023-08-25,26.77
2023-08-28,27.41
2023-08-29,27.95
2023-08-30,27.76
2023-08-31,27.4
2023-09-01,28.04
2023-09-05,27.63
2023-09-06,27.71
2023-09-07,26.92
2023-09-08,26.88
2023-09-11,27.24
2023-09-12,27.3
2023-09-13,27.07
2023-09-14,27.3
2023-09-15,27.18
2023-09-18,27.05
2023-09-19,26.98
2023-09-20,26.79
2023-09-21,26.21
2023-09-22,27.14
2023-09-25,26.72
2023-09-26,26.35
2023-09-27,26.41
2023-09-28,26.26
2023-09-29,26.53
2023-10-02,26.37
2023-10-03,25.75
2023-10-04,25.53
2023-10-05,25.69
2023-10-06,26.23
2023-10-09,26.22
2023-10-10,26.89
2023-10-11,27.15
2023-10-12,26.68
2023-10-13,26.48
2023-10-16,26.65
2023-10-17,26.45
2023-10-18,26.01
2023-10-19,25.56
2023-10-20,25.03
2023-10-23,25.25
2023-10-24,26.06
2023-10-25,25.53
2023-10-26,25.58
2023-10-27,25.67
2023-10-30,25.94
2023-10-31,25.52
2023-11-01,25.48
2023-11-02,25.75
2023-11-03,26.35
2023-11-06,26.43
2023-11-07,26.31
2023-11-08,26.12
2023-11-09,25.76
2023-11-10,25.68
2023-11-13,26.02
2023-11-14,26.58
2023-11-15,27.21
2023-11-16,26.1
2023-11-17,26.12
2023-11-20,26.69
2023-11-21,26.16
2023-11-22,26.29
2023-11-24,26.36
2023-11-27,26.02
2023-11-28,25.71
2023-11-29,25.06
2023-11-30,25.16
2023-12-01,24.89
2023-12-04,24.31
2023-12-05,23.94
2023-12-06,23.95
2023-12-07,24.03
2023-12-08,23.7
2023-12-11,23.79
2023-12-12,23.95
2023-12-13,23.87
2023-12-14,24.18
2023-12-15,24.13
2023-12-18,23.88
2023-12-19,24.2
2023-12-20,22.91
2023-12-21,23.71
2023-12-22,23.05
2023-12-26,23.22
2023-12-27,23.25
2023-12-28,23.88
2023-12-29,24.03
2024-01-02,23.24
2024-01-03,23.67
2024-01-04,23.36
2024-01-05,23.23
2024-01-08,22.94
2024-01-09,22.48
2024-01-10,22.49
2024-01-11,22.83
2024-01-12,22.73
2024-01-16,22.02
2024-01-17,21.45
2024-01-18,21.53
2024-01-19,21.68
2024-01-22,21.14
2024-01-23,22.11
2024-01-24,22.77
2024-01-25,22.75
2024-01-26,22.6
2024-01-29,22.29
2024-01-30,21.93
2024-01-31,21.76
2024-02-01,21.86
2024-02-02,21.41
2024-02-05,21.88
2024-02-06,23.13
2024-02-07,22.62
2024-02-08,22.1
2024-02-09,22.36
2024-02-12,22.72
2024-02-13,22.2
2024-02-14,22.67
2024-02-15,22.76
2024-02-16,23.07
2024-02-20,22.92
2024-02-21,23.59
2024-02-22,23.95
2024-02-23,24.12
2024-02-26,23.91
2024-02-27,24.32
2024-02-28,23.46
2024-02-29,23.42
2024-03-01,23.92
2024-03-04,23.39
2024-03-05,23.03
2024-03-06,23.53
2024-03-07,23.33
2024-03-08,23.47
2024-03-11,24.04
2024-03-12,24.56
2024-03-13,24.64
2024-03-14,24.14
2024-03-15,23.99
2024-03-18,24.03
2024-03-19,23.91
2024-03-20,24.13
2024-03-21,24.02
2024-03-22,23.68
2024-03-25,23.71
2024-03-26,23.84
2024-03-27,23.81
2024-03-28,24.07
2024-04-01,24.4
2024-04-02,24.6
2024-04-03,24.45
2024-04-04,24.32
2024-04-05,24.19
2024-04-08,24.36
2024-04-09,24.59
2024-04-10,24.47
2024-04-11,24.7
2024-04-12,23.84
2024-04-15,23.92
2024-04-16,23.67
2024-04-17,23.65
2024-04-18,24.08
2024-04-19,24.01
2024-04-22,24.42
2024-04-23,24.8
2024-04-24,25.27
2024-04-25,25.44
2024-04-26,25.87
2024-04-29,26.11
2024-04-30,25.49
2024-05-01,25.68
2024-05-02,27.15
2024-05-03,27.33
2024-05-06,27.31
2024-05-07,26.92
2024-05-08,26.82
2024-05-09,27.4
2024-05-10,27.77
2024-05-13,28.36
2024-05-14,28.01
2024-05-15,28.33
2024-05-16,29.16
2024-05-17,29.33
2024-05-20,29.01
2024-05-21,28.56
2024-05-22,28.2
2024-05-23,27.63
2024-05-24,27.58
2024-05-28,27.56
2024-05-29,27.12
2024-05-30,27.15
2024-05-31,26.63
2024-06-03,26.76
2024-06-04,26.97
2024-06-05,27.2
2024-06-06,27.19
2024-06-07,26.5
2024-06-10,26.75
2024-06-11,26.47
2024-06-12,26.41
2024-06-13,26.39
2024-06-14,26.17
2024-06-17,26.5
2024-06-18,26.56
2024-06-20,26.88
2024-06-21,26.42
2024-06-24,26.72
2024-06-25,26.51
2024-06-26,26.52
2024-06-27,25.89
2024-06-28,25.99
2024-07-01,26.08
2024-07-02,26.43
2024-07-03,26.9
2024-07-05,26.44
2024-07-08,26.23
2024-07-09,26.5
2024-07-10,26.38
2024-07-11,26.94
2024-07-12,27.22
2024-07-15,26.61
2024-07-16,26.61
2024-07-17,26.25
2024-07-18,26.01
2024-07-19,25.82
2024-07-22,26.36
2024-07-23,25.99
2024-07-24,25.7
2024-07-25,25.39
2024-07-26,25.52
2024-07-29,25.56
2024-07-30,25.33
2024-07-31,25.68
2024-08-01,25.32
2024-08-02,25.2
2024-08-05,25.03
2024-08-06,24.78
2024-08-07,24.89
2024-08-08,25.49
2024-08-09,25.45
2024-08-12,25.65
2024-08-13,25.8
2024-08-14,25.32
2024-08-15,25.84
2024-08-16,26.36
2024-08-19,26.6
2024-08-20,26.0
2024-08-21,26.27
2024-08-22,26.07
2024-08-23,26.48
2024-08-26,26.27
2024-08-27,26.56
2024-08-28,26.14
2024-08-29,26.33
2024-08-30,26.46
2024-09-03,26.0
2024-09-04,25.98
2024-09-05,25.85
2024-09-06,25.5
2024-09-09,25.52
2024-09-10,25.46
2024-09-11,25.72
2024-09-12,25.71
2024-09-13,25.86
2024-09-16,26.01
2024-09-17,26.34
2024-09-18,26.19
2024-09-19,27.13
2024-09-20,27.15
2024-09-23,27.68
2024-09-24,30.4
2024-09-25,29.56
2024-09-26,31.92
2024-09-27,32.17
2024-09-30,31.78
2024-10-01,33.1
2024-10-02,35.48
2024-10-03,34.5
2024-10-04,35.71
2024-10-07,36.69
2024-10-08,33.33
2024-10-09,32.79
2024-10-10,33.22
2024-10-11,33.37
2024-10-14,32.74
2024-10-15,31.1
2024-10-16,31.65
2024-10-17,30.85
2024-10-18,32.17
2024-10-21,31.74
2024-10-22,31.99
2024-10-23,31.92
2024-10-24,31.73
2024-10-25,31.72
2024-10-28,32.27
2024-10-29,32.04
2024-10-30,31.63
2024-10-31,31.56
2024-11-01,31.68
2024-11-04,31.87
2024-11-05,32.64
2024-11-06,31.68
2024-11-07,33.42
2024-11-08,31.47
2024-11-11,31.47
2024-11-12,30.31
2024-11-13,30.27
2024-11-14,29.95
2024-11-15,30.15
2024-11-18,30.72
2024-11-19,30.39
2024-11-20,30.53
2024-11-21,30.35
2024-11-22,29.69
2024-11-25,29.7
2024-11-26,29.52
2024-11-27,30.31
2024-11-29,30.31
2024-12-02,30.37
2024-12-03,30.5
2024-12-04,30.28
2024-12-05,30.37
2024-12-06,30.77
2024-12-09,33.3
2024-12-10,31.78
2024-12-11,31.48
2024-12-12,31.5
2024-12-13,31.1
2024-12-16,30.59
2024-12-17,30.67
2024-12-18,30.05
2024-12-19,30.24
2024-12-20,30.42
2024-12-23,30.7
2024-12-24,31.09
2024-12-26,31.12
2024-12-27,30.85
2024-12-30,30.49
2024-12-31,30.44
2025-01-02,29.89
2025-01-03,30.39
2025-01-06,29.99
2025-01-07,29.62
2025-01-08,29.51
2025-01-10,28.65
2025-01-13,28.79
2025-01-14,29.42
2025-01-15,29.82
2025-01-16,29.83
2025-01-17,30.41
2025-01-21,30.75
2025-01-22,30.53
2025-01-23,30.56
2025-01-24,31.32
2025-01-27,31.6
2025-01-28,31.96
2025-01-29,31.83
2025-01-30,32.59
2025-01-31,31.89
2025-02-03,31.72
2025-02-04,32.47
2025-02-05,31.93
2025-02-06,32.28
2025-02-07,32.73
2025-02-10,33.62
2025-02-11,33.34
2025-02-12,34.17
2025-02-13,34.16
2025-02-14,35.04
2025-02-18,35.3
2025-02-19,35.05
2025-02-20,35.73
2025-02-21,36.24
2025-02-24,35.03
2025-02-25,35.38
2025-02-26,36.44
2025-02-27,36.05
2025-02-28,35.23
2025-03-03,34.51
2025-03-04,35.04
2025-03-05,36.79
2025-03-06,36.97
2025-03-07,36.96
2025-03-10,35.97
2025-03-11,36.39
2025-03-12,36.35
2025-03-13,36.59
2025-03-14,37.66
2025-03-17,38.55
2025-03-18,38.49
2025-03-19,38.33
2025-03-20,37.23
2025-03-21,36.56
2025-03-24,36.67
2025-03-25,36.3
2025-03-26,36.27
2025-03-27,36.68
2025-03-28,35.84
2025-03-31,35.84
2025-04-01,35.76
2025-04-02,35.54
2025-04-03,35.22
2025-04-04,32.74
2025-04-07,30.0
2025-04-08,29.59
2025-04-09,31.68
2025-04-10,31.56
2025-04-11,32.94
2025-04-14,33.37
2025-04-15,33.18
2025-04-16,32.42
2025-04-17,32.4
2025-04-21,32.43
2025-04-22,33.46
2025-04-23,33.83
2025-04-24,34.11
2025-04-25,33.98
2025-04-28,34.0
2025-04-29,33.8
2025-04-30,33.86
2025-05-01,33.79
2025-05-02,34.91
2025-05-05,34.87
2025-05-06,35.27
2025-05-07,34.47
2025-05-08,35.0
2025-05-09,34.83
2025-05-12,36.04
2025-05-13,35.74
2025-05-14,36.31
2025-05-15,35.75
2025-05-16,35.64
2025-05-19,35.86
2025-05-20,36.26
2025-05-21,36.09
2025-05-22,35.91
2025-05-23,35.97
2025-05-27,35.6
2025-05-28,35.24
2025-05-29,35.62
2025-05-30,35.0
2025-06-02,35.35
2025-06-03,35.7
2025-06-04,36.37
2025-06-05,36.63
2025-06-06,36.59
2025-06-09,37.06
2025-06-10,37.22
2025-06-11,37.41
2025-06-12,37.26
2025-06-13,36.58
2025-06-16,36.67
2025-06-17,36.24
2025-06-18,35.75
2025-06-20,35.52
2025-06-23,36.08
2025-06-24,37.1
2025-06-25,37.06
2025-06-26,37.16
2025-06-27,36.81
2025-06-30,36.76
2025-07-01,36.83
2025-07-02,36.69
2025-07-03,36.27
2025-07-07,36.31
2025-07-08,36.69
2025-07-09,36.18
2025-07-10,36.52
2025-07-11,36.48
2025-07-14,36.91
2025-07-15,37.64
2025-07-16,37.47
2025-07-17,37.59
2025-07-18,38.06
2025-07-21,38.21
2025-07-22,38.74
2025-07-23,39.08
2025-07-24,38.9
2025-07-25,38.65
2025-07-28,38.48
2025-07-29,38.22
2025-07-30,37.78
2025-07-31,37.44
2025-08-01,36.83
2025-08-04,37.47
2025-08-05,37.64
2025-08-06,37.79
2025-08-07,37.74
2025-08-08,37.67
2025-08-11,37.33
2025-08-12,37.94
2025-08-13,39.09
2025-08-14,38.34
2025-08-15,38.34
2025-08-18,38.58
2025-08-19,38.22
2025-08-20,38.43
2025-08-21,38.37
2025-08-22,39.24
2025-08-25,39.14
2025-08-26,39.22
2025-08-27,38.22
2025-08-28,38.56
2025-08-29,38.91
2025-09-02,39.26
2025-09-03,38.91
2025-09-04,38.33
2025-09-05,38.9
2025-09-08,39.44
2025-09-09,39.97
2025-09-10,39.72
2025-09-11,40.74
2025-09-12,40.49
2025-09-15,40.78
2025-09-16,41.05
2025-09-17,41.62
2025-09-18,41.08
2025-09-19,40.93
2025-09-22,40.65
2025-09-23,40.1
2025-09-24,40.57
2025-09-25,40.67
2025-09-26,40.33
2025-09-29,40.98
2025-09-30,41.14
2025-10-01,41.38
2025-10-02,41.75
2025-10-03,41.42
2025-10-06,41.4
2025-10-07,40.93
2025-10-08,41.05
2025-10-09,40.51
2025-10-10,38.33
2025-10-13,39.53
2025-10-14,39.4
2025-10-15,39.8
2025-10-16,39.99
2025-10-17,40.0
2025-10-20,40.49
2025-10-21,39.94
2025-10-22,39.74
2025-10-23,40.41
2025-10-24,40.55
2025-10-27,41.08
2025-10-28,40.86
2025-10-29,40.97
2025-10-30,40.15
2025-10-31,39.71
2025-11-03,39.83
2025-11-04,39.37
2025-11-05,39.77
2025-11-06,40.14
2025-11-07,39.94
