date,close
2019-06-21,95.54
2019-06-24,94.83
2019-06-25,93.39
2019-06-26,94.78
2019-06-27,95.74
2019-06-28,95.59
2019-07-01,97.54
2019-07-02,97.51
2019-07-03,97.11
2019-07-05,96.1
2019-07-08,94.94
2019-07-09,94.66
2019-07-10,94.78
2019-07-11,94.52
2019-07-12,94.7
2019-07-15,95.44
2019-07-16,95.6
2019-07-17,95.37
2019-07-18,95.37
2019-07-19,95.61
2019-07-22,95.1
2019-07-23,96.22
2019-07-24,96.61
2019-07-25,96.06
2019-07-26,96.13
2019-07-29,95.63
2019-07-30,95.09
2019-07-31,93.98
2019-08-01,91.13
2019-08-02,90.21
2019-08-05,86.39
2019-08-06,87.21
2019-08-07,87.97
2019-08-08,88.93
2019-08-09,87.82
2019-08-12,87.02
2019-08-13,88.61
2019-08-14,86.13
2019-08-15,87.14
2019-08-16,88.9
2019-08-19,90.63
2019-08-20,90.53
2019-08-21,90.95
2019-08-22,90.12
2019-08-23,88.03
2019-08-26,88.88
2019-08-27,89.32
2019-08-28,89.42
2019-08-29,90.4
2019-08-30,90.46
2019-09-03,90.2
2019-09-04,91.89
2019-09-05,93.37
2019-09-06,93.29
2019-09-09,93.76
2019-09-10,93.43
2019-09-11,94.45
2019-09-12,95.44
2019-09-13,96.08
2019-09-16,95.08
2019-09-17,94.93
2019-09-18,94.65
2019-09-19,94.1
2019-09-20,93.72
2019-09-23,93.1
2019-09-24,91.65
2019-09-25,92.08
2019-09-26,91.35
2019-09-27,89.31
2019-09-30,90.26
2019-10-01,89.77
2019-10-02,89.66
2019-10-03,91.02
2019-10-04,91.02
2019-10-07,90.34
2019-10-08,89.3
2019-10-09,90.39
2019-10-10,91.67
2019-10-11,93.17
2019-10-14,93.14
2019-10-15,94.02
2019-10-16,94.05
2019-10-17,94.18
2019-10-18,92.89
2019-10-21,93.83
2019-10-22,93.12
2019-10-23,92.83
2019-10-24,93.2
2019-10-25,94.17
2019-10-28,95.35
2019-10-29,94.3
2019-10-30,94.35
2019-10-31,93.79
2019-11-01,95.35
2019-11-04,96.86
2019-11-05,97.53
2019-11-06,97.4
2019-11-07,98.6
2019-11-08,98.1
2019-11-11,96.82
2019-11-12,96.21
2019-11-13,95.12
2019-11-14,94.98
2019-11-15,95.2
2019-11-18,95.39
2019-11-19,96.28
2019-11-20,95.37
2019-11-21,95.42
2019-11-22,95.38
2019-11-25,96.71
2019-11-26,96.98
2019-11-27,97.4
2019-11-29,95.62
2019-12-02,95.38
2019-12-03,94.86
2019-12-04,95.35
2019-12-05,96.18
2019-12-06,96.97
2019-12-09,96.3
2019-12-10,96.81
2019-12-11,98.25
2019-12-12,99.8
2019-12-13,99.44
2019-12-16,100.76
2019-12-17,101.95
2019-12-18,102.36
2019-12-19,102.0
2019-12-20,102.39
2019-12-23,101.57
2019-12-24,101.5
2019-12-26,102.43
2019-12-27,102.65
2019-12-30,102.3
2019-12-31,102.65
2020-01-02,105.88
2020-01-03,104.08
2020-01-06,104.05
2020-01-07,104.49
2020-01-08,104.58
2020-01-09,105.81
2020-01-10,106.27
2020-01-13,108.4
2020-01-14,107.31
2020-01-15,106.72
2020-01-16,107.32
2020-01-17,107.92
2020-01-21,103.94
2020-01-22,104.49
2020-01-23,103.04
2020-01-24,101.34
2020-01-27,97.36
2020-01-28,98.37
2020-01-29,99.23
2020-01-30,97.77
2020-01-31,95.94
2020-02-03,96.94
2020-02-04,100.49
2020-02-05,100.79
2020-02-06,101.23
2020-02-07,100.13
2020-02-10,101.19
2020-02-11,102.81
2020-02-12,104.6
2020-02-13,103.16
2020-02-14,103.19
2020-02-18,103.26
2020-02-19,103.88
2020-02-20,102.86
2020-02-21,102.69
2020-02-24,99.31
2020-02-25,98.93
2020-02-26,100.05
2020-02-27,98.76
2020-02-28,98.97
2020-03-02,100.69
2020-03-03,100.47
2020-03-04,101.7
2020-03-05,101.52
2020-03-06,99.46
2020-03-09,95.48
2020-03-10,99.22
2020-03-11,95.82
2020-03-12,88.48
2020-03-13,92.77
2020-03-16,83.82
2020-03-17,88.1
2020-03-18,83.64
2020-03-19,84.73
2020-03-20,84.82
2020-03-23,84.68
2020-03-24,89.54
2020-03-25,90.87
2020-03-26,93.7
2020-03-27,89.29
2020-03-30,91.0
2020-03-31,91.25
2020-04-01,88.34
2020-04-02,90.81
2020-04-03,89.69
2020-04-06,93.14
2020-04-07,93.21
2020-04-08,93.45
2020-04-09,93.21
2020-04-13,93.24
2020-04-14,95.28
2020-04-15,93.92
2020-04-16,95.13
2020-04-17,96.06
2020-04-20,95.92
2020-04-21,93.58
2020-04-22,95.67
2020-04-23,94.84
2020-04-24,94.97
2020-04-27,96.44
2020-04-28,96.09
2020-04-29,97.54
2020-04-30,95.76
2020-05-01,91.84
2020-05-04,92.58
2020-05-05,93.86
2020-05-06,94.7
2020-05-07,95.42
2020-05-08,97.68
2020-05-11,97.93
2020-05-12,97.32
2020-05-13,97.64
2020-05-14,97.57
2020-05-15,96.57
2020-05-18,100.3
2020-05-19,99.72
2020-05-20,100.61
2020-05-21,98.06
2020-05-22,94.91
2020-05-26,96.74
2020-05-27,95.81
2020-05-28,95.24
2020-05-29,97.92
2020-06-01,99.81
2020-06-02,101.72
2020-06-03,103.16
2020-06-04,101.91
2020-06-05,103.97
2020-06-08,103.61
2020-06-09,103.58
2020-06-10,104.73
2020-06-11,101.13
2020-06-12,102.66
2020-06-15,102.24
2020-06-16,103.41
2020-06-17,104.43
2020-06-18,104.97
2020-06-19,104.82
2020-06-22,105.69
