date,close
2019-06-21,19.24
2019-06-24,19.3
2019-06-25,19.22
2019-06-26,19.48
2019-06-27,19.45
2019-06-28,19.5
2019-07-01,19.67
2019-07-02,19.71
2019-07-03,19.73
2019-07-05,19.92
2019-07-08,19.77
2019-07-09,19.95
2019-07-10,20.51
2019-07-11,20.66
2019-07-12,20.88
2019-07-15,20.95
2019-07-16,20.83
2019-07-17,20.6
2019-07-18,20.22
2019-07-19,20.28
2019-07-22,20.37
2019-07-23,20.27
2019-07-24,20.43
2019-07-25,20.16
2019-07-26,20.32
2019-07-29,20.16
2019-07-30,20.6
2019-07-31,20.16
2019-08-01,20.1
2019-08-02,19.45
2019-08-05,18.92
2019-08-06,18.94
2019-08-07,18.18
2019-08-08,18.44
2019-08-09,18.13
2019-08-12,18.42
2019-08-13,18.42
2019-08-14,18.2
2019-08-15,17.97
2019-08-16,18.41
2019-08-19,18.72
2019-08-20,19.05
2019-08-21,18.8
2019-08-22,18.41
2019-08-23,18.18
2019-08-26,18.07
2019-08-27,18.19
2019-08-28,18.69
2019-08-29,19.32
2019-08-30,18.99
2019-09-03,19.34
2019-09-04,19.48
2019-09-05,19.33
2019-09-06,19.09
2019-09-09,19.73
2019-09-10,19.26
2019-09-11,19.35
2019-09-12,19.06
2019-09-13,19.58
2019-09-16,19.44
2019-09-17,19.35
2019-09-18,19.52
2019-09-19,19.54
2019-09-20,19.99
2019-09-23,19.88
2019-09-24,19.81
2019-09-25,19.49
2019-09-26,19.48
2019-09-27,19.55
2019-09-30,19.26
2019-10-01,19.27
2019-10-02,19.39
2019-10-03,19.54
2019-10-04,20.64
2019-10-07,20.3
2019-10-08,20.15
2019-10-09,20.17
2019-10-10,20.42
2019-10-11,20.62
2019-10-14,20.62
2019-10-15,21.1
2019-10-16,21.2
2019-10-17,21.1
2019-10-18,21.14
2019-10-21,20.71
2019-10-22,20.72
2019-10-23,20.74
2019-10-24,21.2
2019-10-25,21.44
2019-10-28,21.17
2019-10-29,21.39
2019-10-30,21.55
2019-10-31,21.31
2019-11-01,20.92
2019-11-04,21.35
2019-11-05,21.38
2019-11-06,21.05
2019-11-07,21.21
2019-11-08,21.0
2019-11-11,20.99
2019-11-12,20.87
2019-11-13,20.73
2019-11-14,20.18
2019-11-15,20.15
2019-11-18,19.95
2019-11-19,19.83
2019-11-20,19.93
2019-11-21,20.35
2019-11-22,20.44
2019-11-25,20.53
2019-11-26,20.43
2019-11-27,20.66
2019-11-29,20.45
2019-12-02,20.12
2019-12-03,20.36
2019-12-04,20.51
2019-12-05,20.62
2019-12-06,20.57
2019-12-09,20.83
2019-12-10,20.97
2019-12-11,20.93
2019-12-12,20.98
2019-12-13,20.94
2019-12-16,20.82
2019-12-17,21.78
2019-12-18,21.65
2019-12-19,21.91
2019-12-20,21.75
2019-12-23,22.41
2019-12-24,22.68
2019-12-26,22.98
2019-12-27,22.43
2019-12-30,22.62
2019-12-31,22.68
2020-01-02,22.43
2020-01-03,23.13
2020-01-06,23.34
2020-01-07,23.8
2020-01-08,24.08
2020-01-09,24.25
2020-01-10,24.78
2020-01-13,25.0
2020-01-14,25.19
2020-01-15,25.35
2020-01-16,25.58
2020-01-17,25.53
2020-01-21,24.58
2020-01-22,24.16
2020-01-23,23.99
2020-01-24,23.48
2020-01-27,22.99
2020-01-28,23.91
2020-01-29,23.47
2020-01-30,24.01
2020-01-31,23.82
2020-02-03,23.47
2020-02-04,23.64
2020-02-05,22.85
2020-02-06,22.52
2020-02-07,22.6
2020-02-10,21.73
2020-02-11,22.25
2020-02-12,21.99
2020-02-13,21.58
2020-02-14,21.01
2020-02-18,21.17
2020-02-19,21.06
2020-02-20,21.34
2020-02-21,20.97
2020-02-24,20.32
2020-02-25,19.91
2020-02-26,20.09
2020-02-27,19.37
2020-02-28,19.08
2020-03-02,19.71
2020-03-03,19.61
2020-03-04,20.04
2020-03-05,19.77
2020-03-06,18.3
2020-03-09,11.4
2020-03-10,11.26
2020-03-11,10.92
2020-03-12,8.78
2020-03-13,10.71
2020-03-16,9.55
2020-03-17,7.89
2020-03-18,6.24
2020-03-19,7.61
2020-03-20,8.86
2020-03-23,7.99
2020-03-24,8.75
2020-03-25,9.41
2020-03-26,9.71
2020-03-27,8.46
2020-03-30,8.22
2020-03-31,10.16
2020-04-01,9.33
2020-04-02,11.02
2020-04-03,11.3
2020-04-06,11.06
2020-04-07,11.71
2020-04-08,11.72
2020-04-09,11.44
2020-04-13,12.03
2020-04-14,13.72
2020-04-15,12.08
2020-04-16,12.55
2020-04-17,13.83
2020-04-20,14.05
2020-04-21,14.46
2020-04-22,15.08
2020-04-23,15.73
2020-04-24,16.36
2020-04-27,16.66
2020-04-28,16.83
2020-04-29,17.88
2020-04-30,17.48
2020-05-01,15.7
2020-05-04,15.97
2020-05-05,14.65
2020-05-06,14.74
2020-05-07,16.05
2020-05-08,16.16
2020-05-11,16.56
2020-05-12,16.63
2020-05-13,16.71
2020-05-14,16.86
2020-05-15,17.27
2020-05-18,17.85
2020-05-19,18.35
2020-05-20,18.41
2020-05-21,18.61
2020-05-22,19.29
2020-05-26,18.9
2020-05-27,18.77
2020-05-28,19.39
2020-05-29,19.42
2020-06-01,18.91
2020-06-02,19.12
2020-06-03,19.15
2020-06-04,18.92
2020-06-05,19.32
2020-06-08,19.93
2020-06-09,19.82
2020-06-10,19.36
2020-06-11,18.21
2020-06-12,18.31
2020-06-15,19.12
2020-06-16,19.65
2020-06-17,19.51
2020-06-18,19.63
2020-06-19,19.21
2020-06-22,19.34
2020-06-23,19.35
2020-06-24,18.61
2020-06-25,18.71
2020-06-26,17.65
2020-06-29,18.18
2020-06-30,18.32
2020-07-01,17.98
2020-07-02,18.1
2020-07-06,17.28
2020-07-07,16.8
2020-07-08,17.2
2020-07-09,16.59
2020-07-10,16.86
2020-07-13,17.0
2020-07-14,17.3
2020-07-15,18.15
2020-07-16,17.62
2020-07-17,17.67
2020-07-20,17.49
2020-07-21,18.07
2020-07-22,17.58
2020-07-23,17.43
2020-07-24,17.08
2020-07-27,16.93
2020-07-28,17.0
2020-07-29,17.6
2020-07-30,17.8
2020-07-31,17.39
2020-08-03,18.4
2020-08-04,18.83
2020-08-05,19.1
2020-08-06,19.04
2020-08-07,18.34
2020-08-10,18.29
2020-08-11,17.94
2020-08-12,18.57
2020-08-13,18.65
2020-08-14,18.65
2020-08-17,18.85
2020-08-18,18.35
2020-08-19,18.08
2020-08-20,18.08
2020-08-21,17.8
2020-08-24,17.91
2020-08-25,17.77
2020-08-26,17.26
2020-08-27,17.82
2020-08-28,17.89
2020-08-31,17.68
2020-09-01,17.63
2020-09-02,17.82
2020-09-03,17.77
2020-09-04,17.7
2020-09-08,16.97
2020-09-09,17.19
2020-09-10,17.21
2020-09-11,17.13
2020-09-14,17.01
2020-09-15,16.53
2020-09-16,17.13
2020-09-17,17.05
2020-09-18,16.71
2020-09-21,16.36
2020-09-22,16.13
2020-09-23,15.09
2020-09-24,15.3
2020-09-25,15.14
2020-09-28,15.25
2020-09-29,15.11
2020-09-30,15.1
2020-10-01,14.94
2020-10-02,15.02
2020-10-05,15.47
2020-10-06,15.33
2020-10-07,15.23
2020-10-08,16.1
2020-10-09,16.62
2020-10-12,16.9
2020-10-13,16.93
2020-10-14,17.37
2020-10-15,17.56
2020-10-16,17.7
2020-10-19,17.07
2020-10-20,16.41
2020-10-21,16.38
2020-10-22,17.54
2020-10-23,17.69
2020-10-26,17.31
2020-10-27,17.72
2020-10-28,17.6
2020-10-29,17.64
2020-10-30,17.08
2020-11-02,16.82
2020-11-03,16.85
2020-11-04,16.13
2020-11-05,16.1
2020-11-06,15.82
2020-11-09,16.84
2020-11-10,17.47
2020-11-11,17.44
2020-11-12,16.87
2020-11-13,16.97
2020-11-16,17.37
2020-11-17,17.88
2020-11-18,17.91
2020-11-19,17.71
2020-11-20,17.69
2020-11-23,18.55
2020-11-24,18.54
2020-11-25,18.69
2020-11-27,18.38
2020-11-30,18.03
2020-12-01,18.67
2020-12-02,19.32
2020-12-03,20.04
2020-12-04,19.59
2020-12-07,19.56
2020-12-08,20.2
2020-12-09,19.75
2020-12-10,20.19
2020-12-11,21.22
2020-12-14,20.72
2020-12-15,21.75
2020-12-16,21.52
2020-12-17,20.5
2020-12-18,20.48
2020-12-21,20.65
2020-12-22,20.61
2020-12-23,20.42
2020-12-24,20.27
2020-12-28,19.79
2020-12-29,19.27
2020-12-30,19.13
2020-12-31,19.57
2021-01-04,19.19
2021-01-05,19.87
2021-01-06,20.08
2021-01-07,20.7
2021-01-08,20.14
2021-01-11,20.71
2021-01-12,21.56
2021-01-13,21.95
2021-01-14,22.34
2021-01-15,22.38
2021-01-19,22.77
2021-01-20,22.31
2021-01-21,21.56
2021-01-22,21.26
2021-01-25,21.68
2021-01-26,21.91
2021-01-27,21.33
2021-01-28,20.95
2021-01-29,20.87
2021-02-01,21.5
2021-02-02,21.89
2021-02-03,21.36
2021-02-04,21.5
2021-02-05,21.38
2021-02-08,21.43
2021-02-09,21.25
2021-02-10,21.78
2021-02-11,21.74
2021-02-12,21.78
2021-02-16,21.83
2021-02-17,21.75
2021-02-18,21.46
2021-02-19,21.76
2021-02-22,22.47
2021-02-23,21.8
2021-02-24,21.44
2021-02-25,21.59
2021-02-26,20.97
2021-03-01,22.5
2021-03-02,22.91
2021-03-03,22.54
2021-03-04,22.72
2021-03-05,22.65
2021-03-08,22.4
2021-03-09,23.15
2021-03-10,23.23
2021-03-11,21.6
2021-03-12,21.15
2021-03-15,21.35
2021-03-16,21.14
2021-03-17,21.28
2021-03-18,20.61
2021-03-19,21.51
2021-03-22,21.49
2021-03-23,20.69
2021-03-24,20.66
2021-03-25,20.94
2021-03-26,21.31
2021-03-29,21.04
2021-03-30,21.2
2021-03-31,22.42
2021-04-01,23.48
2021-04-05,23.33
2021-04-06,23.24
2021-04-07,23.16
2021-04-08,23.24
2021-04-09,22.8
2021-04-12,22.66
2021-04-13,22.41
2021-04-14,22.68
2021-04-15,22.46
2021-04-16,22.2
2021-04-19,22.39
2021-04-20,22.22
2021-04-21,22.52
2021-04-22,22.26
2021-04-23,22.28
2021-04-26,22.72
2021-04-27,22.81
2021-04-28,23.25
2021-04-29,23.35
2021-04-30,22.33
2021-05-03,22.32
2021-05-04,21.98
2021-05-05,22.3
2021-05-06,22.28
2021-05-07,22.63
2021-05-10,22.32
2021-05-11,22.23
2021-05-12,22.9
2021-05-13,23.2
2021-05-14,23.24
2021-05-17,23.97
2021-05-18,24.53
2021-05-19,24.09
2021-05-20,24.9
2021-05-21,24.78
2021-05-24,25.07
2021-05-25,24.79
2021-05-26,25.47
2021-05-27,25.48
2021-05-28,25.47
2021-06-01,24.9
2021-06-02,25.71
2021-06-03,25.59
2021-06-04,25.82
2021-06-07,26.33
2021-06-08,26.0
2021-06-09,25.95
2021-06-10,25.89
2021-06-11,26.01
2021-06-14,26.9
2021-06-15,27.43
2021-06-16,27.39
2021-06-17,25.73
2021-06-18,25.03
2021-06-21,25.93
2021-06-22,26.08
2021-06-23,25.71
2021-06-24,25.73
2021-06-25,25.45
2021-06-28,25.11
2021-06-29,25.04
2021-06-30,25.25
2021-07-01,25.25
2021-07-02,25.27
2021-07-06,24.95
2021-07-07,24.67
2021-07-08,24.32
2021-07-09,24.39
2021-07-12,24.13
2021-07-13,23.96
2021-07-14,23.83
2021-07-15,23.62
2021-07-16,23.2
2021-07-19,22.65
2021-07-20,23.0
2021-07-21,23.38
2021-07-22,23.61
2021-07-23,23.44
2021-07-26,23.81
2021-07-27,23.36
2021-07-28,25.45
2021-07-29,26.19
2021-07-30,25.88
2021-08-02,25.72
2021-08-03,26.22
2021-08-04,26.03
2021-08-05,25.9
2021-08-06,24.98
2021-08-09,24.82
2021-08-10,25.29
2021-08-11,25.22
2021-08-12,25.28
2021-08-13,24.67
2021-08-16,24.33
2021-08-17,24.4
2021-08-18,23.93
2021-08-19,23.75
2021-08-20,23.72
2021-08-23,24.48
2021-08-24,24.83
2021-08-25,24.98
2021-08-26,24.99
2021-08-27,25.58
2021-08-30,25.37
2021-08-31,25.74
2021-09-01,25.65
2021-09-02,26.3
2021-09-03,26.61
2021-09-07,26.55
2021-09-08,26.47
2021-09-09,26.58
2021-09-10,26.25
2021-09-13,26.57
2021-09-14,26.07
2021-09-15,26.83
2021-09-16,27.12
2021-09-17,25.87
2021-09-20,25.37
2021-09-21,26.15
2021-09-22,26.46
2021-09-23,27.13
2021-09-24,27.68
2021-09-27,29.04
2021-09-28,28.17
2021-09-29,28.12
2021-09-30,28.21
2021-10-01,27.96
2021-10-04,28.55
2021-10-05,29.04
2021-10-06,26.0
2021-10-07,25.91
2021-10-08,26.09
2021-10-11,26.17
2021-10-12,26.72
2021-10-13,26.42
2021-10-14,26.94
2021-10-15,27.43
2021-10-18,26.41
2021-10-19,26.71
2021-10-20,26.89
2021-10-21,26.59
2021-10-22,26.57
2021-10-25,26.38
2021-10-26,25.61
2021-10-27,25.31
2021-10-28,25.34
2021-10-29,25.17
2021-11-01,25.97
2021-11-02,25.86
2021-11-03,24.98
2021-11-04,24.78
2021-11-05,24.94
2021-11-08,25.4
2021-11-09,25.55
2021-11-10,25.2
2021-11-11,25.36
2021-11-12,25.14
2021-11-15,25.19
2021-11-16,24.87
2021-11-17,24.42
2021-11-18,24.05
2021-11-19,23.88
2021-11-22,24.44
2021-11-23,25.22
2021-11-24,25.29
2021-11-26,24.63
2021-11-29,24.47
2021-11-30,24.76
2021-12-01,24.0
2021-12-02,24.91
2021-12-03,24.72
2021-12-06,25.26
2021-12-07,26.14
2021-12-08,26.39
2021-12-09,26.15
2021-12-10,26.0
2021-12-13,25.85
2021-12-14,25.68
2021-12-15,25.82
2021-12-16,25.74
2021-12-17,26.01
2021-12-20,25.93
2021-12-21,26.6
2021-12-22,26.74
2021-12-23,26.86
2021-12-27,27.96
2021-12-28,27.51
2021-12-29,27.19
2021-12-30,27.61
2021-12-31,27.63
2022-01-03,27.93
2022-01-04,28.16
2022-01-05,28.22
2022-01-06,28.36
2022-01-07,28.63
2022-01-10,29.21
2022-01-11,29.61
2022-01-12,29.79
2022-01-13,29.71
2022-01-14,30.22
2022-01-18,30.4
2022-01-19,28.98
2022-01-20,28.83
2022-01-21,28.44
2022-01-24,28.34
2022-01-25,29.53
2022-01-26,28.97
2022-01-27,29.1
2022-01-28,29.23
2022-01-31,29.36
2022-02-01,29.83
2022-02-02,29.07
2022-02-03,28.66
2022-02-04,28.53
2022-02-07,29.1
2022-02-08,29.76
2022-02-09,29.09
2022-02-10,29.41
2022-02-11,30.3
2022-02-14,29.99
2022-02-15,29.96
2022-02-16,30.27
2022-02-17,30.33
2022-02-18,29.52
2022-02-22,29.07
2022-02-23,30.13
2022-02-24,30.69
2022-02-25,30.9
2022-02-28,31.96
2022-03-01,31.82
2022-03-02,32.61
2022-03-03,32.81
2022-03-04,33.49
2022-03-07,33.45
2022-03-08,33.52
2022-03-09,31.9
2022-03-10,33.12
2022-03-11,31.34
2022-03-14,31.6
2022-03-15,30.9
2022-03-16,30.08
2022-03-17,29.86
2022-03-18,29.63
2022-03-21,31.39
2022-03-22,30.54
2022-03-23,30.7
2022-03-24,31.25
2022-03-25,31.43
2022-03-28,31.61
2022-03-29,31.6
2022-03-30,30.97
2022-03-31,30.0
2022-04-01,30.2
2022-04-04,30.06
2022-04-05,30.33
2022-04-06,30.2
2022-04-07,31.43
2022-04-08,31.97
2022-04-11,31.45
2022-04-12,32.78
2022-04-13,33.49
2022-04-14,33.74
2022-04-18,33.04
2022-04-19,33.39
2022-04-20,33.49
2022-04-21,32.24
2022-04-22,31.44
2022-04-25,30.01
2022-04-26,29.77
2022-04-27,29.99
2022-04-28,30.26
2022-04-29,29.41
2022-05-02,29.23
2022-05-03,30.36
2022-05-04,30.79
2022-05-05,29.8
2022-05-06,31.14
2022-05-09,29.13
2022-05-10,28.72
2022-05-11,28.52
2022-05-12,28.75
2022-05-13,29.56
2022-05-16,30.05
2022-05-17,30.67
2022-05-18,29.76
2022-05-19,29.07
2022-05-20,29.63
2022-05-23,30.76
2022-05-24,31.19
2022-05-25,32.11
2022-05-26,32.84
2022-05-27,33.04
2022-05-31,32.59
2022-06-01,33.48
2022-06-02,33.26
2022-06-03,33.84
2022-06-06,33.65
2022-06-07,34.84
2022-06-08,34.23
2022-06-09,33.51
2022-06-10,33.02
2022-06-13,31.11
2022-06-14,30.47
2022-06-15,30.11
2022-06-16,29.3
2022-06-17,28.42
2022-06-21,29.4
2022-06-22,27.8
2022-06-23,27.6
2022-06-24,28.09
2022-06-27,28.73
2022-06-28,29.4
2022-06-29,28.17
2022-06-30,28.0
