date,close
2021-07-29,34.82
2021-07-30,35.15
2021-08-02,37.68
2021-08-03,46.8
2021-08-04,70.39
2021-08-05,50.97
2021-08-06,55.01
2021-08-09,56.83
2021-08-10,53.94
2021-08-11,51.19
2021-08-12,48.1
2021-08-13,50.63
2021-08-16,47.19
2021-08-17,46.67
2021-08-18,49.8
2021-08-19,44.69
2021-08-20,42.64
2021-08-23,45.29
2021-08-24,49.38
2021-08-25,48.98
2021-08-26,46.86
2021-08-27,46.87
2021-08-30,43.64
2021-08-31,44.32
2021-09-01,44.57
2021-09-02,44.49
2021-09-03,43.35
2021-09-07,42.13
2021-09-08,40.05
2021-09-09,41.28
2021-09-10,41.17
2021-09-13,40.6
2021-09-14,40.02
2021-09-15,41.87
2021-09-16,41.95
2021-09-17,42.38
2021-09-20,40.7
2021-09-21,42.29
2021-09-22,46.88
2021-09-23,45.94
2021-09-24,44.91
2021-09-27,44.76
2021-09-28,44.62
2021-09-29,43.13
2021-09-30,42.08
2021-10-01,41.9
2021-10-04,40.93
2021-10-05,42.01
2021-10-06,42.06
2021-10-07,41.84
2021-10-08,41.78
2021-10-11,42.07
2021-10-12,40.53
2021-10-13,40.52
2021-10-14,40.93
2021-10-15,41.03
2021-10-18,40.65
2021-10-19,41.7
2021-10-20,41.83
2021-10-21,41.28
2021-10-22,39.59
2021-10-25,39.01
2021-10-26,39.57
2021-10-27,35.44
2021-10-28,35.47
2021-10-29,34.97
2021-11-01,34.85
2021-11-02,34.99
2021-11-03,37.04
2021-11-04,37.07
2021-11-05,37.01
2021-11-08,37.98
2021-11-09,36.7
2021-11-10,34.49
2021-11-11,34.17
2021-11-12,35.21
2021-11-15,34.96
2021-11-16,33.87
2021-11-17,32.88
2021-11-18,30.53
2021-11-19,28.99
2021-11-22,27.84
2021-11-23,27.65
2021-11-24,27.98
2021-11-26,27.92
2021-11-29,27.07
2021-11-30,25.94
2021-12-01,23.93
2021-12-02,24.2
2021-12-03,21.55
2021-12-06,21.9
2021-12-07,22.73
2021-12-08,23.72
2021-12-09,21.91
2021-12-10,20.13
2021-12-13,19.7
2021-12-14,19.13
2021-12-15,19.5
2021-12-16,18.14
2021-12-17,19.1
2021-12-20,18.03
2021-12-21,18.93
2021-12-22,18.38
2021-12-23,18.9
2021-12-27,18.44
2021-12-28,17.45
2021-12-29,17.11
2021-12-30,18.2
2021-12-31,17.76
2022-01-03,18.44
2022-01-04,17.4
2022-01-05,15.98
2022-01-06,15.58
2022-01-07,15.89
2022-01-10,15.61
2022-01-11,16.41
2022-01-12,16.25
2022-01-13,15.3
2022-01-14,15.17
2022-01-18,14.4
2022-01-19,13.89
2022-01-20,13.69
2022-01-21,12.98
2022-01-24,13.12
2022-01-25,13.05
2022-01-26,12.41
2022-01-27,11.61
2022-01-28,12.73
2022-01-31,14.15
2022-02-01,14.65
2022-02-02,14.02
2022-02-03,14.15
2022-02-04,15.18
2022-02-07,13.91
2022-02-08,13.38
2022-02-09,13.91
2022-02-10,13.52
2022-02-11,13.32
2022-02-14,13.35
2022-02-15,13.67
2022-02-16,13.51
2022-02-17,12.25
2022-02-18,11.81
2022-02-22,11.31
2022-02-23,10.86
2022-02-24,11.51
2022-02-25,11.61
2022-02-28,12.01
2022-03-01,11.77
2022-03-02,11.49
2022-03-03,11.38
2022-03-04,10.96
2022-03-07,11.42
2022-03-08,11.75
2022-03-09,12.42
2022-03-10,12.05
2022-03-11,11.02
2022-03-14,10.65
2022-03-15,11.04
2022-03-16,12.78
2022-03-17,13.39
2022-03-18,13.44
2022-03-21,13.05
2022-03-22,13.42
2022-03-23,13.08
2022-03-24,12.96
2022-03-25,12.39
2022-03-28,12.81
2022-03-29,15.91
2022-03-30,14.56
2022-03-31,13.51
2022-04-01,13.5
2022-04-04,13.83
2022-04-05,13.03
2022-04-06,12.51
2022-04-07,12.07
2022-04-08,11.24
2022-04-11,11.35
2022-04-12,11.43
2022-04-13,11.89
2022-04-14,11.38
2022-04-18,10.99
2022-04-19,11.56
2022-04-20,10.71
2022-04-21,10.44
2022-04-22,10.26
2022-04-25,10.39
2022-04-26,10.0
2022-04-27,9.51
2022-04-28,10.09
2022-04-29,9.805
2022-05-02,10.48
2022-05-03,10.1
2022-05-04,10.9
2022-05-05,10.61
2022-05-06,10.12
2022-05-09,9.5
2022-05-10,9.27
2022-05-11,8.15
2022-05-12,8.56
2022-05-13,10.69
2022-05-16,10.11
2022-05-17,10.06
2022-05-18,9.73
2022-05-19,10.21
2022-05-20,10.08
2022-05-23,10.06
2022-05-24,9.11
2022-05-25,9.23
2022-05-26,9.28
2022-05-27,10.38
2022-05-31,10.06
2022-06-01,9.37
2022-06-02,9.7
2022-06-03,9.17
2022-06-06,9.11
2022-06-07,8.72
2022-06-08,8.38
2022-06-09,8.03
2022-06-10,7.81
2022-06-13,7.23
2022-06-14,7.23
2022-06-15,7.05
2022-06-16,6.89
2022-06-17,7.19
2022-06-21,7.55
2022-06-22,7.49
2022-06-23,7.98
2022-06-24,8.0
2022-06-27,9.12
2022-06-28,8.865
2022-06-29,8.47
2022-06-30,8.22
2022-07-01,8.18
2022-07-05,8.4
2022-07-06,8.63
2022-07-07,9.02
2022-07-08,9.0
2022-07-11,8.34
2022-07-12,8.4
2022-07-13,8.36
2022-07-14,8.24
2022-07-15,8.41
2022-07-18,8.62
2022-07-19,9.03
2022-07-20,9.41
2022-07-21,9.41
2022-07-22,9.08
2022-07-25,8.89
2022-07-26,8.43
2022-07-27,8.9
2022-07-28,9.11
2022-07-29,9.05
2022-08-01,9.04
2022-08-02,9.23
2022-08-03,10.31
2022-08-04,10.88
2022-08-05,10.4
2022-08-08,10.68
2022-08-09,10.1
2022-08-10,10.58
2022-08-11,10.51
2022-08-12,10.93
2022-08-15,11.01
2022-08-16,10.9
2022-08-17,10.42
2022-08-18,10.17
2022-08-19,9.26
2022-08-22,9.04
2022-08-23,9.18
2022-08-24,9.32
2022-08-25,9.81
2022-08-26,9.38
2022-08-29,9.38
2022-08-30,9.47
2022-08-31,9.55
2022-09-01,9.63
2022-09-02,9.45
2022-09-06,9.57
2022-09-07,9.85
2022-09-08,10.1
2022-09-09,10.6
2022-09-12,11.01
2022-09-13,10.41
2022-09-14,10.78
2022-09-15,11.25
2022-09-16,10.25
2022-09-19,10.26
2022-09-20,9.94
2022-09-21,9.92
2022-09-22,9.65
2022-09-23,9.44
2022-09-26,9.24
2022-09-27,9.61
2022-09-28,10.01
2022-09-29,9.77
2022-09-30,10.1
2022-10-03,10.1
2022-10-04,10.82
2022-10-05,10.76
2022-10-06,11.17
2022-10-07,10.8
2022-10-10,10.52
2022-10-11,10.44
2022-10-12,10.66
2022-10-13,10.63
2022-10-14,9.89
2022-10-17,10.21
2022-10-18,10.44
2022-10-19,10.11
2022-10-20,9.83
2022-10-21,10.14
2022-10-24,10.21
2022-10-25,10.83
2022-10-26,11.08
2022-10-27,11.16
2022-10-28,11.5
2022-10-31,11.68
2022-11-01,11.92
2022-11-02,11.4
2022-11-03,12.33
2022-11-04,12.28
2022-11-07,12.03
2022-11-08,9.74
2022-11-09,8.4
2022-11-10,9.27
2022-11-11,10.47
2022-11-14,9.56
2022-11-15,10.15
2022-11-16,9.32
2022-11-17,9.47
2022-11-18,9.19
2022-11-21,8.85
2022-11-22,9.09
2022-11-23,9.46
2022-11-25,9.39
2022-11-28,9.19
2022-11-29,9.18
2022-11-30,9.59
2022-12-01,9.87
2022-12-02,9.99
2022-12-05,9.67
2022-12-06,9.39
2022-12-07,9.26
2022-12-08,9.52
2022-12-09,9.31
2022-12-12,9.58
2022-12-13,9.35
2022-12-14,9.09
2022-12-15,8.67
2022-12-16,8.61
2022-12-19,8.2
2022-12-20,8.1
2022-12-21,8.17
2022-12-22,7.99
2022-12-23,7.95
2022-12-27,7.7
2022-12-28,7.7
2022-12-29,8.05
2022-12-30,8.14
2023-01-03,8.08
2023-01-04,8.36
2023-01-05,8.11
2023-01-06,8.25
2023-01-09,8.55
2023-01-10,8.72
2023-01-11,8.76
2023-01-12,9.04
2023-01-13,9.32
2023-01-17,9.52
2023-01-18,9.31
2023-01-19,9.05
2023-01-20,9.52
2023-01-23,9.71
2023-01-24,9.71
2023-01-25,9.69
2023-01-26,9.64
2023-01-27,10.39
2023-01-30,10.15
2023-01-31,10.41
2023-02-01,10.78
2023-02-02,11.14
2023-02-03,10.74
2023-02-06,10.6
2023-02-07,10.55
2023-02-08,10.47
2023-02-09,10.08
2023-02-10,9.98
2023-02-13,9.92
2023-02-14,10.06
2023-02-15,10.63
2023-02-16,10.34
2023-02-17,10.35
2023-02-21,9.9
2023-02-22,9.95
2023-02-23,10.09
2023-02-24,9.59
2023-02-27,9.72
2023-02-28,10.07
2023-03-01,9.73
2023-03-02,9.62
2023-03-03,9.9
2023-03-06,9.72
2023-03-07,9.42
2023-03-08,9.65
2023-03-09,9.44
2023-03-10,9.01
2023-03-13,8.99
2023-03-14,9.11
2023-03-15,9.2
2023-03-16,9.31
2023-03-17,9.19
2023-03-20,8.8
2023-03-21,9.34
