date,close
2023-06-21,14.45
2023-06-22,14.17
2023-06-23,14.11
2023-06-26,14.12
2023-06-27,14.32
2023-06-28,14.54
2023-06-29,14.8
2023-06-30,14.8
2023-07-03,14.86
2023-07-05,14.92
2023-07-06,14.9
2023-07-07,15.06
2023-07-10,15.3
2023-07-11,15.55
2023-07-12,15.73
2023-07-13,15.95
2023-07-14,16.02
2023-07-17,16.19
2023-07-18,16.2
2023-07-19,16.48
2023-07-20,16.28
2023-07-21,16.35
2023-07-24,16.53
2023-07-25,16.47
2023-07-26,16.54
2023-07-27,16.35
2023-07-28,16.59
2023-07-31,16.77
2023-08-01,16.97
2023-08-02,16.99
2023-08-03,17.08
2023-08-04,17.75
2023-08-07,18.02
2023-08-08,17.08
2023-08-09,17.07
2023-08-10,17.13
2023-08-11,17.15
2023-08-14,17.13
2023-08-15,16.98
2023-08-16,17.0
2023-08-17,16.33
2023-08-18,16.41
2023-08-21,16.56
2023-08-22,16.15
2023-08-23,16.37
2023-08-24,16.32
2023-08-25,16.43
2023-08-28,16.34
2023-08-29,16.33
2023-08-30,16.54
2023-08-31,16.45
2023-09-01,16.37
2023-09-05,16.06
2023-09-06,15.83
2023-09-07,15.86
2023-09-08,15.97
2023-09-11,16.22
2023-09-12,16.09
2023-09-13,16.27
2023-09-14,16.28
2023-09-15,16.5
2023-09-18,16.47
2023-09-19,16.54
2023-09-20,16.6
2023-09-21,16.24
2023-09-22,16.43
2023-09-25,16.53
2023-09-26,16.15
2023-09-27,16.34
2023-09-28,16.55
2023-09-29,16.42
2023-10-02,16.09
2023-10-03,15.76
2023-10-04,15.76
2023-10-05,15.7
2023-10-06,15.88
2023-10-09,16.12
2023-10-10,16.26
2023-10-11,16.26
2023-10-12,16.25
2023-10-13,16.15
2023-10-16,16.41
2023-10-17,16.27
2023-10-18,15.93
2023-10-19,15.85
2023-10-20,15.66
2023-10-23,15.23
2023-10-24,15.51
2023-10-25,15.19
2023-10-26,15.3
2023-10-27,15.09
2023-10-30,15.24
2023-10-31,15.4
2023-11-01,15.84
2023-11-02,16.1
2023-11-03,15.87
2023-11-06,15.99
2023-11-07,15.78
2023-11-08,15.91
2023-11-09,15.81
2023-11-10,16.03
2023-11-13,16.04
2023-11-14,15.77
2023-11-15,15.87
2023-11-16,15.59
2023-11-17,15.65
2023-11-20,15.69
2023-11-21,15.41
2023-11-22,15.55
2023-11-24,15.65
2023-11-27,15.6
2023-11-28,15.6
2023-11-29,15.55
2023-11-30,15.45
2023-12-01,15.4
2023-12-04,15.4
2023-12-05,15.22
2023-12-06,15.23
2023-12-07,15.32
2023-12-08,15.46
2023-12-11,15.42
2023-12-12,15.49
2023-12-13,15.62
2023-12-14,15.93
2023-12-15,15.83
2023-12-18,16.06
2023-12-19,16.22
2023-12-20,16.2
2023-12-21,16.25
2023-12-22,16.41
2023-12-26,16.66
2023-12-27,16.93
2023-12-28,16.9
2023-12-29,16.67
2024-01-02,16.73
2024-01-03,16.67
2024-01-04,17.11
2024-01-05,17.22
2024-01-08,17.43
2024-01-09,17.4
2024-01-10,17.45
2024-01-11,17.48
2024-01-12,17.58
2024-01-16,16.95
2024-01-17,16.92
2024-01-18,16.93
2024-01-19,16.98
2024-01-22,17.3
2024-01-23,17.37
2024-01-24,17.17
2024-01-25,17.34
2024-01-26,17.56
2024-01-29,17.64
2024-01-30,17.8
2024-01-31,17.31
2024-02-01,17.19
2024-02-02,17.28
2024-02-05,17.23
2024-02-06,17.08
2024-02-07,17.09
2024-02-08,17.17
2024-02-09,17.29
2024-02-12,17.52
2024-02-13,17.45
2024-02-14,17.53
2024-02-15,17.74
2024-02-16,18.6
2024-02-20,18.47
2024-02-21,18.45
2024-02-22,18.72
2024-02-23,18.63
2024-02-26,18.77
2024-02-27,18.2
2024-02-28,17.91
2024-02-29,18.06
2024-03-01,18.04
2024-03-04,18.19
2024-03-05,18.16
2024-03-06,18.4
2024-03-07,18.15
2024-03-08,18.11
2024-03-11,18.15
2024-03-12,18.23
2024-03-13,18.25
2024-03-14,18.0
2024-03-15,18.07
2024-03-18,18.03
2024-03-19,18.06
2024-03-20,18.32
2024-03-21,18.54
2024-03-22,18.3
2024-03-25,18.25
2024-03-26,18.22
2024-03-27,18.37
2024-03-28,18.45
2024-04-01,18.21
2024-04-02,18.3
2024-04-03,18.33
2024-04-04,18.17
2024-04-05,18.41
2024-04-08,18.4
2024-04-09,18.41
2024-04-10,18.33
2024-04-11,18.41
2024-04-12,18.17
2024-04-15,17.96
2024-04-16,17.99
2024-04-17,18.16
2024-04-18,18.25
2024-04-19,18.46
2024-04-22,18.69
2024-04-23,18.85
2024-04-24,18.96
