date,close
2019-06-21,25.04
2019-06-24,25.45
2019-06-25,23.4
2019-06-26,24.16
2019-06-27,24.93
2019-06-28,24.71
2019-07-01,25.63
2019-07-02,25.96
2019-07-03,25.92
2019-07-05,25.99
2019-07-08,24.89
2019-07-09,25.4
2019-07-10,24.59
2019-07-11,23.93
2019-07-12,24.1
2019-07-15,24.28
2019-07-16,24.07
2019-07-17,22.87
2019-07-18,22.24
2019-07-19,21.66
2019-07-22,21.43
2019-07-23,22.49
2019-07-24,22.46
2019-07-25,22.14
2019-07-26,22.0
2019-07-29,22.67
2019-07-30,22.56
2019-07-31,22.67
2019-08-01,21.01
2019-08-02,21.06
2019-08-05,20.35
2019-08-06,20.11
2019-08-07,20.15
2019-08-08,20.6
2019-08-09,20.39
2019-08-12,20.4
2019-08-13,21.33
2019-08-14,21.39
2019-08-15,23.18
2019-08-16,24.29
2019-08-19,24.01
2019-08-20,23.3
2019-08-21,23.75
2019-08-22,22.65
2019-08-23,22.07
2019-08-26,22.81
2019-08-27,21.99
2019-08-28,23.62
2019-08-29,24.51
2019-08-30,25.2
2019-09-03,24.1
2019-09-04,24.61
2019-09-05,25.0
2019-09-06,24.25
2019-09-09,23.96
2019-09-10,23.19
2019-09-11,23.5
2019-09-12,24.18
2019-09-13,24.14
2019-09-16,23.85
2019-09-17,25.12
2019-09-18,25.95
2019-09-19,27.93
2019-09-20,27.88
2019-09-23,27.04
2019-09-24,26.45
2019-09-25,26.61
2019-09-26,26.38
2019-09-27,23.89
2019-09-30,23.64
2019-10-01,23.44
2019-10-02,23.04
2019-10-03,23.52
2019-10-04,22.73
2019-10-07,22.68
2019-10-08,21.62
2019-10-09,21.62
2019-10-10,21.63
2019-10-11,22.34
2019-10-14,22.41
2019-10-15,23.73
2019-10-16,24.05
2019-10-17,22.84
2019-10-18,21.5
2019-10-21,22.01
2019-10-22,20.74
2019-10-23,21.54
2019-10-24,21.83
2019-10-25,21.94
2019-10-28,22.02
