date,close
2023-06-21,2.85
2023-06-22,2.81
2023-06-23,2.69
2023-06-26,2.59
2023-06-27,2.62
2023-06-28,2.67
2023-06-29,2.72
2023-06-30,2.78
2023-07-03,2.74
2023-07-05,2.72
2023-07-06,2.63
2023-07-07,2.72
2023-07-10,2.66
2023-07-11,2.56
2023-07-12,2.63
2023-07-13,2.7
2023-07-14,2.78
2023-07-17,3.04
2023-07-18,2.97
2023-07-19,3.1
2023-07-20,2.89
2023-07-21,2.81
2023-07-24,2.65
2023-07-25,2.575
2023-07-26,2.44
2023-07-27,2.33
2023-07-28,2.29
2023-07-31,2.2
2023-08-01,2.04
2023-08-02,1.94
2023-08-03,2.115
2023-08-04,2.01
2023-08-07,1.85
2023-08-08,1.86
2023-08-09,1.67
2023-08-10,1.735
2023-08-11,1.83
2023-08-14,1.85
2023-08-15,1.96
2023-08-16,1.96
2023-08-17,1.84
2023-08-18,1.81
2023-08-21,1.645
2023-08-22,1.7
2023-08-23,1.66
2023-08-24,1.6
2023-08-25,1.65
2023-08-28,1.65
2023-08-29,1.63
2023-08-30,1.65
2023-08-31,1.61
2023-09-01,1.53
2023-09-05,1.46
2023-09-06,1.44
2023-09-07,1.31
2023-09-08,1.29
2023-09-11,1.54
2023-09-12,1.69
2023-09-13,1.64
2023-09-14,1.69
2023-09-15,1.8
2023-09-18,1.67
2023-09-19,1.79
2023-09-20,1.675
2023-09-21,1.635
2023-09-22,1.65
2023-09-25,1.61
2023-09-26,1.47
2023-09-27,1.595
2023-09-28,1.6
2023-09-29,1.69
2023-10-02,1.53
2023-10-03,1.435
2023-10-04,1.39
2023-10-05,1.48
2023-10-06,1.42
2023-10-09,1.42
2023-10-10,1.43
2023-10-11,1.36
2023-10-12,1.28
2023-10-13,1.31
2023-10-16,1.39
2023-10-17,1.45
2023-10-18,1.41
2023-10-19,1.255
2023-10-20,1.3
2023-10-23,1.43
2023-10-24,1.8
2023-10-25,1.58
2023-10-26,2.05
2023-10-27,2.48
2023-10-30,3.08
2023-10-31,3.14
2023-11-01,3.25
2023-11-02,3.7
2023-11-03,3.75
2023-11-06,3.6
2023-11-07,3.63
2023-11-08,3.43
2023-11-09,2.845
2023-11-10,3.11
2023-11-13,3.44
2023-11-14,3.63
2023-11-15,4.09
2023-11-16,4.09
2023-11-17,4.14
2023-11-20,4.05
2023-11-21,3.74
2023-11-22,4.19
2023-11-24,4.12
2023-11-27,4.22
2023-11-28,4.04
2023-11-29,3.98
2023-11-30,3.68
2023-12-01,3.78
2023-12-04,3.72
2023-12-05,3.68
2023-12-06,3.72
2023-12-07,3.46
2023-12-08,3.43
2023-12-11,3.18
2023-12-12,3.72
2023-12-13,3.93
2023-12-14,4.07
2023-12-15,4.3
2023-12-18,4.16
2023-12-19,4.26
2023-12-20,4.53
2023-12-21,4.08
2023-12-22,4.44
2023-12-26,4.64
2023-12-27,5.19
2023-12-28,5.21
2023-12-29,5.02
2024-01-02,5.24
2024-01-03,4.725
2024-01-04,4.83
2024-01-05,4.41
2024-01-08,4.47
2024-01-09,4.24
2024-01-10,4.19
2024-01-11,3.97
2024-01-12,3.85
2024-01-16,3.77
2024-01-17,3.65
2024-01-18,3.63
2024-01-19,3.6
2024-01-22,3.65
2024-01-23,3.36
2024-01-24,3.225
2024-01-25,3.3
2024-01-26,3.29
2024-01-29,3.65
2024-01-30,3.52
2024-01-31,3.36
2024-02-01,3.65
2024-02-02,4.14
2024-02-05,4.04
2024-02-06,4.22
2024-02-07,4.14
2024-02-08,4.31
2024-02-09,4.58
2024-02-12,4.74
2024-02-13,4.23
2024-02-14,4.58
2024-02-15,4.78
2024-02-16,4.85
2024-02-20,4.73
2024-02-21,4.68
2024-02-22,5.24
2024-02-23,3.5
2024-02-26,4.19
2024-02-27,4.59
2024-02-28,4.55
2024-02-29,4.73
2024-03-01,4.71
2024-03-04,5.07
2024-03-05,4.82
2024-03-06,5.08
2024-03-07,5.05
2024-03-08,5.49
2024-03-11,5.14
2024-03-12,5.05
2024-03-13,5.08
2024-03-14,4.91
2024-03-15,5.13
2024-03-18,5.23
2024-03-19,5.43
2024-03-20,5.99
2024-03-21,6.17
2024-03-22,6.07
2024-03-25,5.44
2024-03-26,5.12
2024-03-27,5.46
2024-03-28,5.37
2024-04-01,5.32
2024-04-02,5.27
2024-04-03,5.71
2024-04-04,5.62
2024-04-05,5.71
2024-04-08,6.17
2024-04-09,6.16
2024-04-10,5.96
2024-04-11,6.06
