date,close
2019-06-21,125.49
2019-06-24,125.74
2019-06-25,125.88
2019-06-26,125.49
2019-06-27,125.73
2019-06-28,125.76
2019-07-01,125.44
2019-07-02,125.66
2019-07-03,125.73
2019-07-05,125.21
2019-07-08,125.08
2019-07-09,124.97
2019-07-10,125.25
2019-07-11,124.95
2019-07-12,125.03
2019-07-15,125.17
2019-07-16,124.98
2019-07-17,125.33
2019-07-18,125.62
2019-07-19,125.39
2019-07-22,125.44
2019-07-23,125.32
2019-07-24,125.39
2019-07-25,125.22
2019-07-26,125.22
2019-07-29,125.27
2019-07-30,125.3
2019-07-31,125.35
2019-08-01,126.05
2019-08-02,126.15
2019-08-05,126.83
2019-08-06,126.93
2019-08-07,126.92
2019-08-08,126.89
2019-08-09,126.72
2019-08-12,127.14
2019-08-13,126.77
2019-08-14,127.16
2019-08-15,127.68
2019-08-16,127.63
2019-08-19,127.25
2019-08-20,127.56
2019-08-21,127.32
2019-08-22,127.17
2019-08-23,127.68
2019-08-26,127.59
2019-08-27,127.83
2019-08-28,127.86
2019-08-29,127.73
2019-08-30,127.75
2019-09-03,127.81
2019-09-04,128.02
2019-09-05,127.34
2019-09-06,127.39
2019-09-09,127.0
2019-09-10,126.45
2019-09-11,126.37
2019-09-12,126.18
2019-09-13,125.52
2019-09-16,125.84
2019-09-17,126.02
2019-09-18,125.96
2019-09-19,126.06
2019-09-20,126.41
2019-09-23,126.55
2019-09-24,126.94
2019-09-25,126.44
2019-09-26,126.57
2019-09-27,126.72
2019-09-30,126.8
2019-10-01,126.9
2019-10-02,127.23
2019-10-03,127.7
2019-10-04,127.8
2019-10-07,127.51
2019-10-08,127.67
2019-10-09,127.52
2019-10-10,127.04
2019-10-11,126.57
2019-10-14,126.65
2019-10-15,126.38
2019-10-16,126.56
2019-10-17,126.52
2019-10-18,126.63
2019-10-21,126.35
2019-10-22,126.5
2019-10-23,126.45
2019-10-24,126.48
2019-10-25,126.29
2019-10-28,126.11
2019-10-29,126.13
2019-10-30,126.44
2019-10-31,126.97
2019-11-01,126.61
2019-11-04,126.31
2019-11-05,125.93
2019-11-06,126.14
2019-11-07,125.57
2019-11-08,125.52
2019-11-11,125.57
2019-11-12,125.65
2019-11-13,125.87
2019-11-14,126.24
2019-11-15,126.11
2019-11-18,126.25
2019-11-19,126.29
2019-11-20,126.55
2019-11-21,126.38
2019-11-22,126.35
2019-11-25,126.36
2019-11-26,126.5
2019-11-27,126.3
2019-11-29,126.31
2019-12-02,125.97
2019-12-03,126.58
2019-12-04,126.3
2019-12-05,126.16
2019-12-06,125.94
2019-12-09,125.93
2019-12-10,125.81
2019-12-11,126.09
2019-12-12,125.57
2019-12-13,126.01
2019-12-16,125.72
2019-12-17,125.73
2019-12-18,125.6
2019-12-19,125.5
2019-12-20,125.48
2019-12-23,125.41
2019-12-24,125.54
2019-12-26,125.64
2019-12-27,125.86
2019-12-30,125.89
2019-12-31,125.75
2020-01-02,125.97
2020-01-03,126.37
2020-01-06,126.3
2020-01-07,126.25
2020-01-08,126.08
2020-01-09,126.08
2020-01-10,126.2
2020-01-13,126.13
2020-01-14,126.26
2020-01-15,126.4
2020-01-16,126.31
2020-01-17,126.29
2020-01-21,126.58
2020-01-22,126.6
2020-01-23,126.76
2020-01-24,126.98
2020-01-27,127.42
2020-01-28,127.25
2020-01-29,127.56
2020-01-30,127.67
2020-01-31,128.06
2020-02-03,127.73
2020-02-04,127.35
2020-02-05,127.08
2020-02-06,127.09
2020-02-07,127.39
2020-02-10,127.58
2020-02-11,127.4
2020-02-12,127.23
2020-02-13,127.29
2020-02-14,127.39
2020-02-18,127.55
2020-02-19,127.5
2020-02-20,127.72
2020-02-21,128.0
2020-02-24,128.61
2020-02-25,128.84
2020-02-26,128.86
2020-02-27,129.28
2020-02-28,130.28
2020-03-02,129.92
2020-03-03,131.0
2020-03-04,130.91
2020-03-05,131.45
2020-03-06,131.94
2020-03-09,132.55
2020-03-10,131.83
2020-03-11,131.52
2020-03-12,131.67
2020-03-13,131.05
2020-03-16,132.41
2020-03-17,130.96
2020-03-18,130.11
2020-03-19,130.39
2020-03-20,131.95
2020-03-23,132.89
2020-03-24,132.26
2020-03-25,132.3
2020-03-26,132.56
2020-03-27,133.06
2020-03-30,133.08
2020-03-31,133.34
2020-04-01,133.28
2020-04-02,133.19
2020-04-03,133.21
2020-04-06,132.89
2020-04-07,132.67
2020-04-08,132.69
2020-04-09,132.97
2020-04-13,132.83
2020-04-14,133.0
2020-04-15,133.45
2020-04-16,133.45
2020-04-17,133.31
2020-04-20,133.42
2020-04-21,133.52
2020-04-22,133.33
2020-04-23,133.33
2020-04-24,133.36
2020-04-27,133.09
2020-04-28,133.33
2020-04-29,133.39
2020-04-30,133.34
2020-05-01,133.22
2020-05-04,133.25
2020-05-05,133.22
2020-05-06,133.13
2020-05-07,133.57
2020-05-08,133.43
2020-05-11,133.25
2020-05-12,133.41
2020-05-13,133.5
2020-05-14,133.58
2020-05-15,133.57
2020-05-18,133.24
2020-05-19,133.42
2020-05-20,133.43
2020-05-21,133.44
2020-05-22,133.48
2020-05-26,133.43
2020-05-27,133.44
2020-05-28,133.43
2020-05-29,133.64
2020-06-01,133.48
2020-06-02,133.39
2020-06-03,133.07
2020-06-04,132.87
2020-06-05,132.55
2020-06-08,132.62
2020-06-09,132.89
2020-06-10,133.38
2020-06-11,133.42
2020-06-12,133.35
2020-06-15,133.3
2020-06-16,133.24
2020-06-17,133.28
2020-06-18,133.34
2020-06-19,133.38
2020-06-22,133.32
2020-06-23,133.37
2020-06-24,133.44
2020-06-25,133.46
2020-06-26,133.63
2020-06-29,133.72
2020-06-30,133.67
2020-07-01,133.43
2020-07-02,133.55
2020-07-06,133.45
2020-07-07,133.59
2020-07-08,133.53
2020-07-09,133.66
2020-07-10,133.55
2020-07-13,133.61
2020-07-14,133.58
2020-07-15,133.59
2020-07-16,133.66
2020-07-17,133.64
2020-07-20,133.64
2020-07-21,133.73
2020-07-22,133.72
2020-07-23,133.72
2020-07-24,133.74
2020-07-27,133.64
2020-07-28,133.79
2020-07-29,133.89
2020-07-30,134.01
2020-07-31,134.07
2020-08-03,133.94
2020-08-04,134.1
2020-08-05,133.93
2020-08-06,133.95
2020-08-07,133.85
2020-08-10,133.82
2020-08-11,133.62
2020-08-12,133.46
2020-08-13,133.35
2020-08-14,133.44
2020-08-17,133.52
2020-08-18,133.6
2020-08-19,133.52
2020-08-20,133.63
2020-08-21,133.65
2020-08-24,133.58
2020-08-25,133.48
2020-08-26,133.48
2020-08-27,133.38
2020-08-28,133.56
2020-08-31,133.59
2020-09-01,133.6
2020-09-02,133.63
2020-09-03,133.68
2020-09-04,133.38
2020-09-08,133.52
2020-09-09,133.52
2020-09-10,133.56
2020-09-11,133.68
2020-09-14,133.6
2020-09-15,133.58
2020-09-16,133.55
2020-09-17,133.56
2020-09-18,133.51
2020-09-21,133.59
2020-09-22,133.61
2020-09-23,133.6
2020-09-24,133.62
2020-09-25,133.68
2020-09-28,133.67
2020-09-29,133.73
2020-09-30,133.59
2020-10-01,133.52
2020-10-02,133.47
2020-10-05,133.15
2020-10-06,133.25
2020-10-07,133.12
2020-10-08,133.21
2020-10-09,133.16
