date,close
2023-06-21,49.62
2023-06-22,49.44
2023-06-23,48.73
2023-06-26,48.93
2023-06-27,49.4
2023-06-28,49.09
2023-06-29,48.86
2023-06-30,49.29
2023-07-03,49.85
2023-07-05,49.56
2023-07-06,48.6
2023-07-07,49.16
2023-07-10,49.17
2023-07-11,49.68
2023-07-12,50.69
2023-07-13,51.27
2023-07-14,50.99
2023-07-17,51.09
2023-07-18,50.78
2023-07-19,50.7
2023-07-20,50.3
2023-07-21,50.28
2023-07-24,50.95
2023-07-25,51.35
2023-07-26,51.61
2023-07-27,50.97
2023-07-28,52.17
2023-07-31,52.23
2023-08-01,51.58
2023-08-02,50.38
2023-08-03,50.57
2023-08-04,50.58
2023-08-07,50.48
2023-08-08,49.89
2023-08-09,50.05
2023-08-10,50.07
2023-08-11,49.39
2023-08-14,49.11
2023-08-15,48.63
2023-08-16,48.21
2023-08-17,48.34
2023-08-18,48.03
2023-08-21,48.18
2023-08-22,48.09
2023-08-23,48.82
2023-08-24,48.66
2023-08-25,48.72
2023-08-28,49.17
2023-08-29,49.81
2023-08-30,49.65
2023-08-31,49.06
2023-09-01,49.62
2023-09-05,49.28
2023-09-06,49.01
2023-09-07,48.53
2023-09-08,48.62
2023-09-11,49.19
2023-09-12,49.01
2023-09-13,48.95
2023-09-14,49.29
2023-09-15,49.09
2023-09-18,49.02
2023-09-19,48.74
2023-09-20,48.57
2023-09-21,47.72
2023-09-22,48.23
2023-09-25,48.04
2023-09-26,47.36
2023-09-27,47.44
2023-09-28,47.58
2023-09-29,47.59
2023-10-02,47.35
2023-10-03,46.75
2023-10-04,46.6
2023-10-05,46.78
2023-10-06,47.44
2023-10-09,47.18
2023-10-10,47.86
2023-10-11,48.1
2023-10-12,47.61
2023-10-13,47.41
2023-10-16,47.78
2023-10-17,47.67
2023-10-18,46.89
2023-10-19,46.67
2023-10-20,46.07
2023-10-23,46.04
2023-10-24,46.63
2023-10-25,46.03
2023-10-26,45.78
2023-10-27,45.74
2023-10-30,46.24
2023-10-31,45.94
2023-11-01,46.4
2023-11-02,47.22
2023-11-03,48.14
2023-11-06,48.58
2023-11-07,48.47
2023-11-08,48.14
2023-11-09,47.69
2023-11-10,48.02
2023-11-13,48.04
2023-11-14,49.28
2023-11-15,49.66
2023-11-16,49.24
2023-11-17,49.33
2023-11-20,49.94
2023-11-21,49.64
2023-11-22,49.54
2023-11-24,49.58
2023-11-27,49.44
2023-11-28,49.86
2023-11-29,49.57
2023-11-30,49.65
2023-12-01,49.92
2023-12-04,49.37
2023-12-05,49.16
2023-12-06,49.07
2023-12-07,49.33
2023-12-08,49.15
2023-12-11,49.38
2023-12-12,49.42
2023-12-13,49.93
2023-12-14,50.6
2023-12-15,50.31
2023-12-18,50.24
2023-12-19,50.64
2023-12-20,48.75
2023-12-21,49.69
2023-12-22,49.49
2023-12-26,49.87
2023-12-27,50.2
2023-12-28,50.53
2023-12-29,50.58
2024-01-02,49.95
2024-01-03,49.71
2024-01-04,49.57
2024-01-05,49.68
2024-01-08,49.82
2024-01-09,49.13
2024-01-10,49.02
2024-01-11,49.26
2024-01-12,49.45
2024-01-16,48.26
2024-01-17,47.6
2024-01-18,47.91
2024-01-19,48.4
2024-01-22,48.02
2024-01-23,48.38
2024-01-24,48.86
2024-01-25,48.9
2024-01-26,48.97
2024-01-29,49.02
2024-01-30,48.67
2024-01-31,48.45
2024-02-01,48.91
2024-02-02,48.74
2024-02-05,48.82
2024-02-06,49.89
2024-02-07,49.94
2024-02-08,49.63
2024-02-09,49.84
2024-02-12,50.18
2024-02-13,49.23
2024-02-14,49.97
2024-02-15,50.23
2024-02-16,50.44
2024-02-20,50.53
2024-02-21,50.6
2024-02-22,51.08
2024-02-23,51.05
2024-02-26,50.85
2024-02-27,50.94
2024-02-28,50.28
