date,close
2019-06-21,20.31
2019-06-24,20.21
2019-06-25,20.53
2019-06-26,20.14
2019-06-27,20.34
2019-06-28,20.82
2019-07-01,20.86
2019-07-02,21.0
2019-07-03,21.48
2019-07-05,21.58
2019-07-08,21.57
2019-07-09,21.58
2019-07-10,21.47
2019-07-11,21.02
2019-07-12,20.95
2019-07-15,20.84
2019-07-16,20.92
2019-07-17,20.76
2019-07-18,20.85
2019-07-19,20.45
2019-07-22,20.41
2019-07-23,20.6
2019-07-24,21.0
2019-07-25,20.95
2019-07-26,20.73
2019-07-29,20.78
2019-07-30,21.47
2019-07-31,21.38
2019-08-01,21.28
2019-08-02,21.5
2019-08-05,21.2
2019-08-06,21.39
2019-08-07,21.22
2019-08-08,21.48
2019-08-09,21.29
2019-08-12,21.27
2019-08-13,21.28
2019-08-14,21.01
2019-08-15,21.01
2019-08-16,21.26
2019-08-19,21.36
2019-08-20,21.17
2019-08-21,21.36
2019-08-22,21.39
2019-08-23,20.86
2019-08-26,21.03
2019-08-27,20.88
2019-08-28,21.38
2019-08-29,21.32
2019-08-30,21.39
2019-09-03,21.51
2019-09-04,21.9
2019-09-05,21.69
2019-09-06,21.66
2019-09-09,21.79
2019-09-10,21.8
2019-09-11,21.96
2019-09-12,22.0
2019-09-13,21.98
2019-09-16,21.97
2019-09-17,21.85
2019-09-18,21.69
2019-09-19,21.7
2019-09-20,21.92
2019-09-23,21.8
2019-09-24,21.6
2019-09-25,21.27
2019-09-26,21.42
2019-09-27,21.235
2019-09-30,21.25
2019-10-01,21.27
2019-10-02,21.14
2019-10-03,21.22
2019-10-04,21.58
2019-10-07,21.47
2019-10-08,21.39
2019-10-09,21.37
2019-10-10,21.25
2019-10-11,21.21
2019-10-14,21.15
2019-10-15,21.24
2019-10-16,21.2
2019-10-17,21.21
2019-10-18,21.405
2019-10-21,21.98
2019-10-22,21.98
2019-10-23,22.2
2019-10-24,22.19
2019-10-25,21.565
2019-10-28,21.8
2019-10-29,20.9
