date,close
2023-06-21,20.12
2023-06-22,20.5
2023-06-23,19.93
2023-06-26,19.25
2023-06-27,18.8
2023-06-28,19.14
2023-06-29,18.52
2023-06-30,18.97
2023-07-03,18.75
2023-07-05,18.83
2023-07-06,19.09
2023-07-07,18.55
2023-07-10,19.39
2023-07-11,19.86
2023-07-12,19.5
2023-07-13,20.27
2023-07-14,20.74
2023-07-17,23.13
2023-07-18,24.94
2023-07-19,23.16
2023-07-20,23.04
2023-07-21,22.28
2023-07-24,21.87
2023-07-25,21.75
2023-07-26,21.5
2023-07-27,21.73
2023-07-28,22.53
2023-07-31,22.83
2023-08-01,23.07
2023-08-02,22.5
2023-08-03,22.36
2023-08-04,21.9
2023-08-07,21.57
2023-08-08,21.77
2023-08-09,20.92
2023-08-10,22.32
2023-08-11,22.47
2023-08-14,21.25
2023-08-15,20.52
2023-08-16,20.64
2023-08-17,19.59
2023-08-18,20.48
2023-08-21,20.58
2023-08-22,20.57
2023-08-23,20.22
2023-08-24,20.01
2023-08-25,20.06
2023-08-28,21.03
2023-08-29,21.82
2023-08-30,22.33
2023-08-31,22.71
2023-09-01,23.99
2023-09-05,22.68
2023-09-06,23.02
2023-09-07,23.0
2023-09-08,23.32
2023-09-11,22.55
2023-09-12,22.03
2023-09-13,21.6
2023-09-14,22.01
2023-09-15,21.81
2023-09-18,21.94
2023-09-19,21.48
2023-09-20,20.6
2023-09-21,21.25
2023-09-22,20.39
2023-09-25,20.28
2023-09-26,39.96
2023-09-27,39.515
2023-09-28,39.79
2023-09-29,38.39
2023-10-02,34.64
2023-10-03,34.28
2023-10-04,34.01
2023-10-05,36.61
2023-10-06,36.23
2023-10-09,37.24
2023-10-10,37.19
2023-10-11,36.64
2023-10-12,35.28
2023-10-13,37.41
2023-10-16,37.75
2023-10-17,37.42
2023-10-18,36.95
2023-10-19,35.88
2023-10-20,35.06
2023-10-23,33.8
2023-10-24,35.0
2023-10-25,33.955
2023-10-26,34.25
2023-10-27,33.42
2023-10-30,32.92
2023-10-31,33.05
2023-11-01,33.47
2023-11-02,33.09
2023-11-03,33.99
2023-11-06,33.74
2023-11-07,34.6
2023-11-08,33.39
2023-11-09,31.31
2023-11-10,32.63
2023-11-13,32.8
2023-11-14,34.97
2023-11-15,34.24
2023-11-16,33.72
2023-11-17,33.82
2023-11-20,33.8
2023-11-21,32.96
2023-11-22,32.675
2023-11-24,33.42
2023-11-27,33.54
2023-11-28,36.01
2023-11-29,38.24
2023-11-30,39.13
2023-12-01,40.55
2023-12-04,40.81
2023-12-05,39.93
2023-12-06,39.02
2023-12-07,40.27
2023-12-08,39.19
2023-12-11,39.78
2023-12-12,43.6
2023-12-13,43.59
2023-12-14,42.58
2023-12-15,42.74
2023-12-18,41.21
2023-12-19,41.51
2023-12-20,36.18
2023-12-21,39.1
2023-12-22,41.48
2023-12-26,44.19
2023-12-27,43.56
2023-12-28,42.35
2023-12-29,42.13
2024-01-02,41.39
2024-01-03,38.77
2024-01-04,38.89
2024-01-05,42.78
2024-01-08,43.21
2024-01-09,43.79
2024-01-10,43.28
2024-01-11,42.87
2024-01-12,42.36
2024-01-16,42.25
2024-01-17,40.96
2024-01-18,40.54
2024-01-19,40.37
2024-01-22,40.04
2024-01-23,39.36
2024-01-24,38.64
2024-01-25,38.24
2024-01-26,38.25
2024-01-29,39.32
2024-01-30,37.4
2024-01-31,36.41
2024-02-01,36.07
2024-02-02,34.93
2024-02-05,36.61
2024-02-06,36.44
2024-02-07,35.24
2024-02-08,35.27
2024-02-09,35.5
2024-02-12,36.69
2024-02-13,36.92
2024-02-14,37.8
2024-02-15,37.8
2024-02-16,37.13
2024-02-20,37.5
2024-02-21,36.5
2024-02-22,35.99
2024-02-23,37.0
2024-02-26,38.15
2024-02-27,38.36
2024-02-28,37.66
2024-02-29,35.37
2024-03-01,35.3
2024-03-04,34.74
2024-03-05,33.97
