date,close
2023-06-21,61.48
2023-06-22,60.39
2023-06-23,61.71
2023-06-26,62.71
2023-06-27,61.09
2023-06-28,60.82
2023-06-29,61.67
2023-06-30,62.12
2023-07-03,61.46
2023-07-05,61.66
2023-07-06,61.29
2023-07-07,60.28
2023-07-10,60.61
2023-07-11,61.01
2023-07-12,60.22
2023-07-13,60.34
2023-07-14,60.32
2023-07-17,60.13
2023-07-18,59.71
2023-07-19,60.47
2023-07-20,60.78
2023-07-21,60.97
2023-07-24,59.96
2023-07-25,50.58
2023-07-26,50.96
2023-07-27,52.36
2023-07-28,54.1
2023-07-31,52.55
2023-08-01,52.0
2023-08-02,50.91
2023-08-03,50.01
2023-08-04,49.7
2023-08-07,49.86
2023-08-08,49.53
2023-08-09,49.9
2023-08-10,50.9
2023-08-11,50.9
2023-08-14,50.54
2023-08-15,50.28
2023-08-16,49.51
2023-08-17,48.57
2023-08-18,48.21
2023-08-21,48.35
2023-08-22,48.02
2023-08-23,48.53
2023-08-24,48.03
2023-08-25,47.8
2023-08-28,48.23
2023-08-29,48.5
2023-08-30,48.61
2023-08-31,48.95
2023-09-01,49.53
2023-09-05,48.79
2023-09-06,48.74
2023-09-07,47.67
2023-09-08,47.62
2023-09-11,47.67
2023-09-12,47.63
2023-09-13,48.17
2023-09-14,48.31
2023-09-15,47.55
2023-09-18,50.17
2023-09-19,50.78
2023-09-20,48.71
2023-09-21,47.34
2023-09-22,48.34
2023-09-25,47.33
2023-09-26,46.65
2023-09-27,45.6
2023-09-28,45.37
2023-09-29,45.49
2023-10-02,44.4
2023-10-03,43.83
2023-10-04,44.56
2023-10-05,44.86
2023-10-06,44.29
2023-10-09,44.44
2023-10-10,44.1
2023-10-11,42.41
2023-10-12,41.88
2023-10-13,42.48
2023-10-16,42.93
2023-10-17,44.06
2023-10-18,43.77
2023-10-19,39.78
2023-10-20,38.48
2023-10-23,38.07
2023-10-24,37.77
2023-10-25,36.94
2023-10-26,36.8
2023-10-27,36.05
2023-10-30,37.01
2023-10-31,37.05
2023-11-01,36.72
2023-11-02,37.9
2023-11-03,38.24
2023-11-06,37.89
2023-11-07,37.7
2023-11-08,37.42
2023-11-09,37.14
2023-11-10,35.81
2023-11-13,35.51
2023-11-14,37.14
2023-11-15,37.46
2023-11-16,37.52
2023-11-17,37.27
2023-11-20,36.93
2023-11-21,36.49
2023-11-22,37.32
2023-11-24,37.48
2023-11-27,37.43
2023-11-28,37.94
2023-11-29,38.02
2023-11-30,38.1
2023-12-01,39.21
2023-12-04,39.71
2023-12-05,39.99
2023-12-06,39.94
2023-12-07,39.76
2023-12-08,40.58
2023-12-11,39.84
2023-12-12,39.55
2023-12-13,40.25
2023-12-14,40.68
2023-12-15,40.01
2023-12-18,39.86
2023-12-19,40.2
2023-12-20,39.52
2023-12-21,40.52
2023-12-22,40.66
2023-12-26,41.22
2023-12-27,40.88
2023-12-28,41.26
2023-12-29,41.16
2024-01-02,40.58
2024-01-03,39.26
2024-01-04,39.71
2024-01-05,38.55
2024-01-08,39.26
2024-01-09,38.92
2024-01-10,39.12
2024-01-11,38.66
2024-01-12,38.34
2024-01-16,37.85
2024-01-17,37.2
2024-01-18,38.1
2024-01-19,37.26
2024-01-22,37.66
2024-01-23,37.54
2024-01-24,36.42
2024-01-25,36.25
2024-01-26,36.52
2024-01-29,36.85
2024-01-30,36.49
2024-01-31,36.26
2024-02-01,35.99
2024-02-02,35.3
2024-02-05,33.91
2024-02-06,34.37
2024-02-07,33.65
2024-02-08,34.43
2024-02-09,34.83
2024-02-12,35.43
2024-02-13,34.06
2024-02-14,35.04
2024-02-15,30.47
2024-02-16,30.14
2024-02-20,29.21
2024-02-21,29.5
2024-02-22,29.1
2024-02-23,28.32
2024-02-26,28.41
2024-02-27,29.29
2024-02-28,28.81
2024-02-29,28.95
2024-03-01,29.71
2024-03-04,29.31
2024-03-05,28.79
2024-03-06,28.4
