date,close
2021-11-17,24.45
2021-11-18,23.4
2021-11-19,24.8
2021-11-22,22.64
2021-11-23,21.0
2021-11-24,20.07
2021-11-26,18.99
2021-11-29,19.06
2021-11-30,18.15
2021-12-01,18.47
2021-12-02,17.26
2021-12-03,15.43
2021-12-06,15.36
2021-12-07,16.18
2021-12-08,15.52
2021-12-09,14.86
2021-12-10,14.4
2021-12-13,13.52
2021-12-14,12.99
2021-12-15,13.78
2021-12-16,14.02
2021-12-17,17.7
2021-12-20,17.31
2021-12-21,17.97
2021-12-22,16.96
2021-12-23,17.16
2021-12-27,15.84
2021-12-28,16.79
2021-12-29,16.67
2021-12-30,16.87
2021-12-31,16.17
2022-01-03,15.23
2022-01-04,13.46
2022-01-05,12.99
2022-01-06,12.51
2022-01-07,11.99
2022-01-10,11.16
2022-01-11,12.33
2022-01-12,12.41
2022-01-13,12.07
2022-01-14,12.34
2022-01-18,11.24
2022-01-19,11.56
2022-01-20,11.4
2022-01-21,9.58
2022-01-24,9.31
2022-01-25,9.55
2022-01-26,10.75
2022-01-27,10.15
2022-01-28,11.0
2022-01-31,13.17
2022-02-01,13.83
2022-02-02,12.49
2022-02-03,12.5
2022-02-04,13.15
2022-02-07,15.36
2022-02-08,14.36
2022-02-09,14.28
2022-02-10,14.74
2022-02-11,14.78
2022-02-14,14.1
2022-02-15,14.52
2022-02-16,14.78
2022-02-17,13.59
2022-02-18,13.54
2022-02-22,14.16
2022-02-23,13.39
2022-02-24,13.86
2022-02-25,14.47
2022-02-28,14.97
2022-03-01,15.11
2022-03-02,15.41
2022-03-03,14.72
2022-03-04,14.42
2022-03-07,14.48
2022-03-08,14.99
2022-03-09,16.43
2022-03-10,17.78
2022-03-11,17.33
2022-03-14,15.34
2022-03-15,14.09
2022-03-16,14.64
2022-03-17,14.46
2022-03-18,13.17
2022-03-21,13.07
2022-03-22,14.17
2022-03-23,14.43
2022-03-24,13.82
2022-03-25,14.39
2022-03-28,13.86
2022-03-29,15.61
2022-03-30,15.9
2022-03-31,15.67
2022-04-01,15.8
2022-04-04,15.66
2022-04-05,15.19
2022-04-06,14.28
2022-04-07,14.01
2022-04-08,13.67
2022-04-11,13.06
2022-04-12,12.84
2022-04-13,13.15
2022-04-14,12.34
2022-04-18,11.18
2022-04-19,11.2
2022-04-20,11.11
2022-04-21,10.57
2022-04-22,10.67
2022-04-25,11.25
2022-04-26,10.09
2022-04-27,10.0
2022-04-28,9.85
2022-04-29,8.69
2022-05-02,8.99
2022-05-03,9.5
2022-05-04,10.13
2022-05-05,9.81
2022-05-06,9.49
2022-05-09,8.52
2022-05-10,7.68
2022-05-11,6.89
2022-05-12,6.6
2022-05-13,7.71
2022-05-16,4.9
2022-05-17,5.92
2022-05-18,5.6
2022-05-19,6.74
2022-05-20,6.25
2022-05-23,5.74
2022-05-24,5.07
2022-05-25,5.32
2022-05-26,5.7
2022-05-27,5.77
2022-05-31,5.94
2022-06-01,5.73
2022-06-02,5.96
2022-06-03,5.4
2022-06-06,5.51
2022-06-07,5.25
2022-06-08,5.33
2022-06-09,4.91
2022-06-10,4.82
2022-06-13,4.06
2022-06-14,3.87
2022-06-15,3.88
2022-06-16,3.82
2022-06-17,3.74
2022-06-21,3.54
2022-06-22,3.26
2022-06-23,3.09
2022-06-24,3.05
2022-06-27,3.42
2022-06-28,3.1
2022-06-29,3.2
2022-06-30,3.35
2022-07-01,3.6
2022-07-05,3.39
