date,close
2023-06-21,55.55
2023-06-22,54.85
2023-06-23,53.97
2023-06-26,54.63
2023-06-27,55.74
2023-06-28,55.47
2023-06-29,56.16
2023-06-30,56.82
2023-07-03,57.27
2023-07-05,58.23
2023-07-06,58.27
2023-07-07,57.95
2023-07-10,58.77
2023-07-11,58.54
2023-07-12,59.35
2023-07-13,59.11
2023-07-14,59.51
2023-07-17,61.28
2023-07-18,61.83
2023-07-19,62.23
2023-07-20,61.99
2023-07-21,61.89
2023-07-24,62.15
2023-07-25,62.07
2023-07-26,62.43
2023-07-27,61.08
2023-07-28,60.56
2023-07-31,61.4
2023-08-01,61.78
2023-08-02,61.64
2023-08-03,59.8
2023-08-04,60.92
2023-08-07,61.43
2023-08-08,60.77
2023-08-09,60.92
2023-08-10,61.0
2023-08-11,60.47
2023-08-14,60.21
2023-08-15,59.67
2023-08-16,59.27
2023-08-17,58.56
2023-08-18,59.11
2023-08-21,58.56
2023-08-22,59.54
2023-08-23,61.06
2023-08-24,60.54
2023-08-25,61.17
2023-08-28,62.05
2023-08-29,62.63
2023-08-30,63.35
2023-08-31,63.54
2023-09-01,63.61
2023-09-05,63.28
2023-09-06,64.02
2023-09-07,63.65
2023-09-08,62.68
2023-09-11,63.01
2023-09-12,63.15
2023-09-13,63.06
2023-09-14,63.82
2023-09-15,62.85
2023-09-18,63.07
2023-09-19,63.05
2023-09-20,63.45
2023-09-21,61.71
2023-09-22,61.89
2023-09-25,61.39
2023-09-26,59.88
2023-09-27,58.99
2023-09-28,59.87
2023-09-29,59.45
2023-10-02,58.67
2023-10-03,57.23
2023-10-04,57.69
2023-10-05,57.3
2023-10-06,58.08
2023-10-09,59.29
2023-10-10,59.68
2023-10-11,60.83
2023-10-12,60.5
2023-10-13,60.3
2023-10-16,61.67
2023-10-17,61.69
2023-10-18,59.99
2023-10-19,59.75
2023-10-20,59.22
2023-10-23,59.06
2023-10-24,59.65
2023-10-25,58.37
2023-10-26,59.02
2023-10-27,58.22
2023-10-30,58.29
2023-10-31,59.07
2023-11-01,59.66
2023-11-02,59.35
2023-11-03,61.75
2023-11-06,60.25
2023-11-07,59.17
2023-11-08,59.53
2023-11-09,58.87
2023-11-10,59.44
2023-11-13,59.1
2023-11-14,61.88
2023-11-15,62.19
2023-11-16,62.03
2023-11-17,62.23
2023-11-20,63.22
2023-11-21,63.05
2023-11-22,63.29
2023-11-24,63.21
2023-11-27,63.6
2023-11-28,63.72
2023-11-29,63.28
2023-11-30,64.15
2023-12-01,65.49
2023-12-04,66.2
2023-12-05,65.99
2023-12-06,65.98
2023-12-07,65.59
2023-12-08,65.45
2023-12-11,65.9
2023-12-12,66.45
2023-12-13,67.84
2023-12-14,68.45
2023-12-15,67.92
2023-12-18,68.32
2023-12-19,68.73
2023-12-20,68.02
2023-12-21,69.05
2023-12-22,69.37
2023-12-26,69.87
2023-12-27,70.24
2023-12-28,70.6
2023-12-29,69.98
2024-01-02,68.63
2024-01-03,66.22
2024-01-04,66.56
2024-01-05,66.75
2024-01-08,68.05
2024-01-09,67.14
2024-01-10,67.18
2024-01-11,66.25
2024-01-12,67.23
2024-01-16,66.36
2024-01-17,65.34
