date,close
2021-08-06,20.88
2021-08-09,23.06
2021-08-10,24.2
2021-08-11,27.76
2021-08-12,29.22
2021-08-13,26.66
2021-08-16,27.97
2021-08-17,26.89
2021-08-18,26.8
2021-08-19,26.94
2021-08-20,27.64
2021-08-23,29.25
2021-08-24,29.22
2021-08-25,27.97
2021-08-26,27.24
2021-08-27,30.38
2021-08-30,32.34
2021-08-31,33.84
2021-09-01,33.75
2021-09-02,35.84
2021-09-03,42.39
2021-09-07,41.75
2021-09-08,42.49
2021-09-09,46.91
2021-09-10,53.9
2021-09-13,43.0
2021-09-14,49.37
2021-09-15,55.3
2021-09-16,56.08
2021-09-17,51.46
2021-09-20,46.23
2021-09-21,47.86
2021-09-22,44.92
2021-09-23,46.74
2021-09-24,43.72
2021-09-27,45.1
2021-09-28,39.53
2021-09-29,40.54
2021-09-30,42.24
2021-10-01,27.98
2021-10-04,28.63
2021-10-05,31.87
2021-10-06,30.97
2021-10-07,31.4
2021-10-08,34.32
2021-10-11,34.94
2021-10-12,34.95
2021-10-13,30.74
2021-10-14,30.87
2021-10-15,32.43
2021-10-18,33.62
2021-10-19,37.07
2021-10-20,35.74
2021-10-21,33.65
2021-10-22,33.75
2021-10-25,32.05
2021-10-26,32.76
2021-10-27,31.79
2021-10-28,32.45
2021-10-29,29.24
2021-11-01,30.65
2021-11-02,30.25
2021-11-03,31.1
2021-11-04,30.3
2021-11-05,20.04
2021-11-08,19.21
2021-11-09,20.04
2021-11-10,19.81
2021-11-11,19.19
2021-11-12,19.14
2021-11-15,20.35
2021-11-16,20.2
2021-11-17,20.55
2021-11-18,19.51
2021-11-19,20.07
2021-11-22,19.23
2021-11-23,18.43
2021-11-24,18.73
2021-11-26,25.12
2021-11-29,46.83
2021-11-30,47.04
2021-12-01,46.345
2021-12-02,46.49
2021-12-03,45.83
2021-12-06,32.53
2021-12-07,38.73
2021-12-08,37.79
2021-12-09,34.97
2021-12-10,33.23
2021-12-13,34.26
2021-12-14,7.26
2021-12-15,6.35
2021-12-16,14.18
2021-12-17,11.48
2021-12-20,10.0
2021-12-21,10.29
2021-12-22,8.91
2021-12-23,8.66
2021-12-27,9.0
2021-12-28,7.85
2021-12-29,7.57
2021-12-30,7.87
2021-12-31,7.26
2022-01-03,7.48
2022-01-04,7.22
2022-01-05,6.5
2022-01-06,6.12
2022-01-07,5.93
2022-01-10,6.11
2022-01-11,6.02
2022-01-12,5.83
2022-01-13,5.26
2022-01-14,5.7
2022-01-18,5.5
2022-01-19,5.55
2022-01-20,6.44
2022-01-21,6.29
2022-01-24,6.18
2022-01-25,6.74
2022-01-26,7.09
2022-01-27,6.59
2022-01-28,6.78
2022-01-31,7.18
2022-02-01,7.76
2022-02-02,7.9
2022-02-03,7.85
2022-02-04,8.23
2022-02-07,9.25
2022-02-08,9.81
2022-02-09,10.77
2022-02-10,7.34
2022-02-11,7.0
2022-02-14,6.39
2022-02-15,7.11
2022-02-16,6.89
2022-02-17,6.47
2022-02-18,6.42
2022-02-22,6.43
2022-02-23,6.18
2022-02-24,6.34
2022-02-25,6.53
2022-02-28,6.69
2022-03-01,6.52
2022-03-02,6.1
2022-03-03,5.35
2022-03-04,5.03
2022-03-07,5.02
2022-03-08,5.01
2022-03-09,5.22
2022-03-10,5.2
2022-03-11,5.05
2022-03-14,4.65
2022-03-15,4.73
2022-03-16,5.0
2022-03-17,4.99
2022-03-18,4.97
2022-03-21,4.55
2022-03-22,4.4
2022-03-23,4.18
2022-03-24,4.2
2022-03-25,3.96
2022-03-28,3.81
2022-03-29,3.85
2022-03-30,5.02
2022-03-31,4.56
2022-04-01,4.52
2022-04-04,4.38
2022-04-05,4.06
2022-04-06,4.13
2022-04-07,4.01
2022-04-08,3.86
2022-04-11,3.69
2022-04-12,3.66
2022-04-13,3.87
2022-04-14,3.59
2022-04-18,3.14
2022-04-19,3.25
2022-04-20,3.18
2022-04-21,2.98
2022-04-22,2.95
2022-04-25,3.07
2022-04-26,2.88
2022-04-27,2.91
2022-04-28,2.9
2022-04-29,2.86
2022-05-02,3.04
2022-05-03,3.03
2022-05-04,3.23
2022-05-05,2.98
2022-05-06,2.88
2022-05-09,2.74
2022-05-10,2.8
2022-05-11,2.555
2022-05-12,2.66
2022-05-13,2.72
2022-05-16,2.87
2022-05-17,3.06
2022-05-18,2.95
2022-05-19,2.97
2022-05-20,2.95
2022-05-23,2.67
2022-05-24,2.63
2022-05-25,2.62
2022-05-26,2.7
2022-05-27,2.98
2022-05-31,2.96
2022-06-01,2.94
2022-06-02,3.08
2022-06-03,3.16
2022-06-06,3.35
2022-06-07,3.51
2022-06-08,3.3
2022-06-09,3.1
2022-06-10,2.96
2022-06-13,2.655
2022-06-14,2.64
2022-06-15,2.63
2022-06-16,2.54
2022-06-17,2.72
2022-06-21,2.96
2022-06-22,3.09
2022-06-23,3.29
2022-06-24,3.36
2022-06-27,3.38
2022-06-28,3.25
2022-06-29,3.3
2022-06-30,3.28
2022-07-01,3.5
2022-07-05,3.37
2022-07-06,3.78
2022-07-07,4.12
2022-07-08,4.13
2022-07-11,3.94
2022-07-12,4.17
2022-07-13,4.15
2022-07-14,3.84
2022-07-15,4.02
2022-07-18,3.92
2022-07-19,4.21
2022-07-20,4.35
2022-07-21,4.4
2022-07-22,4.16
2022-07-25,4.05
2022-07-26,3.91
2022-07-27,3.92
2022-07-28,3.7
2022-07-29,3.52
2022-08-01,3.4
2022-08-02,3.53
2022-08-03,3.57
2022-08-04,3.75
2022-08-05,4.0
2022-08-08,3.93
2022-08-09,3.81
2022-08-10,3.98
2022-08-11,3.75
2022-08-12,3.99
2022-08-15,3.99
2022-08-16,3.89
2022-08-17,4.02
2022-08-18,4.51
2022-08-19,4.2
2022-08-22,4.17
2022-08-23,4.48
2022-08-24,4.77
2022-08-25,4.67
2022-08-26,4.59
2022-08-29,4.61
2022-08-30,4.48
2022-08-31,4.56
2022-09-01,4.63
2022-09-02,4.78
2022-09-06,4.55
2022-09-07,4.61
2022-09-08,4.63
2022-09-09,4.6
2022-09-12,4.64
2022-09-13,4.83
2022-09-14,4.38
2022-09-15,4.07
2022-09-16,3.84
2022-09-19,3.57
2022-09-20,3.44
2022-09-21,3.29
2022-09-22,3.27
2022-09-23,2.97
2022-09-26,3.16
2022-09-27,3.1
2022-09-28,3.16
2022-09-29,3.03
2022-09-30,3.13
2022-10-03,3.24
2022-10-04,3.35
2022-10-05,3.37
2022-10-06,3.29
2022-10-07,3.19
2022-10-10,3.08
2022-10-11,3.21
2022-10-12,3.31
2022-10-13,3.49
2022-10-14,3.28
2022-10-17,3.38
2022-10-18,3.54
2022-10-19,3.26
2022-10-20,3.67
2022-10-21,3.68
2022-10-24,3.76
2022-10-25,3.84
2022-10-26,3.88
2022-10-27,3.76
2022-10-28,3.93
2022-10-31,3.95
2022-11-01,4.05
2022-11-02,3.65
2022-11-03,3.57
2022-11-04,3.54
2022-11-07,3.6
2022-11-08,3.64
2022-11-09,3.31
2022-11-10,3.56
2022-11-11,3.6
2022-11-14,3.48
2022-11-15,3.52
2022-11-16,3.33
2022-11-17,3.34
2022-11-18,2.75
2022-11-21,2.26
2022-11-22,2.28
2022-11-23,2.26
2022-11-25,2.14
2022-11-28,2.13
2022-11-29,2.19
2022-11-30,2.26
2022-12-01,2.21
2022-12-02,2.32
2022-12-05,2.13
2022-12-06,1.95
2022-12-07,2.065
2022-12-08,2.09
2022-12-09,1.98
2022-12-12,1.73
2022-12-13,1.76
2022-12-14,1.73
2022-12-15,1.61
2022-12-16,1.62
2022-12-19,1.57
2022-12-20,1.57
2022-12-21,1.66
2022-12-22,1.65
2022-12-23,1.7
2022-12-27,1.51
2022-12-28,1.46
2022-12-29,1.49
2022-12-30,1.5
2023-01-03,1.55
2023-01-04,1.61
2023-01-05,1.57
2023-01-06,1.66
2023-01-09,1.79
2023-01-10,1.97
2023-01-11,2.1
2023-01-12,2.27
2023-01-13,2.22
2023-01-17,2.11
2023-01-18,1.93
2023-01-19,1.89
2023-01-20,1.81
2023-01-23,2.04
2023-01-24,2.2
2023-01-25,2.42
2023-01-26,2.39
2023-01-27,2.48
2023-01-30,2.27
2023-01-31,2.28
2023-02-01,2.26
2023-02-02,2.28
2023-02-03,2.1
2023-02-06,2.02
2023-02-07,2.04
2023-02-08,1.88
2023-02-09,1.89
2023-02-10,1.79
2023-02-13,1.88
2023-02-14,1.91
2023-02-15,1.97
2023-02-16,1.98
2023-02-17,1.95
2023-02-21,1.9
2023-02-22,1.86
2023-02-23,1.81
2023-02-24,1.72
2023-02-27,1.75
2023-02-28,1.74
2023-03-01,1.73
2023-03-02,1.76
2023-03-03,1.75
2023-03-06,1.83
2023-03-07,1.83
2023-03-08,1.73
2023-03-09,1.72
2023-03-10,1.77
2023-03-13,1.7
2023-03-14,1.62
2023-03-15,1.61
2023-03-16,1.61
2023-03-17,1.51
2023-03-20,1.54
2023-03-21,1.57
2023-03-22,1.42
2023-03-23,1.43
2023-03-24,1.31
2023-03-27,1.395
2023-03-28,1.35
2023-03-29,1.29
2023-03-30,1.185
2023-03-31,1.2
2023-04-03,1.14
2023-04-04,1.17
2023-04-05,1.19
2023-04-06,1.25
2023-04-10,1.2
2023-04-11,1.205
2023-04-12,1.18
2023-04-13,1.18
2023-04-14,1.17
2023-04-17,1.15
2023-04-18,1.19
2023-04-19,1.36
2023-04-20,1.19
2023-04-21,1.15
2023-04-24,1.08
2023-04-25,1.11
2023-04-26,1.09
2023-04-27,1.13
2023-04-28,1.1
2023-05-01,1.24
2023-05-02,1.15
2023-05-03,1.17
2023-05-04,1.18
2023-05-05,1.19
2023-05-08,1.17
2023-05-09,1.19
2023-05-10,1.42
2023-05-11,1.43
2023-05-12,1.44
2023-05-15,1.53
2023-05-16,1.5
2023-05-17,1.52
2023-05-18,1.25
2023-05-19,1.24
2023-05-22,1.42
2023-05-23,1.7
2023-05-24,1.65
2023-05-25,1.47
2023-05-26,1.435
2023-05-30,1.53
2023-05-31,1.8
2023-06-01,1.5
2023-06-02,1.485
2023-06-05,1.43
2023-06-06,1.41
2023-06-07,1.38
2023-06-08,1.35
2023-06-09,1.3
2023-06-12,1.3
2023-06-13,1.3
2023-06-14,1.26
2023-06-15,1.28
2023-06-16,1.23
2023-06-20,1.18
2023-06-21,1.13
2023-06-22,1.06
2023-06-23,1.07
2023-06-26,1.05
2023-06-27,1.12
2023-06-28,1.19
2023-06-29,1.13
2023-06-30,1.05
2023-07-03,1.18
2023-07-05,1.24
2023-07-06,1.12
2023-07-07,1.2
2023-07-10,1.29
2023-07-11,1.26
2023-07-12,1.34
2023-07-13,1.38
2023-07-14,1.39
2023-07-17,1.39
2023-07-18,1.37
2023-07-19,1.35
2023-07-20,1.45
2023-07-21,1.46
2023-07-24,1.4
2023-07-25,1.39
2023-07-26,1.44
2023-07-27,1.45
2023-07-28,1.44
2023-07-31,1.48
2023-08-01,1.45
2023-08-02,1.51
2023-08-03,1.48
2023-08-04,1.47
2023-08-07,1.5
2023-08-08,1.51
2023-08-09,1.56
2023-08-10,1.55
2023-08-11,1.6
2023-08-14,1.6
2023-08-15,1.64
2023-08-16,1.66
2023-08-17,1.71
2023-08-18,1.57
2023-08-21,1.68
2023-08-22,1.67
2023-08-23,1.73
2023-08-24,1.78
2023-08-25,1.86
2023-08-28,1.81
2023-08-29,1.86
2023-08-30,1.84
2023-08-31,1.86
2023-09-01,1.83
2023-09-05,1.81
2023-09-06,1.75
2023-09-07,1.77
2023-09-08,1.77
2023-09-11,1.83
2023-09-12,1.89
2023-09-13,1.76
2023-09-14,1.76
2023-09-15,1.75
2023-09-18,1.85
2023-09-19,1.85
2023-09-20,1.75
2023-09-21,1.66
2023-09-22,1.63
2023-09-25,1.6
2023-09-26,1.64
2023-09-27,1.79
2023-09-28,1.77
2023-09-29,1.7
2023-10-02,1.66
2023-10-03,1.65
2023-10-04,1.65
2023-10-05,1.63
2023-10-06,1.65
2023-10-09,1.65
2023-10-10,1.67
2023-10-11,1.65
2023-10-12,1.65
2023-10-13,1.65
2023-10-16,1.73
2023-10-17,1.67
2023-10-18,1.65
2023-10-19,1.58
2023-10-20,1.58
2023-10-23,1.55
2023-10-24,1.55
2023-10-25,1.65
2023-10-26,1.66
2023-10-27,1.6
2023-10-30,1.62
2023-10-31,1.58
2023-11-01,1.47
2023-11-02,1.55
2023-11-03,1.52
2023-11-06,1.51
2023-11-07,1.49
2023-11-08,1.52
2023-11-09,1.4
2023-11-10,1.4
2023-11-13,1.5
2023-11-14,1.5
2023-11-15,1.48
2023-11-16,1.5
2023-11-17,1.44
2023-11-20,1.5
2023-11-21,1.47
2023-11-22,1.5
2023-11-24,1.49
2023-11-27,1.5
2023-11-28,1.54
2023-11-29,1.52
2023-11-30,1.53
2023-12-01,1.54
2023-12-04,1.74
2023-12-05,1.72
2023-12-06,1.69
2023-12-07,1.69
2023-12-08,1.7
2023-12-11,1.66
2023-12-12,1.63
2023-12-13,1.67
2023-12-14,1.72
2023-12-15,1.63
2023-12-18,3.59
2023-12-19,3.32
2023-12-20,3.405
2023-12-21,3.75
2023-12-22,3.88
2023-12-26,3.65
2023-12-27,4.05
2023-12-28,3.92
2023-12-29,3.94
2024-01-02,3.65
2024-01-03,3.76
2024-01-04,3.75
2024-01-05,3.77
2024-01-08,4.02
2024-01-09,4.34
2024-01-10,4.23
2024-01-11,4.14
2024-01-12,4.24
2024-01-16,4.1
2024-01-17,4.12
2024-01-18,4.44
2024-01-19,4.7
2024-01-22,4.5
2024-01-23,4.46
2024-01-24,4.43
2024-01-25,4.43
2024-01-26,4.51
2024-01-29,5.02
2024-01-30,4.94
2024-01-31,4.77
2024-02-01,4.8
2024-02-02,4.7
2024-02-05,4.91
2024-02-06,4.88
2024-02-07,4.72
2024-02-08,5.04
2024-02-09,4.98
2024-02-12,4.17
2024-02-13,4.0
2024-02-14,4.0
2024-02-15,4.11
2024-02-16,4.2
2024-02-20,4.1
2024-02-21,3.99
2024-02-22,4.04
2024-02-23,4.32
2024-02-26,4.34
2024-02-27,4.28
2024-02-28,4.17
2024-02-29,3.93
2024-03-01,4.07
2024-03-04,3.97
2024-03-05,3.79
2024-03-06,3.82
2024-03-07,3.81
2024-03-08,3.69
2024-03-11,3.72
2024-03-12,3.62
2024-03-13,3.69
2024-03-14,3.65
2024-03-15,3.6
2024-03-18,3.32
2024-03-19,3.31
2024-03-20,3.18
2024-03-21,3.09
2024-03-22,4.36
2024-03-25,3.23
2024-03-26,3.66
2024-03-27,4.0
2024-03-28,4.44
2024-04-01,4.25
2024-04-02,3.81
2024-04-03,3.93
2024-04-04,3.58
2024-04-05,3.3
2024-04-08,3.06
2024-04-09,3.02
2024-04-10,3.01
2024-04-11,3.055
2024-04-12,2.95
2024-04-15,2.81
2024-04-16,2.7
2024-04-17,2.48
2024-04-18,2.35
2024-04-19,2.3
2024-04-22,2.19
2024-04-23,2.27
2024-04-24,2.13
2024-04-25,2.07
2024-04-26,2.15
2024-04-29,2.08
2024-04-30,2.22
2024-05-01,2.42
2024-05-02,2.37
2024-05-03,2.42
2024-05-06,2.36
2024-05-07,2.51
2024-05-08,2.53
2024-05-09,2.42
2024-05-10,2.26
2024-05-13,2.37
2024-05-14,2.43
2024-05-15,2.46
2024-05-16,2.45
2024-05-17,2.4
2024-05-20,2.25
2024-05-21,2.21
2024-05-22,2.16
2024-05-23,2.01
2024-05-24,1.93
2024-05-28,1.76
2024-05-29,1.68
2024-05-30,1.81
2024-05-31,1.84
2024-06-03,1.81
2024-06-04,1.8
2024-06-05,1.76
2024-06-06,1.75
2024-06-07,1.69
2024-06-10,1.68
2024-06-11,1.62
2024-06-12,1.65
2024-06-13,1.7
2024-06-14,1.58
2024-06-17,1.47
2024-06-18,1.4
2024-06-20,1.31
2024-06-21,1.24
2024-06-24,1.27
2024-06-25,1.21
2024-06-26,1.21
2024-06-27,1.2
2024-06-28,1.1
2024-07-01,1.2
2024-07-02,1.1
2024-07-03,1.1
2024-07-05,1.15
2024-07-08,1.09
2024-07-09,1.06
2024-07-10,1.12
2024-07-11,1.17
2024-07-12,1.19
2024-07-15,1.29
2024-07-16,1.39
2024-07-17,1.26
2024-07-18,1.22
2024-07-19,1.15
2024-07-22,1.22
2024-07-23,1.25
2024-07-24,1.34
2024-07-25,1.29
2024-07-26,1.32
2024-07-29,1.22
2024-07-30,1.19
2024-07-31,1.25
2024-08-01,1.195
2024-08-02,1.14
2024-08-05,1.05
2024-08-06,1.08
2024-08-07,1.0
2024-08-08,1.05
2024-08-09,1.03
2024-08-12,0.965
2024-08-13,1.06
2024-08-14,0.98
2024-08-15,1.04
2024-08-16,0.9763
2024-08-19,0.9133
2024-08-20,0.8629
2024-08-21,0.878
2024-08-22,0.8781
2024-08-23,1.01
2024-08-26,1.29
2024-08-27,0.9201
2024-08-28,0.9
2024-08-29,0.8836
2024-08-30,0.8502
2024-09-03,0.8518
2024-09-04,0.8501
2024-09-05,0.8514
2024-09-06,0.814
2024-09-09,0.9014
2024-09-10,0.9002
2024-09-11,1.02
2024-09-12,1.15
2024-09-13,1.15
2024-09-16,1.14
2024-09-17,1.11
2024-09-18,1.17
2024-09-19,1.22
2024-09-20,1.2
2024-09-23,1.2
2024-09-24,1.09
2024-09-25,0.98
2024-09-26,1.04
2024-09-27,1.15
2024-09-30,1.02
2024-10-01,0.9001
2024-10-02,0.95
2024-10-03,0.9606
2024-10-04,0.9505
2024-10-07,0.9213
2024-10-08,0.9065
2024-10-09,0.9014
2024-10-10,0.9043
2024-10-11,1.02
2024-10-14,0.9937
2024-10-15,0.9513
2024-10-16,0.9857
2024-10-17,1.05
2024-10-18,0.9667
2024-10-21,1.02
2024-10-22,1.05
2024-10-23,0.9882
2024-10-24,0.9887
2024-10-25,0.9741
2024-10-28,1.04
2024-10-29,0.9069
2024-10-30,0.9101
2024-10-31,0.8925
2024-11-01,0.9136
2024-11-04,0.8993
2024-11-05,0.9235
2024-11-06,1.04
2024-11-07,1.0
2024-11-08,0.965
2024-11-11,0.9775
2024-11-12,1.0
2024-11-13,0.89
2024-11-14,0.7905
2024-11-15,0.7551
2024-11-18,0.74
2024-11-19,0.7674
2024-11-20,0.7681
2024-11-21,0.6998
2024-11-22,0.7014
2024-11-25,0.6702
2024-11-26,0.59
2024-11-27,0.6742
2024-11-29,0.6986
2024-12-02,0.6996
2024-12-03,0.6414
2024-12-04,0.6362
2024-12-05,0.5708
2024-12-06,0.5827
2024-12-09,0.59
2024-12-10,0.6
2024-12-11,0.584
2024-12-12,0.5799
2024-12-13,0.547
2024-12-16,0.4505
2024-12-17,0.49
2024-12-18,0.4446
2024-12-19,0.4297
2024-12-20,0.4439
2024-12-23,0.4711
2024-12-24,0.5099
2024-12-26,0.5304
2024-12-27,0.51
2024-12-30,0.4616
2024-12-31,0.4431
2025-01-02,0.48
2025-01-03,0.557
2025-01-06,0.51
2025-01-07,0.5309
2025-01-08,0.4615
2025-01-10,0.452
2025-01-13,0.3992
2025-01-14,0.4047
2025-01-15,0.4132
