date,close
2023-06-21,155.02
2023-06-22,154.47
2023-06-23,153.48
2023-06-26,154.16
2023-06-27,155.44
2023-06-28,155.3
2023-06-29,156.52
2023-06-30,157.83
2023-07-03,158.43
2023-07-05,157.63
2023-07-06,155.95
2023-07-07,156.14
2023-07-10,157.18
2023-07-11,158.86
2023-07-12,159.53
2023-07-13,160.21
2023-07-14,159.08
2023-07-17,159.18
2023-07-18,160.26
2023-07-19,161.14
2023-07-20,162.03
2023-07-21,162.47
2023-07-24,163.15
2023-07-25,163.07
2023-07-26,163.56
2023-07-27,162.18
2023-07-28,162.88
2023-07-31,163.39
2023-08-01,162.84
2023-08-02,161.48
2023-08-03,160.94
2023-08-04,160.36
2023-08-07,161.81
2023-08-08,161.09
2023-08-09,160.6
2023-08-10,160.4
2023-08-11,160.85
2023-08-14,160.74
2023-08-15,158.6
2023-08-16,157.51
2023-08-17,156.78
2023-08-18,157.06
2023-08-21,156.83
2023-08-22,156.09
2023-08-23,157.18
2023-08-24,155.78
2023-08-25,156.72
2023-08-28,157.66
2023-08-29,159.15
2023-08-30,159.57
2023-08-31,158.98
2023-09-01,159.85
2023-09-05,158.01
2023-09-06,157.49
2023-09-07,157.38
2023-09-08,157.55
2023-09-11,157.93
2023-09-12,158.14
2023-09-13,157.72
2023-09-14,159.52
2023-09-15,158.34
2023-09-18,158.2
2023-09-19,157.8
2023-09-20,157.2
2023-09-21,154.88
2023-09-22,154.21
2023-09-25,154.66
2023-09-26,151.73
2023-09-27,151.76
2023-09-28,152.53
2023-09-29,151.82
2023-10-02,150.12
2023-10-03,148.5
2023-10-04,148.78
2023-10-05,148.46
2023-10-06,149.57
2023-10-09,150.73
2023-10-10,151.88
2023-10-11,151.75
2023-10-12,150.19
2023-10-13,150.17
2023-10-16,151.81
2023-10-17,152.45
2023-10-18,150.41
2023-10-19,148.94
2023-10-20,147.39
2023-10-23,146.23
2023-10-24,147.15
2023-10-25,145.88
2023-10-26,145.71
2023-10-27,143.69
2023-10-30,145.09
2023-10-31,146.42
2023-11-01,147.13
2023-11-02,150.07
2023-11-03,151.83
2023-11-06,151.1
2023-11-07,150.41
2023-11-08,149.95
2023-11-09,148.75
2023-11-10,150.29
2023-11-13,150.23
2023-11-14,153.54
2023-11-15,154.36
2023-11-16,153.85
2023-11-17,154.64
2023-11-20,155.19
2023-11-21,154.98
2023-11-22,155.64
2023-11-24,156.17
2023-11-27,155.8
2023-11-28,155.68
2023-11-29,156.14
2023-11-30,157.49
2023-12-01,159.22
2023-12-04,159.27
2023-12-05,158.01
2023-12-06,157.69
2023-12-07,158.15
2023-12-08,158.79
2023-12-11,160.04
2023-12-12,160.02
2023-12-13,162.82
2023-12-14,165.09
2023-12-15,164.05
2023-12-18,164.22
2023-12-19,165.7
2023-12-20,161.98
2023-12-21,163.64
2023-12-22,164.28
2023-12-26,165.22
2023-12-27,165.46
2023-12-28,165.7
2023-12-29,165.25
2024-01-02,165.83
2024-01-03,164.33
2024-01-04,164.08
2024-01-05,164.57
2024-01-08,165.77
2024-01-09,164.81
2024-01-10,164.78
2024-01-11,164.17
2024-01-12,164.1
2024-01-16,162.92
2024-01-17,161.84
2024-01-18,162.37
2024-01-19,163.78
2024-01-22,164.4
2024-01-23,164.72
2024-01-24,164.03
2024-01-25,165.71
2024-01-26,165.79
2024-01-29,166.6
2024-01-30,167.1
2024-01-31,165.35
2024-02-01,166.93
2024-02-02,166.77
2024-02-05,165.21
2024-02-06,166.2
2024-02-07,166.64
2024-02-08,166.88
2024-02-09,166.99
2024-02-12,168.07
2024-02-13,165.53
2024-02-14,166.87
2024-02-15,169.06
2024-02-16,168.59
2024-02-20,168.37
2024-02-21,169.15
2024-02-22,170.51
2024-02-23,170.97
2024-02-26,170.19
2024-02-27,170.66
2024-02-28,170.75
2024-02-29,171.26
2024-03-01,172.15
2024-03-04,172.72
2024-03-05,172.14
2024-03-06,173.14
2024-03-07,174.07
2024-03-08,174.06
2024-03-11,174.59
2024-03-12,175.01
2024-03-13,175.3
2024-03-14,173.92
2024-03-15,173.85
2024-03-18,174.22
2024-03-19,175.06
2024-03-20,176.6
2024-03-21,176.98
2024-03-22,175.99
2024-03-25,175.78
2024-03-26,175.65
2024-03-27,178.54
2024-03-28,179.11
2024-04-01,178.24
2024-04-02,177.12
2024-04-03,177.28
2024-04-04,175.54
2024-04-05,176.75
2024-04-08,177.02
2024-04-09,177.3
2024-04-10,174.77
2024-04-11,174.52
2024-04-12,171.83
2024-04-15,170.62
2024-04-16,169.7
2024-04-17,169.4
2024-04-18,169.57
2024-04-19,170.55
2024-04-22,171.98
2024-04-23,173.66
2024-04-24,173.62
2024-04-25,173.2
2024-04-26,173.05
2024-04-29,173.85
2024-04-30,171.5
2024-05-01,171.23
2024-05-02,172.1
2024-05-03,173.12
2024-05-06,174.47
2024-05-07,174.87
2024-05-08,175.05
2024-05-09,176.63
2024-05-10,176.89
2024-05-13,176.7
2024-05-14,177.42
2024-05-15,178.76
2024-05-16,178.56
2024-05-17,179.05
2024-05-20,178.43
2024-05-21,178.69
2024-05-22,178.13
2024-05-23,175.56
2024-05-24,176.54
2024-05-28,175.43
2024-05-29,173.45
2024-05-30,174.38
2024-05-31,177.16
2024-06-03,176.01
2024-06-04,175.31
2024-06-05,176.11
2024-06-06,175.82
2024-06-07,175.47
2024-06-10,175.92
2024-06-11,174.06
2024-06-12,174.35
2024-06-13,173.76
2024-06-14,172.79
2024-06-17,173.7
2024-06-18,174.37
2024-06-20,174.88
2024-06-21,174.86
2024-06-24,176.31
2024-06-25,175.02
2024-06-26,174.29
2024-06-27,174.32
2024-06-28,174.47
2024-07-01,173.36
2024-07-02,174.04
2024-07-03,174.05
2024-07-05,173.79
2024-07-08,173.99
2024-07-09,173.96
2024-07-10,175.61
2024-07-11,177.54
2024-07-12,178.67
2024-07-15,179.31
2024-07-16,182.39
2024-07-17,182.79
2024-07-18,181.04
2024-07-19,179.84
2024-07-22,180.79
2024-07-23,180.06
2024-07-24,178.82
2024-07-25,179.53
2024-07-26,182.02
2024-07-29,181.94
2024-07-30,183.0
2024-07-31,183.39
2024-08-01,181.46
2024-08-02,178.36
2024-08-05,174.07
2024-08-06,175.53
2024-08-07,174.8
2024-08-08,177.77
2024-08-09,177.95
2024-08-12,177.18
2024-08-13,178.89
2024-08-14,179.57
2024-08-15,181.81
2024-08-16,182.34
2024-08-19,183.73
2024-08-20,182.95
2024-08-21,183.92
2024-08-22,183.5
2024-08-23,185.86
2024-08-26,186.1
2024-08-27,186.13
2024-08-28,185.79
2024-08-29,186.75
2024-08-30,188.32
2024-09-03,185.96
2024-09-04,185.89
2024-09-05,184.43
2024-09-06,182.6
2024-09-09,184.43
2024-09-10,184.07
2024-09-11,183.84
2024-09-12,184.67
2024-09-13,186.18
2024-09-16,187.62
2024-09-17,187.64
2024-09-18,187.3
2024-09-19,189.2
2024-09-20,188.64
2024-09-23,189.5
2024-09-24,189.59
2024-09-25,187.3
2024-09-26,188.6
2024-09-27,189.29
2024-09-30,189.8
2024-10-01,189.06
2024-10-02,189.04
2024-10-03,188.24
2024-10-04,189.62
2024-10-07,188.34
2024-10-08,188.54
2024-10-09,189.88
2024-10-10,189.26
2024-10-11,191.4
2024-10-14,192.67
2024-10-15,191.89
2024-10-16,193.4
2024-10-17,193.18
2024-10-18,193.65
2024-10-21,191.91
2024-10-22,191.32
2024-10-23,190.96
2024-10-24,190.54
2024-10-25,189.27
2024-10-28,190.4
2024-10-29,189.35
2024-10-30,189.13
2024-10-31,187.68
2024-11-01,187.75
2024-11-04,187.55
2024-11-05,189.56
2024-11-06,194.81
2024-11-07,194.34
2024-11-08,195.35
2024-11-11,196.44
2024-11-12,194.99
2024-11-13,195.14
2024-11-14,193.82
2024-11-15,193.05
2024-11-18,193.93
2024-11-19,193.26
