date,close
2019-06-21,58.41
2019-06-24,58.5
2019-06-25,58.08
2019-06-26,58.22
2019-06-27,58.46
2019-06-28,58.64
2019-07-01,59.06
2019-07-02,59.19
2019-07-03,59.46
2019-07-05,59.06
2019-07-08,58.69
2019-07-09,58.46
2019-07-10,58.73
2019-07-11,58.72
2019-07-12,58.8
2019-07-15,58.89
2019-07-16,58.71
2019-07-17,58.61
2019-07-18,58.81
2019-07-19,58.65
2019-07-22,58.71
2019-07-23,58.94
2019-07-24,58.96
2019-07-25,58.47
2019-07-26,58.58
2019-07-29,58.59
2019-07-30,57.97
2019-07-31,57.6
2019-08-01,57.14
2019-08-02,56.66
2019-08-05,55.13
2019-08-06,55.6
2019-08-07,55.81
2019-08-08,56.49
2019-08-09,56.07
2019-08-12,55.42
2019-08-13,56.01
2019-08-14,54.56
2019-08-15,54.68
2019-08-16,55.42
2019-08-19,55.73
2019-08-20,55.63
2019-08-21,56.02
2019-08-22,55.74
2019-08-23,55.08
2019-08-26,55.45
2019-08-27,55.41
2019-08-28,55.51
2019-08-29,55.97
2019-08-30,56.28
2019-09-03,56.03
2019-09-04,56.86
2019-09-05,57.26
2019-09-06,57.43
2019-09-09,57.59
2019-09-10,57.63
2019-09-11,57.99
2019-09-12,58.34
2019-09-13,58.59
2019-09-16,58.21
2019-09-17,58.39
2019-09-18,58.25
2019-09-19,58.33
2019-09-20,58.23
2019-09-23,58.16
2019-09-24,57.92
2019-09-25,57.79
2019-09-26,57.91
2019-09-27,57.56
2019-09-30,57.76
2019-10-01,57.27
2019-10-02,56.35
2019-10-03,56.73
2019-10-04,57.19
2019-10-07,57.01
2019-10-08,56.46
2019-10-09,56.93
2019-10-10,57.32
2019-10-11,58.22
2019-10-14,58.0
2019-10-15,58.55
2019-10-16,58.67
2019-10-17,58.83
2019-10-18,58.76
2019-10-21,59.15
2019-10-22,59.04
2019-10-23,59.2
2019-10-24,59.29
2019-10-25,59.45
2019-10-28,59.68
2019-10-29,59.6
2019-10-30,59.78
2019-10-31,59.58
2019-11-01,60.2
2019-11-04,60.57
2019-11-05,60.6
2019-11-06,60.55
2019-11-07,60.84
2019-11-08,60.66
2019-11-11,60.47
2019-11-12,60.42
2019-11-13,60.19
2019-11-14,60.07
2019-11-15,60.52
2019-11-18,60.55
2019-11-19,60.48
2019-11-20,60.2
2019-11-21,60.09
2019-11-22,60.21
2019-11-25,60.67
2019-11-26,60.6
2019-11-27,60.8
2019-11-29,60.28
2019-12-02,59.99
2019-12-03,59.83
2019-12-04,60.29
2019-12-05,60.32
2019-12-06,60.84
2019-12-09,60.57
2019-12-10,60.62
2019-12-11,61.0
2019-12-12,61.58
2019-12-13,61.87
2019-12-16,61.48
2019-12-17,61.39
2019-12-18,61.45
2019-12-19,61.41
2019-12-20,61.56
2019-12-23,61.64
2019-12-24,61.62
2019-12-26,61.89
2019-12-27,62.1
2019-12-30,61.73
2019-12-31,61.9
2020-01-02,62.6
2020-01-03,61.85
2020-01-06,61.97
2020-01-07,61.85
2020-01-08,62.01
2020-01-09,62.23
2020-01-10,62.13
2020-01-13,62.66
2020-01-14,62.65
2020-01-15,62.47
2020-01-16,62.77
2020-01-17,63.03
2020-01-21,62.28
2020-01-22,62.51
2020-01-23,62.31
2020-01-24,61.94
2020-01-27,60.56
2020-01-28,61.09
2020-01-29,61.04
2020-01-30,60.82
2020-01-31,59.93
2020-02-03,60.0
2020-02-04,61.13
2020-02-05,61.61
2020-02-06,61.65
2020-02-07,61.07
2020-02-10,61.21
2020-02-11,61.77
2020-02-12,62.11
2020-02-13,61.68
2020-02-14,61.63
2020-02-18,61.27
2020-02-19,61.53
2020-02-20,61.06
2020-02-21,60.79
2020-02-24,58.48
2020-02-25,57.6
2020-02-26,57.77
2020-02-27,56.11
2020-02-28,55.74
2020-03-02,56.67
2020-03-03,56.12
2020-03-04,57.52
2020-03-05,56.13
2020-03-06,55.33
2020-03-09,51.0
2020-03-10,52.94
2020-03-11,50.19
2020-03-12,44.77
2020-03-13,47.06
2020-03-16,42.12
2020-03-17,43.5
2020-03-18,41.55
2020-03-19,41.96
2020-03-20,41.82
2020-03-23,40.8
2020-03-24,44.52
2020-03-25,46.0
2020-03-26,47.74
2020-03-27,46.07
2020-03-30,47.03
2020-03-31,47.01
2020-04-01,44.8
2020-04-02,45.87
2020-04-03,44.84
2020-04-06,47.19
2020-04-07,47.54
2020-04-08,48.18
2020-04-09,49.0
2020-04-13,48.73
2020-04-14,49.61
2020-04-15,48.09
2020-04-16,48.25
2020-04-17,49.5
2020-04-20,48.91
2020-04-21,47.8
2020-04-22,48.65
2020-04-23,48.62
2020-04-24,48.96
2020-04-27,49.73
