date,close
2023-06-21,36.59
2023-06-22,36.59
2023-06-23,34.87
2023-06-26,34.97
2023-06-27,35.75
2023-06-28,34.79
2023-06-29,34.02
2023-06-30,34.13
2023-07-03,35.15
2023-07-05,35.2
2023-07-06,34.08
2023-07-07,35.76
2023-07-10,35.95
2023-07-11,36.02
2023-07-12,37.41
2023-07-13,39.36
2023-07-14,38.14
2023-07-17,37.78
2023-07-18,36.06
2023-07-19,36.41
2023-07-20,36.67
2023-07-21,37.07
2023-07-24,38.36
2023-07-25,38.53
2023-07-26,39.13
2023-07-27,37.98
2023-07-28,40.53
2023-07-31,41.31
2023-08-01,40.04
2023-08-02,38.25
2023-08-03,39.56
2023-08-04,39.09
2023-08-07,38.91
2023-08-08,38.05
2023-08-09,37.67
2023-08-10,38.49
2023-08-11,36.46
2023-08-14,36.76
2023-08-15,35.97
2023-08-16,34.88
2023-08-17,34.76
2023-08-18,33.11
2023-08-21,33.22
2023-08-22,33.28
2023-08-23,33.81
2023-08-24,33.02
2023-08-25,32.96
2023-08-28,33.81
2023-08-29,34.5
2023-08-30,33.97
2023-08-31,33.21
2023-09-01,34.1
2023-09-05,34.26
2023-09-06,33.79
2023-09-07,32.34
2023-09-08,32.4
2023-09-11,31.92
2023-09-12,31.73
2023-09-13,31.69
2023-09-14,31.72
2023-09-15,31.57
2023-09-18,31.12
2023-09-19,30.64
2023-09-20,30.35
2023-09-21,29.81
2023-09-22,30.41
2023-09-25,29.78
2023-09-26,29.03
2023-09-27,28.95
2023-09-28,28.55
2023-09-29,29.13
2023-10-02,29.07
2023-10-03,28.46
2023-10-04,28.39
2023-10-05,28.65
2023-10-06,29.61
2023-10-09,29.23
2023-10-10,30.27
2023-10-11,30.34
2023-10-12,27.83
2023-10-13,27.05
2023-10-16,27.64
2023-10-17,26.65
2023-10-18,25.88
2023-10-19,25.07
2023-10-20,24.38
2023-10-23,24.8
2023-10-24,25.25
2023-10-25,25.12
2023-10-26,25.92
2023-10-27,25.65
2023-10-30,25.94
2023-10-31,25.42
2023-11-01,25.33
2023-11-02,25.81
2023-11-03,26.94
2023-11-06,27.11
2023-11-07,26.82
2023-11-08,26.45
2023-11-09,25.75
2023-11-10,25.76
2023-11-13,25.75
2023-11-14,26.71
2023-11-15,28.59
2023-11-16,28.08
2023-11-17,27.61
2023-11-20,28.55
2023-11-21,28.08
2023-11-22,28.31
2023-11-24,28.76
2023-11-27,28.34
2023-11-28,28.16
2023-11-29,27.44
2023-11-30,27.43
2023-12-01,27.16
2023-12-04,26.59
2023-12-05,26.12
2023-12-06,26.6
2023-12-07,26.93
2023-12-08,26.45
2023-12-11,25.6
2023-12-12,25.18
2023-12-13,25.29
2023-12-14,26.24
2023-12-15,27.41
2023-12-18,26.64
2023-12-19,27.6
2023-12-20,26.43
2023-12-21,27.98
2023-12-22,27.59
2023-12-26,27.61
2023-12-27,27.75
2023-12-28,28.51
2023-12-29,28.89
2024-01-02,27.2
2024-01-03,27.47
2024-01-04,27.16
2024-01-05,26.68
2024-01-08,25.96
2024-01-09,25.32
2024-01-10,25.28
2024-01-11,25.39
2024-01-12,24.7
2024-01-16,23.58
2024-01-17,22.42
2024-01-18,22.02
2024-01-19,22.29
2024-01-22,21.66
