date,close
2019-06-21,12.0
2019-06-24,11.49
2019-06-25,11.4
2019-06-26,11.46
2019-06-27,11.21
2019-06-28,11.7
2019-07-01,12.58
2019-07-02,12.7
2019-07-03,13.56
2019-07-05,13.22
2019-07-08,12.89
2019-07-09,13.23
2019-07-10,13.18
2019-07-11,13.22
2019-07-12,14.0
2019-07-15,14.05
2019-07-16,14.23
2019-07-17,13.9
2019-07-18,14.17
2019-07-19,14.55
2019-07-22,14.97
2019-07-23,14.2
2019-07-24,14.43
2019-07-25,12.05
2019-07-26,12.7
2019-07-29,12.8
2019-07-30,12.79
2019-07-31,12.31
2019-08-01,12.85
2019-08-02,12.42
2019-08-05,11.46
2019-08-06,11.89
2019-08-07,11.7
2019-08-08,11.72
2019-08-09,11.57
2019-08-12,11.24
2019-08-13,11.48
2019-08-14,10.34
2019-08-15,10.24
2019-08-16,11.03
2019-08-19,11.56
2019-08-20,11.6
2019-08-21,12.07
2019-08-22,11.8
2019-08-23,11.28
2019-08-26,11.24
2019-08-27,10.65
2019-08-28,10.94
2019-08-29,11.24
2019-08-30,11.0
2019-09-03,10.89
2019-09-04,10.99
2019-09-05,11.9
2019-09-06,11.6
2019-09-09,12.0
2019-09-10,13.56
2019-09-11,13.9
2019-09-12,14.05
2019-09-13,14.99
2019-09-16,17.57
2019-09-17,17.32
2019-09-18,16.8
2019-09-19,16.66
2019-09-20,16.64
2019-09-23,16.42
2019-09-24,15.85
2019-09-25,14.95
2019-09-26,14.21
2019-09-27,14.08
2019-09-30,14.38
2019-10-01,14.96
2019-10-02,14.85
2019-10-03,14.56
2019-10-04,13.9
2019-10-07,14.57
2019-10-08,14.67
2019-10-09,15.51
2019-10-10,16.91
2019-10-11,18.2
2019-10-14,17.64
2019-10-15,18.85
2019-10-16,20.08
2019-10-17,20.13
2019-10-18,19.76
2019-10-21,20.11
2019-10-22,20.735
2019-10-23,20.3
2019-10-24,20.13
2019-10-25,21.42
2019-10-28,21.8
2019-10-29,21.69
2019-10-30,20.49
2019-10-31,20.71
2019-11-01,22.0
2019-11-04,21.71
2019-11-05,21.22
2019-11-06,21.74
2019-11-07,22.0
2019-11-08,21.9
2019-11-11,23.28
2019-11-12,21.86
2019-11-13,23.38
2019-11-14,25.02
2019-11-15,29.18
2019-11-18,28.9
2019-11-19,30.36
2019-11-20,32.25
2019-11-21,28.93
2019-11-22,25.625
2019-11-25,26.385
2019-11-26,27.55
2019-11-27,27.27
2019-11-29,29.6
2019-12-02,51.05
2019-12-03,49.2
2019-12-04,73.41
2019-12-05,64.41
2019-12-06,64.47
2019-12-09,67.89
2019-12-10,61.36
2019-12-11,62.81
2019-12-12,62.89
2019-12-13,63.45
2019-12-16,67.14
2019-12-17,71.2
2019-12-18,65.86
2019-12-19,66.79
2019-12-20,67.03
2019-12-23,66.1
2019-12-24,76.65
2019-12-26,75.89
2019-12-27,73.23
2019-12-30,73.51
2019-12-31,71.95
2020-01-02,68.14
2020-01-03,67.67
2020-01-06,67.7
2020-01-07,67.31
2020-01-08,67.32
2020-01-09,66.98
2020-01-10,69.39
2020-01-13,65.35
2020-01-14,62.72
2020-01-15,63.5
2020-01-16,64.91
2020-01-17,66.06
2020-01-21,63.3
2020-01-22,64.1
2020-01-23,65.96
2020-01-24,62.65
2020-01-27,63.89
2020-01-28,64.88
2020-01-29,63.9
2020-01-30,62.44
2020-01-31,61.07
2020-02-03,62.94
2020-02-04,67.2
2020-02-05,64.84
2020-02-06,69.35
2020-02-07,73.95
2020-02-10,70.92
2020-02-11,63.6
2020-02-12,64.26
2020-02-13,62.77
2020-02-14,60.0
2020-02-18,58.92
2020-02-19,59.9
2020-02-20,58.1
2020-02-21,58.28
2020-02-24,60.78
2020-02-25,57.61
2020-02-26,62.39
