date,close
2019-06-21,26.11
2019-06-24,25.98
2019-06-25,25.91
2019-06-26,25.97
2019-06-27,25.95
2019-06-28,26.0884
2019-07-01,26.2
2019-07-02,26.08
2019-07-03,26.23
2019-07-05,26.08
2019-07-08,25.72
2019-07-09,25.54
2019-07-10,25.73
2019-07-11,25.71
2019-07-12,26.07
2019-07-15,26.23
2019-07-16,26.22
2019-07-17,26.11
2019-07-18,26.14
2019-07-19,26.42
2019-07-22,26.41
2019-07-23,26.63
2019-07-24,26.8
2019-07-25,25.99
2019-07-26,26.06
2019-07-29,25.89
2019-07-30,25.94
2019-07-31,25.87
2019-08-01,25.22
2019-08-02,24.91
2019-08-05,23.89
2019-08-06,23.92
2019-08-07,24.29
2019-08-08,25.16
2019-08-09,24.87
2019-08-12,24.32
2019-08-13,24.43
2019-08-14,23.69
2019-08-15,23.4
2019-08-16,23.66
2019-08-19,23.92
2019-08-20,23.92
2019-08-21,24.01
2019-08-22,23.33
2019-08-23,22.72
2019-08-26,22.77
2019-08-27,22.61
2019-08-28,22.78
2019-08-29,23.06
2019-08-30,23.37
2019-09-03,23.1
2019-09-04,23.31
2019-09-05,23.75
2019-09-06,23.91
2019-09-09,24.24
2019-09-10,24.45
2019-09-11,24.92
2019-09-12,25.05
2019-09-13,25.22
2019-09-16,25.01
2019-09-17,24.96
2019-09-18,24.88
2019-09-19,24.92
2019-09-20,25.04
2019-09-23,24.93
2019-09-24,24.49
2019-09-25,24.31
2019-09-26,24.3
2019-09-27,24.27
2019-09-30,24.37
2019-10-01,24.28
2019-10-02,23.88
2019-10-03,23.89
2019-10-04,23.91
2019-10-07,23.85
2019-10-08,23.53
2019-10-09,23.56
2019-10-10,23.84
2019-10-11,24.48
2019-10-14,24.23
2019-10-15,24.36
2019-10-16,24.34
2019-10-17,24.49
2019-10-18,24.3
2019-10-21,24.37
2019-10-22,24.38
2019-10-23,24.45
2019-10-24,24.92
2019-10-25,24.77
2019-10-28,25.13
2019-10-29,25.07
2019-10-30,25.1
2019-10-31,24.9
2019-11-01,25.75
2019-11-04,26.45
2019-11-05,26.34
2019-11-06,26.18
2019-11-07,26.68
2019-11-08,26.42
2019-11-11,26.34
2019-11-12,25.73
2019-11-13,25.45
2019-11-14,25.37
2019-11-15,25.75
2019-11-18,25.65
2019-11-19,25.54
2019-11-20,25.17
2019-11-21,25.15
2019-11-22,25.06
2019-11-25,25.39
2019-11-26,25.47
2019-11-27,25.54
2019-11-29,25.42
2019-12-02,25.49
2019-12-03,25.33
2019-12-04,25.34
2019-12-05,25.47
2019-12-06,25.71
2019-12-09,25.75
2019-12-10,25.97
2019-12-11,26.22
2019-12-12,26.76
2019-12-13,26.73
2019-12-16,26.93
2019-12-17,27.28
2019-12-18,27.18
2019-12-19,27.32
2019-12-20,27.45
2019-12-23,27.57
2019-12-24,27.53
2019-12-26,27.66
2019-12-27,27.5
2019-12-30,27.18
2019-12-31,27.34
2020-01-02,27.7
2020-01-03,27.32
2020-01-06,27.44
2020-01-07,27.81
2020-01-08,27.23
2020-01-09,27.48
2020-01-10,27.71
2020-01-13,28.87
2020-01-14,29.53
2020-01-15,29.61
2020-01-16,29.85
2020-01-17,30.04
2020-01-21,29.87
2020-01-22,29.97
2020-01-23,30.04
2020-01-24,29.65
2020-01-27,28.74
2020-01-28,29.06
2020-01-29,28.97
2020-01-30,29.15
2020-01-31,28.72
2020-02-03,29.73
2020-02-04,32.29
2020-02-05,31.29
2020-02-06,31.16
2020-02-07,30.33
2020-02-10,30.84
2020-02-11,31.55
2020-02-12,32.31
2020-02-13,32.22
2020-02-14,32.16
2020-02-18,32.05
2020-02-19,32.77
