date,close
2019-06-21,49.37
2019-06-24,50.78
2019-06-25,48.3
2019-06-26,50.86
2019-06-27,52.43
2019-06-28,53.41
2019-07-01,54.47
2019-07-02,53.86
2019-07-03,53.83
2019-07-05,53.15
2019-07-08,51.65
2019-07-09,52.6
2019-07-10,52.13
2019-07-11,53.02
2019-07-12,53.85
2019-07-15,53.67
2019-07-16,54.04
2019-07-17,54.84
2019-07-18,54.5
2019-07-19,53.75
2019-07-22,54.54
2019-07-23,57.32
2019-07-24,58.49
2019-07-25,58.54
2019-07-26,58.9
2019-07-29,58.65
2019-07-30,58.77
2019-07-31,56.63
2019-08-01,55.88
2019-08-02,54.13
2019-08-05,51.56
2019-08-06,53.56
2019-08-07,54.96
2019-08-08,60.64
2019-08-09,59.71
2019-08-12,57.57
2019-08-13,59.47
2019-08-14,57.92
2019-08-15,57.12
2019-08-16,58.61
2019-08-19,60.32
2019-08-20,59.9
2019-08-21,59.71
2019-08-22,58.72
2019-08-23,55.82
2019-08-26,56.09
2019-08-27,53.97
2019-08-28,54.73
2019-08-29,56.17
2019-08-30,55.76
2019-09-03,55.1
2019-09-04,55.91
2019-09-05,57.05
2019-09-06,57.66
2019-09-09,58.0
2019-09-10,57.14
2019-09-11,60.7
2019-09-12,60.79
2019-09-13,59.0
2019-09-16,59.22
2019-09-17,58.86
2019-09-18,58.48
2019-09-19,58.45
2019-09-20,58.84
2019-09-23,57.72
2019-09-24,54.69
2019-09-25,56.35
2019-09-26,55.89
2019-09-27,52.79
2019-09-30,53.56
2019-10-01,51.25
2019-10-02,50.11
2019-10-03,48.77
2019-10-04,51.59
2019-10-07,52.79
2019-10-08,51.62
2019-10-09,51.89
2019-10-10,51.91
2019-10-11,53.82
2019-10-14,53.24
2019-10-15,54.4
2019-10-16,53.0
2019-10-17,55.1
2019-10-18,54.86
2019-10-21,55.59
2019-10-22,55.02
2019-10-23,55.14
2019-10-24,54.87
2019-10-25,56.35
2019-10-28,57.16
2019-10-29,56.57
2019-10-30,57.2
2019-10-31,62.66
2019-11-01,65.165
2019-11-04,64.66
2019-11-05,65.85
2019-11-06,65.42
2019-11-07,65.72
2019-11-08,66.53
2019-11-11,66.65
2019-11-12,67.7
2019-11-13,67.81
2019-11-14,67.99
2019-11-15,68.9
2019-11-18,68.91
2019-11-19,69.25
2019-11-20,68.28
2019-11-21,67.15
2019-11-22,68.19
2019-11-25,70.89
2019-11-26,72.28
2019-11-27,73.91
2019-11-29,73.66
2019-12-02,74.06
2019-12-03,71.74
2019-12-04,72.59
2019-12-05,72.11
2019-12-06,72.08
2019-12-09,69.68
2019-12-10,68.93
2019-12-11,69.81
2019-12-12,75.03
2019-12-13,74.43
2019-12-16,75.49
2019-12-17,75.65
2019-12-18,75.99
2019-12-19,78.44
2019-12-20,78.63
2019-12-23,78.8
2019-12-24,78.79
2019-12-26,79.55
2019-12-27,79.01
2019-12-30,79.6
2019-12-31,79.3
2020-01-02,82.7
2020-01-03,81.9
2020-01-06,80.59
2020-01-07,81.97
2020-01-08,82.96
2020-01-09,81.5
2020-01-10,80.19
2020-01-13,80.6
2020-01-14,79.68
2020-01-15,75.89
2020-01-16,77.75
2020-01-17,76.96
2020-01-21,78.08
2020-01-22,78.84
2020-01-23,79.01
2020-01-24,78.46
2020-01-27,75.89
2020-01-28,77.74
2020-01-29,77.6
2020-01-30,77.64
2020-01-31,75.77
2020-02-03,77.22
2020-02-04,86.52
2020-02-05,87.15
2020-02-06,88.34
2020-02-07,87.3
2020-02-10,88.98
2020-02-11,91.11
2020-02-12,92.85
2020-02-13,90.44
2020-02-14,87.0
2020-02-18,84.68
2020-02-19,87.22
2020-02-20,86.3
2020-02-21,83.14
2020-02-24,80.0
2020-02-25,77.8
2020-02-26,77.53
2020-02-27,74.8
2020-02-28,77.82
2020-03-02,82.24
2020-03-03,80.54
2020-03-04,85.19
2020-03-05,87.0
2020-03-06,82.45
2020-03-09,73.44
2020-03-10,77.7
2020-03-11,71.84
2020-03-12,66.82
2020-03-13,72.25
2020-03-16,64.14
2020-03-17,73.4
2020-03-18,63.44
2020-03-19,65.57
2020-03-20,62.14
2020-03-23,66.76
2020-03-24,72.58
2020-03-25,75.05
2020-03-26,71.3
2020-03-27,70.0
2020-03-30,74.09
2020-03-31,73.7
2020-04-01,68.61
2020-04-02,70.16
2020-04-03,66.86
2020-04-06,74.8
2020-04-07,74.85
2020-04-08,77.65
2020-04-09,79.2
2020-04-13,78.48
2020-04-14,81.34
2020-04-15,77.04
2020-04-16,78.93
2020-04-17,75.25
2020-04-20,76.1
2020-04-21,74.8
2020-04-22,75.0
2020-04-23,76.86
2020-04-24,78.68
2020-04-27,81.11
2020-04-28,80.46
2020-04-29,84.41
2020-04-30,80.91
2020-05-01,77.45
2020-05-04,78.34
2020-05-05,82.04
2020-05-06,80.46
2020-05-07,79.62
2020-05-08,81.21
2020-05-11,80.8
2020-05-12,77.21
2020-05-13,73.45
2020-05-14,73.19
2020-05-15,67.73
2020-05-18,71.26
2020-05-19,74.4
2020-05-20,74.34
2020-05-21,71.72
2020-05-22,73.56
2020-05-26,74.49
2020-05-27,73.83
2020-05-28,72.29
2020-05-29,73.32
2020-06-01,74.31
2020-06-02,73.89
2020-06-03,78.12
2020-06-04,76.5
2020-06-05,79.57
2020-06-08,78.15
2020-06-09,78.54
2020-06-10,79.19
2020-06-11,73.44
2020-06-12,74.23
2020-06-15,75.55
2020-06-16,76.83
2020-06-17,75.26
2020-06-18,73.77
2020-06-19,74.41
2020-06-22,75.39
2020-06-23,75.93
2020-06-24,72.84
2020-06-25,75.62
2020-06-26,76.13
2020-06-29,78.41
2020-06-30,81.43
2020-07-01,80.18
2020-07-02,82.26
2020-07-06,84.22
2020-07-07,82.95
2020-07-08,82.21
2020-07-09,83.84
2020-07-10,82.43
2020-07-13,78.5
