date,close
2019-06-21,14.39
2019-06-24,13.98
2019-06-25,13.65
2019-06-26,13.62
2019-06-27,14.03
2019-06-28,14.59
2019-07-01,15.1
2019-07-02,14.7
2019-07-03,14.92
2019-07-05,15.07
2019-07-08,15.02
2019-07-09,15.38
2019-07-10,15.88
2019-07-11,16.25
2019-07-12,16.62
2019-07-15,16.88
2019-07-16,16.15
2019-07-17,16.39
2019-07-18,16.18
2019-07-19,16.37
2019-07-22,16.38
2019-07-23,16.3
2019-07-24,16.79
2019-07-25,16.66
2019-07-26,16.68
2019-07-29,16.38
2019-07-30,16.41
2019-07-31,19.34
2019-08-01,19.3
2019-08-02,19.02
2019-08-05,18.6
2019-08-06,18.87
2019-08-07,18.32
2019-08-08,19.36
2019-08-09,18.96
2019-08-12,18.63
2019-08-13,19.08
2019-08-14,18.45
2019-08-15,18.43
2019-08-16,19.08
2019-08-19,18.95
2019-08-20,19.11
2019-08-21,20.06
2019-08-22,19.98
2019-08-23,18.86
2019-08-26,19.07
2019-08-27,19.25
2019-08-28,19.25
2019-08-29,19.89
2019-08-30,19.69
2019-09-03,18.54
2019-09-04,19.2
2019-09-05,19.73
2019-09-06,19.98
2019-09-09,20.85
2019-09-10,19.18
2019-09-11,20.13
2019-09-12,21.01
2019-09-13,20.93
2019-09-16,20.64
2019-09-17,21.16
2019-09-18,20.34
2019-09-19,19.84
2019-09-20,19.48
2019-09-23,19.89
2019-09-24,19.15
2019-09-25,19.87
2019-09-26,19.32
2019-09-27,18.27
2019-09-30,18.285
2019-10-01,17.82
2019-10-02,18.18
2019-10-03,18.7
2019-10-04,19.31
2019-10-07,18.95
2019-10-08,18.205
2019-10-09,18.53
2019-10-10,18.89
2019-10-11,19.26
2019-10-14,19.24
2019-10-15,19.75
2019-10-16,19.38
2019-10-17,19.55
2019-10-18,19.36
2019-10-21,18.64
2019-10-22,18.21
2019-10-23,18.01
2019-10-24,18.09
2019-10-25,18.63
2019-10-28,19.18
2019-10-29,18.82
2019-10-30,19.7
2019-10-31,19.59
2019-11-01,19.99
2019-11-04,20.705
2019-11-05,20.14
2019-11-06,19.37
2019-11-07,19.48
2019-11-08,19.73
2019-11-11,20.12
2019-11-12,20.09
2019-11-13,19.85
2019-11-14,19.45
2019-11-15,19.255
2019-11-18,19.18
2019-11-19,18.95
2019-11-20,18.97
2019-11-21,18.72
2019-11-22,18.53
2019-11-25,19.48
2019-11-26,19.16
2019-11-27,19.17
2019-11-29,18.89
2019-12-02,18.59
2019-12-03,18.7
2019-12-04,18.45
2019-12-05,18.49
2019-12-06,19.09
2019-12-09,18.97
2019-12-10,18.83
2019-12-11,19.6
2019-12-12,19.61
2019-12-13,19.17
2019-12-16,19.86
2019-12-17,20.2
2019-12-18,19.77
2019-12-19,19.73
2019-12-20,20.01
2019-12-23,19.53
2019-12-24,19.43
2019-12-26,19.98
2019-12-27,19.23
2019-12-30,19.08
2019-12-31,19.14
2020-01-02,19.43
2020-01-03,19.03
2020-01-06,19.2
2020-01-07,20.1
2020-01-08,21.21
2020-01-09,21.2
2020-01-10,21.23
2020-01-13,22.07
2020-01-14,21.73
2020-01-15,20.645
2020-01-16,21.28
2020-01-17,23.34
2020-01-21,23.17
2020-01-22,22.74
2020-01-23,22.48
2020-01-24,21.7
2020-01-27,20.845
2020-01-28,21.2
2020-01-29,20.93
2020-01-30,20.05
2020-01-31,18.6
2020-02-03,18.29
2020-02-04,19.01
2020-02-05,19.62
2020-02-06,18.725
2020-02-07,18.72
2020-02-10,19.0
2020-02-11,19.85
2020-02-12,21.2
2020-02-13,21.22
2020-02-14,20.77
2020-02-18,19.81
2020-02-19,20.18
2020-02-20,19.19
2020-02-21,19.03
2020-02-24,18.41
2020-02-25,17.81
2020-02-26,18.37
2020-02-27,17.29
2020-02-28,17.95
2020-03-02,18.63
2020-03-03,17.98
2020-03-04,19.14
2020-03-05,19.05
2020-03-06,18.65
2020-03-09,16.8
2020-03-10,17.51
2020-03-11,16.46
2020-03-12,15.615
2020-03-13,16.81
2020-03-16,14.68
2020-03-17,15.52
2020-03-18,14.53
2020-03-19,14.99
2020-03-20,14.86
2020-03-23,14.02
2020-03-24,16.47
2020-03-25,15.79
2020-03-26,16.94
2020-03-27,16.91
2020-03-30,17.85
2020-03-31,17.82
2020-04-01,17.03
2020-04-02,16.85
2020-04-03,16.84
2020-04-06,18.43
2020-04-07,18.46
2020-04-08,19.22
2020-04-09,18.88
2020-04-13,19.17
2020-04-14,20.21
2020-04-15,19.4
2020-04-16,20.07
2020-04-17,20.195
2020-04-20,19.7
2020-04-21,18.72
2020-04-22,19.77
2020-04-23,19.74
2020-04-24,19.69
2020-04-27,19.53
2020-04-28,19.55
2020-04-29,22.31
2020-04-30,22.51
2020-05-01,20.8
2020-05-04,21.54
2020-05-05,21.3
2020-05-06,21.35
2020-05-07,22.97
2020-05-08,23.46
2020-05-11,23.92
2020-05-12,23.76
2020-05-13,23.35
2020-05-14,22.98
2020-05-15,22.11
2020-05-18,23.94
2020-05-19,23.58
2020-05-20,24.47
2020-05-21,23.93
2020-05-22,24.49
2020-05-26,24.86
2020-05-27,25.05
2020-05-28,24.5
2020-05-29,24.87
2020-06-01,24.92
2020-06-02,25.36
2020-06-03,26.34
2020-06-04,27.09
2020-06-05,28.54
2020-06-08,27.9
2020-06-09,27.92
2020-06-10,27.31
2020-06-11,25.52
2020-06-12,26.1
2020-06-15,26.58
2020-06-16,27.42
2020-06-17,27.68
2020-06-18,27.56
2020-06-19,27.6
2020-06-22,27.92
2020-06-23,27.77
2020-06-24,27.08
2020-06-25,27.87
2020-06-26,27.53
2020-06-29,27.3
2020-06-30,28.39
2020-07-01,28.1
2020-07-02,28.91
2020-07-06,30.06
2020-07-07,29.805
2020-07-08,30.09
2020-07-09,30.61
2020-07-10,29.995
2020-07-13,29.95
2020-07-14,30.26
2020-07-15,29.69
2020-07-16,29.24
2020-07-17,30.3
2020-07-20,30.96
2020-07-21,30.0
2020-07-22,29.77
2020-07-23,29.24
2020-07-24,29.62
2020-07-27,31.64
2020-07-28,31.11
2020-07-29,30.2
2020-07-30,31.03
2020-07-31,31.09
2020-08-03,31.21
2020-08-04,31.61
2020-08-05,31.31
2020-08-06,30.99
2020-08-07,30.04
2020-08-10,29.45
2020-08-11,29.19
2020-08-12,29.89
2020-08-13,29.86
2020-08-14,29.46
2020-08-17,29.89
2020-08-18,29.86
2020-08-19,29.38
2020-08-20,29.03
2020-08-21,29.11
2020-08-24,29.22
2020-08-25,29.51
2020-08-26,29.84
2020-08-27,28.86
2020-08-28,29.485
2020-08-31,28.6
2020-09-01,29.9
2020-09-02,30.97
2020-09-03,28.7
2020-09-04,28.02
2020-09-08,26.75
2020-09-09,27.545
2020-09-10,27.15
2020-09-11,27.1
2020-09-14,28.72
2020-09-15,29.14
2020-09-16,28.92
2020-09-17,28.44
2020-09-18,28.14
2020-09-21,27.805
2020-09-22,27.79
2020-09-23,26.475
2020-09-24,27.65
2020-09-25,28.065
2020-09-28,28.75
2020-09-29,28.64
2020-09-30,28.96
2020-10-01,29.75
2020-10-02,28.215
2020-10-05,29.66
2020-10-06,29.81
2020-10-07,31.02
2020-10-08,31.44
2020-10-09,32.93
2020-10-12,33.78
2020-10-13,33.78
2020-10-14,33.24
2020-10-15,33.84
2020-10-16,33.56
2020-10-19,33.46
