date,close
2023-06-21,34.35
2023-06-22,34.28
2023-06-23,33.93
2023-06-26,34.0
2023-06-27,35.25
2023-06-28,35.47
2023-06-29,35.95
2023-06-30,36.21
2023-07-03,37.04
2023-07-05,37.22
2023-07-06,37.1
2023-07-07,37.59
2023-07-10,38.41
2023-07-11,39.18
2023-07-12,38.55
2023-07-13,37.04
2023-07-14,36.36
2023-07-17,36.27
2023-07-18,36.74
2023-07-19,37.35
2023-07-20,37.08
2023-07-21,37.25
2023-07-24,37.2
2023-07-25,35.53
2023-07-26,36.26
2023-07-27,33.02
2023-07-28,33.7
2023-07-31,34.16
2023-08-01,33.43
2023-08-02,33.37
2023-08-03,32.26
2023-08-04,32.73
2023-08-07,32.97
2023-08-08,33.74
2023-08-09,33.63
2023-08-10,33.84
2023-08-11,33.7
2023-08-14,33.53
2023-08-15,33.12
2023-08-16,32.92
2023-08-17,32.23
2023-08-18,32.15
2023-08-21,31.92
2023-08-22,31.5
2023-08-23,31.57
2023-08-24,31.22
2023-08-25,31.22
2023-08-28,31.09
2023-08-29,31.81
2023-08-30,31.63
2023-08-31,31.6
2023-09-01,31.42
2023-09-05,30.77
2023-09-06,29.97
2023-09-07,29.43
2023-09-08,29.53
2023-09-11,29.41
2023-09-12,29.28
2023-09-13,28.79
2023-09-14,28.94
2023-09-15,29.69
2023-09-18,29.08
2023-09-19,28.91
2023-09-20,28.52
2023-09-21,28.28
2023-09-22,28.05
2023-09-25,27.5
2023-09-26,26.56
2023-09-27,26.81
2023-09-28,27.22
2023-09-29,27.07
2023-10-02,27.19
2023-10-03,26.81
2023-10-04,27.2
2023-10-05,27.32
2023-10-06,27.08
2023-10-09,26.5
2023-10-10,26.65
2023-10-11,26.2
2023-10-12,25.45
2023-10-13,25.37
2023-10-16,25.61
2023-10-17,25.79
2023-10-18,24.7
2023-10-19,24.37
2023-10-20,24.2
2023-10-23,24.29
2023-10-24,23.9
2023-10-25,23.6
2023-10-26,23.39
2023-10-27,22.34
2023-10-30,22.51
2023-10-31,22.23
2023-11-01,22.23
2023-11-02,23.16
2023-11-03,23.7
2023-11-06,23.53
2023-11-07,23.56
2023-11-08,23.99
2023-11-09,23.35
2023-11-10,23.16
2023-11-13,23.09
2023-11-14,24.3
2023-11-15,24.94
2023-11-16,24.29
2023-11-17,24.81
2023-11-20,25.13
2023-11-21,24.63
2023-11-22,24.71
2023-11-24,24.87
2023-11-27,24.44
2023-11-28,24.82
2023-11-29,25.33
2023-11-30,25.57
2023-12-01,26.69
2023-12-04,27.3
2023-12-05,27.17
2023-12-06,27.99
2023-12-07,29.16
2023-12-08,29.07
2023-12-11,29.34
2023-12-12,30.31
2023-12-13,29.15
2023-12-14,29.76
2023-12-15,29.01
2023-12-18,28.97
2023-12-19,29.52
2023-12-20,29.07
2023-12-21,29.6
2023-12-22,29.5
2023-12-26,29.15
2023-12-27,29.21
2023-12-28,29.38
2023-12-29,28.88
2024-01-02,28.48
2024-01-03,27.31
2024-01-04,27.93
2024-01-05,29.15
2024-01-08,29.12
2024-01-09,29.32
2024-01-10,29.71
2024-01-11,29.84
2024-01-12,28.57
2024-01-16,28.72
2024-01-17,28.11
2024-01-18,30.03
2024-01-19,29.99
2024-01-22,30.16
2024-01-23,31.11
2024-01-24,31.11
2024-01-25,30.39
2024-01-26,30.09
2024-01-29,30.21
2024-01-30,30.19
2024-01-31,29.89
2024-02-01,30.18
2024-02-02,30.37
2024-02-05,29.75
2024-02-06,31.03
2024-02-07,30.74
2024-02-08,32.33
2024-02-09,32.49
2024-02-12,32.79
2024-02-13,32.53
2024-02-14,33.75
2024-02-15,34.21
2024-02-16,33.93
2024-02-20,33.86
2024-02-21,34.54
2024-02-22,34.24
2024-02-23,33.78
2024-02-26,34.15
2024-02-27,34.52
2024-02-28,34.47
2024-02-29,34.27
2024-03-01,33.96
2024-03-04,34.11
2024-03-05,34.41
2024-03-06,34.56
2024-03-07,34.83
2024-03-08,34.26
2024-03-11,33.78
2024-03-12,28.76
2024-03-13,28.28
2024-03-14,28.11
2024-03-15,28.35
2024-03-18,28.01
2024-03-19,28.17
2024-03-20,28.84
2024-03-21,28.68
2024-03-22,28.45
2024-03-25,28.51
2024-03-26,28.41
2024-03-27,29.27
2024-03-28,29.19
