date,close
2019-06-21,60.84
2019-06-24,60.76
2019-06-25,62.54
2019-06-26,63.0
2019-06-27,61.7
2019-06-28,63.36
2019-07-01,62.53
2019-07-02,62.62
2019-07-03,63.72
2019-07-05,64.34
2019-07-08,64.39
2019-07-09,65.08
2019-07-10,66.2
2019-07-11,67.58
2019-07-12,65.93
2019-07-15,66.37
2019-07-16,66.79
2019-07-17,67.08
2019-07-18,67.96
2019-07-19,68.57
2019-07-22,67.56
2019-07-23,63.66
2019-07-24,63.49
2019-07-25,64.79
2019-07-26,64.68
2019-07-29,65.55
2019-07-30,67.54
2019-07-31,67.12
2019-08-01,66.55
2019-08-02,67.06
2019-08-05,65.36
2019-08-06,64.95
2019-08-07,65.62
2019-08-08,66.84
2019-08-09,67.06
2019-08-12,67.9
2019-08-13,67.3
2019-08-14,66.8
2019-08-15,67.9
2019-08-16,68.81
2019-08-19,70.12
2019-08-20,68.25
2019-08-21,68.44
2019-08-22,69.51
2019-08-23,68.4
2019-08-26,68.87
2019-08-27,68.45
2019-08-28,68.77
2019-08-29,69.92
2019-08-30,70.39
2019-09-03,71.36
2019-09-04,72.38
2019-09-05,71.79
2019-09-06,71.22
2019-09-09,71.06
2019-09-10,70.57
2019-09-11,71.58
2019-09-12,71.95
2019-09-13,72.15
2019-09-16,73.19
2019-09-17,74.0
2019-09-18,73.75
2019-09-19,73.63
2019-09-20,73.52
2019-09-23,74.14
2019-09-24,73.86
2019-09-25,73.86
2019-09-26,73.59
2019-09-27,73.36
2019-09-30,72.72
2019-10-01,73.57
2019-10-02,73.35
2019-10-03,77.88
2019-10-04,77.77
2019-10-07,75.91
2019-10-08,76.57
2019-10-09,75.96
2019-10-10,76.41
2019-10-11,76.09
2019-10-14,75.84
2019-10-15,75.5
2019-10-16,76.23
2019-10-17,77.05
2019-10-18,76.97
2019-10-21,76.82
2019-10-22,75.33
2019-10-23,74.81
2019-10-24,74.6
2019-10-25,75.0
2019-10-28,76.03
2019-10-29,77.02
2019-10-30,77.75
2019-10-31,78.04
2019-11-01,77.57
2019-11-04,77.21
2019-11-05,76.86
2019-11-06,79.07
2019-11-07,79.0
2019-11-08,78.95
2019-11-11,80.49
2019-11-12,80.12
2019-11-13,81.0
2019-11-14,81.04
2019-11-15,82.94
2019-11-18,83.36
2019-11-19,83.75
2019-11-20,83.49
2019-11-21,82.84
2019-11-22,82.91
2019-11-25,83.43
2019-11-26,83.85
2019-11-27,84.02
2019-11-29,83.98
2019-12-02,84.03
2019-12-03,84.41
2019-12-04,84.13
2019-12-05,84.41
2019-12-06,84.22
2019-12-09,84.16
2019-12-10,84.02
2019-12-11,84.38
2019-12-12,84.11
2019-12-13,84.1
2019-12-16,83.97
2019-12-17,84.09
2019-12-18,84.17
2019-12-19,84.2
2019-12-20,85.83
2019-12-23,85.5
2019-12-24,85.14
2019-12-26,86.15
2019-12-27,86.07
2019-12-30,85.45
2019-12-31,86.03
2020-01-02,84.09
2020-01-03,93.56
2020-01-06,90.7
2020-01-07,91.21
2020-01-08,91.26
2020-01-09,90.79
2020-01-10,90.48
2020-01-13,91.23
2020-01-14,90.67
2020-01-15,90.88
2020-01-16,91.0
2020-01-17,90.5
2020-01-21,91.2
2020-01-22,91.19
2020-01-23,90.89
2020-01-24,90.69
2020-01-27,90.43
2020-01-28,91.66
2020-01-29,92.05
2020-01-30,92.12
2020-01-31,91.31
2020-02-03,91.75
2020-02-04,92.28
2020-02-05,92.58
2020-02-06,93.17
2020-02-07,94.45
2020-02-10,94.58
2020-02-11,95.13
2020-02-12,94.51
2020-02-13,95.09
2020-02-14,95.17
2020-02-18,95.87
2020-02-19,94.35
2020-02-20,94.92
2020-02-21,94.84
2020-02-24,95.32
2020-02-25,93.77
2020-02-26,92.54
2020-02-27,89.45
2020-02-28,86.89
2020-03-02,86.65
2020-03-03,85.5
2020-03-04,88.09
2020-03-05,86.36
2020-03-06,83.37
2020-03-09,73.38
2020-03-10,72.73
2020-03-11,71.43
2020-03-12,63.36
2020-03-13,63.85
2020-03-16,52.44
2020-03-17,53.13
2020-03-18,45.01
2020-03-19,48.81
2020-03-20,47.63
2020-03-23,47.71
2020-03-24,55.04
2020-03-25,56.33
2020-03-26,58.84
2020-03-27,57.25
2020-03-30,57.64
2020-03-31,57.1
2020-04-01,51.0
2020-04-02,49.88
2020-04-03,50.2
2020-04-06,51.82
2020-04-07,55.1
2020-04-08,57.75
2020-04-09,58.4
2020-04-13,58.26
2020-04-14,60.7
2020-04-15,55.91
2020-04-16,57.55
2020-04-17,59.92
