date,close
2019-06-21,41.08
2019-06-24,41.54
2019-06-25,41.08
2019-06-26,41.06
2019-06-27,40.8
2019-06-28,41.12
2019-07-01,41.2
2019-07-02,41.34
2019-07-03,41.38
2019-07-05,41.48
2019-07-08,41.74
2019-07-09,41.6
2019-07-10,41.89
2019-07-11,41.87
2019-07-12,42.16
2019-07-15,42.59
2019-07-16,42.32
2019-07-17,41.62
2019-07-18,41.95
2019-07-19,41.74
2019-07-22,40.98
2019-07-23,41.4
2019-07-24,41.61
2019-07-25,41.57
2019-07-26,41.91
2019-07-29,41.8
2019-07-30,42.59
2019-07-31,42.7
2019-08-01,42.75
2019-08-02,42.65
2019-08-05,40.9
2019-08-06,41.91
2019-08-07,41.71
2019-08-08,42.69
2019-08-09,41.7
2019-08-12,42.52
2019-08-13,42.44
2019-08-14,42.3
2019-08-15,42.47
2019-08-16,43.19
2019-08-19,43.08
2019-08-20,43.47
2019-08-21,43.67
2019-08-22,43.61
2019-08-23,43.33
2019-08-26,43.73
2019-08-27,43.12
2019-08-28,43.68
2019-08-29,43.89
2019-08-30,44.11
2019-09-03,43.34
2019-09-04,43.29
2019-09-05,43.27
2019-09-06,43.25
2019-09-09,43.17
2019-09-10,43.2
2019-09-11,43.04
2019-09-12,43.18
2019-09-13,43.3
2019-09-16,43.33
2019-09-17,43.49
2019-09-18,43.97
2019-09-19,43.9
2019-09-20,44.34
2019-09-23,43.85
2019-09-24,43.34
2019-09-25,43.43
2019-09-26,43.7
2019-09-27,43.32
2019-09-30,43.21
2019-10-01,42.59
2019-10-02,41.27
2019-10-03,41.43
2019-10-04,41.74
2019-10-07,42.05
2019-10-08,41.67
2019-10-09,42.0
2019-10-10,42.02
2019-10-11,42.07
2019-10-14,41.9
2019-10-15,42.14
2019-10-16,42.26
2019-10-17,42.04
2019-10-18,42.17
2019-10-21,42.49
2019-10-22,42.38
2019-10-23,42.77
2019-10-24,42.3
2019-10-25,42.74
2019-10-28,43.1
2019-10-29,43.22
2019-10-30,43.27
2019-10-31,43.05
2019-11-01,43.47
2019-11-04,43.48
2019-11-05,43.61
2019-11-06,43.55
2019-11-07,43.32
2019-11-08,42.03
2019-11-11,42.39
2019-11-12,42.54
2019-11-13,42.97
2019-11-14,42.91
2019-11-15,43.03
2019-11-18,42.87
2019-11-19,42.71
2019-11-20,42.71
2019-11-21,42.0
2019-11-22,42.1
2019-11-25,42.17
2019-11-26,42.37
2019-11-27,42.98
2019-11-29,43.11
2019-12-02,42.86
2019-12-03,42.48
2019-12-04,42.81
2019-12-05,42.74
2019-12-06,42.95
2019-12-09,43.2
2019-12-10,43.25
2019-12-11,43.3
2019-12-12,43.35
2019-12-13,43.2
2019-12-16,43.57
2019-12-17,43.42
2019-12-18,43.38
2019-12-19,43.51
2019-12-20,43.4
2019-12-23,43.49
2019-12-24,43.56
2019-12-26,43.68
2019-12-27,43.38
2019-12-30,43.2
2019-12-31,43.11
2020-01-02,43.29
2020-01-03,43.38
2020-01-06,43.37
2020-01-07,43.38
2020-01-08,43.43
2020-01-09,43.57
2020-01-10,43.61
2020-01-13,44.05
2020-01-14,44.17
2020-01-15,44.57
2020-01-16,44.77
2020-01-17,44.62
2020-01-21,44.32
2020-01-22,44.6
2020-01-23,44.54
2020-01-24,44.02
2020-01-27,43.59
2020-01-28,43.66
2020-01-29,43.52
2020-01-30,43.53
2020-01-31,43.07
2020-02-03,43.14
2020-02-04,43.45
2020-02-05,43.64
2020-02-06,43.8
2020-02-07,44.02
2020-02-10,44.39
2020-02-11,44.43
2020-02-12,44.4
2020-02-13,45.0
2020-02-14,44.9
2020-02-18,44.72
2020-02-19,44.58
2020-02-20,44.55
2020-02-21,44.3
2020-02-24,43.43
2020-02-25,39.25
2020-02-26,40.12
2020-02-27,38.54
2020-02-28,36.93
2020-03-02,38.9
2020-03-03,38.11
2020-03-04,38.5
2020-03-05,37.8
2020-03-06,36.9
2020-03-09,32.76
2020-03-10,33.51
2020-03-11,31.33
2020-03-12,26.52
2020-03-13,28.18
2020-03-16,22.0
2020-03-17,20.07
2020-03-18,16.87
2020-03-19,19.04
2020-03-20,17.82
2020-03-23,15.74
2020-03-24,18.21
2020-03-25,19.64
2020-03-26,23.37
2020-03-27,23.58
2020-03-30,21.47
2020-03-31,20.51
2020-04-01,18.38
2020-04-02,17.69
2020-04-03,17.34
2020-04-06,18.85
2020-04-07,21.34
2020-04-08,22.97
2020-04-09,26.17
2020-04-13,25.42
2020-04-14,26.13
2020-04-15,24.78
2020-04-16,24.92
2020-04-17,24.06
2020-04-20,23.03
2020-04-21,21.86
2020-04-22,21.68
2020-04-23,22.22
2020-04-24,24.36
2020-04-27,25.77
2020-04-28,25.21
2020-04-29,26.93
2020-04-30,26.08
2020-05-01,24.91
2020-05-04,24.03
2020-05-05,25.17
2020-05-06,25.87
2020-05-07,26.33
2020-05-08,26.91
2020-05-11,26.92
2020-05-12,27.56
2020-05-13,27.65
2020-05-14,27.25
2020-05-15,28.71
2020-05-18,30.77
2020-05-19,31.65
2020-05-20,30.09
2020-05-21,30.89
2020-05-22,30.35
2020-05-26,32.14
2020-05-27,32.36
2020-05-28,31.82
2020-05-29,31.2
2020-06-01,31.86
2020-06-02,32.02
2020-06-03,33.01
2020-06-04,33.28
2020-06-05,34.28
2020-06-08,35.82
2020-06-09,35.08
2020-06-10,33.76
2020-06-11,31.36
2020-06-12,33.13
2020-06-15,33.07
2020-06-16,33.89
2020-06-17,33.23
2020-06-18,32.66
2020-06-19,32.47
2020-06-22,32.12
2020-06-23,31.76
2020-06-24,31.15
2020-06-25,31.36
2020-06-26,30.79
2020-06-29,30.92
2020-06-30,31.13
2020-07-01,31.0
2020-07-02,30.7
2020-07-06,31.09
2020-07-07,30.25
2020-07-08,30.0
2020-07-09,28.66
2020-07-10,29.26
2020-07-13,29.62
2020-07-14,30.18
2020-07-15,31.27
2020-07-16,31.64
2020-07-17,31.77
2020-07-20,30.88
2020-07-21,30.99
2020-07-22,31.18
2020-07-23,30.94
2020-07-24,30.07
2020-07-27,29.8
2020-07-28,29.89
2020-07-29,30.3
2020-07-30,30.23
2020-07-31,30.31
2020-08-03,29.99
2020-08-04,30.61
2020-08-05,31.05
2020-08-06,30.97
2020-08-07,32.04
2020-08-10,33.01
2020-08-11,32.54
2020-08-12,32.69
2020-08-13,32.82
2020-08-14,32.8
2020-08-17,32.92
2020-08-18,31.81
2020-08-19,31.34
2020-08-20,30.84
2020-08-21,30.55
2020-08-24,31.09
2020-08-25,30.91
2020-08-26,30.13
2020-08-27,30.47
2020-08-28,30.61
2020-08-31,30.27
2020-09-01,30.35
2020-09-02,30.58
2020-09-03,29.99
2020-09-04,29.8
2020-09-08,29.86
2020-09-09,30.41
2020-09-10,29.85
2020-09-11,30.31
2020-09-14,30.62
2020-09-15,30.68
2020-09-16,30.46
2020-09-17,30.45
2020-09-18,30.48
2020-09-21,29.7
2020-09-22,29.95
2020-09-23,29.27
2020-09-24,29.07
2020-09-25,29.93
2020-09-28,30.36
2020-09-29,29.68
2020-09-30,29.57
2020-10-01,30.62
2020-10-02,30.75
2020-10-05,30.42
2020-10-06,30.0
2020-10-07,30.27
2020-10-08,30.65
2020-10-09,30.71
2020-10-12,30.28
2020-10-13,30.18
2020-10-14,30.36
2020-10-15,29.84
2020-10-16,30.01
2020-10-19,29.16
2020-10-20,29.81
2020-10-21,29.44
2020-10-22,29.63
2020-10-23,30.04
2020-10-26,29.81
2020-10-27,29.75
2020-10-28,28.17
2020-10-29,27.6
2020-10-30,27.39
2020-11-02,28.19
2020-11-03,28.67
2020-11-04,28.76
2020-11-05,29.35
2020-11-06,28.76
2020-11-09,29.87
2020-11-10,31.16
2020-11-11,30.98
2020-11-12,30.69
2020-11-13,30.97
2020-11-16,31.55
2020-11-17,31.54
2020-11-18,31.21
2020-11-19,31.31
2020-11-20,31.15
2020-11-23,31.85
2020-11-24,32.16
2020-11-25,32.51
2020-11-27,32.35
2020-11-30,31.15
2020-12-01,31.68
2020-12-02,31.97
2020-12-03,32.59
2020-12-04,32.44
2020-12-07,31.71
2020-12-08,31.67
2020-12-09,31.45
2020-12-10,31.48
2020-12-11,31.36
2020-12-14,31.5
2020-12-15,31.9
2020-12-16,32.01
2020-12-17,31.57
2020-12-18,31.18
2020-12-21,31.32
2020-12-22,31.24
2020-12-23,31.13
2020-12-24,31.1
2020-12-28,31.27
2020-12-29,31.47
2020-12-30,32.52
2020-12-31,32.26
2021-01-04,31.35
2021-01-05,31.72
2021-01-06,31.51
2021-01-07,31.64
2021-01-08,31.85
2021-01-11,31.48
2021-01-12,31.68
2021-01-13,31.51
2021-01-14,32.22
2021-01-15,32.33
2021-01-19,32.67
2021-01-20,32.62
2021-01-21,32.65
2021-01-22,33.03
2021-01-25,33.19
2021-01-26,33.64
2021-01-27,33.48
2021-01-28,32.54
2021-01-29,31.82
2021-02-01,32.33
2021-02-02,32.44
2021-02-03,32.81
2021-02-04,33.12
2021-02-05,33.42
2021-02-08,33.69
2021-02-09,33.2
2021-02-10,34.15
2021-02-11,34.29
2021-02-12,34.44
2021-02-16,34.56
2021-02-17,34.56
2021-02-18,34.49
2021-02-19,35.01
2021-02-22,35.63
2021-02-23,35.63
2021-02-24,36.92
2021-02-25,35.7
2021-02-26,36.68
2021-03-01,36.37
2021-03-02,36.71
2021-03-03,37.34
2021-03-04,37.16
2021-03-05,36.73
2021-03-08,36.94
2021-03-09,37.1
2021-03-10,37.59
2021-03-11,37.81
2021-03-12,38.39
2021-03-15,39.34
2021-03-16,38.88
2021-03-17,38.86
2021-03-18,37.58
2021-03-19,38.15
2021-03-22,38.44
2021-03-23,38.01
2021-03-24,38.21
2021-03-25,38.72
2021-03-26,39.26
2021-03-29,39.15
2021-03-30,39.56
2021-03-31,39.15
2021-04-01,39.85
2021-04-05,40.35
2021-04-06,40.79
2021-04-07,41.28
2021-04-08,41.3
2021-04-09,41.47
2021-04-12,41.82
2021-04-13,41.74
2021-04-14,41.52
2021-04-15,41.95
2021-04-16,42.24
2021-04-19,42.41
2021-04-20,42.07
2021-04-21,42.55
2021-04-22,42.71
2021-04-23,42.82
2021-04-26,43.08
2021-04-27,43.41
2021-04-28,42.75
2021-04-29,42.73
2021-04-30,42.59
2021-05-03,42.41
2021-05-04,42.06
2021-05-05,42.08
2021-05-06,41.58
2021-05-07,41.67
2021-05-10,41.35
2021-05-11,40.55
2021-05-12,38.14
2021-05-13,39.49
2021-05-14,40.54
2021-05-17,40.85
2021-05-18,40.71
2021-05-19,40.74
2021-05-20,40.94
2021-05-21,41.02
2021-05-24,41.3
2021-05-25,40.99
2021-05-26,41.4
2021-05-27,41.1
2021-05-28,41.12
2021-06-01,41.52
2021-06-02,41.45
2021-06-03,41.42
2021-06-04,41.17
2021-06-07,41.6
2021-06-08,41.74
2021-06-09,41.8
2021-06-10,41.62
2021-06-11,41.91
2021-06-14,42.0
2021-06-15,41.71
2021-06-16,42.17
2021-06-17,41.61
2021-06-18,40.79
2021-06-21,41.95
2021-06-22,42.02
2021-06-23,42.03
2021-06-24,42.28
2021-06-25,42.11
2021-06-28,41.59
2021-06-29,41.21
2021-06-30,41.09
2021-07-01,41.2
2021-07-02,41.76
2021-07-06,41.83
2021-07-07,41.06
2021-07-08,40.7
2021-07-09,41.5
2021-07-12,41.88
2021-07-13,41.6
2021-07-14,41.37
2021-07-15,41.32
2021-07-16,41.09
2021-07-19,40.2
2021-07-20,41.18
2021-07-21,41.56
2021-07-22,41.36
2021-07-23,41.53
2021-07-26,41.9
2021-07-27,42.02
2021-07-28,41.7
2021-07-29,41.46
2021-07-30,41.12
2021-08-02,41.27
2021-08-03,41.61
2021-08-04,41.4
2021-08-05,41.69
2021-08-06,41.74
2021-08-09,42.02
2021-08-10,42.37
2021-08-11,42.52
2021-08-12,42.78
2021-08-13,42.81
2021-08-16,42.7
2021-08-17,42.18
2021-08-18,42.04
2021-08-19,40.85
2021-08-20,42.01
2021-08-23,42.11
2021-08-24,42.2
2021-08-25,42.36
2021-08-26,41.69
2021-08-27,42.01
2021-08-30,41.72
2021-08-31,41.59
2021-09-01,41.54
2021-09-02,41.91
2021-09-03,41.62
2021-09-07,41.06
2021-09-08,41.36
2021-09-09,41.51
2021-09-10,41.02
2021-09-13,41.13
2021-09-14,41.22
2021-09-15,41.7
2021-09-16,41.37
2021-09-17,41.33
2021-09-20,40.57
2021-09-21,40.83
2021-09-22,41.48
2021-09-23,41.6
2021-09-24,41.5
2021-09-27,41.9
2021-09-28,41.34
2021-09-29,41.52
2021-09-30,41.1
2021-10-01,41.46
2021-10-04,41.52
2021-10-05,41.5
2021-10-06,41.53
2021-10-07,41.35
2021-10-08,41.72
2021-10-11,41.6
2021-10-12,41.86
2021-10-13,42.45
2021-10-14,42.67
2021-10-15,42.6
2021-10-18,43.06
2021-10-19,43.43
2021-10-20,43.33
2021-10-21,43.66
2021-10-22,43.76
2021-10-25,43.87
2021-10-26,44.07
2021-10-27,43.78
2021-10-28,43.93
2021-10-29,43.82
2021-11-01,43.44
2021-11-02,43.82
2021-11-03,43.8
2021-11-04,43.93
2021-11-05,45.55
2021-11-08,45.9
2021-11-09,45.72
2021-11-10,45.59
2021-11-11,45.9
2021-11-12,45.83
2021-11-15,45.68
2021-11-16,46.02
2021-11-17,46.13
2021-11-18,46.59
2021-11-19,46.61
2021-11-22,46.58
2021-11-23,46.59
2021-11-24,46.4
2021-11-26,45.32
2021-11-29,45.03
2021-11-30,44.44
2021-12-01,44.06
2021-12-02,44.46
2021-12-03,43.97
2021-12-06,44.03
2021-12-07,44.22
2021-12-08,44.17
2021-12-09,43.96
2021-12-10,43.91
2021-12-13,43.6
2021-12-14,42.39
2021-12-15,42.92
2021-12-16,42.86
2021-12-17,42.34
2021-12-20,42.05
2021-12-21,42.79
2021-12-22,43.31
2021-12-23,44.0
2021-12-27,44.42
2021-12-28,44.44
2021-12-29,44.76
2021-12-30,44.61
2021-12-31,44.86
2022-01-03,44.4
2022-01-04,44.88
2022-01-05,44.49
2022-01-06,44.5
2022-01-07,44.4
2022-01-10,44.11
2022-01-11,44.6
2022-01-12,44.84
2022-01-13,44.46
2022-01-14,44.09
2022-01-18,44.53
2022-01-19,44.6
2022-01-20,43.61
2022-01-21,42.41
2022-01-24,41.08
2022-01-25,42.84
2022-01-26,42.86
