date,close
2019-06-21,2.99
2019-06-24,2.67
2019-06-25,2.65
2019-06-26,2.7097
2019-06-27,2.6391
2019-06-28,2.52
2019-07-01,2.5618
2019-07-02,2.43
2019-07-03,2.462
2019-07-05,2.51
2019-07-08,2.52
2019-07-09,2.68
2019-07-10,2.4
2019-07-11,2.23
2019-07-12,2.22
2019-07-15,2.49
2019-07-16,2.42
2019-07-17,2.42
2019-07-18,2.34
2019-07-19,2.32
2019-07-22,2.3
2019-07-23,2.32
2019-07-24,2.6
2019-07-25,2.6632
2019-07-26,2.74
2019-07-29,2.75
2019-07-30,2.5
2019-07-31,2.6
2019-08-01,2.74
2019-08-02,2.9
2019-08-05,2.73
2019-08-06,2.65
2019-08-07,2.51
2019-08-08,2.65
2019-08-09,2.7
2019-08-12,2.95
2019-08-13,3.01
2019-08-14,3.0
2019-08-15,3.3
2019-08-16,3.5
2019-08-19,3.55
2019-08-20,3.96
2019-08-21,4.1
2019-08-22,4.1
2019-08-23,3.92
2019-08-26,4.1397
2019-08-27,3.95
2019-08-28,3.655
2019-08-29,3.6001
2019-08-30,3.67
2019-09-03,3.2
2019-09-04,3.72
2019-09-05,3.59
2019-09-06,3.6
2019-09-09,3.59
2019-09-10,3.38
2019-09-11,3.34
2019-09-12,3.45
2019-09-13,3.38
2019-09-16,3.3905
2019-09-17,3.26
2019-09-18,3.32
2019-09-19,3.13
2019-09-20,3.2
2019-09-23,3.26
2019-09-24,3.02
2019-09-25,3.01
2019-09-26,2.96
2019-09-27,3.0
2019-09-30,2.98
2019-10-01,3.2
2019-10-02,2.81
2019-10-03,3.1
2019-10-04,2.94
2019-10-07,3.16
2019-10-08,3.0105
2019-10-09,2.89
2019-10-10,3.45
2019-10-11,3.5488
2019-10-14,3.3
2019-10-15,3.305
2019-10-16,3.4192
2019-10-17,3.3
2019-10-18,3.3501
2019-10-21,3.7
2019-10-22,3.4027
2019-10-23,3.34
2019-10-24,3.3001
2019-10-25,3.3
2019-10-28,3.25
2019-10-29,3.15
2019-10-30,3.15
2019-10-31,2.9355
2019-11-01,2.85
2019-11-04,3.19
2019-11-05,3.2501
2019-11-06,3.11
2019-11-07,2.91
2019-11-08,2.9
2019-11-11,2.5063
2019-11-12,2.54
2019-11-13,2.26
2019-11-14,2.26
2019-11-15,2.31
2019-11-18,2.22
2019-11-19,2.435
2019-11-20,2.3818
2019-11-21,2.51
2019-11-22,2.1
2019-11-25,2.18
2019-11-26,2.2166
2019-11-27,2.3
2019-11-29,2.37
2019-12-02,2.12
2019-12-03,2.1892
2019-12-04,2.11
2019-12-05,2.1
2019-12-06,2.12
2019-12-09,1.91
2019-12-10,1.75
2019-12-11,1.6967
2019-12-12,1.529
2019-12-13,1.4547
2019-12-16,1.17
2019-12-17,1.22
2019-12-18,1.26
2019-12-19,1.32
2019-12-20,1.2678
2019-12-23,1.21
2019-12-24,1.1
2019-12-26,2.15
2019-12-27,2.95
2019-12-30,2.48
2019-12-31,3.28
2020-01-02,3.21
2020-01-03,2.81
2020-01-06,2.58
2020-01-07,2.34
2020-01-08,2.25
2020-01-09,2.283
2020-01-10,2.1
2020-01-13,2.26
2020-01-14,2.34
2020-01-15,2.3
2020-01-16,2.16
2020-01-17,2.175
2020-01-21,2.17
2020-01-22,1.882
2020-01-23,1.75
2020-01-24,1.64
2020-01-27,1.5
2020-01-28,1.77
2020-01-29,1.73
2020-01-30,1.74
2020-01-31,1.682
2020-02-03,1.68
2020-02-04,1.71
2020-02-05,1.68
2020-02-06,1.63
2020-02-07,1.5603
2020-02-10,2.0
2020-02-11,1.82
2020-02-12,1.75
2020-02-13,1.59
2020-02-14,1.68
2020-02-18,1.6373
2020-02-19,1.8382
2020-02-20,2.32
2020-02-21,2.4
2020-02-24,2.143
2020-02-25,1.85
2020-02-26,1.79
2020-02-27,1.78
2020-02-28,1.85
2020-03-02,1.72
2020-03-03,1.76
2020-03-04,2.04
2020-03-05,1.8698
2020-03-06,1.89
2020-03-09,1.7
2020-03-10,1.65
2020-03-11,1.55
2020-03-12,1.15
2020-03-13,1.1
2020-03-16,0.93
2020-03-17,0.95
2020-03-18,0.7998
2020-03-19,0.85
2020-03-20,0.9
2020-03-23,0.9
2020-03-24,0.9377
2020-03-25,1.0636
2020-03-26,1.0998
2020-03-27,0.98
2020-03-30,0.98
2020-03-31,1.045
2020-04-01,1.025
2020-04-02,1.03
2020-04-03,1.0
2020-04-06,1.185
2020-04-07,1.0602
2020-04-08,1.13
2020-04-09,1.19
2020-04-13,1.2
2020-04-14,1.1
2020-04-15,1.07
2020-04-16,1.5
2020-04-17,1.34
2020-04-20,1.32
2020-04-21,1.22
2020-04-22,1.3501
2020-04-23,1.3
2020-04-24,1.31
2020-04-27,1.25
2020-04-28,1.2
2020-04-29,1.23
2020-04-30,1.37
2020-05-01,1.15
2020-05-04,1.26
2020-05-05,1.22
2020-05-06,1.18
2020-05-07,1.17
2020-05-08,1.22
2020-05-11,1.25
2020-05-12,1.37
2020-05-13,1.28
2020-05-14,1.29
2020-05-15,1.36
2020-05-18,1.35
2020-05-19,1.35
2020-05-20,1.2725
2020-05-21,1.2308
2020-05-22,1.21
2020-05-26,1.26
2020-05-27,1.23
2020-05-28,1.25
2020-05-29,1.27
2020-06-01,1.27
2020-06-02,1.9
2020-06-03,1.96
2020-06-04,3.05
2020-06-05,2.81
2020-06-08,2.69
2020-06-09,2.6001
2020-06-10,2.45
2020-06-11,2.78
2020-06-12,2.8
2020-06-15,2.88
2020-06-16,2.77
2020-06-17,2.8
2020-06-18,2.75
2020-06-19,3.4
2020-06-22,3.38
2020-06-23,3.14
2020-06-24,3.06
2020-06-25,3.0
2020-06-26,3.1
2020-06-29,2.94
2020-06-30,3.06
2020-07-01,3.25
2020-07-02,3.08
2020-07-06,2.97
2020-07-07,2.96
2020-07-08,2.94
2020-07-09,2.935
2020-07-10,3.0
2020-07-13,3.0
2020-07-14,2.99
2020-07-15,3.09
2020-07-16,3.0
2020-07-17,2.97
2020-07-20,3.01
2020-07-21,3.17
2020-07-22,3.27
2020-07-23,3.16
2020-07-24,3.1
2020-07-27,3.0
2020-07-28,2.95
2020-07-29,2.79
2020-07-30,2.72
2020-07-31,2.85
2020-08-03,2.94
2020-08-04,2.98
2020-08-05,2.9
2020-08-06,2.74
2020-08-07,2.83
2020-08-10,2.9
2020-08-11,2.77
2020-08-12,2.76
2020-08-13,2.8
2020-08-14,2.83
2020-08-17,2.97
2020-08-18,3.19
2020-08-19,3.15
2020-08-20,3.29
2020-08-21,3.23
2020-08-24,3.0
2020-08-25,2.94
2020-08-26,2.91
2020-08-27,2.82
2020-08-28,2.9
2020-08-31,2.99
2020-09-01,2.95
2020-09-02,2.94
2020-09-03,2.84
2020-09-04,2.74
2020-09-08,2.67
2020-09-09,2.75
2020-09-10,2.71
2020-09-11,2.96
2020-09-14,3.0
2020-09-15,2.94
2020-09-16,3.02
2020-09-17,3.0
2020-09-18,2.98
2020-09-21,2.86
2020-09-22,2.87
2020-09-23,2.77
2020-09-24,2.64
2020-09-25,2.62
2020-09-28,2.57
2020-09-29,2.55
2020-09-30,2.62
2020-10-01,2.55
2020-10-02,2.45
2020-10-05,2.44
2020-10-06,2.28
2020-10-07,2.27
2020-10-08,2.3
2020-10-09,2.22
2020-10-12,2.14
2020-10-13,2.2
2020-10-14,2.3
2020-10-15,2.4
2020-10-16,2.42
2020-10-19,2.55
2020-10-20,2.61
2020-10-21,2.6
2020-10-22,2.56
2020-10-23,2.59
2020-10-26,2.48
2020-10-27,2.47
2020-10-28,2.38
2020-10-29,2.41
2020-10-30,2.37
2020-11-02,2.43
2020-11-03,2.47
2020-11-04,2.44
2020-11-05,2.48
2020-11-06,2.45
2020-11-09,2.41
2020-11-10,2.42
2020-11-11,2.37
2020-11-12,2.32
2020-11-13,2.32
2020-11-16,2.36
2020-11-17,2.37
2020-11-18,2.43
2020-11-19,2.46
2020-11-20,2.4
2020-11-23,2.33
2020-11-24,2.36
2020-11-25,2.37
2020-11-27,2.435
2020-11-30,2.44
2020-12-01,2.24
2020-12-02,2.29
2020-12-03,2.23
2020-12-04,2.09
2020-12-07,2.03
2020-12-08,2.05
2020-12-09,1.95
2020-12-10,2.0
2020-12-11,2.0
2020-12-14,2.01
2020-12-15,2.18
2020-12-16,2.16
2020-12-17,2.21
2020-12-18,3.6
2020-12-21,3.48
2020-12-22,3.4
2020-12-23,3.52
2020-12-24,3.57
2020-12-28,3.58
2020-12-29,3.52
2020-12-30,3.55
2020-12-31,3.58
2021-01-04,3.54
2021-01-05,3.48
2021-01-06,3.45
2021-01-07,3.48
2021-01-08,3.48
2021-01-11,3.42
2021-01-12,3.49
2021-01-13,3.3
2021-01-14,3.35
2021-01-15,3.32
2021-01-19,3.16
2021-01-20,3.27
2021-01-21,3.18
2021-01-22,3.01
2021-01-25,3.03
2021-01-26,2.99
2021-01-27,2.69
2021-01-28,2.6
2021-01-29,2.72
2021-02-01,2.82
2021-02-02,2.86
2021-02-03,2.78
2021-02-04,2.73
2021-02-05,2.74
2021-02-08,3.02
2021-02-09,3.05
2021-02-10,3.05
2021-02-11,3.4
2021-02-12,3.22
2021-02-16,3.48
2021-02-17,3.88
2021-02-18,4.23
2021-02-19,4.4
2021-02-22,4.2
2021-02-23,3.85
2021-02-24,4.02
2021-02-25,4.0
2021-02-26,3.89
2021-03-01,3.97
2021-03-02,4.43
2021-03-03,4.18
2021-03-04,3.92
2021-03-05,3.91
2021-03-08,3.72
2021-03-09,3.89
2021-03-10,3.85
2021-03-11,4.15
2021-03-12,4.08
2021-03-15,4.14
2021-03-16,3.97
2021-03-17,4.03
2021-03-18,3.96
2021-03-19,4.01
2021-03-22,4.14
2021-03-23,3.9
2021-03-24,3.55
2021-03-25,3.62
2021-03-26,3.59
2021-03-29,3.31
2021-03-30,3.34
2021-03-31,3.37
2021-04-01,3.38
2021-04-05,3.75
2021-04-06,3.87
2021-04-07,3.99
2021-04-08,4.03
2021-04-09,4.08
2021-04-12,3.51
2021-04-13,3.51
2021-04-14,3.46
2021-04-15,3.33
2021-04-16,3.35
2021-04-19,3.19
2021-04-20,3.29
2021-04-21,3.27
2021-04-22,3.32
2021-04-23,3.42
2021-04-26,3.55
2021-04-27,3.55
2021-04-28,3.57
2021-04-29,3.61
2021-04-30,3.55
2021-05-03,3.5
2021-05-04,3.49
2021-05-05,3.45
2021-05-06,3.3
2021-05-07,3.37
2021-05-10,3.12
2021-05-11,3.27
2021-05-12,3.3
2021-05-13,2.98
2021-05-14,3.1
2021-05-17,2.94
2021-05-18,3.21
2021-05-19,3.23
2021-05-20,3.26
2021-05-21,3.2
2021-05-24,3.15
2021-05-25,3.11
2021-05-26,3.23
2021-05-27,3.21
2021-05-28,3.27
2021-06-01,3.46
2021-06-02,3.55
2021-06-03,3.6
2021-06-04,3.6
2021-06-07,3.48
2021-06-08,3.25
2021-06-09,3.19
2021-06-10,3.23
2021-06-11,3.18
2021-06-14,3.37
2021-06-15,3.23
2021-06-16,3.26
2021-06-17,3.28
2021-06-18,3.35
2021-06-21,3.2
2021-06-22,3.05
2021-06-23,2.97
2021-06-24,3.25
2021-06-25,3.2
2021-06-28,3.17
2021-06-29,3.07
2021-06-30,3.17
2021-07-01,3.15
2021-07-02,3.17
2021-07-06,3.06
2021-07-07,2.92
2021-07-08,2.91
2021-07-09,3.0
2021-07-12,2.9
2021-07-13,2.86
2021-07-14,2.82
2021-07-15,2.81
2021-07-16,2.83
2021-07-19,2.77
2021-07-20,2.85
2021-07-21,2.82
2021-07-22,2.77
2021-07-23,2.5
2021-07-26,2.48
2021-07-27,2.49
2021-07-28,2.74
2021-07-29,2.62
2021-07-30,2.57
2021-08-02,2.64
2021-08-03,2.54
2021-08-04,2.6
2021-08-05,2.68
2021-08-06,2.7
2021-08-09,2.8
2021-08-10,2.6
2021-08-11,2.5
2021-08-12,2.35
2021-08-13,2.25
2021-08-16,2.2
2021-08-17,2.26
2021-08-18,2.3
2021-08-19,2.21
2021-08-20,2.3
2021-08-23,2.56
2021-08-24,2.56
2021-08-25,2.75
2021-08-26,2.68
2021-08-27,2.78
2021-08-30,2.72
2021-08-31,2.79
2021-09-01,2.86
2021-09-02,2.88
2021-09-03,2.75
2021-09-07,2.81
2021-09-08,2.7
2021-09-09,2.68
2021-09-10,2.65
2021-09-13,2.65
2021-09-14,2.54
2021-09-15,2.57
2021-09-16,2.62
2021-09-17,2.64
2021-09-20,2.5
2021-09-21,2.54
2021-09-22,2.53
2021-09-23,2.48
2021-09-24,2.41
2021-09-27,2.48
2021-09-28,2.52
2021-09-29,2.4
2021-09-30,2.42
2021-10-01,2.59
2021-10-04,2.33
2021-10-05,2.25
2021-10-06,2.17
2021-10-07,2.22
2021-10-08,2.18
2021-10-11,2.11
2021-10-12,2.2
2021-10-13,2.22
2021-10-14,2.25
2021-10-15,2.18
2021-10-18,2.17
2021-10-19,2.18
2021-10-20,2.15
2021-10-21,2.17
2021-10-22,2.15
2021-10-25,2.17
2021-10-26,2.19
2021-10-27,2.14
2021-10-28,2.18
2021-10-29,2.25
2021-11-01,2.39
2021-11-02,2.43
2021-11-03,2.43
2021-11-04,2.37
2021-11-05,2.42
2021-11-08,2.47
2021-11-09,2.37
2021-11-10,2.32
2021-11-11,2.29
2021-11-12,2.3
2021-11-15,2.23
2021-11-16,2.14
2021-11-17,2.05
2021-11-18,2.06
2021-11-19,2.01
2021-11-22,1.86
2021-11-23,1.92
2021-11-24,2.06
2021-11-26,1.9
2021-11-29,1.81
2021-11-30,1.76
2021-12-01,1.68
2021-12-02,1.67
2021-12-03,1.6
2021-12-06,1.61
2021-12-07,1.74
2021-12-08,1.8
2021-12-09,1.68
2021-12-10,1.6
2021-12-13,1.64
2021-12-14,1.57
2021-12-15,1.64
2021-12-16,1.59
2021-12-17,1.71
2021-12-20,1.68
2021-12-21,1.65
2021-12-22,1.61
2021-12-23,1.62
2021-12-27,1.57
2021-12-28,1.51
2021-12-29,1.57
2021-12-30,1.61
2021-12-31,1.6
2022-01-03,1.7
2022-01-04,1.6
2022-01-05,1.51
2022-01-06,1.5
2022-01-07,1.38
2022-01-10,1.3
2022-01-11,1.37
2022-01-12,1.41
2022-01-13,1.4
2022-01-14,1.43
2022-01-18,1.29
2022-01-19,1.26
2022-01-20,1.25
2022-01-21,1.17
2022-01-24,1.2
2022-01-25,1.21
2022-01-26,1.16
2022-01-27,1.08
2022-01-28,1.22
