date,close
2019-06-21,17.33
2019-06-24,16.88
2019-06-25,17.21
2019-06-26,17.98
2019-06-27,17.88
2019-06-28,18.03
2019-07-01,17.97
2019-07-02,17.49
2019-07-03,17.4
2019-07-05,17.29
2019-07-08,17.0
2019-07-09,16.54
2019-07-10,16.43
2019-07-11,16.28
2019-07-12,16.76
2019-07-15,16.99
2019-07-16,17.22
2019-07-17,16.89
2019-07-18,16.58
2019-07-19,16.76
2019-07-22,17.19
2019-07-23,17.73
2019-07-24,17.6
2019-07-25,17.09
2019-07-26,17.0
2019-07-29,16.77
2019-07-30,16.54
2019-07-31,15.72
2019-08-01,15.44
2019-08-02,14.83
2019-08-05,14.29
2019-08-06,14.12
2019-08-07,14.06
2019-08-08,14.53
2019-08-09,13.52
2019-08-12,13.21
2019-08-13,13.84
2019-08-14,12.65
2019-08-15,12.69
2019-08-16,13.11
2019-08-19,13.39
2019-08-20,13.26
2019-08-21,13.42
2019-08-22,13.68
2019-08-23,13.37
2019-08-26,13.65
2019-08-27,13.53
2019-08-28,13.72
2019-08-29,14.16
2019-08-30,14.37
2019-09-03,13.96
2019-09-04,14.8
2019-09-05,15.32
2019-09-06,15.12
2019-09-09,15.74
2019-09-10,16.7
2019-09-11,16.71
2019-09-12,16.56
2019-09-13,17.08
2019-09-16,16.8
2019-09-17,16.28
2019-09-18,16.1
2019-09-19,15.36
2019-09-20,15.03
2019-09-23,14.43
2019-09-24,14.02
2019-09-25,14.46
2019-09-26,14.03
2019-09-27,14.16
2019-09-30,14.24
2019-10-01,13.71
2019-10-02,13.17
2019-10-03,12.83
2019-10-04,13.02
2019-10-07,13.24
2019-10-08,12.9
2019-10-09,13.09
2019-10-10,14.0
2019-10-11,14.76
2019-10-14,14.32
2019-10-15,14.46
2019-10-16,14.32
2019-10-17,14.56
2019-10-18,14.59
2019-10-21,15.04
2019-10-22,15.0
2019-10-23,15.19
2019-10-24,15.01
2019-10-25,15.47
2019-10-28,15.93
2019-10-29,15.78
2019-10-30,15.35
2019-10-31,14.82
2019-11-01,15.81
2019-11-04,16.45
2019-11-05,16.36
2019-11-06,15.82
2019-11-07,17.17
2019-11-08,17.0
2019-11-11,17.23
2019-11-12,17.01
2019-11-13,16.55
2019-11-14,16.28
2019-11-15,16.72
2019-11-18,16.25
2019-11-19,16.44
2019-11-20,16.21
2019-11-21,16.11
2019-11-22,17.18
2019-11-25,17.45
2019-11-26,17.48
2019-11-27,17.4
2019-11-29,17.11
2019-12-02,16.93
2019-12-03,16.55
2019-12-04,17.02
2019-12-05,17.45
2019-12-06,17.88
2019-12-09,17.72
2019-12-10,17.66
2019-12-11,17.71
2019-12-12,18.51
2019-12-13,18.16
2019-12-16,18.42
2019-12-17,18.29
2019-12-18,18.46
2019-12-19,18.3
2019-12-20,17.84
2019-12-23,17.83
2019-12-24,17.85
2019-12-26,17.93
2019-12-27,17.41
2019-12-30,17.49
2019-12-31,17.54
2020-01-02,17.71
2020-01-03,16.91
2020-01-06,16.66
2020-01-07,16.87
2020-01-08,16.99
2020-01-09,16.84
2020-01-10,16.42
2020-01-13,16.99
2020-01-14,16.87
2020-01-15,16.3
2020-01-16,16.27
2020-01-17,16.23
2020-01-21,15.72
2020-01-22,15.85
2020-01-23,15.62
2020-01-24,15.4
2020-01-27,14.96
2020-01-28,15.33
2020-01-29,15.39
2020-01-30,15.32
2020-01-31,14.66
2020-02-03,14.78
2020-02-04,15.55
2020-02-05,15.94
2020-02-06,17.47
2020-02-07,17.74
2020-02-10,17.79
2020-02-11,18.0
